FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
37001.0,North_Carolina,Alamance,,3.8,4.0,78.422991071,57.717871005,24.4,11.302386896,25.6,33.2,84.0,177,41296.0,,28.558005968,18.776959022,1.5661908185,12.118080518,65.680522748,37614.0,12.131666493,13.144002241,,37.508882347,,,16.564417178,3.1649164612,12.47,18.9,
37003.0,North_Carolina,Alexander,,3.7,3.7,85.0,45.159551531,22.9,2.2702916354,26.0,29.3,8.0,14,43043.0,,72.77810635,5.6964056483,1.1125374412,4.3538724861,87.347560976,9276.0,18.176896005,16.190690353,,41.413874967,,,14.285714286,0.560040937,12.87,19.1,
37005.0,North_Carolina,Alleghany,,4.0,3.9,92.5,45.224083296,34.2,1.3627363504,32.6,29.8,12.0,21,35266.0,,100.0,1.5442595827,0.7997058553,9.4769739866,87.020865888,2209.0,19.382349141,,,53.955189758,,,13.660062565,1.9385796545,12.93,18.6,
37007.0,North_Carolina,Anson,,4.6,4.2,77.0,41.645133506,35.9,3.0625073353,30.1,37.9,9.0,19,32508.0,,78.510464598,48.309722492,1.1139142247,3.5008732777,45.453134097,6966.0,27.347750782,,,57.022708158,,,16.632016632,0.9490871069,12.38,24.0,
37009.0,North_Carolina,Ashe,,3.9,3.9,85.0,50.534627406,31.2,2.4892431961,26.8,29.9,13.0,39,36488.0,,84.864924306,0.7373000074,0.4718720047,5.3233060532,92.372631424,6079.0,19.029495718,22.120087497,,53.45358557,,,15.416841223,1.6715144464,12.96,18.3,
37011.0,North_Carolina,Avery,,3.9,3.8,81.985294118,56.699486301,31.7,0.0,24.4,30.2,12.0,58,37131.0,,88.784626622,4.3042817757,0.6189163338,4.7093906487,89.236482305,4672.0,8.8271877382,,,25.260416667,,,14.583333333,1.4168969369,13.01,19.2,
37013.0,North_Carolina,Beaufort,,4.0,3.8,79.0,54.69036808,28.8,5.0884110089,29.3,32.3,24.0,45,40357.0,,65.600201009,24.694756751,0.5547966796,7.4918566775,65.993485342,10351.0,19.282626053,16.835489211,,53.930719768,,,16.844512195,0.5873061778,11.61,18.1,
37015.0,North_Carolina,Bertie,,4.7,4.2,78.0,39.725158562,38.9,4.7478710445,32.7,38.6,5.0,8,31217.0,,83.24405601,61.051427435,0.5918631254,1.6512483836,35.233263702,4730.0,28.002212858,,,54.654521218,,,19.546925566,0.3365458161,11.65,22.6,
37017.0,North_Carolina,Bladen,,4.8,4.4,79.0,54.849929151,35.8,3.2239949252,32.6,38.4,9.0,19,33521.0,,91.233304916,33.952736821,0.2914274173,7.660790028,54.580604207,7763.0,34.882098507,22.985203275,,45.512985343,,,18.856534091,2.4696221327,11.98,23.2,
37019.0,North_Carolina,Brunswick,,4.0,3.7,86.0,59.999156189,30.0,4.8466148834,20.5,30.1,52.0,86,47387.0,,42.960597965,10.922616042,0.6858191121,4.7628664714,81.41303982,23702.0,22.17418553,25.115908474,,42.793175764,,,17.528613819,1.2731675515,11.99,16.8,
