FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
38001.0,North_Dakota,Adams,,2.6,2.5,,72.359550562,14.1,10.858039997,32.3,29.0,10.0,1,45710.0,,100.0,0.755033557,0.8389261745,1.216442953,94.924496644,445.0,,,,29.661016949,,,11.363636364,0.0902934537,9.79,15.3,
38003.0,North_Dakota,Barnes,,2.6,2.5,87.5,70.294494238,13.8,7.1070892987,25.0,29.2,9.0,3,52376.0,,39.553587566,1.4267767408,1.1934673367,1.588298636,93.35965542,2343.0,15.496067873,,,19.73194341,,,8.7090163934,0.1615969582,10.55,16.0,
38005.0,North_Dakota,Benson,,4.6,4.0,,51.631205674,41.3,21.852950219,32.3,35.8,1.0,4,39342.0,,100.0,0.1317137421,0.3805063662,2.1513244549,42.148397483,1410.0,61.788895044,,,99.020113461,,,17.887931034,0.1306975984,9.62,31.9,
38007.0,North_Dakota,Billings,,2.4,2.4,,69.101123596,9.0,21.235955016,31.7,29.7,0.0,0,75096.0,,100.0,0.1109877913,3.6625971143,1.7758046615,93.673695893,178.0,,,,,,,9.7142857143,0.7407407407,9.9,15.7,
38009.0,North_Dakota,Bottineau,,2.6,2.6,89.942528736,69.064191802,11.7,13.765009543,27.5,28.1,2.0,,56965.0,,100.0,0.6917293233,0.4511278195,1.969924812,92.706766917,1293.0,22.038567493,,,17.470300489,,,9.8662207358,0.0,9.7,17.4,
38011.0,North_Dakota,Bowman,,2.4,2.4,,65.126676602,10.4,6.0007130562,30.3,25.2,3.0,,60946.0,,100.0,0.3387742532,0.2155836156,4.7428395442,92.670157068,671.0,,,,35.211267606,,,5.8823529412,0.0333555704,9.92,15.3,
38013.0,North_Dakota,Burke,,2.8,2.7,,61.895551257,9.6,23.455091883,31.2,29.9,,,62875.0,,100.0,0.579064588,0.6236080178,2.1380846325,94.476614699,517.0,,,,,,,5.4726368159,1.0983524713,9.93,18.7,
38015.0,North_Dakota,Burleigh,,2.3,2.5,89.0,77.196817347,9.0,5.4764160247,21.0,27.6,100.0,184,66734.0,,18.547990358,1.1480282422,0.6905848425,1.8861253218,90.780416119,22874.0,10.435563007,,,23.971358896,,,9.9985252913,0.1913590218,9.75,15.3,
38017.0,North_Dakota,Cass,,2.6,2.6,85.044554455,81.445642291,12.4,2.9199012738,20.6,27.8,185.0,395,53755.0,,10.434776803,3.5525882459,2.5963294512,2.4041196371,88.467411155,46194.0,6.3530594248,4.3210676741,,18.303909888,,,14.059482426,1.1861227042,11.1,15.6,
38019.0,North_Dakota,Cavalier,,2.5,2.5,,81.137724551,13.6,8.4006939539,29.6,26.8,2.0,1,54057.0,,100.0,0.233463035,0.3112840467,1.0635538262,96.212710765,668.0,,,,17.162471396,,,5.1445086705,0.1077876583,10.08,14.7,
