FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
40001.0,Oklahoma,Adair,,5.9,5.4,83.883161512,37.927927928,36.7,3.6608575704,38.3,41.4,8.0,38,31386.0,,83.295860336,0.4236906157,0.558911025,6.1435139277,41.913819526,5550.0,26.761308246,22.500225002,,68.44042838,,,14.403032217,1.4439913648,10.95,29.3,
40003.0,Oklahoma,Alfalfa,,4.1,3.9,,45.087108014,18.3,18.531971154,39.9,34.0,1.0,1,51885.0,,100.0,4.1450777202,0.414507772,4.9568221071,84.715025907,1435.0,40.365306019,,,24.75780409,,,5.3789731051,0.6091932804,10.35,19.4,
40005.0,Oklahoma,Atoka,,4.9,4.5,62.806122449,41.350954479,30.7,18.315458831,29.8,35.8,3.0,140,35910.0,,100.0,3.899681067,0.4566541026,3.5590026095,71.999130183,3405.0,31.380964914,,,65.612382234,,,9.1932457786,0.2437538087,10.23,23.4,
40007.0,Oklahoma,Beaver,,4.0,3.9,,44.522691706,15.7,11.615095348,31.1,31.9,1.0,1,56664.0,,100.0,0.6744440394,0.2916514765,22.839956252,73.332118119,1278.0,35.832202913,,,39.907904835,,,7.9710144928,4.3103448276,11.17,16.4,
40009.0,Oklahoma,Beckham,,4.0,4.0,84.484649123,45.363524338,19.0,5.5050005722,30.5,32.0,16.0,59,46625.0,,32.655183327,4.1661390401,0.9919378667,14.089738719,75.927567431,6492.0,33.509098036,15.623002741,,94.585486408,,,11.075949367,1.644471826,9.81,20.0,
40011.0,Oklahoma,Blaine,,4.3,4.3,,44.851444851,25.2,23.123547918,35.7,31.9,3.0,36,44309.0,,57.431131207,3.1763638197,0.3730967026,9.1459110618,74.21599274,2457.0,28.514769354,,,71.242397915,,,13.823163138,1.9194704909,10.04,18.2,
40013.0,Oklahoma,Bryan,,4.9,4.5,89.129385965,54.983327158,26.2,7.3319129066,31.9,35.4,16.0,392,38187.0,,61.330629951,1.7421211168,0.6878568538,5.5410691004,72.366587241,10796.0,20.214952326,19.677739179,,62.763145011,,,15.823170732,0.7202910664,10.13,22.9,
40015.0,Oklahoma,Caddo,,4.8,4.5,90.256232687,46.192008581,28.9,13.729955384,36.9,36.0,7.0,12,39933.0,,79.969594595,2.8891087083,0.2899341679,11.314254528,58.280178736,7458.0,41.093477878,23.704974658,,72.340425532,,,13.166746756,0.9593371852,9.97,22.8,
40017.0,Oklahoma,Canadian,,3.7,3.8,86.830953926,67.936435739,10.1,6.3032560299,29.4,30.8,55.0,244,68421.0,,22.508027453,2.6685805127,3.2697442546,7.998024417,77.719127657,35177.0,15.2394998,14.011341255,,32.401737,,,10.815028208,1.1617515639,10.09,17.8,
40019.0,Oklahoma,Carter,,4.4,4.4,87.196531792,46.723907969,22.1,3.2737535691,31.9,35.5,30.0,184,44402.0,,56.077969594,6.7470965363,1.1327092849,6.697937363,70.985846255,11996.0,26.415162303,36.451921291,,72.014925373,,,11.319124424,0.8832625092,10.04,22.3,
40021.0,Oklahoma,Cherokee,,5.4,4.9,90.358513189,58.442025726,28.6,11.625977134,27.9,37.9,28.0,175,38027.0,,60.04852406,1.4521834468,0.7033367121,6.6134337312,49.208746199,11117.0,18.830447011,24.912115592,,46.913580247,,,15.68452381,1.229040274,10.85,25.6,
40023.0,Oklahoma,Choctaw,,5.4,4.8,88.844936709,49.046321526,37.6,23.489007202,34.8,36.8,6.0,120,29652.0,,66.931930286,11.074467383,0.4023481301,3.7464547193,61.869269837,3303.0,32.035880186,,,90.96422074,,,15.283483977,0.0211909303,10.25,24.3,
40025.0,Oklahoma,Cimarron,,4.5,4.3,,46.536796537,25.9,19.195560183,34.7,32.4,1.0,,41800.0,,100.0,0.3487358326,0.2615518745,21.316477768,74.934612031,462.0,,,,68.883610451,,,8.8372093023,4.3226381462,12.0,18.4,
40027.0,Oklahoma,Cleveland,,4.1,4.1,83.022577093,69.297291417,14.2,5.8669374387,25.4,33.5,136.0,809,58205.0,,16.883736388,4.669368822,4.3981653008,7.9427064037,73.399084132,73544.0,9.0959009295,17.393767565,,22.714837107,,,14.037201991,1.5529762025,10.19,19.0,
40029.0,Oklahoma,Coal,,5.0,4.8,95.795454545,44.913151365,26.1,12.093008614,35.7,34.5,1.0,1,36566.0,,100.0,0.6027208541,0.20664715,3.8574134665,70.673325297,1209.0,26.758781746,,,69.114470842,,,11.040339703,0.2728761142,10.26,23.0,
40031.0,Oklahoma,Comanche,,4.6,4.3,88.370538838,58.46090535,24.0,15.138495725,30.4,38.1,97.0,347,46071.0,,21.790036906,16.597218334,2.666496045,12.603072789,57.227291995,36450.0,14.905784958,14.879370815,,53.691954644,,,14.588739704,1.1900966038,9.92,22.0,
40033.0,Oklahoma,Cotton,,4.4,4.3,,47.126436782,24.8,2.3518349512,36.3,35.7,1.0,,41469.0,,59.534958824,2.1951219512,0.2113821138,7.1544715447,77.235772358,1392.0,27.711705886,,,63.609467456,,,8.7048832272,0.621869062,9.9,20.4,
40035.0,Oklahoma,Craig,,4.8,4.6,91.531100478,44.35507894,26.1,7.3689947882,31.5,33.5,7.0,64,36953.0,,60.063876505,3.1477163626,0.6103415169,3.1820052119,64.648196407,3357.0,26.839461677,,,64.082525789,,,12.565445026,0.5516944902,9.44,22.7,
40037.0,Oklahoma,Creek,,4.6,4.3,86.810344828,51.343798311,23.0,5.9202854954,35.3,34.7,20.0,126,46614.0,,53.944002172,2.3077358704,0.4176577189,3.7277721146,77.259599049,16818.0,23.555967956,22.195671372,,52.762901655,,,12.204351939,0.4970689551,10.5,21.5,
40039.0,Oklahoma,Custer,,4.4,4.2,84.093406593,49.905646683,18.5,8.1947377466,29.5,33.0,15.0,154,45574.0,,30.325093742,3.006779661,1.5220338983,16.477966102,70.105084746,6889.0,22.212120586,11.439946003,,50.497418461,,,16.122840691,3.7329286798,9.86,19.2,
40041.0,Oklahoma,Delaware,,5.0,4.9,82.376470588,43.068480076,30.8,9.637760682,33.3,36.3,21.0,56,36424.0,,81.116976402,0.4222361627,1.1822612556,3.5130048738,64.679341794,8382.0,27.313902431,24.946887272,,59.986816084,,,16.224458676,0.7951629703,10.21,23.5,
40043.0,Oklahoma,Dewey,,4.1,4.0,,56.448412698,16.8,38.079881143,35.7,32.2,1.0,,50348.0,,100.0,0.4680504681,0.9157509158,6.0846560847,84.126984127,1008.0,83.654506887,,,54.162487462,,,8.5872576177,0.4844747853,9.95,18.7,
40045.0,Oklahoma,Ellis,,4.1,4.2,,59.647058824,16.6,33.587821474,37.2,32.1,5.0,,52032.0,,100.0,0.6746987952,0.2409638554,7.4698795181,87.56626506,850.0,,,,42.857142857,,,9.2696629213,0.051975052,10.22,18.6,
40047.0,Oklahoma,Garfield,,4.2,4.2,82.498397436,54.986104828,19.3,9.080275807,32.6,34.9,32.0,249,49136.0,,21.411356883,3.1414940324,1.3599404035,11.400992218,76.310408775,15473.0,18.971147256,13.937506366,,63.450606852,,,10.687342833,2.6878896127,10.17,19.3,
40049.0,Oklahoma,Garvin,,4.5,4.3,86.794692737,46.34671589,23.9,13.967622279,34.6,32.0,11.0,29,40774.0,,68.701044386,2.5978738072,0.7510612822,7.623090599,76.288959036,6501.0,34.865144742,27.983258711,,67.001385042,,,10.126582278,1.4230979748,10.11,21.3,
40051.0,Oklahoma,Grady,,4.3,4.3,88.601549053,55.324497258,17.2,6.1770569144,29.3,33.6,22.0,64,51199.0,,63.885869047,2.4529282876,0.5180673673,5.3477921789,82.079325584,13128.0,25.88294913,24.897763558,,43.456911368,,,11.845449924,0.5504992667,10.05,20.4,
