FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
4001,Arizona,Apache,,6.2262374103,5.7753442568,74.566004673,47.764389259,44.7,43.828038654,21.4,37.8,21,62,31072,,74.061075533,0.9080224977,0.3749615245,6.4708845174,18.797045079,16349,60.593057029,8.3629132673,,51.815345662,17.2,,35.712411441,5.0551401447,5.5,29.621549892,34.38
4003,Arizona,Cochise,,4.0342683471,3.6845953894,82.574112022,65.520265004,25.7,12.335635434,20.9,33.0,59,139,43451,,36.30106741,3.9825353761,2.1870328332,34.669018485,56.0180974,30792,13.404354438,17.738451746,,45.862378356,18.7,,16.431113371,4.8935082918,6.0,16.523101026,15.27
4005,Arizona,Coconino,,4.3088528432,4.5181649058,80.61208516,68.960949026,20.7,13.095848229,14.2,31.2,111,256,51955,,31.46606557,1.4515050648,1.8749505741,13.926252903,54.901255958,33213,24.061243746,17.178056605,,28.240702734,13.5,,25.887445887,2.5967345984,5.5,18.277996296,11.47
4007,Arizona,Gila,,4.1141572391,4.2711523524,79.728163993,49.50650987,36.6,11.545643386,24.5,33.2,27,30,41346,,41.061999739,0.7637464964,0.7769145394,18.721194906,62.950770331,9524,26.825689353,31.381212696,,73.82863543,20.3,,17.330097087,1.7182952597,6.4,17.907958515,24.12
4009,Arizona,Graham,,4.4210319038,4.3142075403,73.563917526,50.078802206,26.9,13.702318628,24.6,36.5,21,15,44169,,46.437399248,1.7814474592,0.6531089046,32.782881113,50.990283014,10152,9.5269670329,19.450952655,,58.817714512,12.8,,17.497733454,3.0354914536,6.4,19.178491628,33.02
4011,Arizona,Greenlee,,3.9196014698,3.8546747785,91.9375,53.693407466,11.3,25.867136663,22.4,34.4,4,1,58854,,46.568685552,1.5006821282,0.8395424494,46.720537307,47.203274216,2518,32.049227614,,,60.709082079,,,16.395864106,1.9191798784,5.8,15.640929703,
4012,Arizona,La Paz,,4.4182668767,4.3238899208,79.68373494,34.642968506,36.9,18.942249479,30.4,30.0,7,24,34835,,56.327785641,0.9726081778,0.9726081778,26.161175069,58.49047241,3207,30.896706692,23.06159092,,65.669891527,28.6,,15.802348337,5.8908416224,6.2,15.350704531,
4013,Arizona,Maricopa,,3.5612849505,3.6078714529,77.991851201,64.28355694,23.0,3.6673818967,18.2,32.8,2886,4900,56017,,2.3637996949,5.1332946412,4.2200872516,30.467997794,56.497359491,1109167,9.629037018,17.179594849,,38.842143801,13.1,,19.793160849,5.4811820155,10.3,13.020011941,15.47
4015,Arizona,Mohave,,4.3006985281,4.2963859236,76.874511991,47.731961389,29.8,17.253789774,30.2,34.0,102,138,40360,,22.963643811,1.1795620723,1.2313358113,16.171966962,77.53117414,39263,18.211400478,29.780995143,,45.68316264,24.0,,17.555777141,1.9933486191,5.9,18.767754862,25.18
4017,Arizona,Navajo,,5.3562178755,5.2789317422,77.814729194,50.912370485,36.7,18.232078512,24.3,35.3,71,72,37658,,54.138242329,1.133204651,0.7231452663,11.223990321,41.853763957,23839,34.253304515,21.624961384,,62.199832074,16.9,,26.612316203,4.2038817414,5.7,23.749401123,35.9
4019,Arizona,Pima,,3.5497598332,3.9319958652,73.925929334,65.687360489,27.7,7.2610654169,17.3,31.1,824,1612,47107,,7.5234911447,3.3646691914,3.1575456053,36.372862058,52.861760848,238332,10.893808963,22.251041565,,36.490487325,15.3,,20.260910322,4.2419489074,7.2,13.421251308,14.51
4021,Arizona,Pinal,,3.7465989072,4.0758155502,74.232227488,54.782940195,21.6,4.7710335523,24.5,33.6,71,148,50888,,21.904622508,4.3676091533,1.9137496803,29.268490644,57.76912028,104925,13.401098593,11.938035751,,44.562496671,11.9,,17.125308118,3.5971558777,10.3,16.033070481,28.43
4023,Arizona,Santa Cruz,,4.5558618389,4.1768436342,88.275769746,54.570419772,36.7,10.78107553,17.7,30.5,18,16,34893,,26.883171658,0.443382622,0.7640817029,82.729601171,15.578657369,10196,13.663939952,8.57608416,,51.4490161,6.8,,22.712201592,13.269446801,6.0,15.874598493,16.0
4025,Arizona,Yavapai,,3.6684678566,3.8612933177,78.672962763,59.557442429,23.4,12.08128562,20.4,29.7,136,349,47220,,33.197177693,0.7851341927,1.0897392635,14.408224787,80.570965783,38865,15.036973656,27.429323776,,38.386383504,24.1,,20.372194855,1.9470781734,5.9,14.435429686,15.94
4027,Arizona,Yuma,,4.3707233833,4.1010300371,80.275481112,54.70422192,30.8,10.529689948,26.8,34.4,81,106,40426,,10.42957635,1.9635295557,1.5865867091,61.960592339,32.600171338,49243,11.721988735,15.277885015,,58.128357365,11.4,,19.687678266,14.852397051,7.3,14.829594797,20.84
