FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
6001,California,Alameda,,2.9731353927,3.1999784107,84.957020057,72.871505518,13.8,1.6041283834,15.8,32.2,1721.0,8445,81462,,0.3886057535,10.946487488,29.518286672,22.588365996,32.48480816,484192,5.2282521193,11.163980649,,19.641286199,9.2,,24.456491827,9.149505503,9.0,9.8734136854,11.88
6003,California,Alpine,,4.5109602554,4.3099873055,,61.434977578,35.7,12.98823421,18.6,30.5,0.0,6,50882,,100.0,0.5405405405,1.1711711712,9.1891891892,66.936936937,223,,,,,,,16.455696203,1.1904761905,4.9,15.629262914,
6005,California,Amador,,3.4683908376,3.5315961938,88.615384615,56.802003691,19.5,3.1500919932,18.3,28.3,21.0,68,55879,,60.423722139,1.9837301695,1.4702305343,13.521256182,79.103267479,7586,16.438628483,24.487130652,,21.316033364,17.3,,21.248246844,1.1513572569,7.9,11.486499663,29.89
6007,California,Butte,,4.3130426924,4.1000533486,86.337209302,68.699769237,23.8,7.2190962939,19.1,31.6,143.0,1169,45369,,18.901818182,1.5256575766,4.6830012732,15.749453221,73.03148471,50268,12.618101568,29.177868884,,23.996620194,12.0,,23.19165242,2.3858295035,8.1,14.509465301,14.16
6009,California,Calaveras,,3.6087172153,3.708436763,93.818181818,58.880407125,21.2,2.1470781515,19.4,27.5,22.0,66,52471,,75.409188644,0.8699919693,1.5972160257,11.52404747,81.792629606,7860,23.157033235,21.647122052,,18.136403128,22.8,,19.786096257,0.7704124383,7.8,11.748275671,21.61
6011,California,Colusa,,4.1950377184,3.9139527353,91.428571429,48.739807265,19.4,2.6823177307,16.4,31.9,7.0,36,51118,,31.724170129,0.9030816498,1.8527139,58.495484592,36.165161531,5396,17.346285226,,,41.390728477,14.9,,18.016046681,14.526273078,7.1,13.001798514,19.31
6013,California,Contra Costa,,3.3022893942,3.4589076525,89.254070428,69.210192286,12.7,2.7035880116,18.1,34.0,1093.0,3393,83036,,0.7927361121,8.8048316167,16.830516222,25.296406907,45.006456652,285981,6.3847531566,11.223516328,,17.929466952,9.3,,22.616434529,6.4674527227,7.7,10.619012678,12.89
6015,California,Del Norte,,4.3994271805,4.1168472991,35.148514851,43.332883915,33.8,10.217322438,18.7,32.1,22.0,103,38963,,33.67354072,3.3242826741,3.5701181478,19.773244294,62.798121377,7417,24.936767482,21.860843586,,53.120617111,20.8,,25.221469515,2.5059391524,5.8,15.390698216,30.58
6017,California,El Dorado,,3.7030261114,3.5024310858,91.732979664,69.770006301,11.6,4.752817828,15.5,29.8,134.0,513,75575,,34.699930409,0.8658079067,4.1799492551,12.812547438,78.308177737,38088,11.318192107,21.6648825,,14.455368442,11.5,,21.300729174,1.9370697,8.1,11.25937113,13.83
6019,California,Fresno,,4.4648501876,4.03541281,81.886553736,51.681591652,36.3,5.4520837827,20.9,30.1,643.0,2687,46608,,10.805201784,4.7302128201,10.722041399,52.39731613,30.408027401,256840,13.225213946,12.39595084,,47.707943624,9.9,,28.730892654,12.428303074,14.3,13.626869207,18.65
6021,California,Glenn,,4.3234852137,4.0753887738,77.235772358,46.842344389,25.7,5.3382633526,19.0,31.8,6.0,32,43584,,40.871915227,0.7673912268,3.0981189992,41.132169754,52.193311204,6603,13.248137618,21.451043951,,40.751043115,10.0,,21.183800623,9.702209414,7.2,14.28177335,19.88
6023,California,Humboldt,,4.3887911916,4.1878659549,85.56547619,65.12992456,23.0,6.5028500737,14.7,31.4,90.0,485,40739,,29.758659367,1.2274639534,2.8881504785,11.126747073,74.898877895,34597,18.133923799,30.86198766,,23.174157303,15.7,,25.940519749,1.8767281016,6.0,15.928978304,15.07
6025,California,Imperial,,4.6595932556,4.1267244074,84.951281126,53.792440743,31.4,8.04700349,20.9,34.1,39.0,205,39925,,17.417835534,2.5411924014,2.3563884989,82.672830497,11.920684163,46830,10.918734688,18.10154031,,54.467738653,4.4,,27.120582121,20.757947257,10.3,13.77491179,23.64
6027,California,Inyo,,3.8888339195,3.8259934387,30.136986301,53.844201979,19.9,10.777635957,18.4,30.1,22.0,63,51697,,46.430497142,0.7831325301,1.6703176342,20.87075575,64.26067908,3941,9.2879256966,25.391298039,,35.178479048,10.9,,18.984126984,2.8616024974,5.8,12.346395052,18.72
6029,California,Kern,,4.5098060555,4.1141239922,82.541720154,45.99792471,31.3,5.4041762475,23.8,34.2,428.0,1356,51150,,10.206030983,5.2676563407,5.1297020096,52.170882001,35.440206943,238039,13.75338104,23.160080415,,54.854196682,11.4,,25.960747444,10.680612958,13.9,14.556850834,22.17
6031,California,Kings,,4.513332941,4.0340617144,83.035282745,49.681915887,28.4,5.6404678011,20.4,35.4,60.0,258,46440,,10.851603457,6.1378465207,4.4977312622,53.630311662,33.187162587,46057,12.987220763,13.489785358,,52.38665433,5.5,,25.217604511,9.9535386278,13.5,15.234362573,22.01
6033,California,Lake,,4.501604617,4.3600162036,85.820895522,50.722704025,30.2,7.7333895985,21.0,32.8,34.0,217,37993,,33.106007887,1.8083014661,1.4057686055,19.637410785,71.496028859,13491,23.11013535,50.354296987,,42.00913242,21.2,,28.485191473,3.4846832557,5.5,14.979285565,32.18
6035,California,Lassen,,3.7554923432,3.6154868059,84.976525822,38.448079783,19.7,29.7211497,17.5,31.8,15.0,92,54670,,70.525863304,8.1576008933,1.5823895358,18.743021216,65.739352369,11431,15.439378994,33.593331724,,32.506977508,16.6,,18.954248366,2.0815986678,7.1,14.07287244,53.44
6037,California,Los Angeles,,3.5829918907,3.6954927058,78.721042471,60.421947398,23.5,1.4194373143,17.6,35.4,7297.0,27665,59045,,0.6052183584,8.1036021385,14.97819335,48.441686827,26.620818753,2960843,6.91064745,7.5303428764,,29.480924886,7.3,,34.625594163,14.707654868,14.4,11.70026618,14.17
6039,California,Madera,,4.6995063872,4.2692448611,82.669055083,42.902568689,32.3,7.5331215583,19.9,32.1,64.0,203,46593,,32.924800318,3.3316558923,2.5671298985,56.700086453,35.141098595,40254,17.616571572,14.720685811,,51.537737529,10.2,,27.190403387,14.233803693,11.8,14.954980921,23.28
6041,California,Marin,,3.2153877806,3.4432655223,91.911764706,75.14638907,8.8,1.9766009182,11.6,29.7,374.0,1763,99868,,6.519973535,2.5625811095,6.20968452,16.036612677,71.942148602,58406,3.9560775101,9.7393943122,,10.37455014,5.5,,24.069575357,4.2532198815,7.6,9.9794727951,10.49
6043,California,Mariposa,,3.7880288516,3.8432794227,92.028985507,62.957582801,24.1,5.9202769324,17.0,28.4,6.0,37,44595,,100.0,0.9583024357,1.5743540015,11.21442017,80.491700416,3442,23.102599441,20.767255702,,24.978711326,25.8,,19.475138122,1.3669697859,8.0,12.208861069,
6045,California,Mendocino,,4.2823211914,4.0825623079,83.57771261,55.807491937,27.3,7.483601001,16.5,30.4,82.0,436,43237,,45.230587083,0.7290442561,2.1768645392,24.534221725,65.82048854,20155,16.469521601,23.980815348,,36.722389696,15.5,,27.582644628,5.2463747029,5.8,13.364134615,22.58
6047,California,Merced,,5.0256177059,4.1654732669,87.156609533,44.988963746,35.9,5.504610526,24.8,33.6,125.0,340,42879,,14.273260019,3.1003333892,8.070626362,58.151273025,28.894228083,69317,15.150404685,13.031993544,,43.118873012,10.8,,26.243203819,14.049075197,10.4,15.332988969,17.9
6049,California,Modoc,,4.261601478,4.1462185627,89.0,67.614625653,31.1,14.992596418,19.2,30.5,5.0,24,38402,,69.956638447,1.0708310095,1.2604573341,15.248187395,76.84327942,1723,22.96703465,,,38.364462393,28.3,,19.071518193,3.5079726651,6.2,13.968524008,
6051,California,Mono,,3.6652400024,3.6720773632,32.307692308,67.845394737,17.3,8.1518130328,15.8,30.1,7.0,27,53992,,45.831573018,0.711769358,1.8117765476,27.665540298,65.626572723,3648,11.128309407,,,22.542498152,,,22.10626186,7.6154247781,5.4,12.925623049,
6053,California,Monterey,,4.1393673529,3.8100900187,84.504759976,45.042653712,22.3,3.1179967116,17.2,32.2,258.0,1178,60047,,9.8160011757,2.5741072787,6.9269736205,57.82741566,30.723810665,119802,8.2208913063,11.514078086,,44.81871345,12.4,,30.909670733,18.952752896,7.6,11.199836578,16.71
6055,California,Napa,,3.4687267301,3.4189088202,89.205579139,58.148801731,12.1,2.6440002591,16.0,28.1,140.0,612,72683,,13.400838193,1.976750716,8.3471387657,33.903801876,53.264165778,35134,8.4245478997,11.544378712,,21.467017149,6.1,,24.499291928,8.9961634897,7.5,11.716991198,10.66
6057,California,Nevada,,3.3912685549,3.656990502,46.926454446,70.185679062,16.4,5.3428822862,17.2,28.8,77.0,559,57627,,42.134785954,0.4854516217,1.4725365859,9.3429210029,85.380826684,19873,12.894271322,21.285941143,,15.132986854,16.4,,23.054403513,1.3279592703,6.7,11.957470928,13.95
6059,California,Orange,,3.5205444517,3.4883656302,89.963789391,67.152543196,16.8,0.9580607064,16.1,30.8,2978.0,6709,78002,,0.1433444333,1.6188841104,20.087760145,34.35750665,41.421444291,865309,5.7201290135,11.781980548,,21.020905135,4.8,,28.439694227,11.126682026,10.9,10.270580965,10.61
6061,California,Placer,,3.346723215,3.4777015699,89.532678048,77.093663285,9.0,2.2393955666,14.8,28.7,446.0,920,76203,,13.787195206,1.5607726344,7.2958595171,13.764581463,73.62483384,87932,7.3254097478,11.486063277,,12.047022248,7.7,,20.217014543,2.2863584467,8.7,10.130786584,10.34
6063,California,Plumas,,3.9022811889,3.936686112,87.931034483,62.325711099,22.5,1.7841065009,15.4,29.4,18.0,43,46813,,74.024091568,1.0972893693,1.2059318811,8.3437449074,83.850290619,3586,16.270504534,46.533271289,,22.918258212,21.0,,21.234018899,1.0910500665,8.8,12.574679294,
6065,California,Riverside,,4.0725326033,3.9084241258,87.377180054,53.469878083,22.6,6.178630951,20.0,36.3,965.0,3701,57895,,4.6223102326,6.0613055511,6.9155951692,47.88812152,36.724373217,604344,10.16580369,14.048797589,,30.675300529,7.4,,27.495626843,8.4024957353,15.4,13.387564446,17.23
6067,California,Sacramento,,3.7843500802,3.8851259101,80.616498464,66.172907315,22.7,3.6603298033,17.1,31.5,1186.0,4847,58735,,2.062112169,9.789953608,16.02813496,22.743025374,46.039558127,411469,8.8688897558,17.43339095,,29.271864549,10.1,,23.925799186,7.0379976514,9.9,12.90175025,16.39
6069,California,San Benito,,3.6652918787,3.6407777449,88.687782805,55.104369421,14.0,2.9766766224,17.2,31.4,20.0,50,76521,,24.004414771,0.8164376106,3.5276908423,58.700163288,35.543951558,14899,13.591060103,10.305795865,,26.952092333,4.9,,27.714033539,9.8360655738,7.7,11.544399902,15.14
6071,California,San Bernardino,,4.4443874468,4.0114789994,80.731514192,53.653307375,27.3,7.4625558444,19.1,35.9,1213.0,3849,53526,,4.7344991426,8.250330219,7.3876021846,52.188326575,29.958559921,573234,11.105004391,5.5457920473,,37.79578815,8.8,,28.18275154,8.4032720925,14.2,14.246240196,18.53
6073,California,San Diego,,3.5390695807,3.4110590689,81.81980193,68.960744145,17.8,2.7273860468,15.6,33.5,2556.0,9830,67053,,3.2970494422,4.7697832504,12.104120568,33.40654598,46.278778041,939172,6.9399958252,12.952461397,,27.563099433,6.4,,26.174540286,7.773065863,11.6,10.798446992,11.69
6075,California,San Francisco,,3.1702784841,3.3011429395,72.230681386,85.49225358,13.5,1.3772819302,15.5,32.2,1344.0,7050,90527,,0.0,5.141787386,35.255013783,15.276544375,40.967327154,323827,3.930646162,19.180131576,,12.840390266,5.0,,26.928144319,12.718902621,8.2,9.9091970631,8.55
6077,California,San Joaquin,,3.8119146603,3.7489783849,82.30783794,51.740302042,23.7,3.5830415126,20.5,34.7,425.0,1376,53341,,8.4728573805,7.0126124836,16.081536305,40.771733053,33.385483662,186663,11.185933027,16.122403524,,35.447135733,13.0,,27.24932155,9.8063219775,9.7,13.188186356,18.19
6079,California,San Luis Obispo,,3.8370537862,3.6996780089,91.529963174,69.173139159,14.6,3.9892613257,14.1,29.6,239.0,1420,61761,,16.596386994,1.7537251111,3.9285574678,22.215983596,69.286889528,61800,9.9922872033,14.696622286,,15.401540154,9.3,,24.526454897,3.9080276085,8.7,11.863991992,7.28
6081,California,San Mateo,,3.0043814964,2.9893432461,88.129882065,74.790821207,9.7,1.5337128355,15.8,30.3,763.0,2378,101133,,1.8910127483,2.413038222,28.271612199,25.14484372,39.943800767,215366,5.2614505703,8.498125789,,16.630782326,4.2,,24.470807164,8.2992777174,8.1,8.66158863,9.94
6083,California,Santa Barbara,,3.8618640074,3.6506694117,87.928254736,57.537753943,20.0,2.9577049501,14.0,30.6,350.0,1969,63049,,5.0175161302,1.7690081818,5.8277442897,44.848224584,45.401320686,107406,7.5739735777,13.624658816,,29.349670267,6.3,,29.568868191,11.181058318,8.0,11.466751964,8.31
6085,California,Santa Clara,,2.9665751299,3.0294733175,83.625930069,75.431775344,9.0,1.2660099961,15.2,31.9,1950.0,5401,102191,,1.0836632724,2.3949919814,35.599131198,26.332868276,32.790175825,566093,5.9215046279,7.5246401125,,19.273875214,4.6,,24.228102564,10.003826431,8.8,8.4478030966,9.84
6087,California,Santa Cruz,,3.9476985231,3.6270412057,87.378325762,66.075852577,17.6,4.0350856919,13.3,28.9,269.0,1687,64841,,12.039316721,0.9786755962,5.0498639411,33.303422264,57.823568464,65390,7.1167369601,18.764510301,,21.647678597,8.1,,27.410298914,8.3742602678,7.9,11.472689741,8.25
6089,California,Shasta,,3.9050401421,4.0255788626,86.30071599,65.313222175,26.5,7.4129598601,19.4,30.6,143.0,463,45943,,29.286266455,0.9636111467,3.0378816151,9.6266424557,80.515559814,40243,15.930463128,22.291698014,,31.111777495,17.0,,22.665990142,1.4694976893,7.3,13.654012671,16.14
6091,California,Sierra,,3.8761316368,3.89436374,,56.474820144,17.4,21.442735735,16.1,28.9,,5,47535,,99.722222222,0.3033367037,0.5392652511,9.9764071453,85.406134142,556,,,,,,,19.521912351,1.2299282542,5.6,12.120048166,
6093,California,Siskiyou,,4.2624153755,4.1583560633,89.701897019,62.793127467,31.4,8.4442249138,18.7,30.5,35.0,150,37447,,65.826280624,1.3592322175,1.4166322267,12.265233962,76.961932314,8614,19.073481395,18.32326826,,35.669082959,20.5,,23.873293845,1.5887131664,6.6,14.295732274,20.35
6095,California,Solano,,3.7200614838,3.4792433729,84.258492129,63.406833567,15.8,4.0682323768,18.2,32.7,350.0,1385,67202,,3.718452427,13.724856223,15.651284591,26.023178595,39.081432358,112562,10.024135816,14.009168653,,25.753187724,13.2,,22.970346022,5.1826482303,8.5,11.586076422,15.48
6097,California,Sonoma,,3.5265318154,3.5535546996,82.885221584,62.970039498,14.0,3.8230314714,13.8,28.0,489.0,1951,66463,,12.353527129,1.5234613041,4.3762172755,26.326407061,64.281503786,124564,6.9170664082,12.821685744,,19.365177084,6.8,,24.698373371,5.8307742903,6.8,11.555669274,11.73
6099,California,Stanislaus,,4.5957915682,4.1063902833,84.606933594,50.662919986,26.6,4.8237908344,20.0,33.4,358.0,929,51949,,7.9807096081,2.5600496296,6.0183362185,44.766228073,43.529387728,140213,12.533747593,15.28940845,,37.043914214,9.7,,27.114480031,9.8738704048,10.0,14.418287392,19.17
6101,California,Sutter,,4.1597121708,3.7707411296,84.082397004,54.117406423,24.4,10.438959673,21.9,31.6,80.0,245,50810,,14.79780867,1.9675937924,16.747353908,30.264453728,47.205664348,24445,14.999160047,11.471876521,,30.969671081,11.7,,25.137903861,9.8923154987,7.1,12.407155356,19.38
6103,California,Tehama,,4.2386665892,4.1504665951,89.04494382,51.792828685,32.1,8.1293709011,24.7,31.8,31.0,100,40292,,51.488268755,0.7139697984,1.4595311809,24.410816958,68.947052505,14558,16.93793714,12.141560032,,41.044282882,13.0,,19.016042781,3.6679406095,7.3,13.933193234,22.84
6105,California,Trinity,,4.2899376894,4.1777601548,88.461538462,63.922155689,32.1,6.8329891843,19.8,29.8,4.0,56,37669,,100.0,0.4820567756,1.0023720254,7.3532787512,82.577090826,2672,22.225985352,,,33.421952146,32.9,,20.194003527,0.7848677498,5.6,14.544801807,
6107,California,Tulare,,4.9723899664,4.3107092417,85.357091536,43.735196887,36.3,8.05591299,21.6,33.0,203.0,1006,42637,,15.479930074,1.2771194899,3.9987996425,63.585024235,29.622952923,119485,14.527691429,8.6721799383,,55.306184152,11.7,,28.137344272,14.553949757,13.7,14.378188812,20.02
6109,California,Tuolumne,,3.6770731304,3.7584105917,88.945578231,55.653950954,21.6,8.6900089691,16.8,29.3,47.0,74,53136,,48.96595322,1.8711947718,1.3498668752,11.765253496,80.809547748,11744,17.034212561,32.834822258,,21.048490213,12.6,,22.497162316,1.1133193123,7.6,13.120034402,15.95
6111,California,Ventura,,3.6713983234,3.5046339418,84.50023245,61.995553957,14.3,2.4686806965,18.1,27.3,633.0,2569,79285,,3.1245521172,1.678118269,7.6226050396,42.345297554,46.082117629,216822,7.5994422968,14.430276139,,28.052742935,7.1,,25.099691098,10.095534721,10.2,9.9201878246,10.95
6113,California,Yolo,,3.8511522016,3.7581665407,88.771466314,68.763590878,16.8,2.3453707663,15.3,32.2,250.0,701,58766,,6.9295839163,2.4603785631,14.283903557,31.529556465,47.59126075,51965,8.7289832271,12.955874849,,15.843810692,5.1,,24.244793518,7.2425153843,8.7,11.878788504,7.57
6115,California,Yuba,,4.2785793818,4.0905249779,77.435387674,55.028396241,31.7,11.840800232,15.7,32.0,17.0,112,46500,,26.222714989,3.2164527735,7.4867099823,27.534500349,55.971110992,19897,13.305574253,12.173238713,,42.387060792,11.4,,24.814814815,5.6521997269,8.0,15.3821705,20.14
