FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
42001,Pennsylvania,Adams,,3.2046393755,3.5419643834,91.691149635,52.549002178,13.5,3.0429593416,22.9,32.8,55.0,69.0,60558,,53.675781751,1.6882545579,0.8954494355,6.8488195904,89.315215797,22499,13.92150521,7.8545597356,,23.888005584,9.2,,13.633980073,1.4468420289,11.6,15.964516679,10.28
42003,Pennsylvania,Allegheny,,3.4435678803,3.6798950085,88.916340551,77.186748648,16.5,6.4389493815,21.8,36.4,1335.0,3155.0,54412,,2.4862917175,13.198895697,3.6314903625,2.0005542647,79.14152361,319424,6.5850983181,27.184795143,,20.250658897,12.8,,14.084466878,0.8357431967,14.7,15.981661682,10.34
42005,Pennsylvania,Armstrong,,3.5570136463,3.7653774259,89.22306525,54.343367516,19.2,1.4839784447,30.1,37.3,34.0,60.0,44893,,67.486691519,0.9112330728,0.2848535465,0.7263019746,97.19471455,15115,16.946244838,28.57931252,,28.604201018,11.2,,11.078001753,0.2927282583,11.2,18.092197469,15.56
42007,Pennsylvania,Beaver,,3.4038658426,3.6986032607,74.263726885,66.139960759,20.3,12.392272402,26.2,35.2,74.0,119.0,50131,,25.827523323,6.2769806539,0.5430180434,1.4804199655,89.761415518,38225,11.007478363,23.997891333,,25.899442599,10.7,,11.818245961,0.3316667184,12.3,17.738846891,11.3
42009,Pennsylvania,Bedford,,3.4001589114,3.8587208205,92.015260323,47.318291104,19.0,4.5033095431,28.1,34.6,16.0,52.0,45988,,83.794863551,0.6215782324,0.3087309101,1.1299551311,96.916807311,10814,22.588987579,15.008152155,,26.720567935,13.0,,11.336633663,0.2510621862,10.2,17.316758554,17.32
42011,Pennsylvania,Berks,,3.4862577972,3.7469524813,83.861648116,56.726800726,19.9,2.934186023,23.4,34.3,277.0,467.0,56167,,23.736030838,4.2598688567,1.6307423345,19.38830306,73.39929829,98613,9.7574545915,13.682279758,,30.950966805,11.2,,16.404041717,3.6767122725,11.3,17.274618081,12.29
42013,Pennsylvania,Blair,,3.6149446049,4.0147513472,88.186498856,54.2586319,22.5,5.8147582509,27.2,34.7,104.0,256.0,44880,,23.430824068,1.8066293504,0.7317286791,1.1967227473,94.834903219,29223,13.538944775,19.319222362,,30.99929627,10.9,,11.811023622,0.2405336999,10.4,19.121967478,14.38
42015,Pennsylvania,Bradford,,3.6505810952,3.9996383683,89.109929078,45.789122208,19.8,4.4592246127,25.5,32.4,54.0,32.0,49367,,72.174315736,0.5107619001,0.634780764,1.5404448361,96.064032898,13477,19.718891156,13.485740178,,33.084153653,11.9,,12.017344621,0.3431849613,8.8,19.016247248,16.53
42017,Pennsylvania,Bucks,,3.0336236281,3.4372131455,92.378382109,71.812061983,7.8,3.872713739,19.8,34.6,561.0,1276.0,80512,,8.8296022864,3.8491026783,4.7788614957,5.0464879409,84.815108222,144686,8.7118503058,22.85984047,,10.712156061,7.0,,14.89592603,1.5417306183,10.7,14.00244596,8.57
42019,Pennsylvania,Butler,,3.2256093312,3.5161597028,95.173767353,72.156137311,11.3,3.4920032983,21.7,37.2,116.0,225.0,67892,,41.964081757,1.2316800308,1.1722639146,1.3799526812,95.09469109,42706,10.577076002,23.466735455,,13.339232386,9.1,,11.732568463,0.2213029638,11.8,15.221513824,8.27
42021,Pennsylvania,Cambria,,3.6431490415,3.7958508765,89.585877863,58.040556085,21.5,6.7035220195,24.4,33.7,119.0,220.0,43786,,32.006069085,3.415413713,0.5674029221,1.5915138808,92.986635975,30427,11.641808874,34.728753961,,25.473896341,14.7,,10.17866346,0.3056995992,10.5,17.56665777,13.59
42023,Pennsylvania,Cameron,,3.5290682868,3.8540893926,,59.036144578,22.4,2.5838930762,25.0,35.7,2.0,,42452,,47.354965585,0.4649196957,0.2747252747,0.8664412511,97.020287405,913,,,,31.055900621,,,7.9254079254,0.107342207,8.4,16.96560196,
42025,Pennsylvania,Carbon,,3.4757777196,3.7634864336,81.039176627,51.797011711,18.8,3.3385679345,23.4,36.1,31.0,29.0,52121,,47.162408619,1.6119449656,0.5894308943,4.2354596623,92.415572233,14858,15.425297488,25.881658704,,26.366871563,14.8,,15.363829377,0.264747921,9.7,17.221968903,15.59
42027,Pennsylvania,Centre,,3.3610243334,3.6577556286,91.627353816,71.912969009,12.2,3.0875500835,16.4,34.6,119.0,269.0,55084,,32.217676472,3.66359447,5.780919168,2.9586498941,85.978328559,37366,8.4275323819,7.1620411817,,5.097193803,6.4,,20.403881458,0.9780338876,9.9,17.719422986,4.25
42029,Pennsylvania,Chester,,2.9690235576,3.3493493826,88.980206155,75.243454857,7.4,5.8767932429,17.1,31.9,441.0,997.0,90555,,13.276580221,5.8929447086,5.0951759801,7.2562841731,80.142032295,122610,6.9416226466,13.977457936,,11.877409866,5.7,,15.228096758,2.5669273301,11.4,15.269421339,7.47
42031,Pennsylvania,Clarion,,3.8737991257,4.0311023629,93.783333333,55.585702489,21.3,2.338939046,26.2,35.8,19.0,37.0,39988,,76.56046814,1.2608233328,0.7797863183,0.762063902,96.121322599,8477,16.228263143,15.322539456,,18.399485779,15.7,,13.502377179,0.4677018468,10.1,18.434150588,10.34
42033,Pennsylvania,Clearfield,,3.6659370275,3.8642397137,89.288366337,45.443627083,26.2,4.857391624,28.7,36.0,53.0,171.0,44336,,53.849734205,2.5335210016,0.6938785589,2.9372546115,93.008124059,19983,17.73261326,18.080284682,,25.923446723,12.8,,13.249456353,0.9596161535,9.9,17.537104781,21.9
42035,Pennsylvania,Clinton,,3.6162910547,3.9244062085,92.784431138,51.577552987,22.3,6.1383511612,26.8,36.8,22.0,39.0,45897,,45.690402161,1.6632438326,0.6744250906,1.4578737862,95.152252732,8304,17.018071744,14.268927312,,17.293233083,9.1,,14.039163624,0.5984344527,9.4,17.659744172,9.81
42037,Pennsylvania,Columbia,,3.6930871354,3.9407440903,87.524154589,54.481397971,18.5,2.9252710003,24.5,36.7,35.0,34.0,44763,,40.85147485,1.8568514519,1.1879049676,2.6787856971,93.300035997,14192,16.827522158,12.961698182,,15.406402884,9.3,,13.498570067,0.4589958487,9.8,17.922308224,6.39
42039,Pennsylvania,Crawford,,3.6805603238,3.9003908005,90.255649718,52.328437778,23.5,3.4548084982,28.2,36.2,57.0,95.0,45989,,63.700782966,1.8176772582,0.5480782572,1.2857869664,94.930854262,19133,17.068119678,26.050146532,,24.28236543,11.4,,13.738156761,0.3755436297,10.5,19.933865941,17.02
42041,Pennsylvania,Cumberland,,3.099297892,3.4654061062,90.373056995,65.522087026,10.4,3.2056743847,17.4,33.4,225.0,430.0,63926,,22.17785443,3.6449918405,3.9482337276,3.5686739358,86.973183187,60488,8.4071994247,12.853611044,,14.806302255,8.5,,12.100540484,1.0551411886,10.9,15.855963742,9.18
42043,Pennsylvania,Dauphin,,3.4855981957,3.654993276,83.878800796,62.981293395,23.4,11.948924618,23.2,38.0,270.0,497.0,54198,,13.323386796,17.195209958,4.0621577168,8.6093273207,67.458779484,69708,8.8396971213,18.151201965,,35.968589872,12.1,,13.971331434,2.212801768,11.7,16.552251512,15.73
42045,Pennsylvania,Delaware,,3.1765914495,3.4773756716,76.450676213,69.171172743,14.4,3.6162243727,21.9,36.7,612.0,1341.0,67184,,0.4638814696,20.735989388,5.6207372308,3.6884591785,68.079284405,137592,6.1377942448,29.132646506,,19.072154381,9.7,,17.900571373,1.9447869143,11.2,14.562738579,11.75
42047,Pennsylvania,Elk,,3.2416392774,3.6168996008,91.496062992,52.96324081,14.2,2.9549162928,25.2,36.3,12.0,17.0,47826,,55.675201903,0.4405286344,0.3563099249,0.767685929,97.596527598,6665,23.076923077,14.966059116,,26.458301099,19.8,,8.7908011869,0.0836820084,9.1,15.797707891,12.46
42049,Pennsylvania,Erie,,3.5478580246,3.9791262716,86.63957418,59.478532165,26.3,6.9916408773,23.7,32.6,227.0,457.0,47118,,20.019531946,7.2308439281,1.6180834038,3.9982736607,84.99307666,67310,10.924961341,21.391473526,,30.226734166,9.7,,14.925917483,1.1957318068,10.0,19.603604994,10.57
42051,Pennsylvania,Fayette,,3.8984312517,4.040843297,79.407868191,48.092492833,31.2,7.1983282231,30.7,38.6,61.0,342.0,40293,,47.897603326,4.6891370072,0.3906366929,1.1329960787,92.105696411,31743,18.133398557,30.791158964,,39.366615351,13.0,,11.983813115,0.1958031048,11.0,20.454679541,21.05
42053,Pennsylvania,Forest,,3.6747481744,3.6622793351,,15.791476408,46.4,0.5403931086,20.0,37.7,,3.0,37388,,100.0,18.933873144,0.2159244265,6.0188933873,74.008097166,2628,31.914094766,,,23.80952381,,,9.5,1.1395629441,9.1,19.253917045,59.9
42055,Pennsylvania,Franklin,,3.3843471017,3.7081554973,85.681234719,50.194974003,14.9,5.2456293514,27.4,33.2,96.0,131.0,56975,,40.352096673,3.3214439136,1.0908759552,5.1758028613,88.686392689,36928,12.559243273,12.210677802,,31.338516242,8.2,,12.106392106,1.2824106517,11.1,16.557669246,15.0
42057,Pennsylvania,Fulton,,3.4156325454,3.8022042542,86.071428571,45.564042303,19.4,4.5095442782,24.7,33.1,3.0,7.0,49378,,100.0,1.1825825415,0.1367147447,1.1825825415,96.281358945,3404,26.168622852,25.039266122,,32.744783307,19.0,,11.232187762,0.079074114,10.1,17.276393109,16.39
42059,Pennsylvania,Greene,,3.4143152279,3.7517999642,85.329457364,44.91989882,21.5,6.4876066299,27.8,36.0,19.0,35.0,50714,,66.832962829,3.4409232655,0.4317812308,1.4685892481,93.398011674,9488,23.929169658,29.151943463,,31.907894737,11.1,,10.960804717,0.3940722651,10.5,18.152143305,16.42
42061,Pennsylvania,Huntingdon,,3.5857566051,3.8434118828,89.391447368,43.725766655,20.7,0.8508407038,23.6,35.3,20.0,37.0,44875,,68.662470324,5.4721030043,0.5649470088,1.8656389594,91.028729088,11348,23.07171875,14.586615322,,26.977373816,13.5,,10.729863332,0.2266068486,10.5,18.218573364,16.33
42063,Pennsylvania,Indiana,,3.84016982,3.9491548469,94.393617021,58.066313736,22.3,3.9662625168,28.0,35.9,46.0,219.0,45448,,60.069756976,2.7033553343,1.1337764184,1.3832992204,93.705586091,17945,18.457084849,24.007590972,,13.036887317,9.5,,15.112212183,0.8322571388,10.8,18.054055178,11.09
42065,Pennsylvania,Jefferson,,3.6583581103,3.9472028583,91.790465632,49.272908367,21.9,2.0351412507,29.1,34.7,19.0,30.0,45499,,61.460176991,0.4749043439,0.2925950934,0.8642808913,97.218095881,10040,13.692218044,21.636301237,,34.20603872,14.7,,11.213185626,0.3433984606,9.9,18.299981849,15.69
42067,Pennsylvania,Juniata,,3.6264696127,3.8425439324,94.0,36.878674506,19.0,6.3113028732,26.7,33.0,6.0,3.0,50008,,82.253612599,0.6710595464,0.4527630675,3.2178518009,94.801309779,5613,27.200648186,,,21.928973414,10.5,,11.72972973,1.454778157,10.7,17.913029944,19.6
