FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
54001,West_Virginia,Barbour,,5.1929095795,4.8714312494,92.5,36.857760952,28.2,0.5117028334,32.5,37.5,5.0,11,37330,,83.72415456,1.0596264368,0.2514367816,0.8261494253,95.887212644,3698,26.650389869,,,38.106796117,13.2,,11.393442623,0.138608871,8.7,26.178385061,14.85
54003,West_Virginia,Berkeley,,4.5618076011,4.4416431539,89.0,55.826934136,18.5,7.1719752378,25.9,38.4,50.0,164,54217,,31.625531588,7.1733049749,1.0991858875,4.0231990778,84.9384724,29561,12.783790154,41.376727554,,39.654790883,11.6,,14.216837681,0.8098041335,10.7,23.233245307,17.35
54005,West_Virginia,Boone,,5.4601434829,4.9932688648,86.0,38.218390805,30.6,1.2178784525,32.0,36.8,8.0,4,37971,,81.408096147,0.6803012151,0.1155228479,0.5219921273,97.894916995,5916,27.118324323,82.737343991,,63.286004057,15.8,,12.60460251,0.0841266327,9.6,24.513580601,25.77
54007,West_Virginia,Braxton,,5.0610355506,4.782440847,87.5,39.262472885,33.3,9.3652943697,32.0,36.6,6.0,5,35892,,100.0,0.5757891086,0.3121748179,0.6451612903,97.114117239,3227,24.662615421,,,50.071022727,20.7,,12.283737024,0.007308873,8.9,22.992689656,40.78
54009,West_Virginia,Brooke,,4.7828477562,4.707641984,94.0,66.639577408,20.3,6.348675193,28.2,34.3,5.0,3,45272,,42.128879472,1.6188436831,0.4453961456,0.8907922912,95.734475375,4922,9.6075323053,38.234419474,,23.31420373,23.7,,9.62888666,0.0440528634,11.4,20.669024275,17.14
54011,West_Virginia,Cabell,,4.8325740689,4.5229000344,82.0,66.334860475,26.5,3.3283673203,27.8,36.4,145.0,200,39044,,21.558570998,4.9956631283,1.3041592664,1.3981248193,90.023129982,24010,11.224803271,60.806771882,,44.787950852,13.2,,15.29455723,0.4982604783,10.7,26.354187065,14.36
54013,West_Virginia,Calhoun,,5.1104742276,4.8478496905,92.5,31.868131868,30.0,12.879407918,30.2,37.6,4.0,1,36403,,100.0,0.3212851406,0.1338688086,1.0575635877,97.095046854,1547,,,,50.101557211,26.5,,10.350318471,0.3302146395,9.3,24.351168021,
54015,West_Virginia,Clay,,5.7270081589,5.206790591,82.5,32.317368166,37.4,6.7614729905,36.6,37.8,,3,30369,,100.0,0.2469135802,0.0673400673,0.5948372615,97.609427609,2067,21.658415842,,,55.718475073,32.8,,9.7525473071,0.0814806193,9.1,24.763240439,
54017,West_Virginia,Doddridge,,4.6980865052,4.5375476315,92.5,41.041666667,25.8,1.0015852774,34.2,36.2,2.0,1,41115,,100.0,1.406555773,0.2935420744,0.6971624266,96.220645793,1920,22.574931407,,,36.057692308,31.5,,8.8129496403,0.127000254,9.5,22.684846688,
54019,West_Virginia,Fayette,,5.4354578224,4.996273231,83.0,46.171232257,28.9,7.2430541347,32.0,38.8,23.0,16,36235,,57.872673168,4.6314198724,0.2444607418,1.1111851901,92.457274929,11061,20.352632848,39.048685607,,67.585223898,15.0,,10.057971014,0.3384608202,9.3,26.456070954,25.0
