FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
12001,Florida,Alachua,,4.4095938796,4.2777984357,75.215331808,75.712587263,21.8,6.4279615268,20.4,35.857953838,391.0,1458.0,45294,,21.193437268,20.017381668,6.0236208519,9.396727085,61.967164587,65606,9.8798198505,10.514977431,,15.251177295,9.7298374417,,22.816872107,1.1291606353,7.5,14.894816202,7.65
12003,Florida,Baker,,4.315002168,4.4597827811,82.0,43.173963134,23.9,12.960591851,35.6,37.177027842,12.0,25.0,51904,,59.491056611,13.702258653,0.6657837277,2.4770018255,81.272148047,6944,23.058621304,20.618556701,,49.352890423,9.5203919472,,16.766467066,0.6168260785,7.6,19.403685394,30.1
12005,Florida,Bay,,4.233586094,4.1691639144,71.0,60.748745658,23.0,10.582808978,26.7,36.510474249,92.0,421.0,48843,,11.999857864,10.885233783,2.2878232794,6.3079565591,76.964136237,46638,15.607319833,20.198533219,,43.417533432,18.171947001,,17.769698768,1.1668102005,8.1,18.038831972,16.73
12007,Florida,Bradford,,4.6016216266,4.0944422879,77.5,43.978772622,26.8,2.2470219273,33.2,38.492812128,10.0,5.0,43058,,75.529453015,18.948228478,0.6276461413,3.9552848548,74.281363738,7349,23.008942112,13.655097075,,53.359683794,11.899892157,,17.563739377,0.4481132075,7.3,21.547452287,33.05
12009,Florida,Brevard,,3.9790836294,4.2359708964,86.0,65.734420105,21.7,12.312836385,25.5,33.487850662,426.0,845.0,51214,,5.0743867966,9.9552777442,2.4486730095,9.8589263205,75.234403329,117780,13.910405163,26.17212692,,21.574234682,16.237050952,,16.736618828,1.5098402711,6.5,17.12400232,14.27
12011,Florida,Broward,,3.6609080223,3.9176931969,76.87368965,66.55372102,18.3,2.4764159096,24.1,36.602116039,1371.0,2886.0,54055,,0.0169329991,28.009899289,3.8021985388,28.712861955,37.740360446,501126,11.013017994,18.184086387,,18.416716069,9.3147665418,,26.039575781,7.4022409241,7.4,14.195058114,13.64
12013,Florida,Calhoun,,5.0767179848,4.1202111385,82.5,44.517142109,30.9,8.9572682484,33.2,40.103800706,6.0,2.0,36708,,67.514529915,12.722734521,0.8042709561,5.7754974693,77.459613118,3821,23.484055305,,,52.422270427,,,16.298633018,1.358283361,8.2,19.980916533,35.22
12015,Florida,Charlotte,,3.8355104494,4.0503764261,76.0,53.890353812,23.4,14.130415466,23.0,31.5912691,115.0,188.0,44935,,8.8843465977,5.5501078643,1.4030762334,6.894349032,84.477628667,25409,13.701820972,8.8452353025,,26.116628024,15.934110682,,17.364341085,1.5174303547,6.7,16.449842706,18.11
12017,Florida,Citrus,,4.5057565391,4.3932917789,77.0,48.060080773,28.6,12.885707514,29.5,34.549620218,76.0,84.0,40009,,34.518819564,2.8011223985,1.6070073318,5.4177313903,88.467563936,22037,18.598430414,26.883241836,,34.348523014,20.208143882,,14.595351904,0.7793476571,7.1,18.443435203,19.62
12019,Florida,Clay,,3.6526275438,3.9768819775,84.0,66.079295154,13.5,6.8756737168,23.5,36.703269817,116.0,168.0,57476,,14.968695151,10.453600626,3.0977720812,9.6288722151,73.835755193,50394,15.58379718,23.853246982,,21.88430284,12.664286711,,14.901124752,1.6279893618,7.9,17.825542712,14.91
