FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
18001,Indiana,Adams,,3.8109958302,4.1418494722,93.864942529,50.231362468,26.7,3.315535556,28.6,33.918976993,12.0,5.0,51517,,53.67435368,0.4030426885,0.3377611262,4.476044505,93.792574932,7780,11.946988329,9.5235374227,,30.200559701,,,17.632552404,1.4662477387,11.4,21.149905253,18.01
18003,Indiana,Allen,,3.8341232697,3.7726953554,88.578725645,66.328961795,21.1,9.841942486,23.9,30.987147845,243.0,606.0,51329,,11.879694593,11.561700198,3.9729592553,7.3419833479,74.310752584,94856,8.4583929683,16.926569464,,30.497500486,14.112256987,,11.927395344,2.3279534232,11.3,18.788920014,12.2
18005,Indiana,Bartholomew,,3.7336169666,3.8741249055,91.24973545,63.405024567,15.1,9.1826520709,26.5,33.41938676,61.0,113.0,59765,,33.703153892,2.0834868922,6.7221935579,6.5465221985,82.989361441,21574,13.485303716,13.180603095,,40.853839312,11.955257449,,11.748320498,1.9675941386,11.2,18.249542047,12.99
18007,Indiana,Benton,,3.828633811,4.0814802361,92.5,57.680569685,17.4,0.8238202711,30.8,33.592951845,,2.0,47218,,100.0,0.7052023121,0.3005780347,5.3526011561,92.346820809,1966,16.310818966,,,29.319371728,,,10.101010101,0.7343941248,10.8,20.721059637,20.23
18009,Indiana,Blackford,,4.0658374557,4.1780089939,92.5,52.751283933,22.4,0.7789825505,30.6,35.637816308,7.0,3.0,42588,,50.610997963,0.5597168491,0.5597168491,1.6215326364,95.390567125,2726,21.791239922,40.707772471,,39.297977871,,,12.416427889,0.5044890979,11.0,19.923150028,24.32
18011,Indiana,Boone,,3.1703510252,3.6057760092,96.761966365,76.829425406,7.7,1.2802990579,20.8,34.152084012,127.0,51.0,80634,,34.405014124,1.6673626901,2.5350718451,2.7995607319,91.310534701,15524,10.626892177,19.48270778,,14.244820065,10.344838734,,10.988764045,0.7161638528,11.5,17.24925482,11.46
18013,Indiana,Brown,,3.6619657937,3.9986642596,87.5,59.357734807,19.0,1.258273022,28.9,31.783343686,6.0,8.0,56323,,100.0,0.4694206009,0.4090665236,1.6563841202,95.721566524,2896,14.245284811,22.296046911,,17.185473411,18.677375028,,13.839662447,0.2571587434,10.8,18.295171448,12.03
18015,Indiana,Carroll,,3.6994781656,3.8492595734,95.291878173,53.291056199,14.2,1.4471396168,33.1,33.281209731,4.0,13.0,55708,,81.404118085,0.580871307,0.1402103155,4.0060090135,94.176264397,4573,14.987581718,,,22.937710438,13.009106374,,8.8122605364,0.9286618827,11.4,18.210851476,
18017,Indiana,Cass,,4.2359781384,4.1695910517,91.268099548,45.200219419,18.9,1.2508861917,30.3,33.771819965,16.0,78.0,46287,,44.667145717,1.4863226691,1.7920202393,15.031887419,80.387919675,9115,14.115846524,9.6184954924,,44.45495389,13.061173311,,13.888888889,4.992629266,11.4,20.954744968,17.4
18019,Indiana,Clark,,3.7507384566,3.9238513221,92.46031746,62.519895588,15.7,6.8981968698,29.3,35.420421864,50.0,240.0,51837,,20.514914,7.4368056812,1.0859166947,5.2753143556,83.743999448,31414,9.7178663604,27.772634697,,36.947825713,12.093530312,,12.776154296,0.7505622189,11.8,21.006420778,15.87
