FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
23001,Maine,Androscoggin,77.583294303,3.8167074549,4.3039372763,80.461982676,64.83487046,15.8,3.5495686489,22.4,35.675980745,91,481,48446,63.96615337,43.366882695,4.0036785538,0.8954863401,1.916377925,90.732087951,26131,11.432308768,23.277250677,,25.766442484,8.9,,15.167469475,0.7886122408,7.6,18.82462397,5.652335063
23003,Maine,Aroostook,77.233715096,4.2766329865,4.4327166066,89.440203562,64.267515924,17.5,4.6834771793,29.6,33.739956393,64,347,42600,71.686101059,80.265757618,0.9873915421,0.4700456742,1.2091111998,94.105213368,14130,12.75478716,15.667841755,,20.533166284,14.8,,14.495140833,0.7110812708,8.1,20.784324099,4.8211036992
23005,Maine,Cumberland,80.103522595,3.0498213299,3.829746786,89.503456945,75.954927426,9.2,4.5013448241,15.3,28.986395744,488,1956,70661,68.620535827,36.098468442,2.9582905983,2.2916239316,2.1234188034,90.438974359,73304,6.2559176761,26.643248052,,8.8249477576,6.8,,16.297434584,1.1482968264,8.0,12.755955923,4.8853578647
23007,Maine,Franklin,78.011231281,3.7121947931,4.133018729,90.080428954,64.730356857,19.5,1.0385353272,21.8,33.113751478,34,85,45280,79.787509718,82.998569943,0.5802320928,0.4601840736,1.3638788849,95.644924637,6249,16.969365581,12.224938875,,17.850263259,15.3,,13.386824324,0.2186513032,6.9,17.938826423,
23009,Maine,Hancock,79.625328298,3.1087422955,3.7939986673,83.833718245,63.088335607,15.0,1.7730615164,16.4,30.588696114,83,202,51009,73.730675002,90.113565364,0.8771125016,1.159696864,1.4863203479,94.746499807,11728,15.43484403,22.008253095,,17.275470913,10.6,,17.501025851,0.1728011059,6.3,16.499545209,
23011,Maine,Kennebec,77.866405171,3.4520661045,3.7963233279,86.468952734,66.142073347,14.2,2.5049943169,21.7,31.139658279,148,573,52265,70.173342474,62.830431188,0.666551744,0.9620672955,1.5498148923,94.627363098,27704,13.082926898,33.115324116,,17.965694816,11.6,,14.394013024,0.4375797671,7.7,17.655111667,4.905982906
23013,Maine,Knox,78.568476958,3.0900826896,3.5402586695,84.573002755,58.201304753,14.7,5.0086410381,18.0,29.277614789,38,202,51723,76.271883445,67.930843568,0.7212867555,0.6308117617,1.3772304599,95.380748932,8584,12.950059534,20.102354488,,20.304568528,8.6,,16.205882353,0.0817079599,7.2,14.799567498,
23015,Maine,Lincoln,79.870777079,3.2791559862,3.6187934459,82.87037037,61.574212894,15.3,1.3800496498,18.5,26.427070196,38,67,52019,78.347877436,100.0,0.5350251433,0.8449304175,1.2483920009,95.895216934,6670,15.059547963,23.440017971,,19.618055556,14.1,,15.697478992,0.1713166911,7.5,16.139442766,
23017,Maine,Oxford,78.444149258,3.6799260238,4.1769577602,84.380032206,52.389554935,20.2,2.2902843646,25.1,31.92171382,34,138,50367,79.943148969,83.111718223,0.520552238,0.7747349362,1.3057330385,95.372482111,12178,12.45178048,17.456272039,,21.986483018,14.7,,16.838961636,0.1957376749,7.4,19.87146708,10.968714663
23019,Maine,Penobscot,77.682766608,3.974230173,4.1737530281,88.838416613,66.654988412,16.2,5.4524878258,21.7,33.407974547,196,770,49836,69.738714267,57.650253698,0.8982804346,1.1674355245,1.3280072652,93.816013741,37106,12.327634915,30.232991204,,14.780950244,11.7,,16.474384833,0.188835286,7.2,18.994671185,4.7954245491
23021,Maine,Piscataquis,76.812416448,3.9884658431,4.4550695248,89.682539683,52.885525071,23.4,1.9693490236,26.1,34.352228849,15,35,40841,76.220409255,100.0,0.4531091635,0.8048649615,1.4547188935,95.266201634,3171,15.91209822,19.783567769,,22.535211268,14.2,,15.272244356,0.171990172,6.7,18.639568192,
23023,Maine,Sagadahoc,79.270601033,3.1464334002,3.6994785797,85.238095238,65.530883104,14.0,2.8439224979,17.2,27.795679487,24,78,61047,75.774826059,61.675119712,0.8306962025,0.86460217,1.7066003617,94.75022604,7836,8.9332846063,11.340654356,,19.771393265,11.9,,15.124959429,0.3058379059,7.7,13.949935175,
23025,Maine,Somerset,75.977908884,3.9250633828,4.1294970019,84.837545126,55.191496838,22.0,7.1729722708,23.6,35.419220262,32,83,42426,76.140613313,80.47598989,0.5017184846,0.7446766484,1.1120767985,95.63860467,11384,17.248046381,27.513199785,,27.270089933,15.7,,17.064220183,0.2961013325,7.3,20.850884786,12.261217237
23027,Maine,Waldo,78.625923968,3.6255649255,3.979820755,86.274509804,64.133425034,18.8,2.9889325679,18.3,32.355220471,28,100,54547,79.196649758,91.34223689,0.5322353886,0.7908214501,1.2979513959,95.478509741,8724,18.98454585,17.743829794,,23.650773682,14.8,,15.423327413,0.1067748652,7.1,17.840375273,11.117287382
23029,Maine,Washington,75.95143325,3.7463479519,4.6353583704,88.085106383,52.58472591,26.8,5.4866120928,25.4,34.154153813,19,164,37943,75.65099522,92.378865352,0.5824074953,0.4906150097,2.1998543981,89.684423765,6403,16.982101759,45.421895466,,27.001270648,16.4,,13.755304102,0.4192802905,6.5,18.393564143,7.1477195371
23031,Maine,York,79.147927695,3.5674205982,3.6656007268,88.128654971,69.177772515,9.7,3.2789042824,19.8,31.933983336,163,794,66025,74.531947578,56.843418843,0.8403896352,1.30710952,1.7028174601,94.335205763,46447,9.6082126732,32.088043008,,14.544593154,11.0,,15.665144597,0.4814480958,7.7,14.910725092,4.5841657029
