FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
48001,Texas,Anderson,73.773772076,3.9261302641,3.6428470452,93.9,40.353887399,23.4,15.497338722,25.2,35.247322041,20.0,24.0,42412,70.912054083,67.063532793,20.687206664,0.9005732495,17.815763496,59.126097574,18650,19.253649554,13.868423334,,49.492775899,14.2,,15.446668659,2.7158736243,9.9,18.465774675,13.952483801
48003,Texas,Andrews,76.75679483,3.3028106698,3.1980569141,95.1,39.573659772,17.5,11.697018786,24.0,31.749209974,7.0,2.0,63451,73.545169038,16.502096578,1.38810518,0.7504796298,56.19004627,40.238122108,4738,42.704626335,,,68.035330628,13.7,,14.429223744,7.4083343762,7.3,13.337848434,
48005,Texas,Angelina,76.336820137,4.2239472614,4.0705456431,92.5,55.025897236,25.4,10.95047622,33.3,34.799078495,52.0,111.0,45318,66.030842844,43.082366228,14.786173908,1.1650817152,22.179830306,60.661693525,21817,19.859744623,12.886060693,,45.806266718,13.2,,16.135360471,4.4715596555,9.8,18.282138513,12.443438914
48007,Texas,Aransas,76.912561181,3.8590439561,3.7431002191,87.0,47.367299083,32.2,19.935814023,25.2,30.295833507,13.0,20.0,46970,73.869241264,27.260557907,1.3608634444,1.9318004067,27.655247927,67.171124668,4691,19.057188891,18.266508357,,45.590605572,19.8,,15.599173554,1.5889157239,9.3,15.659176121,
48009,Texas,Archer,77.039462835,3.1949824026,3.405328592,99.3,64.936499172,13.8,5.4338379588,23.5,28.976815521,,,58311,82.124738884,88.988292467,0.7605857646,0.4313770008,8.6843001476,88.023612215,1811,26.10284521,,,24.066797642,,,10.149253731,0.823880597,8.5,14.030731015,
48011,Texas,Armstrong,72.397526066,2.9602024512,3.2779770793,100.0,75.844155844,15.1,19.804288477,24.7,28.684100347,0.0,,55337,81.054131054,100.0,0.8515167642,0.1064395955,7.5039914848,89.622139436,385,,,,34.852546917,,,9.0909090909,0.6024096386,6.8,12.559902118,
48013,Texas,Atascosa,78.281968715,3.9503035011,3.5450306335,93.9,43.034539474,25.4,8.1379763808,32.4,33.031632774,8.0,20.0,48636,74.389064414,60.711184342,0.6941467099,0.6349400788,64.46989649,33.378248709,12160,20.413983579,7.5232708446,,48.177292436,16.6,,15.815164335,3.7120737492,9.6,14.34795536,13.064133017
48015,Texas,Austin,79.101814291,3.4289316921,3.5674023149,94.1,59.711448961,16.4,3.4972102771,26.0,30.148616359,6.0,10.0,61111,74.176571999,66.344089805,8.8497952058,0.7218156181,27.136909958,62.005640234,6446,21.531580467,,,32.492581602,19.0,,12.77173913,5.1441451267,10.2,14.460404772,
48017,Texas,Bailey,78.39736304,4.5163915259,3.968838134,98.8,43.743315508,26.3,3.634954571,24.0,33.359445612,3.0,,42045,72.152466368,28.750872296,1.1445527766,0.8478168716,64.292779426,32.895294616,1870,30.078806473,,,73.925501433,,,20.292887029,17.1054634,6.8,17.524286588,
48019,Texas,Bandera,80.268409001,3.4847781725,3.6100142098,94.3,57.512411811,22.6,13.055285758,23.8,29.914740211,6.0,12.0,55578,84.64604977,100.0,0.8813923314,0.6129479665,18.800053689,77.817547313,3827,23.654402422,,,18.897230132,10.3,,10.856453559,1.2736357402,8.9,13.679915556,
48021,Texas,Bastrop,77.579145136,3.7279671612,3.786642714,92.1,48.291829595,18.7,11.401628331,19.4,32.855915843,24.0,46.0,62992,76.536613492,63.85244907,6.8404100943,0.9355717842,37.840516275,52.633876429,19436,26.640424942,5.6446833131,,35.794922628,22.4,,14.535454724,5.57168349,10.1,16.550941582,8.5532302093
48023,Texas,Baylor,74.337008626,3.682539125,3.731400898,95.0,59.105960265,27.6,3.7217347153,27.6,29.983313029,5.0,,37013,77.433090024,100.0,2.5411896118,0.3630270874,13.152750628,82.016196593,604,54.975261132,,,40.638606676,,,7.5362318841,0.0,7.8,14.911362218,
48025,Texas,Bee,76.733329831,3.9145216564,3.4694868159,88.1,35.353341643,33.7,11.472408006,24.1,34.133603705,7.0,13.0,41392,63.005509319,42.97730768,8.2639805915,0.641832755,59.079323158,31.204127384,10429,18.820769376,10.184647662,,59.514608131,11.0,,15.98173516,2.7222817789,9.4,16.565025289,14.920071048
48027,Texas,Bell,78.133485823,3.8235628375,3.6326311594,77.5,67.766325759,20.5,12.771133791,24.4,36.284475088,277.0,731.0,52164,54.784058008,15.186229794,21.93811398,3.2590352267,24.812769346,45.560081993,100516,15.146278093,8.4051271275,,43.679198927,16.6,,14.807228367,2.229604299,10.1,17.054351532,8.5189677989
48029,Texas,Bexar,78.99845658,4.2642365545,3.7898438672,88.3,62.505297198,22.2,10.666262098,20.9,33.839586955,1405.0,3177.0,54163,58.739203904,4.5390847652,7.3135713768,3.1481513629,60.314932568,27.727667726,549819,10.86894316,10.924784758,,36.487470513,11.7,,18.114021621,5.9269687246,10.4,13.661890171,7.5395169047
48031,Texas,Blanco,78.80952718,3.3601582513,3.5071620504,96.8,59.486166008,17.1,1.0159346382,26.6,28.923345992,4.0,1.0,62115,76.595744681,100.0,1.0751763289,0.885945295,19.662824703,76.70738001,2024,19.528198719,,,20.638820639,27.0,,15.726290516,2.7082941508,8.9,14.244667526,
48033,Texas,Borden,,2.8465771025,3.0597772124,100.0,80.0,15.8,15.007429438,23.8,28.544608849,0.0,0.0,59039,73.790322581,100.0,1.485884101,0.1485884101,19.465081724,77.265973254,145,,,,,,,5.3846153846,0.7590132827,7.1,11.440265282,
48035,Texas,Bosque,76.541379984,3.7108638787,3.659584194,95.8,50.755200912,26.2,3.5234113757,26.0,29.387262314,9.0,2.0,49139,77.344528248,81.215681968,1.6588453563,0.6111535523,18.700207356,77.561933864,3509,25.320462098,,,30.295116218,15.6,,13.428571429,2.5570022978,9.5,15.021915551,
48037,Texas,Bowie,75.595295892,3.8867337974,3.7675380917,93.3,52.730734949,23.0,8.777039207,32.3,35.875444391,65.0,92.0,49153,65.065870791,35.424836601,24.617070161,1.2923882058,7.7564566226,63.681232183,24682,15.291361604,8.5329995982,,53.036615852,18.4,,16.230366492,1.1304784285,10.0,18.162710565,12.674879933
48039,Texas,Brazoria,79.042911979,3.3118446865,3.2422610627,93.7,67.109990992,11.9,6.8551565245,20.7,31.230479062,225.0,217.0,80840,71.925389451,22.52862699,13.482426881,6.8115666134,30.640048337,47.293058211,98799,13.257174025,9.6898860168,,31.367955226,11.0,,14.834236957,3.9636347791,11.4,13.700971199,8.5231884842
48041,Texas,Brazos,81.083227071,3.8449898601,3.7058896744,83.3,68.695374121,20.5,12.433637868,19.5,33.689383291,189.0,186.0,46083,45.491739804,12.063576784,10.424538886,6.3164744424,25.750123412,55.857828838,56292,10.415978792,5.4687642416,,19.139428347,7.4,,27.836447333,4.8158879994,10.1,15.187129583,1.7134200491
48043,Texas,Brewster,79.661451667,3.8572560104,3.5655915809,96.3,68.396624473,20.7,13.048238462,27.2,29.960560597,6.0,12.0,44617,54.80671414,34.867850953,1.1031380529,1.2423690693,45.410731498,50.251686837,2370,21.590611169,,,28.46975089,26.0,,15.776397516,3.0170930366,6.3,15.094538767,
48045,Texas,Briscoe,,3.9134408212,3.8007040541,91.7,51.437699681,26.0,47.74436079,25.8,30.474739344,1.0,,42678,75.903614458,100.0,3.0104712042,0.3272251309,25.392670157,68.979057592,313,,,,,,,10.37037037,5.1181102362,6.9,15.545776427,
48047,Texas,Brooks,76.701907506,5.2411102712,4.1683478211,85.0,39.252873563,52.5,11.214864594,23.5,35.601257219,,,28106,61.473788328,31.759656652,0.4837595024,2.5017277125,89.799585349,7.0352453352,1740,19.804725407,,,95.54973822,,,20.913461538,10.028524246,8.6,18.755388802,
48049,Texas,Brown,74.962854266,3.873110543,3.733653711,96.3,52.182952183,24.8,13.727854504,28.9,33.760491901,20.0,62.0,41538,72.555113842,40.40046187,3.3926365858,0.8251649016,22.350406013,71.581741256,8658,15.811288507,,,38.163001294,16.9,,11.282437006,1.3287360188,8.3,17.625602223,14.782608696
48051,Texas,Burleson,76.569165935,3.4268945921,3.4857708729,92.3,38.282239676,25.4,4.0831226839,27.6,30.435810851,8.0,2.0,47409,78.08073115,76.65677547,12.270279274,0.3830992171,20.6318361,64.9658542,3947,27.824379066,,,40.533037202,18.3,,13.75,2.940821256,9.8,14.299592884,
48053,Texas,Burnet,79.147705646,3.5025933831,3.5553987891,92.7,53.718115002,17.7,13.024903093,27.0,29.965378629,22.0,31.0,59009,76.216379571,55.67251462,1.7220750363,0.7349799162,22.498077087,73.448850526,9252,24.534716624,13.717421125,,36.25974026,11.9,,13.931523022,2.9423496563,9.1,14.262770875,13.213483146
48055,Texas,Caldwell,78.014828371,4.0518797748,3.6925000111,90.2,41.953140004,21.3,7.7458631786,27.3,33.693287861,12.0,29.0,51895,67.256088103,42.292334367,5.7560583873,1.0510652369,52.265104634,39.734989844,10414,21.410296211,10.482095774,,39.842504922,13.3,,15.742971888,5.2187844723,10.1,16.217376313,12.51874063
48057,Texas,Calhoun,78.655906866,3.6571691203,3.5251636998,91.6,49.961744453,24.2,13.437055086,23.0,32.619508297,13.0,2.0,55240,70.580628475,44.731303494,2.4926416483,5.1830389993,48.762877116,42.407100809,5228,21.673737997,,,56.210691824,10.1,,15.759849906,5.1962084377,9.4,14.584096151,
48059,Texas,Callahan,75.43281253,3.6098368173,3.7510551947,96.3,54.657113613,23.3,11.240862974,27.1,29.14739221,1.0,2.0,45843,82.252882253,72.179562906,1.5129786319,0.6094937617,9.8020937903,85.938620393,2931,17.821014121,,,30.825323169,19.0,,15.071090047,0.5565862709,7.9,15.824374543,
48061,Texas,Cameron,80.827351034,4.8496006437,4.0302955218,91.2,46.663121253,38.4,14.164701,25.1,34.487258523,200.0,215.0,36624,67.165351753,8.4208064596,0.3752433772,0.78777509,89.720455484,8.8991680925,103420,9.8454569859,3.7854411932,,55.417322706,4.0,,24.150460382,17.393693344,9.3,17.315495755,13.160610698
48063,Texas,Camp,75.921618184,3.9978024839,3.853001255,96.7,53.809697412,31.3,5.8786268998,26.6,32.7667661,9.0,5.0,41932,70.718816068,61.478912991,15.900427849,0.9257098405,25.056398289,55.807078958,2743,32.844813917,,,60.677170634,,,15.011286682,4.1070211316,9.9,16.88200133,
48065,Texas,Carson,78.149439955,3.0691520698,3.3253662287,97.6,71.480938416,11.3,6.0164578559,24.3,28.832384622,,1.0,60668,84.991273997,95.195729537,0.7957559682,0.4476127321,10.228779841,85.49403183,1364,28.237287338,,,20.27027027,,,6.7102396514,0.1593484419,7.0,13.433521945,
48067,Texas,Cass,75.260739906,3.7358185349,3.7301407404,96.5,42.263806481,29.5,3.4361408554,28.9,32.360147603,8.0,7.0,40104,77.859622386,74.011948529,16.656670665,0.4931360789,4.5281887245,76.466080235,6573,26.450777936,,,46.12664738,23.8,,13.045337896,0.2714421687,9.9,16.288645084,
48069,Texas,Castro,80.344010364,4.2008251417,3.7668850774,98.1,43.179190751,25.1,4.0646570727,23.3,32.80411243,1.0,1.0,41746,64.337936637,45.757876457,2.0400357006,0.6375111564,65.408644651,31.136044881,1730,,,,60.352831941,,,13.2,12.825817129,7.3,16.332635756,
48071,Texas,Chambers,77.104192113,3.4055213718,3.4675552144,98.4,65.04210005,12.9,5.1583231651,27.5,31.978925846,4.0,8.0,81018,82.755255255,45.720310007,7.9028015733,1.3802755725,22.275041625,66.955430612,10095,20.606351252,8.3192599186,,24.895843918,19.5,,11.405529954,4.6880131363,9.9,15.156629593,
48073,Texas,Cherokee,75.6220012,4.0237276191,3.8852789721,88.5,45.857260049,25.2,8.5589252248,29.1,34.30459533,17.0,44.0,47147,73.648308639,63.048480677,13.899310873,0.5857580398,23.282924962,60.520673813,12190,25.863795136,8.3628176262,,59.179048099,14.8,,17.230682459,5.481222125,10.0,17.53327769,10.417397404
48075,Texas,Childress,75.137353745,3.8993106908,3.6555106731,90.1,49.292756108,26.7,16.858394006,23.6,32.398323753,9.0,3.0,40925,54.95179667,33.148700469,9.6787887364,0.6933635206,30.932503184,56.983161172,2333,,,,61.550759392,,,17.364016736,1.028277635,7.5,17.473594814,
48077,Texas,Clay,77.158069885,3.4958300028,3.5653814243,98.3,56.899810964,17.3,16.715823969,25.1,30.555455546,4.0,,53438,85.353287537,74.600074405,0.7101045965,0.4318203627,6.1126571346,89.828231456,2116,23.264406826,,,28.75399361,21.2,,11.097708082,1.3952077646,8.6,14.880002327,
48079,Texas,Cochran,75.282301736,4.443436399,3.9422753181,100.0,40.928270042,38.3,7.8845632098,23.1,33.745233897,1.0,1.0,40796,76.1,100.0,3.5075412136,0.4209049456,58.084882497,36.61873027,711,,,,41.079812207,,,17.475728155,15.310650888,6.8,17.361174237,
48081,Texas,Coke,76.810320852,3.6609575959,3.628000756,92.1,67.671691792,21.2,36.041294688,30.5,28.98538713,,,42314,71.219822109,100.0,0.5747126437,0.1512401694,21.173623714,75.620084694,597,48.228691687,,,40.47976012,,,10.3125,2.2194039315,7.5,14.662105175,
48083,Texas,Coleman,74.519287059,3.8349188834,3.748971811,88.9,52.057142857,41.2,8.4750102677,26.1,29.982088182,5.0,1.0,35596,71.095100865,51.545812254,2.8944246738,0.9608540925,17.78173191,76.50059312,1750,20.134566016,,,54.354539839,,,12.775330396,1.8397177419,7.8,15.928049117,
48085,Texas,Collin,82.713909174,2.9103491623,3.2561960951,96.7,80.222978621,6.2,2.2531458778,18.9,32.259662708,887.0,1010.0,95394,65.622944999,5.2427266371,9.7280020792,15.045436122,15.309358573,57.302627983,265586,6.4571168538,8.0401938856,,12.318694743,8.1,,13.108804055,3.8764548106,10.9,12.110145785,4.3151087596
48087,Texas,Collingsworth,76.100656006,4.186692966,3.9463250268,97.8,38.342696629,28.1,2.6453015966,23.5,32.09150422,,,39809,80.345768881,100.0,5.088717777,0.5356545028,34.147974556,57.649815869,712,,,,36.734693878,,,11.711711712,6.0240963855,7.3,17.313123728,
48089,Texas,Colorado,77.496679294,3.6828701435,3.5376237258,85.9,54.079368992,23.0,6.2848564905,24.2,30.884743736,12.0,3.0,49100,82.072865974,62.613777906,11.930105501,0.8006782216,29.87942728,56.320648078,4057,26.008870394,,,35.163881051,14.3,,10.38536904,4.8602611179,9.7,14.637286936,
48091,Texas,Comal,79.775875121,3.2766457927,3.3985700636,93.5,67.936001087,13.1,5.912427192,20.0,30.296659152,95.0,166.0,72562,75.349713246,46.145549082,2.0658255856,1.19850506,27.520229205,67.694969825,29438,14.884939418,11.609381368,,26.931743839,15.0,,13.606370876,2.5087984738,10.2,12.775454923,7.766687461
48093,Texas,Comanche,76.693709741,3.9477786452,3.8168257366,98.7,51.633027523,25.1,7.7714448223,25.8,29.721124262,6.0,7.0,46161,78.363031134,71.461285244,0.4641567818,0.5304648935,27.952552862,69.542474029,2725,34.621679466,,,46.94996573,,,15.91796875,5.7574327513,8.4,15.632846552,
48095,Texas,Concho,79.851707633,3.6329361709,3.1361321711,100.0,25.067385445,28.2,10.611985579,23.8,32.6622973,,1.0,42723,71.302149178,100.0,1.1041589989,1.2513801987,36.621273463,59.84541774,1113,,,,42.592592593,,,6.1349693252,15.663292488,7.5,15.232787555,
48097,Texas,Cooke,77.786662561,3.4371805202,3.5163795507,96.4,56.813559322,20.6,2.3634718082,24.9,30.390133819,13.0,24.0,57382,68.857425091,59.03426386,3.0855996992,1.1279608974,18.152650708,75.322722146,8850,17.234930437,14.359320889,,44.193700047,15.3,,14.246575342,3.8480540155,9.8,14.850387548,
48099,Texas,Coryell,76.956900519,3.7340648261,3.6404420555,93.2,62.75211323,19.0,17.105487442,24.7,32.699527422,18.0,34.0,51486,57.59900107,19.423515679,16.169423198,2.1438201647,18.290550372,58.545245818,25435,13.946607111,8.4406180309,,34.048257373,12.2,,12.230874943,1.9065478981,9.5,16.759389482,7.8474716773
48101,Texas,Cottle,,4.0359060765,3.8936854977,100.0,54.166666667,39.4,46.027616446,26.5,31.533070946,0.0,,36201,65.361445783,100.0,9.0843547224,0.0720980534,24.441240087,65.032444124,240,,,,50.505050505,,,6.2992125984,2.3031203566,7.2,16.233050383,
48103,Texas,Crane,78.480114334,3.3930150589,3.2204988526,90.7,48.977853492,16.4,2.6133036346,23.8,30.94128411,2.0,,56356,78.296146045,10.697142857,2.7215189873,0.8860759494,63.312236287,31.983122363,1174,33.046926636,,,52.631578947,,,15.909090909,12.778904665,7.1,12.847075829,
48105,Texas,Crockett,77.832752119,3.6810888991,3.4041359479,88.2,32.890365449,26.3,2.5064111906,24.2,31.141438936,1.0,,44991,72.785258682,22.748050551,0.6172839506,0.8698092031,65.684624018,31.705948373,903,38.412783774,,,71.193866375,,,12.195121951,4.8060220035,7.3,13.569805963,
48107,Texas,Crosby,74.890866009,4.1399995619,3.7676653535,95.2,41.150112024,37.8,2.3094985784,23.8,32.35441973,2.0,,36942,68.55620155,100.0,3.0174605865,0.220376335,56.280725547,39.498220037,1339,,,,58.670143416,,,15.753424658,3.2487680234,7.6,16.133301708,
48109,Texas,Culberson,82.8603063,4.7949997208,4.0252751401,97.5,36.861313869,35.6,5.1695558677,24.2,33.193671954,,,37825,66.666666667,100.0,0.8516360377,2.1066786195,73.10623039,21.873599283,548,,,,75.697211155,,,16.455696203,11.606714628,5.9,17.542155028,
48111,Texas,Dallam,77.86487661,3.9088762126,3.6061575777,98.3,37.35,16.3,17.849257299,21.8,31.846146815,5.0,2.0,47838,59.621710526,23.541697747,1.5399556049,1.0682574917,46.587125416,49.070477248,2000,30.340419507,,,73.659398939,,,14.412416851,13.529231711,6.0,16.249583841,
48113,Texas,Dallas,78.902328596,3.4501401506,3.5280781132,83.6,56.923104927,22.1,6.9698517967,23.2,32.811043795,1753.0,3601.0,56732,50.459235979,0.6883041916,22.547541239,6.5306086593,40.232943287,29.189220777,769113,10.547623171,12.224848922,,42.361557876,11.4,,21.961238199,11.633068912,10.0,14.566349836,8.7019942684
48115,Texas,Dawson,76.529899552,3.965460473,3.5611114911,96.1,40.667718191,30.7,13.909452011,25.3,32.626854115,4.0,,42127,71.099331643,16.294368539,5.299305393,1.0770311402,57.426051666,35.339108718,3804,13.827286555,,,70.357142857,,,7.8014184397,5.2735175921,7.3,15.895652726,
48117,Texas,Deaf Smith,78.150195317,4.0406500458,3.6169022165,89.5,47.989734816,26.7,9.0963770103,22.0,32.523754045,2.0,2.0,42698,65.021248774,17.711129465,0.9290719898,0.5733701423,73.062221278,24.723932894,4676,23.14382769,,,81.88976378,,,14.608555287,9.7841225627,7.0,14.989516802,
