FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
12001,Florida,Alachua,79.189781662,,,,76.00308642,17.7,6.4279615268,23.4,36.02477967,422.0,644.87833,49880,55.016072249,21.193437268,20.018361377,6.1518047301,10.48977301,60.598491691,161824,11.472167217,9.5540255328,85.351293433,11.478076744,9.177051654,,20.582653742,1.5070918459,6.0,17.875568309,4.6632881785
12003,Florida,Baker,75.528055942,,,,44.670118147,21.0,12.960591851,33.8,43.223216867,8.0,102.70455,60454,75.278960083,59.491056611,14.043135912,0.667579596,2.8449161246,80.352618966,19065,22.016169084,15.143043519,77.648682848,42.14559387,16.288375058,,12.048192771,0.54115421,7.8,25.233137071,
12005,Florida,Bay,76.396747378,,,,62.382523704,18.2,10.582808978,31.0,39.815944675,104.0,268.45253,58376,65.089188205,11.999857864,10.842849375,2.3296413955,6.6615151255,76.620588993,128438,16.625288172,23.364700904,85.274845286,33.696910609,17.37860276,,16.187286099,1.1918895368,8.1,21.882238676,6.7039800995
12007,Florida,Bradford,75.266689838,,,,37.517380862,27.2,2.2470219273,35.0,41.449961356,7.0,95.74129,47509,69.292375206,75.529453015,20.165951562,0.6276373178,4.7196907911,72.224389206,19879,29.415318027,19.283846163,71.014810752,42.024013722,13.886351179,,13.864142539,0.3729334871,7.7,27.393705542,15.33632287
12009,Florida,Brevard,77.77289896,,,,66.943586241,12.7,12.312836385,26.8,40.653730663,435.0,161.80961000000002,57582,74.330019052,5.0743867966,10.034521598,2.602576328,10.900053494,73.80943679,434825,14.519356132,45.415064043,87.234882843,17.281238059,16.353391336,,15.176587083,1.3120956805,5.2,20.067151306,5.3751619616
12011,Florida,Broward,81.459028228,,,,67.289894778,16.4,2.4764159096,23.7,41.258750576,1418.0,186.60595,61429,62.123324397,0.0169329991,28.433185954,3.8722783645,31.08300073,34.849634726,1362196,11.771707943,25.788042157,84.529092095,13.873489843,10.22188223,,24.334521995,7.7395945139,9.1,16.883756602,6.111955647
12013,Florida,Calhoun,75.349967694,,,,35.118898623,28.3,8.9572682484,41.4,40.971638263,6.0,21.26905,41399,81.4263497,67.514529915,12.272243885,0.8933002481,5.7071960298,77.809287487,10524,20.735825582,,67.762719396,41.294642857,,,12.88209607,0.735829812,8.0,25.505723866,
12015,Florida,Charlotte,81.070917163,,,,51.932295892,19.9,14.130415466,26.2,39.828658778,111.0,112.7521,54756,79.673823985,8.8843465977,5.3798104918,1.4149595045,7.7237838124,83.792282039,149434,14.749369525,8.2742593189,84.678310856,20.220999418,14.765498539,,15.830940776,1.9800289205,7.2,21.334957561,6.4458370636
12017,Florida,Citrus,75.73123384,,,,46.931906447,24.5,12.885707514,35.7,42.90971576,75.0,66.15127,49762,81.883136257,34.518819564,2.8692276339,1.6711547071,6.1246717494,87.481374075,115528,20.267048164,30.232405981,82.112404014,27.499518397,21.431162009,,13.586173788,0.8742645955,5.8,23.130174425,10.262626263
12019,Florida,Clay,77.835480353,,,,66.342071945,12.1,6.8756737168,29.5,40.963421943,113.0,98.97287,75776,74.994955134,14.968695151,11.598525897,3.1169613048,10.42407823,71.702424607,144566,16.895267883,26.870345948,90.535831999,17.336006643,12.926577042,,13.587711982,1.8028617489,8.4,20.148532234,6.006880127
12021,Florida,Collier,86.116097642,,,,50.875088903,14.0,9.4764262112,22.9,34.121255246,290.0,102.36372,76415,73.333846229,8.4859417766,6.62168552,1.5601373856,28.562335348,62.203885664,282120,10.717945295,18.041486618,85.167052504,19.360114826,8.7157175053,,19.865344241,10.003382473,7.2,15.971537698,5.4268463915
12023,Florida,Columbia,75.222868851,,,,50.440140845,21.7,7.1913795639,36.7,42.359225711,33.0,227.38052,47087,71.431981857,62.057425479,18.229500879,1.0113550763,6.7474820746,71.81876517,48455,26.4000264,22.190641215,78.554092229,39.411169094,18.028433415,,14.82605178,0.6889314718,8.2,24.823391099,25.449515906
12027,Florida,DeSoto,80.512534482,,,,21.601891836,30.5,5.7895063269,35.7,39.418508696,11.0,136.83849999999998,41673,69.731610338,46.242326889,11.999684219,0.5447225073,32.135996421,54.190679193,26434,21.72719336,13.35089718,57.314446653,42.580645161,14.705081423,,16.68795232,9.4800525084,7.0,26.253857457,
