FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
17001,Illinois,Adams,78.252894651,,,,66.494878157,18.3,3.171017875,29.0,33.627680439,62.0,275.08214,55942,71.842726468,32.599138638,3.7823794605,0.9398639872,1.7742798197,91.403683044,46125,9.4609617068,12.160518849,78.17571555,24.990812201,12.086381368,,11.762563729,0.1628506933,8.6,20.535375038,8.8545095458
17003,Illinois,Alexander,73.507989236,,,,41.641791045,38.9,12.507657331,18.5,40.023010744,1.0,468.66863,37408,73.723305478,61.859674678,31.34872418,0.2950876584,1.8573164381,63.738934213,4497,27.947973772,,56.638811513,51.73807599,,,17.283950617,0.1026869759,9.2,26.960569738,
17005,Illinois,Bond,78.558007875,,,,64.806350734,16.9,2.713725487,22.4,35.071487493,10.0,152.19774,53447,75.853310049,60.738406123,6.1731401437,0.8157798612,3.6162181907,87.385851699,11741,19.406498646,25.997920166,77.742498809,18.485390578,,,12.561174551,0.1446540881,8.7,21.219152621,
17007,Illinois,Boone,79.715076748,,,,57.55959596,12.2,4.813578764,26.3,33.746767952,29.0,42.95533,72426,80.997253783,19.363057325,2.401763036,1.4660839683,22.760720155,71.854923054,35008,10.118546764,18.675996364,85.611975661,16.47469459,5.6028268129,,13.468733298,3.4605708852,9.1,18.766147304,
17009,Illinois,Brown,77.969600237,,,,45.928338762,13.4,13.059175891,20.7,37.172234208,1.0,319.24597,60254,74.793187348,41.06962664,18.501064153,0.3192459714,6.9321982365,73.426573427,4863,,,74.98783455,26.634382567,,,6.7796610169,1.0265319015,8.1,21.847984478,
17011,Illinois,Bureau,79.343559891,,,,59.277777778,14.0,10.654937413,34.4,33.366333081,17.0,64.3619,57935,76.609724047,57.390359655,0.8336398186,1.0573740346,9.4581341179,87.286992767,23582,20.966513483,,78.938531172,16.645507124,9.0464990049,,9.7719869707,1.4731148584,8.8,20.292576732,5.6788511749
17013,Illinois,Calhoun,82.418111384,,,,66.701791359,12.7,4.298053224,21.4,34.740263922,1.0,,63373,87.259615385,100.0,0.4220299641,0.2954209749,1.434901878,97.066891749,3490,,,70.072115385,11.777301927,,,11.436170213,0.021805495,8.8,22.373815595,
17015,Illinois,Carroll,79.381974167,,,,60.386965377,17.0,6.291495715,25.3,33.996070978,4.0,125.83013,56468,76.613398894,81.874309482,1.0625655365,0.6081789584,3.9077245718,92.799720377,10663,20.605406466,,80.347264905,20.656584286,,,10.038022814,0.3504672897,8.6,20.888026673,
17017,Illinois,Cass,77.260523396,,,,46.66226041,15.7,2.9030434991,23.5,35.868406009,,592.7389499999999,51011,74.598453302,52.133118311,4.0997777229,0.806783568,19.338108175,74.561620153,8503,24.742731823,,76.204640095,34.682080925,,,9.8837209302,7.2926474364,8.4,22.318735843,
17019,Illinois,Champaign,80.457304766,,,,79.137943953,18.8,4.4981896848,21.9,34.637358181,202.0,264.20079,53485,52.976241062,12.710300824,13.405567293,10.914258736,6.2554545064,66.565246627,121964,8.50257923,18.598854501,82.609962486,12.165068874,7.0721966147,,20.529353967,1.6104561195,7.6,17.450014405,2.7028453782
