FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
27001,Minnesota,Aitkin,78.725152043,,,,61.972951472,19.7,11.775561002,26.9,32.024533571,13.0,69.24336,51936,82.15076162,100.0,0.4909983633,0.2958579882,1.4226362835,93.837341055,12375,17.20780691,,73.740398386,13.090043633,12.673949963,,15.04539559,0.1703242712,5.7,22.171882058,
27003,Minnesota,Anoka,81.469181867,,,,73.133828675,7.9,6.4891365158,19.6,31.463882972,179.0,173.14756,83363,80.101873664,13.50062265,7.1805805767,4.9756108495,4.8666231463,79.708675029,238608,7.2731366902,13.181346136,89.109814506,10.254709472,7.5333221094,,10.898707068,1.8006851922,6.7,18.370187018,4.8056249637
27005,Minnesota,Becker,78.327839522,,,,68.125762298,14.8,12.524783079,27.3,30.987678718,25.0,209.16248000000002,61311,78.512153925,75.470711297,0.5664817128,0.540336403,2.2688318857,86.058739796,23293,12.684882157,,80.362781817,18.83679362,14.704844364,,13.009636768,0.1789751319,3.8,20.408620011,5.5723803755
27007,Minnesota,Beltrami,77.924123962,,,,68.652849741,23.1,6.5060581952,22.8,30.847366798,43.0,356.02272,54638,67.061938752,67.089689933,0.7946935662,0.756548275,2.5769263372,71.675002119,28514,13.903478959,18.499018129,79.743265024,30.828994132,13.773748956,,14.465592972,0.171431219,4.9,21.704050103,7.5053609721
27009,Minnesota,Benton,78.816634451,,,,71.165485042,10.0,4.7628427339,20.4,32.207325308,10.0,14.67387,63395,67.377826404,40.011963278,5.1065078628,1.1445621072,2.7513512192,88.566607156,26759,8.9351770773,,83.120593241,12.877115526,12.930627185,,14.995313964,0.6939606666,6.4,20.458230909,
27011,Minnesota,Big Stone,81.516130707,,,,62.014690451,13.6,12.602769205,24.3,31.559377923,7.0,20.03606,52692,72.932985205,100.0,0.4407934282,0.3005409738,2.0837507514,95.491885394,3646,,,77.154046997,14.412416851,,,11.258278146,0.4466184602,6.7,21.2426675,
27013,Minnesota,Blue Earth,80.807558278,,,,76.566197534,12.6,15.828577243,22.1,28.968101886,60.0,325.18883,60408,62.009888467,26.892974864,4.194935923,2.4847382969,3.9377411201,87.168344345,38917,6.4489223851,6.9288750971,84.918171017,6.7251740914,7.7778874659,,15.023474178,0.8965484469,7.9,19.355124197,2.1904761905
27015,Minnesota,Brown,79.803163989,,,,74.821461271,9.3,6.0716176466,25.0,32.684872301,28.0,215.93089999999998,62904,79.17131178,34.939945159,0.4718490083,0.8837172105,4.6425143954,93.086212412,17339,13.591496254,,81.15942029,15.213161153,11.908826028,,8.4817244611,0.5931098305,8.0,20.342829558,
27017,Minnesota,Carlton,78.906821769,,,,71.617161716,10.0,7.454204543,22.3,31.684876842,26.0,150.53943,65749,79.813413649,55.165884813,1.6838114354,0.5603412227,1.820412032,87.906665552,24961,11.22046613,13.05897058,76.720781606,18.104062723,8.4027493796,,12.411479687,0.0888651915,5.1,21.340365534,6.6294919455
27019,Minnesota,Carver,83.304089583,,,,85.657479241,4.0,2.5123896041,15.8,26.743840893,91.0,176.99283,101891,81.909452032,18.827574087,2.1010762306,3.3504933913,4.3515496389,88.313715042,66298,4.981057749,6.4358554378,90.534363607,4.7329536709,6.0812692982,,9.9462365591,0.6030287776,7.0,12.889932618,3.250541757
