FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
38001,North_Dakota,Adams,80.244338729,,,,68.250539957,15.0,6.8820448472,21.6,31.746516818,10.0,90.25271000000001,55880,73.526570048,100.0,0.9476534296,2.7527075812,1.5794223827,92.238267148,1642,,,78.06763285,,,,7.619047619,0.0,4.0,18.814910991,
38003,North_Dakota,Barnes,78.627822743,,,,64.197530864,10.0,6.3878131815,23.0,32.36421471,11.0,86.41382999999999,60689,69.255025621,39.553587566,1.7474795967,0.9121459434,2.2083533365,92.520403265,7645,13.149243918,,77.0398108,12.658227848,,,9.3841642229,0.0,5.3,18.995027676,
38005,North_Dakota,Benson,72.231183893,,,,55.989048597,33.9,17.288386388,34.1,40.908061411,,58.548010000000005,45709,66.992882562,100.0,0.4537470726,0.2488290398,4.0690866511,40.485948478,3912,47.984644914,,58.40747331,89.691322073,,,16.375545852,0.5214274075,5.1,32.63273245,16.348773842
38007,North_Dakota,Billings,,,,,73.4375,9.5,26.315789405,26.6,31.860501452,0.0,0.0,69528,79.11227154,100.0,0.0,4.0948275862,2.5862068966,91.918103448,706,,,70.496083551,,,,11.25,0.0,2.9,18.818663341,
38009,North_Dakota,Bottineau,76.100037286,,,,73.953488372,12.4,12.084145114,26.3,34.37831839,2.0,15.9185,62904,79.411764706,100.0,0.7322508755,0.6049028972,2.2445081184,91.197070996,4539,,,80.414438503,16.279069767,30.752198782,,7.915993538,0.0,5.0,20.556811279,
38011,North_Dakota,Bowman,81.81230414,,,,73.988439306,9.9,4.028110656,35.0,32.331004033,1.0,,65411,75.333333333,100.0,0.1984126984,0.1653439153,5.4563492063,91.964285714,2130,,,82.592592593,28.213166144,,,7.3426573427,0.7820469228,4.1,19.367659222,
38013,North_Dakota,Burke,83.972131778,,,,76.868327402,8.8,31.431708403,24.1,32.866797768,,,67545,78.895027624,100.0,0.7092198582,0.6146572104,2.9787234043,92.387706856,1498,,,74.364640884,29.100529101,,,7.3684210526,0.0,1.5,20.12908832,
38015,North_Dakota,Burleigh,81.622832083,,,,78.707680402,6.7,4.4634539644,20.0,32.305444115,102.0,271.89258,73565,68.666312299,18.547990358,2.2891263882,0.9150231109,2.7544809989,88.239600109,63953,9.5038528926,6.6450062778,82.765079606,18.166392174,11.19544071,,10.848329049,0.3679717398,4.9,16.338894983,4.8047434063
38017,North_Dakota,Cass,80.784481443,,,,80.016731735,9.2,2.6793614587,19.2,31.257030602,179.0,288.58362999999997,63977,52.128739633,10.434776803,6.2449497864,3.3728555488,2.822622758,84.379655129,111847,5.9943127931,9.9773477253,85.368458526,13.026309041,9.3469836833,,12.814895947,1.1279544197,5.1,18.022624185,2.3682837767
38019,North_Dakota,Cavalier,79.931462674,,,,75.851393189,12.0,8.1279967389,28.0,29.132713726,1.0,53.16321,63484,80.656303972,100.0,0.4253056885,0.4253056885,1.4354066986,94.47102605,2718,,,78.353483017,21.645021645,,,6.4425770308,0.7040270346,5.3,19.479612273,
38021,North_Dakota,Dickey,78.430076477,,,,72.324011572,13.2,3.2097808741,25.7,32.776082561,4.0,20.52545,57490,74.280320906,100.0,0.7389162562,0.5952380952,3.4482758621,93.082922824,3325,,,79.046720151,12.57334451,,,6.8493150685,0.2577873255,5.3,18.901127564,
38023,North_Dakota,Divide,80.489663886,,,,47.394540943,13.9,9.8660808567,24.3,32.64810719,,,61506,72.384542884,100.0,1.9434628975,1.8551236749,2.871024735,90.856890459,1727,,,60.508953817,,,,9.0047393365,0.0,4.3,21.171354396,
38025,North_Dakota,Dunn,80.756232889,,,,70.17208413,11.9,12.913645212,23.1,32.953747247,,,75723,77.009456265,100.0,1.6274864376,1.4014466546,5.6283905967,80.198915009,3051,,,80.673758865,20.961775586,,,7.8125,2.3658536585,4.4,20.754422426,
38027,North_Dakota,Eddy,74.694612478,,,,64.476386037,13.6,9.8257410984,32.7,32.162199415,,,54465,70.998116761,100.0,0.4809794491,0.3498032357,4.3288150415,88.981198076,1658,,,72.316384181,,,,11.428571429,0.3271028037,4.8,21.444231888,
