FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
36001,New_York,Albany,79.946936949,,,,77.142857143,16.0,4.779734781,19.7,38.612948603,299,375.44271,69408,56.378220326,9.6961249688,12.775853829,6.8361996164,6.2525776908,71.568152508,204918,5.0566483792,17.132292745,83.526948001,9.7764011228,5.5178251719,,15.429710867,1.8415308798,6.6,16.586175241,3.5958734253
36003,New_York,Allegany,77.910085673,,,,62.459755312,26.8,2.9916992658,27.8,39.64930921,21,236.48869,49411,76.209048362,78.739835737,1.2909244755,1.2518712981,1.7009828383,94.283048751,30038,7.8835897016,12.911092781,75.105861377,13.927766778,12.395599135,,13.986206897,0.5510388437,6.6,22.315666353,4.168710152
36005,New_York,Bronx,80.885557114,,,,51.927971013,36.5,0.000919861,29.9,42.446548414,872,215.20131,41470,19.691601714,0.0028156649,29.240019264,4.5611113187,56.379639926,9.0101797551,929546,3.5581351209,26.958238334,75.729860727,23.969868486,4.3137638239,,38.695481019,15.559675293,8.2,18.156678722,9.3960505084
36007,New_York,Broome,78.621136574,,,,66.718307473,24.9,3.2406715699,22.7,39.279833596,158,226.26097,52179,65.168238934,26.056829511,5.57935408,4.4223258158,4.4496241233,82.700222586,128064,6.1648208899,26.919723647,81.751518161,15.006901992,5.0636207782,,15.738391271,1.3469374379,7.4,22.057009779,3.6061026352
36009,New_York,Cattaraugus,77.575538472,,,,55.56754812,21.5,2.5839365013,28.5,37.334452379,33,141.88683,50783,71.6762642,61.752804512,1.3242770997,0.8473796918,2.1480089862,90.426580133,52849,9.9375041406,18.236686134,71.688851128,22.155030236,9.069613168,,14.184397163,0.7040510437,7.2,23.808276191,5.5224946441
36011,New_York,Cayuga,79.796522026,,,,57.832496355,20.5,1.6861754579,25.1,36.973836995,20,193.27204,58055,71.269337946,55.781870892,3.95554743,0.6816757209,3.1354471375,89.87802967,55436,10.077449782,20.317822621,79.721981999,17.854973886,3.0969899838,,12.790327712,0.432447134,6.5,22.65664425,8.6786551994
36013,New_York,Chautauqua,77.995285757,,,,58.075926315,24.4,6.7504729865,27.0,38.130917603,71,175.72477,50143,69.251059821,43.862718209,2.1536133898,0.6879269994,7.7728658897,87.071227631,89517,7.4782470989,25.528279081,76.16015073,24.145616642,8.0723907161,,15.598754364,1.2115924374,5.8,23.680143445,7.9423813929
36015,New_York,Chemung,76.489427692,,,,60.711145844,20.3,5.7984371079,29.6,39.08343777,64,291.1714,58400,68.307393569,24.178768434,5.9492427147,1.4942005368,3.2352377301,86.056125383,59604,7.2976236284,31.98205846,80.423078055,27.320339075,6.0938452163,,14.034328573,0.4377352827,6.9,23.58428113,11.890317884
36017,New_York,Chenango,77.374403391,,,,56.258965286,20.1,1.6152908549,24.2,40.83135876,17,199.12301000000002,51894,74.474561531,83.412247162,0.8896985617,0.5910140445,2.3026246108,94.500815557,34344,13.571002897,9.1160259737,78.122433203,22.300815404,9.1655591616,,13.840490798,0.5027230834,6.6,22.913565062,10.870566559
36019,New_York,Clinton,79.426273361,,,,53.282660817,16.8,9.9285943145,27.5,39.429794002,56,283.2826,59069,66.48349893,64.155951685,3.9199850904,1.4362924769,2.9844070324,89.95713487,55211,6.1651520943,11.975553353,79.812146577,12.453669385,6.4279427616,,13.620580808,0.4004434879,5.9,21.875742361,4.6488227007
36021,New_York,Columbia,79.889615747,,,,60.374162753,15.4,5.0543034127,22.1,33.830647436,24,176.58633,71563,73.712248658,73.297831875,4.708968904,2.0282201779,5.026824305,86.081633339,45574,12.182436675,22.224568149,79.688376192,13.884926296,9.587442434,,14.840989399,1.5584460511,6.9,20.177388562,19.145370758
36023,New_York,Cortland,78.356780507,,,,61.974282123,19.3,3.4167829903,25.3,36.398405109,19,365.69219,55143,65.641025641,44.273958164,1.7864273555,1.0592463378,2.8456736933,92.297345579,30113,9.474351155,23.046302116,73.772893773,11.782119597,4.1709418821,,13.556485356,0.3341467168,6.3,21.52773221,
36025,New_York,Delaware,79.156491784,,,,54.734651405,19.1,0.7892579852,26.3,39.542349596,15,126.88343,51038,73.861239983,78.363901626,1.7242551263,1.0717117934,3.990030588,91.80242438,32787,12.871144151,18.703754966,76.049135386,11.147850732,9.7674026257,,17.068062827,0.9735679763,6.6,22.883929757,
36027,New_York,Dutchess,80.68547552,,,,68.231646388,9.8,5.6022082617,20.3,40.461258887,204,293.6598,84564,68.755592042,25.399343839,10.568014194,3.7125532768,12.901997838,70.664269351,205613,8.1268327701,29.201905141,88.073386033,7.6677651878,5.9712389846,,19.988825255,2.0833853763,7.9,15.67146022,4.7541352537
36029,New_York,Erie,78.679465462,,,,73.046156497,19.3,5.574711041,23.7,38.452442494,733,326.65652,60620,64.577178279,9.4038344359,13.107079336,3.8346493205,5.7656345583,74.953358107,645981,5.1005585189,24.276858943,81.186390646,16.959196067,7.3357492111,,14.887284209,1.7843395608,6.8,18.774414029,4.5534261627
36031,New_York,Essex,80.175045791,,,,55.754151292,17.1,2.0934384206,22.9,35.639559383,14,165.37888,55091,75.383153895,74.856489713,2.3505490037,0.7835163346,3.0147756541,92.251592788,28667,6.7627985963,8.917345128,78.087397087,16.176907094,6.3585928434,,12.553261226,0.5197187404,3.6,18.772894177,9.0264345583
36033,New_York,Franklin,79.176936814,,,,51.098130841,25.1,9.0543657933,26.0,41.270198046,30,285.87422000000004,48943,71.401525112,62.675633249,5.6235256487,0.4817880133,3.6204070209,81.718044061,35065,7.0333380222,13.207335354,73.915330003,22.210743802,5.5445544554,,13.743075706,0.4521586931,6.8,23.330822818,13.747572816
36035,New_York,Fulton,78.379635306,,,,55.562604076,26.4,3.495187159,27.5,43.070797194,19,217.29764000000003,50061,70.674291794,50.37366516,1.916340408,0.7155836128,3.4861285428,92.201637225,38601,11.659891563,13.677254105,77.004920867,27.052326126,7.4440486692,,13.978256046,0.3592743835,6.1,24.037638762,14.060446781
36037,New_York,Genesee,78.126013596,,,,65.180467091,13.6,1.2225360638,31.0,37.982004644,17,158.86872,62570,72.258933457,59.886149903,2.7653631285,0.6651536313,3.4724162011,90.223463687,41334,10.274424999,28.36518145,80.571572878,14.615263075,4.1355637807,,11.649269311,0.5762112288,7.1,22.630276301,6.173298624
36039,New_York,Greene,78.432396045,,,,48.203427308,18.5,6.0254200789,25.9,40.248880986,18,86.8865,54746,74.830409357,73.141545275,5.4039162499,1.3181317284,6.2600661185,84.845723489,35359,14.084338216,24.622051509,73.549707602,12.443438914,6.7430314984,,17.743349898,0.8479242374,6.6,23.419935021,24.619640387
36041,New_York,Hamilton,78.85186648,,,,59.324522761,17.7,12.089693845,20.7,35.337596314,1,67.93478,60148,86.68971478,100.0,0.9963768116,0.7699275362,1.9701086957,94.497282609,3567,,,75.194468453,,,,13.698630137,1.3043478261,5.2,21.240222785,
36043,New_York,Herkimer,79.440704908,,,,60.961094994,19.0,6.5700996273,26.5,39.672791124,20,57.078559999999996,55778,73.609525363,51.809544475,1.2704055839,0.5854629071,2.3059736786,94.239958251,43732,7.2887957543,13.484940019,79.929864622,19.130434783,6.1072628212,,11.51479055,0.6027983427,6.2,24.939865673,7.9138872044
36045,New_York,Jefferson,77.965395455,,,,63.87494935,20.6,6.3536784148,25.1,38.433549136,57,214.86970999999997,53829,56.477278046,48.049109947,5.9863066082,1.7216890945,7.7944898665,81.304514085,71540,9.1808680635,15.486514819,83.788084429,34.59237098,6.5207774882,,13.829417891,0.4551402948,6.6,20.235493937,8.7679940176
36047,New_York,Kings,82.947002907,,,,68.182532702,24.7,0.005267366,24.0,41.438617725,1746,231.92285,66501,30.110779945,0.0014772228,29.713078972,12.664112664,18.894426859,36.769674476,1780247,3.6231624286,13.052678918,80.025287747,16.357202465,3.8981759676,,34.151272958,11.863077138,7.9,15.268122754,8.3644476824
36049,New_York,Lewis,79.052740978,,,,56.790744467,18.6,6.3010446725,28.2,36.951236564,18,220.56587,56599,80.823655704,86.849780337,0.5932461211,0.3993002738,1.7607240645,95.938545786,18360,9.6007680614,29.005977754,78.403435152,19.201097206,9.7659184471,,11.871030777,0.5827037454,5.6,21.868104239,
36051,New_York,Livingston,79.611246322,,,,63.690999707,16.4,5.2429372297,24.4,35.538316619,26,119.21035,60268,74.677365983,54.652638662,2.5065963061,1.366945354,3.8957942588,90.496550847,42678,9.3707120626,20.006317785,83.719391132,7.2427066451,7.2119756423,,15.083913221,0.6721225268,6.7,21.371860856,3.515874707
36053,New_York,Madison,81.497817079,,,,63.092100818,13.2,1.3112847181,22.6,36.757167043,43,210.03368999999998,61713,77.350542953,58.945834808,1.773304577,0.9768681017,2.3315149208,92.856035297,47967,9.3881709047,11.753588371,81.686439695,10.191421482,6.1818764243,,11.632769435,0.2962679087,6.2,20.292388676,3.9607625393
36055,New_York,Monroe,79.757057912,,,,73.649362579,18.9,5.7833766299,20.7,38.383267353,787,294.16125999999997,62159,63.515241035,6.4499747429,14.628658479,3.6883400515,9.179125605,70.120792159,512676,5.8523419696,29.392182217,84.016453164,15.232568683,6.6233813944,,16.43454966,2.5644714445,6.3,18.03860166,5.5605599513
36057,New_York,Montgomery,77.823550576,,,,58.630021142,25.5,7.8890155135,29.4,39.497840477,26,87.36109,52092,68.438453713,40.938688544,2.1312041608,0.9244021861,15.042359968,80.197476687,34199,9.8116169545,16.223450998,76.037639878,29.332042594,7.6969196118,,16.446700508,2.0976296136,6.3,22.632302035,9.1891891892
36059,New_York,Nassau,83.074313197,,,,75.807058116,6.5,0.4682879003,20.4,39.196355738,1940,313.87167,117767,80.670370064,0.1922313166,11.711488632,10.877617317,17.482556134,58.529364946,943013,5.9253631176,15.325179,89.81983413,6.7717947711,2.4531294367,,20.752699067,5.2016679651,8.5,12.074269951,4.6311247017
36061,New_York,New York,85.270363235,,,,84.342423554,17.3,0.0,16.8,37.511255467,2228,900.77644,93007,24.069207068,0.0,12.391984803,12.846210427,25.588350506,47.221475208,1249365,2.466701061,17.492412844,85.237273852,9.9902834757,1.5468213066,,24.236989761,8.9029886301,9.0,11.920397584,4.7180526674
