FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
40001,Oklahoma,Adair,73.213219593,,,,33.840375587,33.2,3.8033213932,22.0,43.056143859,6.0,220.78038999999998,39589,69.261606104,83.295860336,0.5046408939,0.8470757862,7.0875011264,39.371001171,14317,19.396509921,28.707411045,49.55386008,59.633027523,14.507602891,,15.715202053,1.0049519371,9.1,32.056289443,12.207792208
40003,Oklahoma,Alfalfa,78.924192389,,,,44.859201048,19.0,21.074137645,30.2,36.962015015,2.0,17.53771,57497,80.160427807,100.0,4.5247281656,0.3858295335,5.9803577692,83.111189056,4371,34.40226072,,76.417112299,29.743589744,,,6.5656565657,1.0659439928,7.2,21.398853788,
40005,Oklahoma,Atoka,76.241395494,,,,44.63677639,25.6,17.919680615,30.0,40.286453549,2.0,1170.22823,41872,73.429220288,100.0,3.8014246257,0.7777293211,3.6342491641,70.228230848,9641,28.931597437,,68.281604845,51.216854341,24.607011551,,11.636707663,0.4682222905,8.4,26.477143944,
40007,Oklahoma,Beaver,77.304042385,,,,49.91638796,15.7,14.055327523,25.4,36.743920305,,,55397,76.509386098,100.0,0.7719826775,0.3954057616,25.927320655,69.497269817,3554,47.61149024,,77.625570776,18.72074883,,,8.7885985748,4.8785305155,5.7,20.072459711,
40009,Oklahoma,Beckham,73.478003964,,,,49.711353432,28.9,4.0873034361,26.2,37.978407081,15.0,315.65945,50512,66.24439166,32.655183327,3.9526053342,1.0521981792,14.712475411,74.994281532,14772,25.790056361,27.539358333,77.474267617,52.643678161,20.600458584,,8.5808580858,0.8559822033,6.5,21.469837617,
40011,Oklahoma,Blaine,72.096785368,,,,41.771128184,21.8,17.657315415,31.3,37.295900231,4.0,371.19525,50574,73.396613648,57.431131207,3.0225898823,0.3605896702,12.535793828,71.375543536,7025,31.099592743,,70.856849666,46.131667468,20.882058136,,9.2931937173,4.2929851737,7.3,23.494817687,
40013,Oklahoma,Bryan,75.246131899,,,,55.075776818,19.7,8.0169214501,30.0,39.441354743,20.0,835.5036999999999,44074,62.209470817,61.330629951,1.8210230232,0.6063131576,6.2881550161,70.203146161,31065,23.698677551,21.907198281,72.103402307,43.057153817,12.933097089,,15.375517445,0.8563338781,8.5,24.689221465,8.0996884735
40015,Oklahoma,Caddo,72.983955311,,,,42.991913747,29.0,14.653005218,32.2,39.181459115,6.0,45.19853,45755,71.269379845,79.969594595,2.7153883596,0.4971837842,13.330088311,56.751964397,19590,30.773288785,21.861192931,68.643410853,42.299349241,22.63188215,,11.04622871,4.0111666177,7.6,25.43040488,9.5785440613
40017,Oklahoma,Canadian,78.351555824,,,,65.084308621,11.2,5.5088375975,24.8,34.867365394,55.0,206.33015999999998,75111,75.406404489,22.508027453,3.2790311923,3.250711367,9.7844996157,74.967297345,92966,13.878830505,11.787029183,86.716697101,20.975641191,14.233072251,,10.642661805,1.4678127985,8.5,18.424085045,5.2045133992
40019,Oklahoma,Carter,74.742126108,,,,54.919852035,18.3,3.4990523374,37.2,37.829063615,26.0,469.74703999999997,51895,68.275260374,56.077969594,6.4330402611,1.3427282742,7.6635280913,69.453971025,32240,23.301429056,24.917288445,66.492175146,48.278985507,22.339620144,,14.742888403,1.0283176013,8.2,22.794908074,11.391375102
