FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
42001,Pennsylvania,Adams,79.869727361,,,,58.699328184,10.2,2.9504358993,22.5,37.230426978,54.0,94.16653000000001,67706,78.007370695,53.675781751,1.6425749206,0.8552650739,7.29159588,88.730110961,72022,10.476455215,15.252015213,80.9759817,16.272987671,10.5338928,,10.80628542,1.2232856012,7.3,19.787184854,2.9917726253
42003,Pennsylvania,Allegheny,78.070974478,,,,80.267898131,14.1,5.6938980646,19.6,38.172157582,1368.0,349.24694,64799,64.285067982,2.4862917175,13.185038383,4.2032983977,2.2657056277,78.105991143,883550,6.3431718961,47.818960532,83.939720169,12.050499611,14.263820816,,13.86827977,0.8570510395,12.7,18.484353224,3.9815418396
42005,Pennsylvania,Armstrong,76.553365851,,,,55.336961072,15.9,2.5554959861,34.0,40.974769846,28.0,111.22268000000001,56259,75.960479084,67.486691519,0.8635205067,0.2919595273,0.8094539276,96.966092531,48600,15.696561808,43.958290738,74.855172904,21.773325606,15.189350443,,10.39305949,0.2490341943,10.5,23.352336831,6.5891472868
42007,Pennsylvania,Beaver,76.929634722,,,,69.178082192,17.8,11.807355927,24.1,39.532418804,70.0,115.29382,60323,73.127994717,25.827523323,6.3234693068,0.5911095657,1.7843090606,89.078808509,121322,8.8841962109,41.025765393,80.753720123,17.468794235,12.03208717,,10.698302195,0.3322343554,9.5,20.616179133,6.22406639
42009,Pennsylvania,Bedford,78.312631066,,,,47.901577537,14.0,2.2389113374,26.7,40.413250105,12.0,133.64517,54251,79.076551655,83.794863551,0.6097560976,0.4447878383,1.255011694,96.667223522,35299,17.969928356,29.05689617,73.403078161,20.006351223,16.980389721,,10.806000509,0.1891139901,8.7,23.617325598,7.0518653321
42011,Pennsylvania,Berks,79.346702211,,,,58.510734577,16.2,3.460005771,22.3,36.321554705,262.0,146.73619,67418,71.523217333,23.736030838,4.2874034818,1.5886922909,22.451111681,70.302779915,283578,9.7035280725,26.843079171,82.598634883,21.415169406,10.625807406,,14.94394801,4.2318396035,11.3,19.715339709,4.9243547909
42013,Pennsylvania,Blair,77.10233787,,,,58.429079469,21.9,8.0589806546,24.9,40.452780411,100.0,250.35090000000002,51004,69.786670759,23.430824068,1.8936378038,0.7009825247,1.338761707,94.520188133,88488,13.903411507,26.102703261,78.438782949,22.551928783,9.0611807689,,13.826491092,0.2794421443,8.2,23.571558633,6.3732681337
42015,Pennsylvania,Bradford,78.23727441,,,,53.359073359,21.2,3.7538026046,32.0,41.123614554,58.0,72.94067,51356,74.017825027,72.174315736,0.6597815095,0.6581237671,1.5848018169,95.674949853,43059,20.553064275,24.724052107,79.257423764,28.789512984,12.168650924,,10.804828974,0.2424940249,8.1,22.552492628,9.3198992443
42017,Pennsylvania,Bucks,79.88102621,,,,73.787974462,7.1,4.003935187,17.9,35.346988667,531.0,257.85092000000003,93587,76.980697567,8.8296022864,4.0799337864,5.2463112993,5.675903672,83.336781957,447515,8.0141467905,39.685781985,88.884143533,6.3170530422,6.4360479862,,14.60514603,1.8805992168,10.8,16.031628236,3.2248654956
42019,Pennsylvania,Butler,78.781838164,,,,75.677555468,8.1,3.3027335562,18.0,36.852652146,123.0,169.28130000000002,72576,75.89474785,41.964081757,1.2685450858,1.4612489553,1.6103016721,94.454174275,132960,10.245173109,36.954849347,84.681446237,9.1303250671,10.144002118,,10.476883392,0.2294651264,10.8,17.876794376,3.9169139466
