FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
56001,Wyoming,Albany,81.410288187,,,,85.54555136,12.0,14.198408897,14.9,34.608275888,26,532.40741,52216,51.041144004,11.939722857,1.7361111111,3.8991769547,9.6630658436,81.903292181,21477,10.850938045,8.6346092408,86.396136478,8.9836660617,13.539903658,,21.455340412,0.7596873804,3.9,16.827844263,
56003,Wyoming,Big Horn,76.085494162,,,,64.954201513,16.5,5.3666440404,27.2,35.286400653,2,195.08058,53018,73.206703911,100.0,0.6615776081,0.4664970314,9.2027141645,87.548770144,8036,31.127286658,28.108047334,78.703910615,13.661202186,,,11.495535714,1.067839196,4.6,21.042306942,20.674486804
56005,Wyoming,Campbell,78.294593786,,,,58.130921006,8.6,4.0973803568,24.9,35.585431207,23,207.15997000000002,83997,73.403892113,29.072464396,0.5308474137,0.8049027859,8.884141473,86.879868799,30412,19.505344464,12.254636938,90.969614203,32.612966601,10.559840504,,11.08584423,1.1058054788,4.1,21.492388379,10.231854839
56007,Wyoming,Carbon,78.702275075,,,,56.146095718,13.9,14.931462112,29.5,36.715103623,8,270.27027000000004,61626,69.584139265,41.630468996,1.0675675676,1.0135135135,18.527027027,76.939189189,10452,27.815637952,,79.384268214,35.541752933,24.917705997,,10.95890411,2.5979497262,4.6,21.759768102,
56009,Wyoming,Converse,78.891742097,,,,58.731099911,12.0,3.0124351719,24.9,34.038118952,7,217.04529000000002,72481,73.707698029,55.360370129,0.4847344813,0.5281435393,8.4141224135,88.431486037,9514,13.250703307,,79.769431015,34.0,21.521420988,,9.5914742451,0.3555692974,2.6,19.528101516,
56011,Wyoming,Crook,80.877485932,,,,58.008934269,10.3,6.3296799255,26.1,33.782079347,3,65.92827,64120,81.774580336,100.0,1.3844936709,0.2373417722,2.4525316456,93.960970464,5193,23.173180905,,73.484069887,26.988636364,,,8.6378737542,0.8915731953,4.1,18.691554828,
56013,Wyoming,Fremont,74.896424731,,,,64.604661294,16.9,4.3491256511,25.3,32.682155703,31,234.32923,57953,70.456832361,51.424370062,0.5399760577,0.5170525458,7.0018593515,69.470976287,26531,27.772535811,17.707323243,78.030455491,43.849111004,26.110709408,,12.660731949,0.1781376518,6.8,21.303269309,11.946902655
56015,Wyoming,Goshen,79.937727312,,,,63.909774436,15.6,10.700927924,32.6,33.321057591,10,507.15313000000003,55540,73.670059535,45.995924221,0.9991673605,1.1429869049,10.831882522,85.179017485,9387,22.372794682,,75.571346265,20.113136392,17.980760586,,10.600375235,0.6232520975,3.7,19.383421562,
56017,Wyoming,Hot Springs,74.057361455,,,,68.126747437,15.1,2.0946848989,25.6,34.226343873,4,294.58418,52344,75.212464589,31.483790524,0.6344890097,0.5665080444,4.46408339,90.913210968,3462,36.644578129,,77.478753541,17.026106697,,,12.026726058,0.1389854065,3.7,19.12076991,
56019,Wyoming,Johnson,79.461943772,,,,71.109839817,10.4,6.3941906822,22.9,31.444919547,11,307.87448,57224,69.882964889,49.025557241,0.6512729426,0.6986382475,5.0088809947,91.036116045,6067,,,79.297789337,14.111610006,,,13.756613757,0.04961548,3.8,18.624221494,
56021,Wyoming,Laramie,78.443581812,,,,69.901383629,11.3,10.489117773,22.5,35.329898928,71,412.0603,69613,69.783030517,19.784603981,2.224120603,1.3587939698,14.91758794,78.550753769,66602,14.322083191,13.140028908,85.482448404,27.821336436,22.354997358,,11.483938093,0.8204371324,5.5,19.246893161,6.5069200578
