FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
34001,New_Jersey,Atlantic,77.305317238,4.3055040415,4.7151477998,91.376575784,60.703664581,15.4,8.453772752,32.4,40.639040573,220,172.56419,62678,67.125688533,12.71357754,14.565934691,8.0714529526,19.39128456,55.953654189,184676,11.449386851,54.817356827,83.41311968,16.062437059,9.0758480524,33.802281369,24.43870455,94.0576445492,7.3,17.799189267,5.6517574239
34003,New_Jersey,Bergen,83.1845127,3.3333983406,3.997600612,95.19656596,78.320706466,5.8,0.9453630798,24.4,35.594492489,1106,258.84948,107971,64.78920484,0.101533947,5.520906413,16.951261636,21.025164074,55.142340394,656412,4.3028097806,16.150214745,89.700637917,3.7554902283,2.0660466113,9.4957983193,21.128115565,93.3542317614,9.9,12.894829242,3.1565492439
34005,New_Jersey,Burlington,79.55394664,3.9603678664,4.450502415,94.797870387,73.313324238,7.3,5.6468673029,24.8,37.252862733,378,780.28692,88443,75.421146576,6.6631902196,16.875753622,5.4155280465,8.5339812147,66.574304646,313945,8.5685190063,39.124068843,88.831727678,9.1312905342,5.0919248771,18.708240535,15.227639062,98.2755601827,9.9,15.614150858,6.044315632
34007,New_Jersey,Camden,77.206885373,4.1593345472,4.5955663615,88.144847486,67.625189625,15.3,4.6253999374,29.1,41.498421292,522,326.37604,73168,66.830502233,1.6174217425,18.657336748,6.0005409984,17.58165818,55.832219416,348467,8.9094771902,57.40460339,83.940378796,19.765373068,8.6432426932,28.295019157,19.670071119,95.5162832149,10.1,17.844935423,6.8658768347
34009,New_Jersey,Cape May,77.051714239,4.1803293591,4.5451891653,89.772020725,66.165087957,14.9,8.7852763999,28.0,38.551454971,56,109.73609,66565,77.640586493,17.454377217,4.0732732863,1.0245656732,8.0965677593,85.025912928,69808,11.692354415,55.365411717,84.565980434,18.044925642,5.7777616096,39.189189189,19.957350728,98.8709532172,7.8,17.928488881,7.056399691
34011,New_Jersey,Cumberland,75.257928218,5.2641980409,4.9329926118,82.948293692,40.240154385,19.5,9.8591191757,31.7,42.563917254,63,102.99143,54179,65.234875515,23.027062168,18.666194065,1.4432176129,31.812983608,45.445304193,103121,17.449269497,59.156316151,78.034260482,33.52484374,8.9158345221,28.703703704,23.520110683,92.6055075541,7.8,22.595916034,14.924965894
34013,New_Jersey,Essex,79.771004593,4.3337716649,4.373942243,86.934744176,62.985684137,18.4,0.7060985568,29.4,41.244111343,677,223.78672999999998,64522,43.99212334,0.0145413913,38.571795112,5.8895459808,23.78209581,30.221971901,534581,5.3878316985,36.684258216,80.49687312,19.032653339,11.795945144,19.028776978,27.760634977,92.0874013214,8.9,15.901609676,9.1101694915
34015,New_Jersey,Gloucester,77.61744744,3.9345518595,4.5070661155,93.006788512,72.503328895,7.7,8.7485023325,29.4,38.63164343,158,125.49891,87996,80.123536813,8.3458208458,10.371147595,3.072665926,6.6864173147,77.815153136,200900,9.9006261411,53.584690089,88.01521333,8.3920778785,5.2088366543,17.266881029,15.446999332,98.7392672739,7.4,16.730694572,5.8737541528
34017,New_Jersey,Hudson,82.558596188,4.125951162,4.2803101846,85.794042075,72.638382094,20.3,0.1205798481,28.6,37.7570555,357,69.15619000000001,77738,31.68478408,0.0,10.677864516,16.438054644,42.680672406,28.965586987,478066,4.0869819883,21.812709702,85.512256807,18.648670594,3.5073096459,23.966165414,27.925500297,86.59295792099999,9.6,14.996773515,7.690207854
34019,New_Jersey,Hunterdon,83.547100726,3.4050912512,4.0163422521,95.538812785,81.170208342,3.6,2.1038296142,18.3,34.300069214,152,250.05829000000003,117275,82.842607313,49.56953307,2.3574627526,4.4286851436,6.9903755699,84.808355646,88791,5.4755454157,16.571159767,90.518282989,2.1785750757,5.6062071926,6.976744186,13.829560017,98.8450650121,8.5,12.926128851,5.0314465409
