FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
53001,Washington,Adams,80.204006319,5.6386887686,4.7391226476,89.962686567,32.396166134,22.4,7.4628012324,22.8,33.250285652,10.0,170.14462,53535,63.134103466,40.159120034,0.6355402092,1.3511484762,64.735024771,32.482610219,10713,20.590354889,,74.803281433,44.436480917,,34.666666667,23.090128755,83.726588581,8.7,16.821855693,19.357495881
53003,Washington,Asotin,79.33670035,4.709921272,4.8246601478,76.212454212,63.348688163,18.5,5.7153176976,18.6,33.3309979,18.0,380.83429,54776,70.68454016,6.6549507469,0.6908156939,0.9786555664,4.3795943672,89.78389868,16214,8.9492894903,16.241676141,81.155916932,28.672985782,19.618684121,48.636363636,12.344342177,99.3991174538,7.8,18.28487685,
53005,Washington,Benton,80.44790401,4.3299146852,4.1375317097,85.601626016,64.963787867,16.0,4.4179094453,16.4,33.286593527,141.0,286.21753,72847,68.82461419,10.571022452,1.4716962669,3.3098488184,22.608738197,69.386956309,127960,9.1216377754,14.558978754,84.92949349,23.140756066,11.634577154,47.603305785,14.772969516,96.0801949273,9.3,13.999093238,6.2663438257
53007,Washington,Chelan,80.627327022,3.9542888898,4.2202745129,92.157534247,52.297170592,16.4,6.0437983772,20.1,29.511250162,94.0,406.73575000000005,59838,64.42361894,27.224545567,0.518134715,1.2202072539,28.244818653,67.57253886,51907,9.0343417917,11.266677933,81.341600902,23.492415834,12.279523763,35.375,15.373379587,93.080996493,5.1,14.38026831,6.4664502165
53009,Washington,Clallam,78.793720875,4.4218271122,4.485072538,91.976549414,60.307257183,16.7,8.8361249852,20.5,34.904991833,71.0,358.20046,57571,70.386552582,35.453195899,0.9323557176,1.8802291448,6.5639911549,82.411969327,57648,12.437215977,22.218156154,84.534862552,23.196963307,19.332729517,41.206896552,16.914498141,99.2678887079,4.6,16.78137292,8.0971659919
53011,Washington,Clark,80.067502711,3.9766013987,4.1901298633,88.537487669,67.912501695,12.1,4.6190019549,16.0,32.393132455,352.0,359.65845,80407,66.972592622,13.768475396,2.1305052218,5.0358327138,10.190868854,77.501889436,319955,7.5932027364,14.258611059,90.144336744,15.532445765,9.4043067508,25.361781076,15.451808127,97.4174661082,6.6,14.431049469,6.7006941609
53013,Washington,Columbia,78.61541564,4.2694412335,4.2279721051,,82.846715328,16.8,10.663043911,22.5,31.864477185,3.0,301.12923,56338,67.91086351,34.25698872,0.6273525721,1.4303638645,7.904642409,84.416562108,3042,,,78.272980501,15.892420538,,,12.5,97.7998952331,6.5,16.436962087,
53015,Washington,Cowlitz,76.913289554,4.8619483495,4.8111206986,91.964776632,58.561440929,17.5,8.6006953863,21.7,37.080196174,68.0,446.68288,57316,66.073131198,28.651498877,0.9259175536,1.5841870643,9.3360339262,83.192426284,74257,10.553218664,18.377285675,82.580091533,25.909050299,14.389349639,42.01754386,16.621588394,98.946613117,5.9,17.934817555,7.2975140337
53017,Washington,Douglas,82.72813158,4.483415456,4.3540960834,86.662337662,50.454455641,15.0,17.005696899,18.4,33.786074709,10.0,69.07827,63086,68.702090022,26.595716999,0.4674295977,1.1374887748,32.3194179,63.388519192,27593,8.6380551246,,80.305313503,23.289817232,10.469111363,29.411764706,17.001020061,92.5264819719,6.5,16.169074235,8.4932821497
53019,Washington,Ferry,77.69919258,5.2030072435,5.1796501582,,46.124031008,25.6,26.121979872,18.5,37.269008599,6.0,249.11499,47463,71.993464052,100.0,0.6817883834,1.1275730956,4.8249639439,72.964468336,5767,33.721126286,,65.91503268,32.012195122,26.27016235,76.666666667,17.348608838,98.0459611944,5.7,21.709956195,
53021,Washington,Franklin,80.976765866,4.5607387238,4.1889612365,80.160823171,49.171807815,18.0,8.4160790683,16.5,35.114674184,20.0,138.62342999999998,63575,68.461624818,13.333674501,2.1161076222,2.4290605112,53.560101657,39.850034656,53075,7.0854090958,8.5198832776,84.608763986,34.338071588,8.4660954585,34.285714286,20.534159087,85.434398011,9.4,14.64204839,8.0564641074
53023,Washington,Garfield,80.190194998,3.970346546,4.1459401126,,76.419213974,17.2,37.828216871,27.6,33.857896827,2.0,44.94382,54555,71.544715447,100.0,0.1348314607,3.2359550562,5.5730337079,88.134831461,1617,,,77.134146341,,,,11.44278607,100.0,6.7,15.44525518,
