FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
5001,Arkansas,Arkansas,72.94702319,5.2337474867,5.7964196139,85.138888889,51.864244742,21.8,,33.6,35.586671411,9.0,115.05494,51186,65.871089536,34.707397865,25.018696428,0.7133406201,3.7507910027,68.302364379,12360,31.784879933,,,50.582551861,21.391819318,21.176470588,12.174479167,0.5107559188,8.3,23.7,
5003,Arkansas,Ashley,73.814209739,5.365821028,5.8473828397,89.829317269,50.694112015,24.4,,35.7,37.015310998,8.0,77.56347,44677,77.216174184,51.681691301,24.137752728,0.3154247893,6.0137545892,68.178292569,13605,26.835589641,23.711933878,,37.959667853,24.044000521,35.5,12.886923563,1.4409528367,8.1,24.2,
5005,Arkansas,Baxter,76.058274693,4.9257798021,5.7093245533,87.186666667,62.619077861,24.0,,27.9,32.251215516,34.0,288.81208,44833,76.60596999,65.84202539,0.4758297429,0.5397471711,2.5827375598,94.264002651,32046,17.923617813,17.48904947,,31.278331822,30.257912684,22.5,10.887316277,0.0400671124,8.7,22.3,13.294797688
5007,Arkansas,Benton,79.47153427,4.274509507,4.9042385465,89.559498641,64.284638176,12.5,,26.5,32.827225677,168.0,230.28389,78678,65.925487402,25.160048613,1.8595856968,4.6451550347,17.26090299,71.873506618,179425,10.500202735,12.849142736,,24.504274762,10.402061659,16.193353474,11.745375523,3.500440307,10.1,16.4,7.7474496829
5009,Arkansas,Boone,76.130925946,5.057079906,5.8082389154,91.180555556,59.538443697,19.8,,33.6,34.794822982,29.0,156.81063,48153,72.026856345,62.198195269,0.4518272425,0.6485049834,2.7215946844,93.488372093,26282,17.963614126,11.551756311,,32.681564246,19.22850947,3.5897435897,11.701412239,0.2831497579,8.5,22.6,14.511494253
5011,Arkansas,Bradley,72.151960849,5.3644703023,5.6071271494,89.1,42.011212334,28.4,,37.3,37.964576891,6.0,56.396280000000004,41578,63.09945665,49.59158846,27.47438669,0.469968982,15.790957797,54.666791992,7522,34.030968181,,,34.995625547,20.310567034,39.166666667,14.443219405,2.4782780411,9.5,22.6,
5013,Arkansas,Calhoun,72.92553611,5.2334110979,5.7730247823,,50.042122999,22.3,,34.4,37.35821429,1.0,,50865,83.523375143,100.0,21.005280657,0.2346958733,4.4005476237,72.188539018,3773,32.966127304,,,25.751072961,,,11.111111111,1.1899959661,9.6,23.3,
5015,Arkansas,Carroll,76.106042866,4.9368161954,5.3899699775,87.152317881,41.594424613,20.6,,32.6,34.648416517,16.0,91.95076999999999,45397,75.097030418,72.833928441,0.5481680577,2.2315744801,15.486631773,77.730230584,19859,26.031431678,24.741102039,,41.913043478,14.949917775,16.785714286,14.202508961,4.1669809186,8.6,20.2,15.888501742
5017,Arkansas,Chicot,72.207551561,5.8519821582,5.902460581,91.796875,47.147950089,36.7,,38.9,41.172566908,7.0,604.59492,35992,66.683119447,54.279661017,53.153970173,0.7859733978,6.1265618702,38.724304716,7286,20.19712393,,,46.161321672,24.970707439,36.0,14.733178654,1.3325195809,9.1,25.2,
5019,Arkansas,Clark,75.320180917,4.9050341473,5.5221978919,83.064516129,55.920017973,22.0,,32.2,36.309313136,10.0,312.17482,46464,59.021113244,54.377038487,23.92435416,0.7012622721,4.9178844501,68.149120029,13034,21.067012251,,,17.209302326,12.563490497,,13.16872428,1.0255683161,9.7,20.5,
5021,Arkansas,Clay,73.030348193,5.5602200154,6.1306890152,92.007978723,54.542798715,24.3,,35.3,35.597264837,2.0,104.34782999999999,43723,67.371834466,58.857178387,0.8486956522,0.2295652174,2.4,94.553043478,10462,38.520801233,22.845132844,,49.558723693,16.301468491,16.428571429,12.111801242,0.0,8.9,25.0,17.280453258
5023,Arkansas,Cleburne,75.189754419,4.9693507947,5.7370776391,91.872659176,42.078727943,20.9,,32.2,34.337472085,15.0,116.30239000000002,49964,78.147399375,75.521755872,0.4491678364,0.473230399,2.4904752356,94.409464608,18735,26.101956512,13.365588955,,38.103485603,23.175711854,,9.5526561044,0.033530324,9.1,24.4,
5025,Arkansas,Cleveland,75.051562289,5.2912210554,5.9042675229,96.379310345,53.241758242,19.3,,34.9,35.658010401,,,57697,77.917981073,100.0,11.147417368,0.1759457082,2.8528339827,83.963805454,5743,33.255154549,,,24.096385542,,11.111111111,7.5987841945,0.0,9.4,23.9,
5027,Arkansas,Columbia,73.931945789,5.4401258395,5.876324194,91.171328671,57.881388997,25.5,,37.0,38.964211144,14.0,192.87643,44925,68.826868496,57.486151841,35.124941066,0.8915177232,2.9274356007,59.31164545,14605,21.097046414,,,24.741226963,22.909896227,,15.345982143,0.9652248433,9.9,24.4,
5029,Arkansas,Conway,75.330870797,5.2348105016,5.8225944084,88.716216216,53.205398566,22.9,,32.4,35.157668092,14.0,280.45824,47049,70.262631021,70.516617308,11.465513144,0.4848600086,4.2544088986,80.96211437,14569,21.80891303,,,37.593984962,,13.333333333,10.737463127,0.5584323282,9.7,23.2,
5031,Arkansas,Craighead,76.101241233,4.8245637317,5.4882575802,90.773021583,61.905839015,23.4,,33.1,35.064660369,130.0,405.36327000000006,51797,56.998317655,32.168223718,16.948639138,1.3550714954,5.3347587866,74.256314312,70184,17.710734436,7.8517825056,,31.152530908,17.276712278,21.06557377,15.404411765,0.6943486911,9.3,21.6,5.5109922757
