FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
19001,Iowa,Adair,78.168986849,3.4521602917,4.2494480132,,61.189258312,14.3,,27.8,32.678696902,3,,55265,69.940938763,100.0,0.7083156254,0.5383198753,2.5782688766,94.829295934,5101,,,,18.841591068,,,7.336523126,0.0300932892,7.6,19.5,
19003,Iowa,Adams,79.746653494,3.4989284462,4.3200835456,,66.841415465,16.0,,28.0,31.918320293,1,27.87068,56291,80.823601721,100.0,0.5574136009,0.6688963211,1.6164994426,95.819397993,2650,,,,26.359143328,,50.0,6.7073170732,0.1462843768,7.7,20.0,
19005,Iowa,Allamakee,77.640865346,3.5480123314,4.2217900821,95.5,59.978655283,16.6,,30.3,33.556364177,7,29.321209999999997,55320,80.107617286,73.963712491,1.7006304061,0.4911303328,7.6381762205,89.28309632,9642,18.584865724,,,22.061620388,,,10.663308144,1.874902754,8.5,18.3,
19007,Iowa,Appanoose,76.867941513,3.8097709081,4.5288479396,90.526315789,58.590657165,19.7,,32.0,32.748304615,10,136.76588999999998,49737,72.401847575,58.252502522,0.6757843926,0.8366854385,2.4215607401,94.448913918,8852,24.055809478,,,24.77950441,,30.769230769,14.773776547,0.127215673,7.9,21.2,
19009,Iowa,Audubon,77.687530304,3.4615779759,4.2985123117,,77.422389464,14.7,,28.7,33.5988962,4,,56338,75.02787068,100.0,0.5838350666,0.6385696041,2.2258711914,95.438788542,4012,40.706253498,,,17.28844404,,,6.1682242991,0.0192938453,7.8,19.5,
19011,Iowa,Benton,79.437808875,3.2016571834,4.0893707977,95.07751938,69.376646181,8.2,,25.7,31.473591051,6,27.54387,72308,81.826120706,80.656542414,0.7200755489,0.4879200441,1.6998504761,95.777917683,17768,23.971457242,,,12.954300108,11.714906046,18.214285714,7.2860635697,0.2127393317,8.8,17.9,
19013,Iowa,Black Hawk,77.625790858,3.4785562423,4.1700067664,88.852036575,72.049612017,14.0,,29.4,35.301865791,124,194.97500000000002,56091,65.621424955,13.480814707,9.4337314391,2.6845381004,4.7008089551,80.137782331,83770,8.6362684411,9.8878865783,,15.918958032,9.5458305933,41.300813008,13.949976404,1.9844064997,8.2,19.4,4.3335089568
19015,Iowa,Boone,78.782833453,3.2500236791,4.0788799499,93.421052632,69.879149457,8.0,,26.5,32.159958727,13,68.50097,70656,78.177946486,50.634836159,1.1607108878,0.5251741066,2.8618183202,94.013776306,18654,12.435860697,,,15.274949084,7.5830533923,28.888888889,9.7806215722,0.4533237052,8.1,19.0,
19017,Iowa,Bremer,80.763766122,3.0048756437,3.9130963943,95.841708543,77.797387928,5.7,,24.6,31.525918406,14,169.88661000000002,74596,83.119834711,64.48755973,1.2800758563,1.2445181937,1.8173916479,94.484611434,16512,9.7436838003,,,4.5007032349,7.9981444305,42.222222222,9.4418362024,0.441145281,8.8,16.2,
19019,Iowa,Buchanan,79.696208485,3.249112845,4.1146242245,96.438679245,70.583451921,12.8,,27.2,32.286272767,10,136.23337999999998,66852,80.004983182,68.537074148,0.5214450134,0.6294921783,1.728754639,95.870719218,14039,9.4623365212,,,10.324801032,10.391573379,22.962962963,9.5090118086,0.1676999695,8.8,18.2,15.711645102
