FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
24001,Maryland,Allegany,75.482068298,4.2320284046,5.0349099965,91.0,54.291464425,18.6,,30.4,41.282241224,41,326.87669,53023,69.056231503,27.252387231,8.1390867437,1.157628788,2.0469046633,86.40392823,49808,10.386020417,50.603458061,,22.636325629,11.543020273,64.107142857,13.831507095,0.2772452441,7.2,20.1,5.103926097
24003,Maryland,Anne Arundel,79.094255137,3.1643055854,4.0980399284,88.0,76.15185068,6.3,,22.2,35.461814077,402,222.55511,105979,74.333011139,5.3041349859,17.968965831,4.3694243253,8.6149590667,65.801498686,397405,8.2168837731,45.165766995,,12.104127208,7.7787960438,35.799648506,12.726396917,1.3023147325,8.9,15.0,4.3098494426
24005,Maryland,Baltimore,77.486107419,3.3651365839,4.2537502745,88.0,71.262075442,11.2,,25.3,37.785287557,758,356.65126000000004,79974,66.078320073,6.5338018879,30.118992708,6.436913526,6.0175516969,54.810373152,576066,8.3055261904,50.849820575,,13.228161286,12.930269181,38.861386139,15.467459214,2.1635405117,8.1,15.6,5.9390466267
24009,Maryland,Calvert,79.448763915,3.2537128724,4.302263684,94.0,73.125916422,5.3,,22.1,35.083318138,44,203.06858999999997,111665,84.73800602,38.709895534,13.152183256,1.944730961,4.5147842531,76.897455733,63226,11.846106606,38.544668588,,8.9418777943,6.5167382422,33.714285714,10.780141844,0.270474706,7.5,15.7,3.9509824636
24011,Maryland,Caroline,76.203495586,4.2954437857,5.0589141819,88.0,46.855837441,17.9,,30.6,40.178542031,11,44.78681,60617,71.044407895,75.999516119,13.588319599,1.2002866356,8.0616266571,74.770094351,22722,24.636716488,48.901219537,,20.64479638,14.436524407,41.944444444,16.349337748,1.9653031176,7.2,20.1,
24013,Maryland,Carroll,78.480515434,3.2442731931,4.3160783915,95.0,72.381076163,5.6,,22.5,33.719703666,76,236.55760999999998,104817,82.083217708,39.506025106,3.7991152745,2.2455231472,4.0451351927,87.781207863,117204,11.896042187,41.109319166,,6.7057191306,6.6555344929,16.069364162,10.843672457,0.4542769896,8.9,14.0,4.896094005
24015,Maryland,Cecil,75.076285717,3.7911682166,4.7551649585,93.0,59.024719279,12.4,,26.7,39.0357396,42,224.33014999999997,84248,74.550183681,42.102504253,6.9774412825,1.4697492724,4.8298668523,84.085129425,71365,14.877352221,75.703655775,,18.093497928,12.246111859,35.545454545,13.281884647,0.8480514395,7.9,19.4,10.918854415
24017,Maryland,Charles,77.836944793,3.3870679167,4.265720843,95.0,67.764152528,9.3,,25.8,41.574464887,60,185.48250000000002,102681,76.94465742,29.503722254,50.043177893,3.4256488847,6.6025687806,35.736091853,108750,13.870668101,28.209552,,13.183619551,13.51349676,35.567567568,14.649852428,1.0015672123,8.1,16.1,11.130195809
24019,Maryland,Dorchester,75.630354379,4.16008861,4.9331109085,85.0,52.948557089,23.8,,30.4,38.624022943,14,269.99027,54846,67.505397156,56.220491753,28.138636863,1.1396100838,6.1218723511,62.025554893,23120,13.32374024,40.7183128,,32.223415682,12.484394507,123.87096774,18.431963815,1.3607018706,5.9,19.7,
24021,Maryland,Frederick,80.1567493,3.1903950631,4.1110991843,92.0,74.825748257,7.2,,23.4,33.036542044,165,250.03677000000002,99254,75.882034804,25.207704008,10.321276507,5.261708924,10.895267404,70.59484615,174651,7.4054560687,29.858167298,,9.7426252563,6.4064051551,24.357142857,13.401892675,1.7940701435,8.8,12.3,4.3847671067
