FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
23001,Maine,Androscoggin,76.807511561,4.3367536636,4.9385998412,79.448739496,67.575711343,15.6,,33.3,40.398877374,92,500.24413000000004,57723,64.906548164,43.366882695,4.6495987913,0.9811418095,1.9733387381,89.775857463,75245,12.331829646,33.589828137,,18.874596649,10.751233148,17.019230769,14.123983293,0.6449516532,5.1,19.8,8.3669724771
23003,Maine,Aroostook,78.313734456,4.7497363343,5.2137500679,87.433566434,67.53312946,18.8,,35.6,36.83601388,76,612.23879,45523,73.21078597,80.265757618,1.0822705227,0.5538590504,1.4594934435,93.575235016,50068,10.744600838,20.401054884,,18.488684311,13.666803335,11.578947368,12.919547984,0.6300882747,8.0,22.3,6.7465321564
23005,Maine,Cumberland,80.169038122,3.5586771328,4.292222867,89.908563363,79.524653855,8.8,,24.0,30.332258924,496,758.77777,75455,69.990436361,36.098468442,3.2326884952,2.5054426036,2.2562065808,89.797759895,214177,6.5886248125,28.420913732,,6.4144108214,7.0690016123,12.519685039,14.237981874,0.9138641974,7.0,14.1,4.9821810406
23007,Maine,Franklin,78.158969487,4.2998680713,4.9299269558,84.781746032,58.96589659,16.2,,31.3,33.544210305,32,320.1494,49317,77.514888138,82.998569943,0.4668845461,0.5335823384,1.4206629761,95.564596812,21768,15.212162124,25.5322928,,11.559907521,17.32513277,16.538461538,10.918324164,0.2942103604,6.1,20.2,
23009,Maine,Hancock,79.493681927,3.9266722285,4.6204095633,89.698795181,64.498281499,12.9,,29.0,30.442203087,65,430.22074,58466,76.733289103,90.113565364,0.9276067383,1.2725094394,1.6845774034,94.35811792,42028,15.659377227,18.800868479,,12.053425996,11.687277668,9.3181818182,15.330788804,0.1618955107,4.0,17.9,
23011,Maine,Kennebec,77.901902014,4.2160821093,4.8446334261,84.28,66.131134834,13.8,,32.0,34.358833088,147,517.26241,53876,70.742391346,62.830431188,0.7287218901,0.9930462364,1.7396608515,94.18893091,88325,12.2234733,34.84510263,,14.291918354,10.824463287,9.6330275229,12.650368646,0.2690159003,5.1,19.8,3.0931227377
23013,Maine,Knox,79.287422839,3.9334861174,4.6059896747,89.002217295,58.977948897,13.6,,28.1,31.952544739,42,550.67458,66058,78.636337658,67.930843568,0.7258892143,0.6307726966,1.5694225426,95.083977873,30210,12.564663141,25.942725158,,14.870435807,12.058604819,15.0,13.786068202,0.2175679572,5.6,17.7,10.115236876
23015,Maine,Lincoln,80.222855303,4.0919716678,4.7350350461,,58.439653908,13.8,,29.4,33.649914766,38,207.04529,64825,78.640280881,100.0,0.6153846154,0.8684399712,1.3687994249,95.54852624,26461,16.229037493,27.951537817,,16.895062887,12.777993971,12.592592593,13.988288874,0.3275009855,6.1,19.2,16.231647635
23017,Maine,Oxford,77.426503613,4.5343025519,5.084814347,83.226734349,54.960866472,16.9,,33.3,36.296337887,38,271.79522000000003,47611,80.535802138,83.111718223,0.5883162458,0.7878621069,1.6514140233,94.851372738,43289,15.391451786,23.024895668,,18.11362181,13.523775838,8.8461538462,13.836175835,0.1268575571,6.3,21.5,11.554866227
23019,Maine,Penobscot,77.118998592,4.326292877,4.910872556,87.233729662,68.370358446,13.1,,33.5,36.696129779,196,599.38677,52079,70.074358283,57.650253698,0.9580956777,1.2040486631,1.5759454024,93.351356698,108311,13.52407285,40.008881092,,12.199018269,13.840155432,10.305343511,14.42838584,0.2094610009,5.3,20.3,4.7008547009
23021,Maine,Piscataquis,77.167747418,4.7879199114,5.2399668592,,49.032459426,21.2,,34.5,37.506562265,11,229.46576000000002,48769,77.005571031,100.0,0.5648387856,1.1708637326,2.8006589786,93.333725582,12991,18.619767422,33.609458097,,18.102581294,17.815361592,,13.732154997,0.1179172097,5.7,23.7,
23023,Maine,Sagadahoc,80.46934214,3.8183306384,4.5402154912,85.179738562,67.310749664,10.9,,28.3,31.157529575,24,233.04850000000002,68433,75.411882177,61.675119712,0.8905781822,0.8989013428,1.9975585396,94.301409389,26891,7.2465810228,19.5287072,,12.526096033,15.712770554,21.5625,13.672245027,0.3661813779,6.4,16.6,
23025,Maine,Somerset,76.602521289,4.9306892649,5.3562729837,83.403398927,55.654061878,18.5,,34.4,37.88104844,27,175.76775,43694,76.525756526,80.47598989,0.5747012936,0.6931964056,1.1790263652,95.536684112,37601,18.282666907,31.639103295,,23.057892133,20.532907934,11.739130435,16.22939401,0.3484031522,6.4,24.8,10.004653327
23027,Maine,Waldo,78.846265936,4.2210855357,4.8257215804,87.099609375,66.782823741,15.6,,29.6,32.461661774,29,260.50147,56085,80.40397085,91.34223689,0.5235077524,0.6211958019,1.7057836335,95.208275931,29485,17.706534072,17.597961988,,19.526548081,14.607511283,16.0,13.243480809,0.2031608665,5.7,20.4,9.9775784753
23029,Maine,Washington,75.515855926,4.8055291052,5.2236538357,,57.622739018,17.7,,35.2,37.595784138,15,619.5786899999999,48582,77.621113521,92.378865352,0.5528548279,0.4829536428,2.8754805706,89.095415118,23114,17.661603674,46.638824702,,21.209084836,17.155383296,9.3103448276,12.930097791,0.4553825548,5.1,23.1,6.3667820069
23031,Maine,York,79.126283689,3.7882843934,4.534013774,89.256678889,70.989241561,8.9,,27.1,33.856290268,152,433.83429,67965,74.358885859,56.843418843,1.0379497384,1.4115159806,1.9601465566,93.683812767,152421,10.689216955,31.30337627,,10.614717762,9.4223241085,12.22826087,13.898405198,0.5165815028,6.6,16.9,6.1020340113
