FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
27001,Minnesota,Aitkin,78.780242016,3.7365389943,4.4297917616,84.522058824,65.463297232,15.6,,23.1,32.024533571,13.0,82.02928,49822,84.105873058,100.0,0.4038364462,0.2839475013,1.3440181726,93.803634528,12367,19.000913853,,,12.856568903,13.915595587,31.538461538,15.87815943,0.1637304342,6.1,20.6,
27003,Minnesota,Anoka,80.954668342,3.0532596343,3.7758083137,85.397029898,72.937694306,7.4,,21.0,31.463882972,181.0,186.70764,84779,80.85733288,13.50062265,7.7994893324,5.381458709,5.0469408565,78.39081354,241738,7.6609616952,14.103516072,,9.1904472244,8.0883039166,14.809160305,10.472999606,1.8281634856,8.2,16.6,4.5647436633
27005,Minnesota,Becker,77.732413493,3.5899165847,4.2912764656,88.40497076,70.544820183,15.5,,23.5,30.987678718,27.0,223.47342,60159,78.805049491,75.470711297,0.5659391688,0.5369166473,2.3130949617,86.086603204,23487,14.302119658,,,17.684668753,16.366420781,33.076923077,12.458286986,0.1622211823,5.6,19.6,4.4179104478
27007,Minnesota,Beltrami,76.483558804,4.0648708052,4.5912363363,71.755178908,67.597354886,17.5,,23.1,30.847366798,47.0,368.87145999999996,58138,67.822391231,67.089689933,0.7145567219,0.7567134606,2.4535221955,71.856161207,28828,14.442341257,29.686804216,,29.610689541,14.523955984,25.8,15.662999421,0.1698533294,6.3,21.5,7.2695035461
27009,Minnesota,Benton,77.97455451,3.4439131135,4.168270333,90.89893617,70.930132876,7.6,,23.0,32.207325308,12.0,17.09068,70143,65.774784614,40.011963278,5.2028907662,1.1328678158,3.0030763221,88.024317594,26896,9.235020619,9.8045623897,,10.535137076,13.345129769,23.333333333,15.201973481,0.724714627,7.1,18.9,
27011,Minnesota,Big Stone,80.311786576,3.6224190716,4.3257577601,,68.862911796,14.0,,24.2,31.559377923,9.0,60.938449999999996,54796,70.662598082,100.0,0.4062563478,0.3859435304,2.2953483648,95.124923827,3601,,,,,,28.0,11.428571429,0.471293916,6.9,21.0,
27013,Minnesota,Blue Earth,80.420217252,3.5072602233,4.1296029845,86.095267746,75.728450636,10.7,,22.6,28.968101886,64.0,388.3296,67193,61.273209549,26.892974864,4.5485851614,2.5146173122,4.100174382,86.503714776,39506,5.98409513,8.3611628902,,6.5987663176,7.1272662479,46.5,15.318983905,0.8461538462,8.3,17.7,
27015,Minnesota,Brown,80.029379746,3.281039161,4.0265955062,87.360627178,71.402281929,7.7,,21.8,32.684872301,25.0,209.28922,61978,76.566757493,34.939945159,0.4990742977,0.7928841665,4.6607099734,92.980761491,17216,12.493256481,,,13.283740701,12.750019922,19.6,7.2693383038,0.6205149852,7.5,18.5,
27017,Minnesota,Carlton,78.437222647,3.5048223179,4.1844511475,91.31302521,71.277189069,8.9,,22.0,31.684876842,27.0,164.9473,67695,79.813192383,55.165884813,1.6634515922,0.5926919959,1.7724845537,88.051105706,25083,9.2054127827,15.817337663,,17.373967531,10.072014907,17.179487179,11.698956781,0.6118829441,4.6,20.4,6.9377990431
27019,Minnesota,Carver,83.165032336,2.6319470116,3.4379689306,93.110332103,86.084515707,3.2,,17.9,26.743840893,93.0,207.38516,107932,82.086877441,18.827574087,2.1423544316,3.5368085206,4.4038849528,87.992305166,67783,5.4647488668,10.152123221,,4.1401518056,5.7961382263,13.787878788,9.7071129707,0.7191869164,7.8,12.9,4.4371405094
27021,Minnesota,Cass,77.461816409,3.8128899092,4.4313456162,67.743362832,65.87372563,19.4,,23.6,30.571267997,12.0,86.87517,52271,80.315495509,100.0,0.4377171879,0.4443998931,2.3356054531,82.842154504,21548,17.57477824,22.414991146,,28.593213877,16.940653503,41.379310345,13.956170704,0.1291479821,6.5,22.1,11.238720263
27023,Minnesota,Chippewa,77.892047883,3.6441009008,4.2301147209,85.149082569,62.876008804,11.1,,23.2,31.578929065,11.0,68.03878,63406,67.796610169,50.341612411,0.7739411465,1.2246980779,8.1306344616,85.694846062,8241,,,,24.42159383,,26.666666667,9.5098039216,2.0216606498,6.8,19.5,
27025,Minnesota,Chisago,80.104651391,3.1937416895,3.9825283292,86.715530903,66.24614723,6.3,,21.3,31.070562492,27.0,147.90295,85178,86.431026019,55.588546403,1.3434517731,1.4438144874,2.4808958693,92.604852625,38912,9.2862725676,9.4509583862,,9.9058940069,7.5174243156,19.833333333,9.8009950249,0.1594502762,7.6,19.1,
27027,Minnesota,Clay,79.963648643,3.302601847,4.0096979455,85.344366197,77.734099977,8.7,,21.4,30.482192569,16.0,262.79177999999996,74266,66.580279409,27.919117273,4.6081310867,1.436079765,4.8230020096,85.413510589,38877,5.6443474118,8.8143643029,,9.0960481011,6.8898346753,35.147058824,13.666947014,0.4019779333,7.6,16.4,
27029,Minnesota,Clearwater,77.72820937,4.0059208132,4.5937590228,80.064102564,53.435897436,14.4,,26.8,32.348388637,3.0,22.18033,51147,80.73580533,100.0,0.5434179882,0.3105245647,2.4398358656,84.440501275,6078,19.372336304,,,31.161473088,,49.0,16.184971098,0.2641056423,6.7,23.2,
27031,Minnesota,Cook,82.510190152,3.2490820831,3.9483422427,,75.021459227,11.2,,20.0,29.143565808,8.0,92.30201,58561,77.147239264,100.0,1.2737677681,1.1076241462,2.5844563411,84.142514307,4282,,,,,,15.0,17.777777778,0.8155339806,4.7,16.2,
