FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
32001,Nevada,Churchill,74.179542169,4.3010674271,4.8400821851,73.0,65.558152076,14.7,,25.7,37.451875714,11.0,212.90857,61650,68.561973526,34.7147968,2.3222804873,3.0516894689,15.065252533,71.714702519,16823,23.346893988,28.107934468,,28.85193348,22.738346597,,14.103869654,2.3798149998,7.5,18.9,
32003,Nevada,Clark,78.409530917,4.1370720828,4.4087421923,86.003955853,58.389678854,18.0,,27.2,38.721058817,1288.0,224.70134000000002,62496,54.787732409,1.3060731247,12.032791543,10.666837078,31.814972864,40.852336587,1528148,9.8902565672,22.61412539,,22.002413395,16.063979564,,19.534998796,6.4849226959,10.1,16.5,9.8957647369
32005,Nevada,Douglas,81.110152763,3.725696081,4.4003808666,91.0,67.715530988,11.0,,22.5,34.746800723,27.0,146.67536,84317,74.453039723,31.553077856,0.7496740548,1.982154498,13.066329857,80.192715124,37672,9.1706480098,17.752287314,,11.277273842,21.005894007,,15.694849368,0.9629961779,7.3,16.2,
32007,Nevada,Elko,78.483466306,4.1291872288,4.6178073775,82.799418605,52.52739726,13.2,,27.0,37.688017878,20.0,83.00947,73914,69.199611147,37.85079274,0.926310229,1.3545636343,24.965098291,66.179300457,33895,17.130644275,11.374838856,,29.557463672,30.411197403,,9.0163934426,2.388736769,6.9,18.5,10.305471635
32009,Nevada,Esmeralda,,4.780760205,4.9210773786,,51.020408163,16.4,,29.9,39.855253611,1.0,0.0,35395,50.485436893,100.0,3.3860045147,0.9029345372,19.638826185,66.817155756,885,,,,,,,5.2747252747,2.9673590504,5.9,20.9,
32011,Nevada,Eureka,79.000961211,4.1707420934,4.7659543884,,38.655462185,13.4,,26.4,36.636906136,,,68806,73.373676248,100.0,1.1138014528,1.2590799031,14.237288136,79.031476998,1217,,,,,,,4.6666666667,0.0,4.9,19.6,
32013,Nevada,Humboldt,76.984826139,4.3770011219,4.7400552278,86.0,49.558723693,13.2,,27.6,38.126231827,8.0,100.22403,72907,68.794649643,37.875121007,0.8961207405,1.0965688008,27.744369768,64.373305035,11173,16.027668818,23.725261472,,32.34429297,29.674647168,,11.403508772,4.267434421,6.4,18.7,
32015,Nevada,Lander,75.552398325,4.4775126959,4.8394313625,77.5,55.625790139,11.4,,28.2,39.118645662,2.0,54.40696,80894,75.766738661,39.047619048,0.779833152,1.19695321,22.996010156,69.532100109,3884,32.55860549,,,38.851351351,,,12.230215827,5.1603111364,5.2,19.6,
32017,Nevada,Lincoln,81.765779477,3.9411638857,4.6490061994,87.5,43.98595259,16.7,,23.9,36.806386502,2.0,38.767199999999995,60180,72.541188218,100.0,2.5780189959,0.7753440589,7.6177553789,85.016476061,3672,,,,12.584704743,,,10.294117647,0.3404766673,4.9,18.5,
32019,Nevada,Lyon,76.20011434,4.3717747348,4.8545845252,86.0,52.658509455,13.1,,26.7,37.736704349,11.0,154.32363,63162,73.023105956,36.937283571,1.1385654761,1.6821276085,18.577136096,73.20427305,40302,20.348958551,27.965998007,,24.774560987,26.529192867,,12.299074525,1.7840553607,9.0,20.6,12.11001642
32021,Nevada,Mineral,71.614510711,4.9693234931,5.2863375682,,42.332896461,20.7,,28.7,40.139607276,5.0,88.53475,50069,72.961816305,31.91533948,3.8733953077,3.6299247455,13.966356795,60.33643205,3260,,,,33.810143043,,,14.175257732,0.0230786984,7.1,22.8,
32023,Nevada,Nye,74.097546397,4.683125682,5.0724758084,80.0,48.216467139,22.0,,28.7,38.75178404,15.0,170.64136,52783,71.526515348,35.270559323,3.3816123528,2.022724435,15.74062513,74.372580847,35089,21.773447281,31.445866655,,28.661546901,31.202207886,,13.845741832,2.769018299,7.1,22.5,
32027,Nevada,Pershing,77.6947732,4.2958824562,4.4983725094,,40.270400773,18.8,,27.4,37.964488844,1.0,76.06877,65000,67.844698855,100.0,4.0924996197,1.2931690248,24.676707744,64.14118363,5143,21.568458287,,,33.398821218,,,13.178294574,2.9644895371,6.1,20.3,
32029,Nevada,Storey,82.871253023,3.7014361994,4.4362185688,,75.10853835,11.2,,21.6,35.505374803,,190.15926,73271,96.478873239,92.643391521,1.5688138816,2.3056810078,8.153078203,83.574994058,3055,,,,,,,7.5,0.2810424119,7.4,16.3,
32031,Nevada,Washoe,78.160183557,3.9392373615,4.3942152417,86.022736842,64.489744656,11.3,,21.2,35.169452324,365.0,346.27171000000004,75232,57.884330203,4.2668963733,2.351168143,5.9270733333,25.364193158,61.718530567,322617,11.413395034,27.857595366,,22.880768898,16.362191056,,17.879862636,3.3370421755,8.1,15.6,8.4288388658
32033,Nevada,White Pine,79.723764757,4.3826167508,4.7285699583,67.5,40.481099656,12.6,,27.3,38.270004417,7.0,348.6161,57923,72.365964257,53.33000997,4.3735474329,1.0775406719,16.733572787,71.603634059,7158,17.740981668,,,34.502587694,20.922690658,,9.3484419263,0.8341565141,4.9,20.4,
32510,Nevada,Carson City,74.409476441,4.2169411785,4.5953885807,80.448246364,61.064672239,15.9,,26.1,38.518181558,42.0,299.81797,58382,58.180943215,4.8395267214,1.9184780669,2.6715922476,24.91701467,66.027768855,39827,16.584865274,25.09500251,,27.898027898,18.060256239,,17.297417631,3.056124696,7.1,17.4,15.773286467
