FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
45001,South_Carolina,Abbeville,74.963828697,4.8265382419,5.2493525222,84.0,55.487804878,20.6,,31.6,42.738517245,13,61.46533,47219,74.950505366,78.577330133,26.762006228,0.3687920013,1.7702016063,69.304212424,17236,24.860808381,19.054878049,,22.998595506,20.314302894,21.904761905,14.754098361,0.5062856653,8.4,22.9,
45003,South_Carolina,Aiken,75.830489414,4.3281484475,4.8025072902,91.0,57.98816568,18.2,,27.2,37.298939712,56,155.00736999999998,57128,73.708727624,36.99898188,24.812169236,1.2331183666,6.0499146881,65.485988606,119689,18.145019404,29.425061578,,25.789758026,24.269414059,24.496644295,13.049018138,1.1116529742,9.5,18.3,7.105229346
45005,South_Carolina,Allendale,71.170098972,5.3869565547,5.27136175,77.5,39.72299169,45.1,,39.0,45.113236968,5,120.03361,32701,68.505545826,68.25990978,72.83639419,0.8402352659,3.2409074541,22.06217741,6161,31.697228077,,,38.558786346,38.663603903,52.857142857,14.776119403,0.7733491969,8.1,25.4,
45007,South_Carolina,Anderson,75.110440707,4.3900204281,4.9472275226,87.315300767,62.383689674,18.7,,30.0,37.796960516,135,170.78291,52667,72.618139275,37.925782628,16.0085734,1.1176738291,4.0581738462,76.801417156,137952,22.802097217,24.201793567,,27.518337965,22.638400911,23.315508021,13.010570273,0.8847069806,8.7,20.9,10.052652106
45009,South_Carolina,Bamberg,72.251039835,4.883958911,5.11596145,83.03030303,61.549345596,34.2,,34.9,42.4439277,5,43.14684,39969,77.120315582,54.506786764,59.420394075,0.6615849274,2.3011649648,36.221774773,9440,24.722123334,,,17.449004669,26.737215389,13.636363636,13.837638376,0.3019145803,8.0,22.7,
45011,South_Carolina,Barnwell,72.039733253,5.2065353403,5.4173928693,87.093425606,51.17464539,33.7,,35.5,42.656239936,4,177.84186,41717,72.491349481,82.542769992,43.095409757,0.8940158616,2.7733717856,51.040615237,14129,26.792591848,20.706242136,,35.751188262,32.193616195,53.5,14.594594595,0.2104841135,8.3,24.2,
45013,South_Carolina,Beaufort,82.575936172,3.6579340788,4.1941160747,87.0,62.750959,14.8,,22.5,35.111257217,133,162.01905,76515,74.811062764,19.646434449,16.871958948,1.4617491925,11.150693053,68.699145439,137396,14.286515296,16.305488532,,20.709347761,13.62936166,21.870503597,16.606472629,2.3554520545,8.0,15.6,8.6933103523
45015,South_Carolina,Berkeley,78.346260174,4.0644639044,4.6056587978,83.0,65.076427997,15.5,,28.5,37.841822563,72,122.88812999999999,70371,72.306745229,28.953627638,24.178450508,2.7285401314,7.1724289897,62.830155898,148412,18.682198637,22.920209932,,20.665444991,17.148192706,27.465437788,12.665154144,1.326841847,7.9,19.0,9.2820693296
45017,South_Carolina,Calhoun,74.376802921,4.4435235207,4.8819576751,92.5,60.204695966,22.3,,30.8,39.304120594,4,13.74193,50977,81.369554734,100.0,39.748522743,0.3641610554,3.9714167926,54.136319912,10770,35.99712023,,,21.777936451,28.717163291,,17.320261438,0.5541960559,8.0,20.0,
45019,South_Carolina,Charleston,78.771635257,3.7229992653,4.3229758807,84.0,75.400842504,15.0,,24.2,32.092943129,514,382.55327,72451,62.167785522,10.880931101,25.292776466,1.9331022223,5.3578990433,65.610398559,291568,14.731632811,27.442904188,,16.644448183,19.1814536,34.418604651,17.935199387,1.6738985966,6.8,15.7,7.4555769642
45021,South_Carolina,Cherokee,72.66717399,4.9374292658,5.3101539856,83.0,51.794763514,20.9,,34.0,39.251045795,21,59.320260000000005,45085,70.850377785,61.049474179,20.291018215,0.6647358504,4.839835299,72.234629074,38769,22.632228797,14.560788379,,38.359083644,19.618490427,28.867924528,10.257668712,0.8345414669,8.5,23.7,10.819575472
45023,South_Carolina,Chester,70.775487611,4.9209377538,5.2832432604,79.0,51.777807594,27.5,,33.8,41.728663954,8,49.64011,45366,78.788585647,71.783343392,36.314842393,0.5398361876,2.2493174485,58.466741127,22513,37.641765532,24.812100034,,36.469845279,29.1546998,36.666666667,13.20754717,0.2792286719,8.2,23.1,
45025,South_Carolina,Chesterfield,73.179324808,5.0944792599,5.3452206915,83.0,44.947867299,24.7,,36.7,40.235428547,14,122.79086,44792,69.878658101,73.766422733,32.482568083,0.6380739376,4.6682454063,59.801341929,31901,28.961767353,16.057222101,,35.512675767,26.204191797,25.853658537,13.936022253,1.5965939329,6.7,23.8,17.58383491
45027,South_Carolina,Clarendon,74.430837505,5.0334558196,5.2399151168,84.085213033,46.761693883,27.0,,32.3,39.580629427,9,107.73605,52983,77.299412916,85.708158188,46.081101302,0.8020350142,3.2410594045,48.66975909,24395,26.187298316,12.889153282,,27.8125,17.173176682,22.592592593,13.583489681,0.7180439492,7.7,22.8,12.459858703
45029,South_Carolina,Colleton,70.65843003,5.036296146,5.3203539269,78.0,51.898297285,29.1,,36.0,39.191316312,19,125.39687,44399,74.118185983,75.568240255,36.213014594,0.461567194,3.7058776447,57.164963582,26244,47.374684485,24.818734599,,40.056489922,34.509853891,28.529411765,11.455926048,0.7266172867,7.9,24.8,
45031,South_Carolina,Darlington,72.747457503,4.7869255304,5.163778212,92.949445129,54.869693283,27.5,,32.6,41.906868212,34,129.30581,42082,69.65577976,57.764156026,41.31019862,0.532258792,2.3094618773,54.222736772,46243,28.311425683,16.005682017,,30.672459633,28.705730381,34.5,14.403911245,0.7053777107,7.7,22.9,23.316498316
45033,South_Carolina,Dillon,70.561074315,5.6828579284,5.7238133578,84.249422633,48.255179935,31.8,,38.9,42.978924951,14,138.30803,40930,58.769175563,69.505957208,46.573583166,0.5696973689,2.907761715,45.256363816,20249,25.542191056,30.619498059,,42.139614075,42.492269676,51.875,16.77301732,0.68237777,7.2,26.1,
45035,South_Carolina,Dorchester,77.803256432,3.9724227817,4.5616348971,90.202284626,65.865046805,17.9,,26.2,37.45832102,53,128.51686999999998,62928,72.481076239,19.482992201,25.252659334,2.2668444584,6.0372759251,63.207974079,108828,17.266935001,24.121359055,,18.211318432,15.88647798,32.743902439,14.830430797,1.4424059437,7.9,18.1,9.4619036853
45037,South_Carolina,Edgefield,79.000320859,4.6317964311,4.8612429231,87.0,45.570736007,21.6,,31.3,37.917422375,10,62.68437,55005,75.81506924,73.311098759,33.683628319,0.564159292,6.2721238938,57.758112094,19691,16.52892562,,,24.70635885,12.641002952,23.181818182,12.244897959,2.0558736502,7.4,20.8,
45039,South_Carolina,Fairfield,72.500345823,4.881505123,5.1264045225,81.0,49.696575639,26.0,,35.9,40.309717953,9,104.26583000000001,45648,75.297906602,78.314409751,56.262749898,0.7570606102,2.3981141484,38.673557278,16269,41.193730948,22.45240091,,25.594149909,20.523253739,43.333333333,16.53674833,0.1634292118,8.0,22.3,14.138576779
45041,South_Carolina,Florence,72.524910976,4.5231062735,4.9437962426,81.478221957,61.655925216,20.8,,33.5,40.993799594,136,245.66096,47429,65.714826021,38.518464404,42.976131639,1.5917085792,2.9065034741,50.867081432,93617,23.724082729,23.427688146,,29.338162661,20.973518402,35.0,14.274735831,0.5751728598,7.7,20.4,4.1678360932
45043,South_Carolina,Georgetown,75.251674079,4.3462953843,4.8335237804,86.0,60.057133255,26.8,,29.1,38.510253028,42,94.70743,57991,79.788803479,41.517337677,29.739712405,0.5382539106,3.2658279797,65.33076571,46485,20.998756228,37.17827514,,22.060801722,20.559738891,21.458333333,15.690959777,0.809328308,7.0,19.2,7.2241853161
45045,South_Carolina,Greenville,77.971132783,3.8752384103,4.4238081028,85.253866219,70.008881444,15.8,,26.8,35.72804424,569,252.02541,62475,68.24988006,12.605684525,17.783941737,2.7938762709,9.8196008909,67.583936479,352123,16.814727335,29.485919677,,19.870897847,15.412424044,25.240083507,12.414503393,2.4465988123,7.9,15.0,5.1092937939
45047,South_Carolina,Greenwood,74.912863872,4.6182066046,4.9921126696,84.389913899,56.260600035,23.8,,33.1,37.882148812,80,340.49019,43711,62.333345248,39.752515755,31.571320033,1.2902045755,6.5312209809,59.100374258,48073,22.336295261,27.277943431,,30.412491261,16.425290416,46.40625,15.107517001,1.4255392814,8.6,20.1,7.9001019368
45049,South_Carolina,Hampton,71.473164559,5.2287068401,5.2675156329,86.869747899,39.020863458,29.7,,38.9,41.801844745,6,94.16717,43614,75.975627448,78.473210052,51.852877638,0.6536309755,3.234919404,42.558023597,13557,35.138063307,,,37.244401168,24.96099844,39.411764706,6.2815884477,1.6904355487,8.1,24.3,
45051,South_Carolina,Horry,76.467964787,4.2826715904,4.8178841093,83.0,58.991104026,19.5,,29.1,34.39316896,211,157.3407,55055,73.831110198,30.375690238,12.310336052,1.5017143295,6.1548943902,77.697024756,257221,19.378529277,39.203630425,,23.277482632,18.72869393,36.352941176,15.324493526,1.3158375783,6.9,22.9,7.3080899457
45053,South_Carolina,Jasper,77.205592554,4.8499798134,4.9099675942,82.0,50.263763019,31.9,,34.4,42.42551707,6,75.97822000000001,48988,73.526669153,66.670702668,38.400658478,0.8895783209,13.954666329,45.093073319,20964,31.103584812,31.997528467,,43.669871795,30.497102775,33.043478261,18.687374749,4.683908046,8.2,21.5,
45055,South_Carolina,Kershaw,75.72502636,4.3463367893,4.875027748,86.0,59.867414584,19.4,,30.3,37.589444137,45,131.90657,60397,81.034278259,57.680276188,24.038119516,0.7944036045,5.1206426369,68.014880247,46070,26.124448972,27.553039601,,29.192273924,17.642692883,14.615384615,13.247433058,0.5088200831,8.1,20.3,11.476389719
45057,South_Carolina,Lancaster,77.123498036,4.104526261,4.6553114237,83.0,63.815597516,14.2,,28.7,37.330188512,45,55.486200000000004,63019,80.552401499,49.954339091,20.533856489,1.8003289539,6.0955551592,69.835324892,68504,21.225041211,38.054077562,,28.585183848,19.51887034,24.578313253,11.277965063,1.5096020039,8.5,18.2,10.209290454
45059,South_Carolina,Laurens,73.342417433,4.8444963629,5.2106629279,81.684952978,52.082670906,24.0,,32.9,39.934040669,33,67.76365,43766,71.586773626,64.194358026,24.549592682,0.6496471871,5.5669313377,67.417468291,46312,30.054289557,34.590107229,,34.182167616,16.964538163,22.0,15.034482759,0.9555502734,8.6,23.3,9.3876282251
45061,South_Carolina,Lee,70.396425824,5.1618401308,5.2070050775,87.5,42.574746726,31.6,,37.4,40.083428014,3,113.76564,40400,77.195972115,71.951092612,62.90641279,0.4730255673,2.5986467876,32.6986408,11965,33.635505968,,,35.673187572,29.186513496,14.285714286,16.129032258,0.1042880805,7.7,24.1,19.977802442
45063,South_Carolina,Lexington,77.712209366,3.9826654507,4.5746167206,72.365875371,64.94648465,11.7,,26.3,37.379644926,187,169.10899,62839,75.289880229,25.276019376,15.418199285,2.3471274503,6.3876478059,73.651240681,204428,16.516843494,24.72909389,,21.185744786,17.700123291,20.0,12.524154047,1.2471700218,8.4,17.4,9.1311927938
45065,South_Carolina,McCormick,72.567416718,4.5201959694,4.7764824978,,40.370976541,32.3,,31.2,40.952566325,3,63.62672,50698,77.786144578,100.0,43.594909862,0.6044538706,1.5164369035,53.085896076,7859,25.356860522,,,27.514231499,23.16228338,,9.709962169,0.043379243,8.8,21.2,
45067,South_Carolina,Marion,70.687307343,5.210083915,5.3694357968,78.0,41.449971735,32.5,,38.2,41.281870568,13,119.37131,38498,63.588016309,60.752525558,56.343258837,0.6897009085,3.1832349625,37.983288016,21437,28.825959836,19.596315893,,40.974701226,27.764684613,73.214285714,15.987868284,0.2236059032,7.1,24.8,
45069,South_Carolina,Marlboro,71.409751191,5.5066187651,5.4411624703,79.0,38.081603436,33.9,,38.1,42.238534515,4,261.91314,38877,64.205029838,55.047869215,50.568781518,0.4104608889,3.240686447,38.923419726,18863,36.842245775,14.085048081,,47.628537266,26.541894485,32.857142857,14.658320292,0.8977955912,7.6,26.2,
45071,South_Carolina,Newberry,75.350824533,4.6715504625,5.0003301534,86.0,51.874630396,23.7,,32.2,39.787428253,25,59.82573,52202,74.926549145,67.849525435,29.416048901,0.7595265964,8.058265054,60.17167382,26422,16.805655663,14.730730904,,28.332186281,17.710916175,36.666666667,12.248995984,2.3879439304,8.3,21.3,
45073,South_Carolina,Oconee,76.424794935,4.3678807206,4.8850249673,86.0,61.493490839,18.5,,27.9,36.768585246,43,98.73149000000001,58061,73.23674476,64.921303839,7.2761357246,0.8923326876,5.7876648128,84.090483034,56987,19.72477487,24.376405321,,32.807659814,18.132597814,14.626865672,13.654934004,1.099152121,5.7,20.2,
45075,South_Carolina,Orangeburg,72.644315693,4.8554582423,5.0989580035,81.41565534,57.371877747,29.7,,33.4,43.202184183,39,169.90263000000002,41335,67.159297035,63.77768889,61.50240793,0.9573134293,2.4290217124,33.241156275,59028,34.413638892,17.798275889,,26.434435955,22.589441511,33.766233766,14.84908236,0.4286529611,8.2,20.6,
45077,South_Carolina,Pickens,76.321532233,4.3824794485,4.9295367553,85.0,64.226789709,14.5,,28.7,34.731208259,75,129.70473,54588,68.478216067,35.792290143,6.9298266176,1.9463522499,4.1763359196,84.99644484,79510,15.89486354,33.175006056,,18.321020819,15.811008934,24.020618557,15.915567282,0.5028542646,8.3,19.2,3.7503662467
45079,South_Carolina,Richland,77.036613267,3.9894704327,4.4445811503,65.248845889,71.553312079,21.4,,25.6,38.360114465,353,356.28121999999996,56993,59.774373223,9.070386784,47.947385879,2.9724305633,5.5122168901,41.052521054,261665,13.337297475,19.849750197,,15.203710133,17.435174716,22.044817927,17.407358127,1.2556157125,7.2,16.8,4.9909400134
45081,South_Carolina,Saluda,77.187741834,4.8924973477,4.982614339,82.5,50.930481283,25.2,,34.0,37.332137384,3,59.069649999999996,46216,77.581521739,80.528301887,23.568791533,0.4331774551,15.559931085,58.966281073,14384,23.229621287,,,33.287101248,10.786322943,24.117647059,9.4313453537,5.6272288651,8.4,21.1,
45083,South_Carolina,Spartanburg,75.459142223,4.2591823293,4.7485491475,87.015004168,62.075223109,17.8,,28.2,41.518093794,208,124.15506,53485,71.294238475,27.432317882,20.435309085,2.6434297451,7.4529820205,67.400254441,212581,19.082564048,28.128574673,,23.196597459,19.449111877,13.053691275,13.407187718,1.7592322363,7.7,20.0,6.796345417
45085,South_Carolina,Sumter,74.270834808,4.6218323788,4.9666822813,84.0,65.105649633,27.6,,33.9,40.901906086,54,147.61188,45724,64.545367351,31.965641751,47.133320797,1.4554343738,4.3080105303,44.645543437,70231,20.954707135,27.535021105,,29.891536425,18.732344765,33.838383838,15.680077793,0.3509548183,8.1,20.3,7.5660893345
45087,South_Carolina,Union,72.211724661,5.0302345234,5.4041349441,75.0,50.740131579,24.3,,34.4,40.451304509,11,92.62347,46567,66.82326813,65.356859224,31.369715831,0.4149531325,1.8450594643,64.047275018,19474,27.0017655,19.579769203,,40.980538922,18.98822,52.5,11.866608922,0.1047039206,8.3,24.1,
45089,South_Carolina,Williamsburg,71.164361247,5.1340562906,5.2459014237,73.0,45.217148443,34.5,,35.9,41.938232496,6,127.40989,38186,72.341597796,81.936495947,63.725062867,0.7242246438,2.3570829841,31.805532272,22010,41.986701169,25.330675448,,30.377041673,21.444306537,26.538461538,17.082997583,0.5230232797,7.4,24.5,
45091,South_Carolina,York,77.856328756,3.8043063977,4.4418345879,87.093786635,71.470551543,10.5,,24.9,37.791681439,136,178.48187000000001,72579,72.307929949,22.954974721,18.987219176,3.0667058681,6.2558585981,68.938966811,185001,14.257322153,25.70474839,,17.52680755,14.753496104,23.273381295,11.568437675,0.8829147836,8.9,15.6,6.5447348666
