FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
48001,Texas,Anderson,73.165773575,4.5812603953,4.7270799009,94.035490605,39.622641509,27.6,,33.5,38.046182292,22.0,51.89862,50879,71.543340381,67.063532793,21.095060981,0.9376351527,18.31848456,58.020932445,42328,18.551544849,14.401170527,,41.138261676,13.837383074,7.9545454545,13.031591738,1.9116869863,9.6,21.5,10.664939551
48003,Texas,Andrews,76.393609111,4.2224114205,4.3560959606,93.0,40.467955239,12.0,,33.9,35.772632725,7.0,15.89067,76600,74.703487343,16.502096578,1.4672387309,0.8051273902,57.725515123,38.78383389,10944,34.706884584,,,50.195567145,10.965633704,24.782608696,13.793103448,6.5950552088,7.9,16.9,
48005,Texas,Angelina,75.090794667,4.5639573509,4.8889912723,92.940811258,58.465084121,25.1,,34.8,37.259660659,54.0,144.01585,49943,65.726217802,43.082366228,15.036407208,1.0760864556,22.88008664,59.654822803,57331,18.131211165,12.279213977,,36.795910494,13.296683395,20.561797753,16.826376482,3.4487423898,10.2,19.8,14.148471616
48007,Texas,Aransas,74.928827082,4.6470053168,4.8057161366,91.0,49.965792474,30.8,,35.6,36.624186921,7.0,83.98420999999999,51461,81.849349602,27.260557907,1.3773410599,1.9862265894,28.701604098,66.061980348,17811,19.683785771,16.873839924,,33.734939759,35.945069398,18.823529412,18.080593849,1.9066603111,9.5,20.5,
48009,Texas,Archer,80.254929486,3.9542493553,4.7255995927,95.404929577,62.260238466,11.2,,26.8,35.245731445,,,69566,83.717620268,88.988292467,0.8705612829,0.5612829324,8.1672394044,87.915234822,6192,24.547105896,,,17.894736842,,,9.6096096096,1.0739712803,8.2,18.8,
48011,Texas,Armstrong,75.89244792,3.8247646484,4.6602961595,,75.0,12.4,,26.0,34.008249465,0.0,,62256,82.638888889,100.0,0.8560727662,0.5350454789,10.112359551,86.463349385,1338,,,,,,0.0,9.8591549296,0.4376367615,6.5,17.9,
48013,Texas,Atascosa,76.804271551,4.3393319219,4.3369417613,92.852850539,40.753183842,22.0,,35.0,35.88656793,9.0,44.46679,60594,77.725028485,60.711184342,0.9241357977,0.6824684866,65.28884077,32.19008584,32110,19.010640198,11.097547442,,42.475631984,13.946167792,18.545454545,15.502112447,5.4596160034,9.5,16.4,19.703603907
48015,Texas,Austin,78.209356341,4.0008887875,4.4338591793,94.862440191,59.054878049,18.0,,29.8,35.721519521,5.0,36.70092,60593,78.442389143,66.344089805,8.6647537702,0.8708127586,28.279727746,60.783397838,20394,19.211004063,,,25.397296896,22.736847737,13.333333333,13.994565217,4.2052263944,9.8,16.4,
48017,Texas,Bailey,77.408246378,4.0356090182,4.1482877356,97.5,35.022026432,23.3,,33.2,36.198034679,2.0,29.86412,48259,77.431906615,28.750872296,1.1497685531,1.03031208,63.849484844,33.149171271,4080,34.621807666,,,58.488612836,,28.888888889,14.691943128,9.0354853838,6.5,15.6,
48019,Texas,Bandera,78.662189255,4.0320847319,4.5431366064,92.106060606,59.10652921,21.3,,29.4,35.197840153,5.0,117.3463,64389,86.696562033,100.0,1.0603076149,0.574158669,20.187754076,76.245756674,17461,19.860973188,,,18.236254763,19.311119694,17.5,10.67961165,2.1957913998,8.8,17.3,
48021,Texas,Bastrop,78.068691924,4.1249239799,4.3953698284,93.646897093,52.166194886,16.4,,32.1,36.734783073,24.0,63.31809,74612,78.542773087,63.85244907,6.4933788932,0.9497712907,40.823790133,49.938319451,57064,28.480426027,12.345679012,,31.088868668,17.249548062,25.760869565,15.742750049,4.2690512262,9.7,16.8,6.1473590768
48023,Texas,Baylor,73.419564415,4.0399759084,4.6921807984,,49.706744868,21.8,,28.7,35.829731067,5.0,,44392,73.781616286,100.0,2.1603183627,0.4548038658,14.667424673,80.10233087,2527,,,,41.116005874,,,5.7627118644,0.0,7.5,18.5,
48025,Texas,Bee,75.192004792,4.6475489486,4.4194645414,92.206185567,43.730628346,26.1,,36.9,38.58255696,7.0,43.0597,46316,64.748793976,42.97730768,8.2305539323,0.7012579584,59.699197244,30.412450404,22226,19.237916184,,,45.113931794,10.430855698,24.642857143,20.796719391,2.373046875,9.7,18.5,
48027,Texas,Bell,77.462743439,4.0172561014,4.4318885298,74.824940253,69.295862637,21.4,,29.6,38.476730577,280.0,239.50671,53639,53.99174533,15.186229794,22.378469266,3.1911701498,25.938631135,43.930018625,216686,15.158852483,11.024416326,,33.524547419,18.235675848,16.59400545,15.169660679,2.2853793417,9.7,16.9,8.6891235798
48029,Texas,Bexar,78.125662633,4.0235324701,4.1062100856,90.249640135,62.984200667,20.5,,29.1,37.216789489,1531.0,202.04034000000001,60477,58.497954422,4.5390847652,7.4820544271,3.3678323169,60.941631312,26.617025759,1269771,11.03438944,12.947886337,,28.029209939,13.338470816,20.720040282,17.745721851,5.8068170267,8.2,14.3,8.430762256
48031,Texas,Blanco,79.222813701,3.8227076849,4.3762753108,97.5,56.244541485,14.6,,27.2,35.117758545,5.0,32.602489999999996,66383,78.092175777,100.0,1.1818404108,0.8721167169,20.311353819,75.939359361,8919,17.340467697,,,15.248401377,23.761031908,,13.38766007,1.5473543797,9.0,16.3,
48033,Texas,Borden,,3.1558285227,3.9538887199,,79.861111111,8.5,,22.0,33.379486115,0.0,0.0,69499,69.506726457,100.0,0.8498583569,0.1416430595,17.705382436,79.461756374,434,,,,,,0.0,5.3846153846,1.8691588785,7.4,13.4,
48035,Texas,Bosque,75.565753162,4.3125318778,4.7802128422,89.131205674,55.476839237,19.2,,31.0,36.045142546,10.0,21.50191,58056,76.140592695,81.215681968,1.7577810031,0.6773101113,19.330215557,76.573670913,13234,27.328164406,28.582146877,,25.361330788,,14.375,12.764456982,2.2362385321,9.1,19.2,
48037,Texas,Bowie,74.540224326,4.3453426769,4.8731617839,94.017376195,54.848180173,23.4,,30.6,38.924148874,67.0,108.04334999999999,50326,63.964647201,35.424836601,25.146286411,1.2761951627,8.0732983173,62.650164204,63575,15.406064193,8.1835972247,,43.295736179,17.486916801,19.655172414,15.846427513,1.0792064524,9.4,20.7,9.604519774
48039,Texas,Brazoria,79.039649456,3.5584017266,4.0156717607,94.188245823,67.418572386,10.0,,29.3,37.444347894,240.0,80.41669999999999,83576,73.297687303,22.52862699,14.878665398,7.2114853962,31.83292249,44.260718284,240923,12.707486333,10.844617958,,22.264169208,11.837314037,23.020304569,12.925227349,3.2153937669,10.6,15.6,8.51424864
48041,Texas,Brazos,80.010107608,4.1293361648,4.4395804459,85.560542309,71.404891525,19.5,,28.2,34.746130923,195.0,113.52153000000001,53570,46.97352602,12.063576784,10.78669562,6.1060824321,26.51329793,54.776719486,121611,9.4475436387,6.2452434483,,16.078468307,7.5103532428,26.723163842,24.900385807,3.8818378892,9.9,16.3,3.8722216685
48043,Texas,Brewster,81.30356657,3.7683689139,3.9967121269,95.555555556,63.685750104,16.6,,29.1,34.570263512,8.0,129.91231,48537,58.410997204,34.867850953,1.4723395042,1.8620764317,44.992963083,49.821370575,6850,15.48898733,,,22.135416667,36.76152582,8.5714285714,17.131979695,3.0313390313,6.4,13.9,
48045,Texas,Briscoe,,4.6554839205,4.8864894974,,44.720496894,22.8,,34.0,36.768013071,1.0,,50062,71.428571429,100.0,3.4969737727,0.2689979825,25.08406187,68.392737054,1017,,,,,,0.0,7.9365079365,4.381245196,6.6,19.6,
48047,Texas,Brooks,72.061155154,5.5449338829,4.7504519294,92.5,40.132669983,45.0,,44.2,37.886155609,,28.71913,33513,60.080808081,31.759656652,0.6318207926,1.2062033314,91.082711086,6.763354394,4460,25.977140117,,,73.107049608,,47.142857143,24.634146341,8.3407407407,10.4,19.0,
48049,Texas,Brown,74.450989251,4.208738761,4.6568578508,94.465725806,53.308406979,22.3,,30.3,36.024361703,22.0,188.6642,48752,71.499931572,40.40046187,3.6590226663,0.7732575134,23.09409295,70.608242766,26168,18.093134409,17.633418855,,31.23362331,14.756647079,18.857142857,11.452015697,1.900886337,8.2,18.2,9.7311139565
48051,Texas,Burleson,76.317726793,4.165910045,4.6457659979,95.9875,51.599479844,19.9,,30.8,37.139648202,8.0,5.40132,64836,77.708844323,76.65677547,11.95311656,0.5347304742,21.373015016,64.335097764,12685,31.788921561,,,34.250421112,13.169880483,,12.953367876,3.482153238,9.6,19.0,
48053,Texas,Burnet,78.498970457,3.8979099437,4.4410069994,96.0,48.93934867,16.4,,28.5,34.846487515,19.0,70.48920000000001,63813,78.831109066,55.67251462,1.6917406803,0.9707369142,22.4518156,73.240287596,33684,24.330678248,10.319917441,,28.862825089,13.842456071,19.523809524,13.976261128,2.6364805535,9.2,16.5,
48055,Texas,Caldwell,76.457744551,4.5850664216,4.5629397589,90.680373832,41.551928513,18.6,,36.1,37.160062408,12.0,79.58344,66128,68.781762741,42.292334367,5.5617453785,1.0709656882,54.503285659,37.606584961,27627,25.108492439,,,35.998875035,13.993255251,35.609756098,19.735349716,5.981946938,9.7,18.0,16.529492455
48057,Texas,Calhoun,77.689386764,4.3977981252,4.4300076113,95.0,49.715295504,21.4,,35.9,36.992180427,11.0,23.80839,58470,73.713716208,44.731303494,2.3094138374,5.5473548879,49.764296938,41.340888529,14334,17.189741691,,,48.443619872,10.226755051,32.0,17.554240631,5.6278561494,9.4,17.7,
48059,Texas,Callahan,75.670547266,4.1292872555,4.8122573626,94.890625,56.989924433,19.0,,28.0,36.283353492,1.0,14.17434,54862,83.413998511,72.179562906,1.4812189936,0.6945428774,10.077958894,85.471296953,9976,25.804320675,,,29.184837303,18.621173707,27.5,12.969924812,0.9564693478,7.7,19.1,
48061,Texas,Cameron,78.833448608,5.1589597371,4.6044986449,91.992607058,48.709465212,34.6,,37.8,39.131086339,210.0,70.96044,44440,66.200932518,8.4208064596,0.4090244707,0.8034325051,90.091470602,8.4721108963,248705,9.7646384263,4.8770856424,,43.675562195,5.6208673045,22.430278884,23.273937574,16.014686936,10.4,16.2,14.614507378
48063,Texas,Camp,74.719032664,4.3113221516,4.6796235011,97.5,60.831586303,24.8,,31.9,38.069589628,11.0,38.28484,43130,71.928251121,61.478912991,15.413476263,1.2251148545,26.393568147,54.670750383,8446,31.037999379,,,42.258064516,16.946802447,,17.697228145,3.9836992681,9.5,18.5,
48065,Texas,Carson,75.820639486,3.6800131386,4.492785284,,75.12508935,10.7,,25.5,34.079811459,,17.08234,66597,84.219554031,95.195729537,1.0932695593,0.632046464,10.300649129,84.847967202,4120,28.669724771,,,12.328767123,,,4.2316258352,0.4321988115,6.7,17.0,
48067,Texas,Cass,74.703010919,4.6791422943,5.2653469274,95.938356164,46.771576898,25.6,,32.1,38.412676972,7.0,33.468320000000006,50595,79.702390905,74.011948529,16.479801868,0.5923893035,5.1340406305,75.859299173,20960,26.068203901,13.329778726,,36.57750564,21.275039724,7.4074074074,12.680237489,0.4312630351,9.8,22.8,14.675324675
48069,Texas,Castro,77.404407903,4.3400713029,4.3129421852,93.482142857,47.286405159,20.4,,35.3,36.850766831,1.0,13.52082,55139,58.427845131,45.757876457,1.838831801,0.7706868578,65.521903732,30.82747431,4663,22.413149047,,,44.465925568,,0.0,10.671936759,8.9012716102,6.9,16.4,
48071,Texas,Chambers,77.335017298,3.8717300131,4.414073481,98.069029851,72.9622609,11.0,,28.7,36.616654655,5.0,24.1281,89991,85.833450161,45.720310007,7.6551875411,1.4213643343,24.990129414,64.529502084,26978,16.883219802,13.648668117,,19.276648535,17.35288738,1.8,14.708056171,2.3781931778,9.8,16.8,
48073,Texas,Cherokee,75.321846938,4.7204882607,4.9431739123,92.613341969,45.336120939,24.4,,35.1,38.645371285,22.0,96.4539,45894,71.979503776,63.048480677,13.811820331,0.6165484634,24.037825059,59.704964539,34260,29.358100229,10.119345025,,44.8622794,16.410898363,10.377358491,16.973244147,5.0147977639,9.9,20.7,10.149355058
