FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
49001,Utah,Beaver,78.493492581,4.1028492531,4.5352528994,,69.98738966,11.4,,23.1,33.590613985,6.0,73.95356,61858,81.563488477,56.524362649,0.2070699601,0.9761869546,12.202336932,83.952078095,3871,,,,31.076581576,30.395136778,28.0,11.208791209,2.9544316475,4.9,11.6,
49003,Utah,Box Elder,78.763826931,3.9460615214,4.4600173427,,62.588904694,7.8,,21.9,36.551047537,17.0,477.13439,73926,76.435910392,31.099549775,0.3841633484,0.8490185416,9.7514340344,86.603399583,32717,10.822625094,19.047278918,,19.877892943,12.353708474,32.317073171,9.450867052,1.0255092968,8.6,10.9,7.8571428571
49005,Utah,Cache,81.271397341,3.9874615678,4.4145813752,,75.686055876,8.8,,19.2,33.293323087,57.0,186.91733,65391,62.585583992,15.687579889,0.880742131,2.3014676471,10.912741146,83.49973847,64162,8.8335371548,10.639374509,,9.4251586413,8.0625782544,37.674418605,14.092176916,1.8882109957,9.4,9.7,4.3568680462
49007,Utah,Carbon,75.614803498,4.2812647809,4.6735297824,,69.167830772,15.3,,25.6,36.258981793,7.0,221.57995999999997,51902,72.250704947,33.71489978,0.5394990366,0.7514450867,13.819845857,82.369942197,13262,15.349729635,26.019644832,,19.814814815,21.529368015,61.2,17.208413002,0.4798915028,5.7,12.8,
49009,Utah,Daggett,,3.6857545669,4.3711793743,,80.45112782,8.2,,20.1,33.315203421,0.0,,63461,71.00591716,100.0,0.1949317739,0.5847953216,4.4834307992,92.300194932,381,,,,,,,5.5172413793,0.0,5.5,11.3,
49011,Utah,Davis,80.236491458,3.4066826766,4.011854813,,76.024300231,5.2,,19.6,31.558650293,174.0,232.99706,92253,77.686174186,0.9194757226,1.2295675218,2.1442967219,10.382426955,82.817789061,205899,6.5646083385,14.62830051,,11.072171723,9.6222607872,20.482625483,9.925630681,1.0176376003,8.4,8.0,4.4029782149
49013,Utah,Duchesne,76.211830424,4.3751903536,4.831873965,,52.559091755,13.2,,26.1,33.659544269,9.0,180.95908,61709,74.026712134,68.210888375,0.2664119835,0.482557555,8.2788780537,84.799437016,11755,24.752300196,20.068231989,,30.192307692,25.958725626,51.666666667,13.24303988,0.7570315522,6.8,13.7,17.682403433
49015,Utah,Emery,76.666759651,4.2126503929,4.7367655594,,66.853690117,12.6,,21.7,33.425332787,1.0,108.40642999999999,64144,75.321543408,73.642492711,0.3350744062,0.5026116093,6.1693111264,90.805164088,6350,18.190213665,46.399098532,,17.182130584,29.72298181,33.333333333,8.495821727,0.7824891615,5.4,12.3,
49017,Utah,Garfield,77.729073959,4.1306350949,4.5901676975,,63.548951049,12.8,,22.8,34.087353671,2.0,118.81188,47638,78.49810913,100.0,0.396039604,1.0495049505,6.3762376238,88.336633663,3484,,,,17.714791851,39.611804318,31.666666667,13.793103448,0.8536064874,4.8,11.8,
49019,Utah,Grand,79.393421743,3.8463471896,4.3564813937,,62.508143322,13.5,,20.8,33.385995371,12.0,244.99795999999998,58852,65.556055831,25.387533875,0.7145773785,2.2049816252,10.58595345,81.11474071,7137,23.699490461,,,26.806526807,,44.444444444,16.354556804,2.7608695652,4.9,11.1,
49021,Utah,Iron,79.310441944,4.3180395383,4.7093509594,,68.668407311,14.5,,20.4,33.782799269,21.0,311.54293,52942,65.243656867,22.554859953,0.5474002887,0.9557503432,9.2811630936,85.493012286,29881,10.249222306,12.771547425,,17.24137931,15.450359127,35.138888889,15.735883986,1.1194942904,4.8,11.1,7.6720210981
49023,Utah,Juab,77.710251132,4.2412725209,4.7776308735,,50.632911392,9.6,,23.3,34.304987615,8.0,511.46675000000005,70086,78.263369753,43.470622682,0.420722653,0.461969972,5.6591321564,91.156574823,6540,15.183338816,,,17.846153846,24.157090106,22.631578947,10.324483776,0.9385265134,6.0,12.7,
49025,Utah,Kane,79.714671827,3.9189448858,4.4598039723,,68.956994563,13.1,,20.9,33.515726178,3.0,214.80919999999998,58352,77.133825079,54.919298246,0.6191559262,0.7960576194,5.0669699267,90.295678544,5600,28.411781419,,,16.676961087,,42.222222222,10.815939279,0.2632308119,4.9,11.1,
49027,Utah,Millard,79.696976115,4.2743983738,4.6120025718,,52.350783595,13.7,,24.6,33.722672187,6.0,165.07841,60316,73.608199394,73.942253859,0.3001425677,1.5982591731,12.666016358,83.026937795,7920,19.927155177,27.833303813,,20.01177163,18.439411168,26.5,9.2915214866,1.9864219261,5.7,12.3,
49029,Utah,Morgan,80.686912866,3.2936098939,4.0283920131,,83.20923306,3.8,,18.0,29.826560238,11.0,24.07318,103746,88.49737915,62.847185553,0.304926978,0.6339271385,3.0653185684,94.583533943,6695,,,,3.7227949599,,9.0909090909,9.5310136157,0.2266956837,7.6,8.9,
49031,Utah,Piute,,4.3848054015,4.7345800482,,48.581560284,31.9,,25.1,34.400566287,0.0,610.99796,47206,88.983050847,100.0,0.2036659878,0.5431093007,8.1466395112,89.069925322,1328,,,,,,,9.0,0.0,4.8,12.7,
49033,Utah,Rich,85.012715187,3.9879505941,4.494972617,,75.308641975,13.3,,22.3,33.700842299,,40.783030000000004,75531,73.322932917,100.0,0.2854812398,0.2854812398,6.5252854812,91.598694943,1406,,,,,,,6.4516129032,1.0141093474,6.5,11.4,
49035,Utah,Salt Lake,79.323475858,3.636169168,4.0493803172,,70.452361263,7.2,,20.5,32.368471455,904.0,532.89656,79294,67.542079285,0.9033122745,1.8089826232,4.5675867448,18.96583233,70.056550012,726907,8.1163041174,22.307908355,,17.980048667,12.989073487,32.82234957,14.140703246,3.4468659588,10.0,9.3,6.786769612
49037,Utah,San Juan,75.154571607,5.5388286314,5.5619082222,,57.01897019,22.8,,24.5,39.639865387,10.0,163.63398,50686,78.107930959,77.865183779,0.3665401231,0.5890823406,6.0544573897,44.770257887,9192,45.741887676,,,25.577043044,20.437881614,25.714285714,19.799498747,3.1888566782,5.2,16.8,
49039,Utah,Sanpete,79.760232764,4.3423823011,4.6967675326,,58.735375312,15.5,,24.5,34.086732557,15.0,850.5080800000001,55033,77.213907955,40.928042556,0.9014748511,0.8282101105,9.326920014,86.172076578,18205,15.263243248,13.985261686,,11.390728477,13.123445692,35.384615385,14.024749558,1.7788983437,5.8,13.1,
49041,Utah,Sevier,76.849246384,4.3617478397,4.8348357679,,61.078524125,11.6,,23.2,34.189910176,10.0,229.56841,56318,78.870041405,64.714931257,0.4132231405,0.3764921947,5.2203856749,91.671258035,13469,7.3687524702,24.638506906,,25.150355385,23.251055598,37.0,9.3663911846,1.2226286516,5.3,12.9,
49043,Utah,Summit,85.546181216,3.0804862394,3.6742011827,,74.955080854,4.8,,15.6,25.61522485,57.0,204.71069999999997,115756,78.126295426,39.199977976,0.974140568,1.9882820772,11.035553778,84.310219064,27924,5.2314388549,14.220592999,,6.5573770492,10.577431607,19.615384615,12.916523531,1.9607345779,7.7,7.3,
49045,Utah,Tooele,78.351921497,3.8616977485,4.3585804276,,62.158647594,6.3,,23.1,36.911067097,10.0,107.36526,79101,80.739584811,17.70071112,0.7367940734,0.8253704101,13.417972944,81.785484217,40623,11.192839961,24.921773323,,16.913760702,14.614562408,42.272727273,9.1457286432,1.3152979267,8.6,10.6,10.072992701
49047,Utah,Uintah,75.690716011,4.5716510679,4.9462213649,,52.872192407,12.8,,25.2,36.418402612,11.0,144.56492,63282,76.748300587,46.848533202,0.4503753128,0.6616624965,8.5098693356,81.665276619,20893,13.808885031,25.200201602,,27.372871926,21.828561834,48.909090909,13.364705882,1.1440457618,5.7,13.8,7.7141504969
49049,Utah,Utah,80.230179775,3.6690268727,4.1737216746,,80.273262606,6.5,,18.5,30.87074443,266.0,301.81596,81804,67.907317669,3.3269836845,0.617148369,1.8735629183,12.322078337,81.421960222,310161,5.3717713416,14.035036269,,9.0239907313,9.3622385209,18.752688172,14.531590414,1.6680185225,9.1,6.5,5.7996745081
49051,Utah,Wasatch,81.675194441,3.3291884365,3.9099777396,,75.952045134,6.2,,18.2,30.880684888,17.0,104.81586,87098,73.812470252,26.850828729,0.552407932,1.1331444759,14.065155807,82.719546742,19926,8.5531646709,11.692373649,,13.277006639,11.496687139,30.392156863,16.361735494,1.0625040992,7.4,8.1,
49053,Utah,Washington,81.81714567,3.9481564332,4.4209351409,,71.619709569,9.3,,19.2,32.843800019,99.0,299.60035,71904,70.23065713,15.213409116,0.6419234992,1.0913240281,10.984084407,83.686382245,112121,9.1638932329,19.843907078,,15.242926445,14.882405741,37.906976744,17.120658135,1.4014916097,5.6,9.4,3.6497847037
49055,Utah,Wayne,77.04463591,4.059365007,4.5320033715,,65.698729583,17.4,,21.9,32.62434158,1.0,724.90033,54790,73.366834171,100.0,0.3986951794,0.9061254078,6.5965929685,90.032620515,1822,,,,16.491754123,,,11.764705882,1.112435439,4.6,11.4,
49057,Utah,Weber,78.102697176,3.8822681119,4.2961294752,,61.15422377,7.8,,23.7,31.784921391,112.0,256.22673000000003,72091,74.711577959,5.8009998443,1.2986469097,1.6633797562,18.674854754,75.568229409,158841,9.1905559662,23.869717542,,20.847518075,16.502953716,36.880733945,12.655463205,1.7829966722,9.1,10.4,8.2789764175
