FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
54001,West_Virginia,Barbour,75.047056449,5.7391888338,6.5718025966,97.5,39.143816452,26.5,,33.1,45.130172573,7,115.54365999999999,43773,73.16471314,83.72415456,1.1067866699,0.304062272,1.1007054245,95.378253466,11314,26.67400919,30.352084176,,26.110856619,20.544303186,6.0,8.7295401403,0.4013761468,6.9,25.4,
54003,West_Virginia,Berkeley,74.876759367,4.9470186008,5.8918861962,96.0,59.054653797,13.7,,30.1,41.710671815,53,180.96213,67163,74.340291453,31.625531588,7.6446264074,1.1586489253,5.0693961105,82.871647902,81288,13.963339438,65.844723634,,24.761984299,15.506147932,,12.674916156,0.6357699982,8.1,22.4,11.736040609
54005,West_Virginia,Boone,71.10258528,6.0629998246,6.8127708822,90.0,48.931495906,23.4,,37.2,47.59945732,6,37.99573,49076,78.161316304,81.408096147,0.8216575635,0.1424839706,0.7504155782,97.40204227,15643,21.695572827,88.422816189,,49.7523638,22.804393038,17.727272727,12.786885246,0.1201287781,8.1,28.1,13.122171946
54007,West_Virginia,Braxton,76.273067908,6.0079521857,6.7132044314,97.5,37.333333333,23.0,,35.8,41.24721119,6,51.087430000000005,47959,78.562067029,100.0,0.6495402131,0.2408407532,0.9925558313,96.620931251,10339,32.214548896,33.534540577,,25.460242852,25.547859657,5.8333333333,10.382513661,0.0974731949,7.2,26.9,
54009,West_Virginia,Brooke,75.834644756,5.1193798833,6.1278270175,96.0,66.48020654,16.8,,30.6,42.095131082,5,23.06912,50381,72.549019608,42.128879472,1.4810371874,0.4152440712,1.0288825321,95.455384331,16123,6.956917706,39.504071958,,19.957537155,11.686863965,4.7368421053,8.9402310397,0.4867674858,8.8,23.7,
54011,West_Virginia,Cabell,71.31164478,5.4591946918,6.2909596363,89.0,64.988285222,21.0,,29.8,42.672138447,161,301.34623,44161,62.237886808,21.558570998,4.7068971165,1.2938234941,1.4696087958,89.874329887,62445,11.18405939,120.68305162,,23.839854413,18.387737517,6.6666666667,14.319959627,0.1760383423,7.8,23.7,8.7206992451
54013,West_Virginia,Calhoun,76.547628837,6.0934559907,6.7987867671,97.5,47.498332221,25.9,,36.5,44.026426317,3,43.19654,41726,80.099502488,100.0,0.3455723542,0.1727861771,1.2095032397,97.019438445,5419,21.596575961,,,32.207384132,,20.0,5.9336823735,0.0,7.7,28.6,
54015,West_Virginia,Clay,71.409323104,6.3263280846,6.9745599074,87.5,29.009009009,33.2,,36.5,43.673789101,1,59.94485,36537,78.404726736,100.0,0.3716580746,0.1198897015,0.9471286416,97.134636135,5903,39.373308178,47.093913112,,38.930854155,44.079435783,,8.8957055215,0.0,7.5,30.0,
54017,West_Virginia,Doddridge,79.812131499,5.3965793331,6.2246887607,97.5,43.007518797,20.7,,31.6,42.719656229,1,11.95029,50445,91.0026687,100.0,2.2825047801,0.4780114723,0.6094646272,94.921128107,6292,,,,33.082706767,23.699490461,8.3333333333,7.3724007561,0.9292089497,7.6,25.6,
54019,West_Virginia,Fayette,72.688841906,5.8104645132,6.5515947081,88.0,51.207442597,28.0,,36.8,45.627635502,20,64.19095999999999,41964,78.439153439,57.872673168,4.1819219248,0.2995577956,1.2743093529,92.330369455,31180,15.059304195,67.458387588,,39.949906074,14.86091116,1.5384615385,10.845743186,0.1176528261,7.8,28.0,
54021,West_Virginia,Gilmer,76.755688178,5.352021451,5.8815384533,92.5,44.305622297,20.1,,32.7,44.76665523,3,38.40737,41579,70.389507154,60.715518233,10.229163999,0.7681474843,5.5434643452,81.564460376,5470,21.034180543,,,19.444444444,,,9.1760299625,0.7501974204,7.4,24.2,
54023,West_Virginia,Grant,76.574331567,5.6171243471,6.4733845652,92.5,53.737942122,19.1,,33.6,43.198990714,7,69.50478,45624,80.855018587,78.679735277,0.9209383145,0.22589053,1.5204170287,96.281494353,8558,28.20044385,43.222683264,,36.615536863,,7.0,9.3304061471,1.1022044088,6.3,25.9,
54025,West_Virginia,Greenbrier,74.442632718,5.5127436878,6.3439684533,92.0,57.905362776,25.2,,31.3,44.888553298,46,107.81199999999998,40016,72.285566209,69.735062007,2.625367872,0.7284594539,1.8765115534,92.788251406,25826,13.045303894,43.366388158,,28.301886792,20.076520223,,10.827608767,0.2084151388,7.2,24.7,
54027,West_Virginia,Hampshire,75.22962847,5.5306383125,6.4056038768,85.0,47.750154099,22.8,,33.3,42.155724781,6,68.99526,53333,80.458265139,100.0,1.1858559724,0.3320396723,1.5437688659,95.472186287,17228,35.51310311,71.723663071,,31.763417306,12.877305038,10.476190476,11.381272633,0.0,7.0,26.0,
54029,West_Virginia,Hancock,74.441474375,5.327149739,6.2536260293,97.0,57.388924662,17.8,,31.4,43.099310642,18,154.00231,52305,73.067213632,30.310340331,2.6145392181,0.4795071926,1.5890238354,93.528402926,21629,13.629283489,55.507372073,,22.856063468,13.744476439,8.1481481481,10.909807011,0.1727115717,7.8,24.8,
54031,West_Virginia,Hardy,75.471902393,5.5346355114,6.333509532,92.5,37.726523888,19.4,,33.6,44.515668134,2,80.68656999999999,47469,75.105342997,80.520499109,3.0880950634,0.8875522629,4.6358101665,89.723465121,10068,25.889297364,43.706293706,,32.456861134,26.166593982,16.153846154,4.6195652174,4.3552123552,6.5,24.2,
