FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
29001,Missouri,Adair,77.339520881,4.6614684905,5.1156958968,91.17370892,63.217213115,18.8,11.53291578,31.4,34.788602196,29.0,259.85275,49175,61.566424323,37.852930839,3.6103783614,2.7520768534,2.6300248041,88.786960117,13711,14.060979657,,78.078871998,9.3993375705,13.405142844,35.555555556,16.079873883,1.5590386625,8.2,22.3,
29003,Missouri,Andrew,79.069337272,4.0241982616,4.7298795431,92.236842105,67.696835909,10.8,4.6210286664,29.1,33.426593198,2.0,22.745369999999998,69387,78.540961906,61.280434908,1.1088365745,0.6994199932,2.6668941203,93.69953372,12240,17.144956525,,77.24665392,15.296367113,15.943514406,,9.1844232182,0.0241984271,8.5,21.2,
29005,Missouri,Atchison,76.638224822,4.2413497847,4.9004196456,,54.296160878,16.2,1.5394525964,30.3,35.520003886,2.0,58.8697,53603,69.125147117,100.0,0.4709576138,0.3532182104,1.7464678179,95.898744113,3842,,,79.168301295,,,,8.7824351297,0.0609632189,8.2,21.7,
29007,Missouri,Audrain,75.200045509,4.8121843376,5.3460829807,92.169014085,49.837385783,27.4,9.389153239,36.8,36.935381942,13.0,217.43507,48258,70.54230399,41.196286576,6.17676666,0.5798268573,3.34205758,87.396819005,17514,16.170312422,,77.890683496,29.809220986,12.563011354,27.391304348,8.7888531618,0.6110151279,8.7,24.8,10.296411856
29009,Missouri,Barry,75.996686658,4.9052866767,5.1657528972,91.64893617,46.565774156,23.3,8.4664092213,37.6,36.365756541,23.0,83.75677,47853,74.070069204,73.26460095,0.5053325144,2.4484895862,9.7046177899,84.800938076,25023,27.957057959,11.163517624,71.092848904,36.136205698,13.415840754,24.242424242,16.010598032,2.5625744934,9.0,23.8,
29011,Missouri,Barton,78.202578249,4.8838589843,5.3074772635,85.986394558,58.32037325,22.9,27.283198642,35.0,36.273499713,3.0,77.63975,46353,68.695652174,63.957426222,0.5089717046,0.6383712905,3.0020703934,92.270531401,8104,18.107413175,,77.142857143,33.898305085,,41.666666667,12.677484787,0.2081447964,8.5,24.4,
29013,Missouri,Bates,76.219316808,4.6183149171,5.1659098973,89.351351351,43.475892127,19.2,8.6535333193,33.3,36.184590408,4.0,61.56877,52140,70.099009901,77.271394217,1.1882773058,0.3201576161,2.5858884374,93.369043221,11259,27.070689429,24.623466163,72.901751714,26.702670267,,26.875,11.409395973,0.0653979465,7.8,23.7,
29015,Missouri,Benton,75.234194826,4.8575599258,5.3147364629,93.967065868,48.56413529,27.5,5.1778123646,35.2,35.912755409,6.0,76.42533,44141,83.089330025,86.539672544,0.5961175931,0.4840271055,2.2061445967,94.145819534,14958,22.432086857,22.280112429,75.024813896,31.78722024,30.12642711,,13.278791693,0.156960381,7.8,24.9,
29017,Missouri,Bollinger,76.93579224,5.0823776782,5.5089328089,,43.972706596,22.7,11.604181361,38.4,36.015382545,1.0,16.51391,48198,82.625395391,100.0,0.5367021716,0.2311947816,1.5688217323,95.731153497,8718,22.262059592,,73.90420244,28.94295302,21.391782265,,13.062098501,0.0951227949,8.8,26.5,
29019,Missouri,Boone,78.999871913,3.9875926454,4.5608323983,90.10058309,80.431518542,12.5,9.9881036963,29.3,32.38258295,212.0,387.45074999999997,62673,56.018576454,18.786045425,9.7327190955,5.0144542628,3.6034559077,78.13990852,108906,8.5071207008,18.032639077,85.867434197,10.181164845,13.80348293,33.142857143,16.296190408,1.0642947423,8.9,18.0,2.9179378863
