FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
55001,Wisconsin,Adams,76.882303541,4.0157797524,4.6086584826,92.5,50.699024004,18.1,3.6511226093,27.5,34.589405145,1,63.42082,52060,82.647349358,100.0,2.9466289394,0.697629037,4.4053078349,89.867304127,16210,21.205759484,40.939311565,76.533860169,21.117166213,,38.461538462,14.675174014,0.9037528721,7.5,20.4,
55003,Wisconsin,Ashland,75.787499577,4.3040923548,4.9297902593,87.947761194,66.067746686,17.0,11.284832625,25.7,33.885553208,28,363.28252000000003,52115,70.66173068,54.861669864,0.4930262731,0.6227700292,3.2241323386,82.160233539,10656,11.846505736,27.910771411,75.289217955,17.20788232,17.99694052,42.142857143,12.223071047,0.0818609728,6.2,21.2,7.6064908722
55005,Wisconsin,Barron,78.486159126,3.8364068305,4.6013834004,92.121621622,60.867793848,13.7,6.000006171,25.2,34.107175403,50,86.49368,54963,75.890655333,65.927621539,1.6611222,0.6852960745,2.7345309381,92.636948326,32146,13.557013548,,77.386011858,16.522241479,15.917863823,9.0,12.846677132,0.5351092417,7.3,18.1,5.6777493606
55007,Wisconsin,Bayfield,79.696284957,3.6507800433,4.4241598102,,75.324675325,17.5,10.276341769,22.7,32.089659896,6,223.06784,58218,81.518987342,100.0,0.5445479596,0.5773520535,2.5193544154,84.155622622,11587,28.522261625,,84.430379747,13.250194856,19.941770032,18.181818182,13.208901651,0.145358898,5.7,17.8,
55009,Wisconsin,Brown,79.458592822,3.4581592859,4.1845192054,91.134061412,69.937360438,8.6,5.723013174,21.7,32.746440255,189,222.59174000000002,64905,64.878195999,14.49434895,2.7621783001,3.5595782472,9.3594346397,79.734325989,176037,7.4301876505,14.258135339,86.52941121,16.285407548,8.9735000376,8.8353413655,12.282133769,2.2247976902,6.5,15.4,4.2619690297
55011,Wisconsin,Buffalo,81.526604408,3.6949543112,4.5078393837,91.493902439,64.705882353,10.7,5.4007113387,24.9,33.443613019,2,7.672829999999999,56643,76.560598157,100.0,0.4910611525,0.4373513389,2.5780710504,95.181462441,9543,14.155822943,,83.15075639,8.2742316785,,13.636363636,10.498687664,0.5574856589,8.4,19.1,
55013,Wisconsin,Burnett,78.916488664,3.8586251933,4.6207229411,82.078498294,62.462349398,13.1,2.8966134355,24.3,32.971625894,2,141.41544000000002,57888,82.739574703,100.0,0.7906408691,0.5078099891,2.1533714726,90.197338819,11830,30.721966206,,79.09417288,19.638648861,,8.1818181818,13.004791239,0.1902561663,6.7,19.1,
55015,Wisconsin,Calumet,80.886194683,3.2288387068,4.0942882784,96.20398773,74.063494654,4.5,3.6404442996,21.9,31.23002555,6,27.88345,79046,81.073630394,27.534663372,0.7787448465,2.4637017268,4.5947937621,90.330418849,34475,8.5878682048,9.9696258732,88.772492607,8.0153336818,7.1977830828,10.588235294,8.9445438283,0.8968515236,7.5,15.5,
55017,Wisconsin,Chippewa,79.243501819,3.6463784855,4.4379842383,92.912790698,65.890265928,11.8,6.0795302918,24.4,33.11267048,50,94.22741,62841,73.252956535,46.142754146,1.7053616942,1.4782890773,1.9046295009,93.099772927,45531,8.4824647364,12.401178112,86.426816157,12.061756192,12.461369754,13.559322034,10.829899941,0.4508819449,8.0,17.6,5.9167275383
55019,Wisconsin,Clark,78.277216667,4.2139406984,4.8740280533,93.357142857,46.339739966,21.1,6.850128581,28.9,32.84625676,8,40.32258,55808,78.442000929,91.729605074,0.4953917051,0.4953917051,5.6365207373,92.030529954,21672,17.333382857,,73.594548552,13.016933533,6.9188590801,17.25,14.0234375,2.0104455072,7.5,21.0,12.506459948
55021,Wisconsin,Columbia,78.843587227,3.452297931,4.2850893266,94.098387097,64.190503639,7.4,4.6804817047,23.0,32.571535485,25,114.44821999999999,74776,74.543885602,60.670737072,1.7115211209,0.8323506971,3.7525143927,91.825622529,40858,12.247213759,24.339642323,82.811472715,10.525415027,11.508964786,12.6,12.042875158,0.6852469284,8.3,17.6,5.500381971
55023,Wisconsin,Crawford,79.223173872,3.8380645859,4.5842169182,92.411616162,64.184397163,19.2,8.4141471318,24.8,33.562100323,11,99.86891999999999,53309,74.415817855,62.41888969,2.128456401,0.6741152238,1.7976405967,94.00162287,11746,12.306502228,,77.905931696,9.3225605966,,19.285714286,12.46223565,0.6493084865,8.5,19.4,14.630872483
55025,Wisconsin,Dane,81.384712905,3.0029673763,3.7669843137,88.222807898,84.614065289,8.6,4.2892652756,18.7,30.74368174,711,445.76281000000006,74829,59.000441306,12.329917861,5.2981163218,6.4419331953,6.6857182156,78.759031086,358479,6.4813636789,22.35630591,90.00353045,7.8344141772,7.2343836969,12.72517321,15.073579662,1.4100238421,9.8,12.3,2.7619047619
55027,Wisconsin,Dodge,77.674226887,3.6498919319,4.388929691,90.604219949,58.361044049,7.5,2.7176659528,24.7,33.324054475,48,119.08032999999999,65540,69.328991345,48.641827871,3.2666941467,0.6492168178,5.3631950169,89.262159934,63718,13.312725667,27.374136004,84.274573657,10.633509621,7.0634985736,8.7837837838,11.255598902,0.5652085404,7.7,18.1,3.9002387901
55029,Wisconsin,Door,81.272799144,3.2493568361,4.1034628168,93.04389313,67.987111448,11.2,3.6443056602,21.4,31.866036409,21,139.84008,61319,79.529376722,68.986863416,0.7314711894,0.5737028936,3.7039693069,93.201620711,21630,12.399448225,,81.904832824,8.745080892,12.297720581,19.5,11.671087533,0.6435587671,6.6,15.5,
55031,Wisconsin,Douglas,77.78766671,3.6979365898,4.5063563948,87.961373391,71.192763219,11.0,8.5072598703,24.7,32.094117978,10,132.71704,60898,68.516373592,38.755406599,1.3569173036,1.073177429,1.8008329138,91.110246671,31174,9.534706331,24.60402891,82.146993788,13.80385172,9.68397947,46.571428571,11.918604651,0.4129437334,5.9,18.2,
55033,Wisconsin,Dunn,80.457276234,3.7003717987,4.4721666293,94.26443418,69.364919355,9.7,5.7149173808,23.5,32.588629962,32,189.2106,61880,67.186405046,59.313222519,0.7722432456,3.1417759395,2.0637155681,92.321570008,27541,14.642686615,7.3555913528,83.420929689,6.5749339117,7.543887676,29.444444444,13.793103448,0.7700049149,7.9,18.0,
55035,Wisconsin,Eau Claire,79.386353521,3.5457734496,4.3315067172,85.240375123,75.28266452,10.5,7.5831329516,22.5,34.123090563,140,355.31066,67409,64.150761983,23.000729217,1.1466844005,4.3748812464,2.7645829375,89.216226487,66161,8.6927126093,14.311156341,87.438103937,8.7046991503,11.514635101,14.146341463,13.838792786,0.7985775972,7.5,16.7,4.2052023121
55037,Wisconsin,Florence,75.835157375,3.6867777725,4.512867138,,67.651006711,16.8,5.0069264224,23.8,33.058642206,2,23.26664,50420,87.487733072,100.0,0.5351326198,0.4885993485,1.1633317822,95.067473243,3452,39.105781138,,79.391560353,,,,14.179104478,0.0,5.3,18.8,
55039,Wisconsin,Fond du Lac,79.441746843,3.5435380244,4.343632558,91.466181061,65.611421477,9.4,6.6865654859,25.0,31.807483188,50,144.79796000000002,69280,70.632609215,35.129337912,2.0893665818,1.7774192921,5.6471205613,88.653281763,71780,9.7520879917,18.101244137,83.783719265,14.172724363,9.5319056225,11.739130435,11.766840005,0.6252506659,7.8,17.1,3.2683486239
55041,Wisconsin,Forest,74.350558908,4.3756780554,5.0105301565,,58.016147636,17.2,12.455443818,26.7,34.517913918,1,167.41071,54555,78.213285823,100.0,1.1941964286,0.3459821429,2.7678571429,78.772321429,6480,20.578411663,48.22852903,76.253499618,28.323699422,,67.142857143,11.538461538,0.1649193073,4.2,22.1,
55043,Wisconsin,Grant,78.875146997,3.8956702318,4.6171898,93.680811808,70.340073529,14.5,3.6869675381,24.6,33.364335044,18,131.31848,55779,69.30043246,64.48797063,1.4249034711,0.9231492915,1.9756570824,94.690421591,31966,11.040391271,8.4407910969,79.353853981,6.1111111111,10.06866052,22.045454545,12.319587629,0.3344412984,8.4,18.8,6.4563462949
55045,Wisconsin,Green,79.637492932,3.4708352584,4.3450708046,94.714673913,67.925198248,8.5,3.5991962847,22.7,33.320402572,25,131.13679,75666,74.750656168,60.216600619,0.7130563069,0.6474879108,3.3958965112,93.9403874,26155,13.530910398,13.575643486,81.620734908,9.2999225006,7.5914498585,25.277777778,10.695364238,0.846849433,9.0,17.1,
55047,Wisconsin,Green Lake,78.177371711,3.8921463178,4.5909382018,89.231481481,57.336163439,13.6,2.8098972931,24.9,32.344124762,17,100.48657,61406,76.582751745,74.326806992,0.8567801989,0.6981171991,5.4474296594,91.500951978,13292,13.645667501,,77.554835494,13.009757318,,10.0,13.610586011,0.9865824783,7.5,18.9,
55049,Wisconsin,Iowa,81.132855761,3.4386372545,4.3165192581,95.390295359,71.825694966,8.7,1.57768799,21.9,31.960877467,13,76.14213,75075,74.029150953,79.921475915,0.8714043993,0.8164128596,2.0050761421,94.750423012,16671,15.051536461,,83.538884925,8.3577099875,,12.727272727,11.082867311,0.1613915538,8.4,17.0,
55051,Wisconsin,Iron,78.067544871,3.9205903128,4.6959369393,,69.543147208,17.6,3.0561181211,24.7,33.659202649,3,122.85011999999999,48614,79.153550192,67.799188641,0.2106002106,0.2983502984,1.4391014391,95.085995086,4573,24.894819388,,80.062959077,,,25.0,13.976705491,0.0,5.7,19.3,
