FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
20001,KS,Allen,76.3,4.0,4.7,81.0,57,20.0,4.0,33,35,9.0,17.0,48616.0,70,57.2,2.0,1.0,4.1,89.5,12399,10.0,,77,26.0,11.0,,11,0,8.5,20,,low,low,No,No
20003,KS,Anderson,76.5,4.1,4.8,94.0,57,16.0,6.0,31,34,3.0,5.0,53936.0,72,58.8,0.7,0.7,2.3,93.8,7949,18.0,,71,24.0,,,12,0,8.2,21,,low,low,No,No
20005,KS,Atchison,77.7,3.8,4.6,87.0,58,15.0,9.0,31,35,7.0,27.0,56691.0,71,34.2,4.6,0.6,3.3,88.1,16015,21.0,,75,18.0,,,11,1,8.5,21,,high,high,No,No
20007,KS,Barber,75.5,4.0,4.7,,60,18.0,3.0,32,36,2.0,1.0,52749.0,74,100.0,0.8,0.5,5.0,90.8,4358,,,76,26.0,,,9,1,7.6,21,,low,low,Yes,No
20009,KS,Barton,76.9,3.9,4.5,87.0,60,15.0,13.0,32,34,15.0,64.0,51149.0,67,31.8,1.4,0.3,15.6,80.6,25658,24.0,10.0,80,32.0,19.0,,11,2,7.1,19,,low,low,No,No
20011,KS,Bourbon,75.9,4.2,4.9,83.0,56,21.0,11.0,31,37,8.0,10.0,49821.0,73,48.0,2.9,1.1,3.0,89.4,14435,13.0,,80,36.0,,,13,0,8.3,20,,low,low,No,No
20013,KS,Brown,74.3,3.9,4.6,87.0,63,16.0,14.0,31,34,9.0,32.0,49483.0,71,68.4,1.5,0.8,5.6,82.0,9482,20.0,,77,34.0,,,10,0,8.4,20,,low,low,Yes,No
20015,KS,Butler,77.0,3.5,4.3,91.0,72,9.0,7.0,28,36,44.0,78.0,71827.0,75,40.5,2.1,1.5,5.3,87.9,66992,61.0,25.0,83,16.0,57.0,,13,0,8.5,17,7.0,high,high,No,No
20017,KS,Chase,80.4,3.7,4.4,,68,13.0,32.0,30,34,,,57338.0,78,100.0,1.6,0.3,5.4,90.1,2586,,,76,,,,10,0,7.9,18,,high,high,Yes,No
20019,KS,Chautauqua,77.0,4.3,5.0,,61,26.0,18.0,34,36,,1.0,43155.0,76,100.0,1.1,0.2,4.6,84.0,3230,,,67,31.0,,,11,0,8.7,22,,low,low,Yes,No
20021,KS,Cherokee,73.2,4.1,4.9,93.0,59,20.0,18.0,31,34,5.0,30.0,48336.0,71,49.1,0.8,0.5,3.1,86.9,19681,34.0,,73,34.0,22.0,,10,0,9.3,21,,low,low,No,No
20023,KS,Cheyenne,78.3,3.7,4.4,,72,20.0,8.0,30,34,1.0,1.0,50623.0,79,100.0,0.4,1.2,7.1,90.1,2600,,,82,29.0,,,7,1,5.7,18,,low,low,Yes,No
20025,KS,Clark,74.6,3.6,4.3,,76,14.0,33.0,30,33,5.0,,58365.0,77,100.0,0.3,1.5,11.3,83.2,1963,,,79,22.0,,,13,2,6.8,17,,high,high,Yes,No
20027,KS,Clay,78.4,3.5,4.4,93.0,73,13.0,8.0,27,33,10.0,6.0,53119.0,72,49.5,0.9,0.5,3.1,93.1,8025,11.0,,71,17.0,,,9,0,7.7,17,,low,low,No,No
