FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
41001,OR,Baker,76.6,4.2,4.9,74.0,64,19.0,15.0,26,35,12.0,115.0,44872.0,70,41.0,0.7,0.7,5.0,89.5,16284,21.0,,80,22.0,21.0,53.0,14,0,7.0,18,,low,low,No,No
41003,OR,Benton,83.1,3.7,4.4,86.0,84,11.0,7.0,22,32,107.0,1084.0,66378.0,57,18.8,1.1,6.8,8.0,79.7,93239,52.0,16.0,92,4.0,40.0,21.0,21,1,9.3,14,3.0,high,high,No,No
41005,OR,Clackamas,80.9,3.5,4.3,87.0,74,7.0,3.0,22,33,383.0,1506.0,82539.0,71,18.1,1.1,5.0,9.3,80.5,421596,277.0,134.0,89,9.0,226.0,20.0,16,2,10.0,14,7.0,high,high,No,No
41007,OR,Clatsop,79.6,4.1,4.8,81.0,65,13.0,4.0,26,34,27.0,151.0,63238.0,61,39.0,0.8,1.7,9.0,84.8,40423,47.0,29.0,86,18.0,28.0,50.0,15,1,6.5,18,15.0,high,high,No,No
41009,OR,Columbia,79.5,4.2,4.9,83.0,58,11.0,1.0,27,37,18.0,223.0,73023.0,76,43.6,0.6,1.1,5.9,87.5,52876,45.0,24.0,88,15.0,47.0,25.0,13,0,7.7,19,10.0,high,high,No,No
41011,OR,Coos,77.5,4.6,5.2,63.0,56,21.0,4.0,28,34,58.0,303.0,50848.0,68,38.4,0.5,1.3,7.0,84.7,64711,85.0,22.0,82,22.0,61.0,30.0,17,1,9.0,20,9.0,low,low,No,No
41013,OR,Crook,79.3,4.3,5.0,73.0,59,14.0,5.0,27,36,7.0,128.0,68598.0,73,48.0,0.4,0.7,7.8,87.8,25105,27.0,12.0,84,26.0,27.0,38.0,17,0,9.0,19,,high,high,No,No
41015,OR,Curry,77.0,4.2,4.8,77.0,51,21.0,2.0,27,34,15.0,106.0,48377.0,73,38.7,0.5,1.0,7.7,85.3,23305,34.0,10.0,80,21.0,36.0,53.0,16,1,11.5,18,,low,low,No,No
41017,OR,Deschutes,81.7,3.7,4.5,83.0,73,9.0,5.0,24,34,203.0,1055.0,66467.0,68,27.6,0.5,1.3,8.4,86.6,201769,159.0,46.0,90,11.0,130.0,40.0,18,1,9.3,15,10.0,high,high,No,No
41019,OR,Douglas,76.8,4.5,5.1,69.0,56,19.0,10.0,28,37,75.0,374.0,52355.0,70,41.2,0.4,1.2,6.2,87.3,111364,153.0,58.0,83,24.0,104.0,27.0,17,1,10.7,20,10.0,low,low,No,No
41021,OR,Gilliam,84.8,4.4,5.0,,64,15.0,21.0,27,34,1.0,3.0,63088.0,75,100.0,0.5,1.0,7.5,87.0,1975,,,83,,,,13,0,7.5,19,,high,high,Yes,No
41023,OR,Grant,80.1,4.6,5.2,,54,20.0,15.0,28,34,6.0,30.0,50819.0,75,100.0,0.3,0.6,4.4,90.4,7180,,,80,14.0,,43.0,15,1,6.5,20,,low,low,Yes,No
41025,OR,Harney,77.7,4.3,5.0,,67,21.0,13.0,26,35,5.0,49.0,48790.0,72,44.3,0.9,0.6,5.5,85.8,7373,16.0,,81,27.0,17.0,27.0,15,0,10.1,19,,low,low,No,No
41027,OR,Hood River,81.2,4.0,4.3,85.0,60,11.0,2.0,27,33,50.0,100.0,81718.0,68,52.2,0.5,1.8,31.6,63.2,23280,13.0,,87,17.0,,26.0,17,9,7.0,15,,high,high,No,No
41029,OR,Jackson,79.0,4.2,4.8,81.0,66,13.0,6.0,24,33,209.0,1222.0,57334.0,64,20.1,0.8,1.6,13.8,79.7,221844,189.0,115.0,86,19.0,207.0,31.0,21,1,19.1,18,10.0,high,low,No,No
41031,OR,Jefferson,76.0,4.6,4.9,81.0,58,17.0,4.0,29,37,15.0,57.0,63683.0,68,63.1,0.7,0.8,20.4,60.7,24856,57.0,,84,31.0,19.0,44.0,15,2,8.0,19,,high,high,Yes,No
41033,OR,Josephine,76.4,4.7,5.2,77.0,60,19.0,9.0,29,36,71.0,774.0,47740.0,69,45.0,0.5,1.1,8.0,86.1,88053,143.0,62.0,83,22.0,119.0,24.0,22,1,12.4,21,9.0,low,low,No,No
41035,OR,Klamath,75.5,4.7,5.1,78.0,57,21.0,13.0,29,36,68.0,352.0,49675.0,64,37.6,0.7,1.2,14.1,76.8,68739,85.0,41.0,81,28.0,88.0,41.0,19,2,18.8,19,13.0,low,low,No,No
41037,OR,Lake,76.4,4.8,5.2,91.0,62,19.0,18.0,30,35,4.0,17.0,48669.0,62,63.3,0.6,1.3,9.4,83.4,7949,22.0,,68,27.0,,30.0,17,2,12.8,20,,low,low,Yes,No
41039,OR,Lane,79.0,4.2,4.8,77.0,70,15.0,6.0,25,33,319.0,3708.0,58818.0,59,17.5,1.1,3.1,9.5,81.1,382986,337.0,240.0,88,12.0,274.0,33.0,21,1,9.1,16,7.0,high,low,No,No
41041,OR,Lincoln,78.0,4.3,4.9,76.0,62,20.0,5.0,27,35,27.0,238.0,53883.0,67,37.6,0.7,1.4,9.6,81.7,50583,61.0,26.0,87,24.0,54.0,40.0,17,1,7.3,19,,low,low,No,No
41043,OR,Linn,77.7,4.3,4.9,75.0,61,14.0,12.0,28,37,78.0,264.0,65516.0,66,31.6,0.6,1.3,9.8,83.9,131054,135.0,56.0,85,20.0,81.0,42.0,17,1,10.0,18,8.0,high,high,No,No
41045,OR,Malheur,77.4,4.9,4.9,84.0,50,24.0,4.0,34,37,7.0,161.0,46278.0,60,48.4,1.3,1.5,34.8,59.9,30983,23.0,14.0,78,34.0,17.0,52.0,19,5,8.8,20,,low,low,No,No
