FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
13001,Georgia,Appling,72.245701701,4.839345666,5.8955992485,87.0,51.573627383,29.0,23.204908294,33.3,37.6,8.0,92.25092000000001,51217,72.423802612,70.971589677,18.558714999,0.8845235511,10.684827437,67.994356414,12283,29.432495024,18.116270222,,42.170223708,11.927092934,,12.481203008,3.0413414282,9.1,23.5,
13003,Georgia,Atkinson,70.154095042,5.269495633,5.7952173924,92.5,32.529644269,30.2,14.950574231,37.4,38.1,,,46060,66.895200784,100.0,14.835634853,1.1609434193,28.6203104,53.574483686,5468,29.180040852,,,47.105004907,,,15.228426396,12.124338966,8.9,25.2,
13005,Georgia,Bacon,70.34998224,4.7118778986,5.9995873874,97.5,53.080044264,31.6,1.3038942796,31.2,39.4,5.0,8.93575,46044,71.987720645,100.0,16.540076847,0.9293182021,8.8821374319,71.637923331,7324,28.041909909,33.053877821,,38.25136612,17.926608465,,16.822429907,0.7722753162,8.9,22.6,
13007,Georgia,Baker,74.537553659,4.8006689822,5.6656038535,,67.054263566,39.0,28.043420129,33.7,40.3,,35.86801,50129,74.84047402,100.0,39.956958393,1.7216642755,6.9225251076,49.210903874,2055,,,,19.769357496,,,11.379310345,0.8589835361,9.4,23.0,
13009,Georgia,Baldwin,73.135551404,4.1710983488,5.2341268346,85.0,58.453914767,29.3,12.87980186,28.2,38.9,19.0,203.96471,49883,62.915536492,48.763670403,41.537756388,1.6844276384,2.894465452,52.1760055,27849,20.375546797,11.213276519,,13.923733066,20.581747569,,20.239520958,0.4721050613,9.9,19.7,
13011,Georgia,Banks,74.018846756,4.3959053071,5.7732444793,87.5,58.306636156,16.3,0.8716861775,27.8,34.3,3.0,,66928,74.756262187,95.580815082,3.1198261589,1.2882864238,8.1953642384,85.389072848,12937,25.823700081,34.996850283,,22.976222282,13.717421125,,11.023054755,1.1219232971,9.4,20.6,
13013,Georgia,Barrow,75.516807399,3.6833323417,5.4401558807,91.0,58.326824255,11.8,11.311272118,25.1,36.7,19.0,35.83467,77583,78.756818735,32.965690677,14.109900447,4.2542469681,15.090874478,64.241480868,55726,18.842937949,19.570543983,,16.952801249,13.723167596,,12.761276128,2.6293801904,10.4,16.9,10.181898846
13015,Georgia,Bartow,74.194213722,3.9516449981,5.5833181626,93.189125296,57.097209401,13.4,11.693154646,25.2,35.5,41.0,127.64147,80017,72.79398371,39.431226527,11.028577507,1.2232307474,10.36111899,75.116118281,73182,17.693824453,31.401768865,,22.732038754,15.385499445,8.9523809524,13.032581454,1.4108247674,10.2,17.4,9.6310410532
13017,Georgia,Ben Hill,69.602217304,4.7675296972,5.6077642629,85.0,36.77229182,36.4,13.162440819,33.2,41.3,8.0,35.15144,41141,57.858546169,34.389903455,36.504774738,0.8846446775,6.7607944226,53.916456734,11502,24.390038772,23.775558726,,44.14893617,21.363717287,,15.279878971,0.7681347953,9.2,23.5,
13019,Georgia,Berrien,71.996138871,4.7333790842,5.8155195187,90.0,46.873604288,31.7,10.396093176,30.8,38.4,4.0,32.94169,48725,69.053595157,73.325991189,10.887229604,1.1255078511,5.9514659053,79.900076864,12433,17.998290162,29.849697991,,36.255924171,17.821574589,,10.757780785,0.5572174321,9.2,22.8,
13021,Georgia,Bibb,71.379373505,4.2731432189,5.2794422869,82.2369326,57.883637266,31.2,13.060222154,30.1,40.1,219.0,216.3934,48539,52.64794889,14.085518539,56.414015634,2.1946644302,4.1428452531,35.463549236,103131,20.277258961,13.61696977,,32.165285767,30.964787312,24.895104895,19.791935345,1.0249651744,9.2,19.8,13.69152822
13023,Georgia,Bleckley,73.821998337,4.3074157187,5.4886885577,92.5,68.012640449,25.9,18.384890589,28.0,37.0,3.0,16.31721,56070,74.899360644,51.053008027,24.435016725,1.2237904871,3.434771967,69.323651791,8151,21.272784272,,,16.535933856,,,13.176470588,0.5089058524,9.5,19.7,
13025,Georgia,Brantley,72.113871177,4.6166324139,5.8637106483,94.0,42.978723404,24.0,2.6510214125,31.6,37.1,3.0,16.49893,50370,75.6354339,99.323012042,3.5307704999,0.3794753341,3.0962987406,90.689105208,12582,23.691249522,23.044742253,,39.13364509,18.077413866,,12.860310421,0.1526896876,8.2,23.1,
13027,Georgia,Brooks,73.850160373,4.6814479637,5.7376799118,87.5,48.734504132,35.4,4.6672929212,33.1,38.2,3.0,36.91626,43353,68.28940742,100.0,33.366147788,1.4889558851,8.23847905,54.513012982,11428,21.91200504,,,32.458563536,16.627442955,,16.197183099,0.6373154712,9.0,22.4,
13029,Georgia,Bryan,75.425557225,3.5249037362,4.893835397,93.0,73.263424067,9.6,9.6445856095,21.4,34.2,26.0,101.60705,93057,76.027531957,46.781259779,15.006739243,2.4033177812,8.6407465008,70.637636081,28192,23.004790839,14.923028589,,15.147073195,18.272597524,,10.88485746,1.5237912693,9.1,13.9,
13031,Georgia,Bulloch,75.792440078,4.0481951063,5.1435347806,83.176767677,63.859937362,22.9,8.4380240218,25.9,38.2,46.0,122.80427,49471,51.754741176,45.143589933,28.936057501,1.4110451607,4.6027522604,62.715659953,45038,15.817342797,7.8225032834,,12.616311798,13.372559508,,16.663686751,0.6772458668,9.2,18.2,
13033,Georgia,Burke,73.3593178,4.2310738938,5.2031635967,88.0,53.126781981,29.5,7.6075248076,29.4,39.7,8.0,45.104150000000004,49431,72.579378436,75.18702228,45.149253731,0.6232573397,3.686239134,48.363949483,15584,31.931078957,23.074371584,,28.549820382,19.249951875,,11.502199874,0.2800507592,9.8,19.8,
13035,Georgia,Butts,73.215039743,4.3060528959,5.4871390818,89.0,40.238931834,19.1,8.5464164803,28.6,39.2,7.0,63.79226,62231,74.148296593,77.600849257,27.963525836,0.7917745506,4.0414274457,65.071860107,17892,26.192485667,27.579685592,,28.209053138,20.901161622,,11.091127098,0.6717457197,9.9,20.9,26.397515528
13037,Georgia,Calhoun,76.264537334,4.8479292161,5.4921222399,,36.81372549,38.3,6.3109281023,35.3,43.3,1.0,36.56976,39681,65.464261857,100.0,60.486377766,1.170232218,5.5586030353,31.340281587,4212,,,,31.452358927,,,13.623188406,2.1924934968,9.3,24.5,
13039,Georgia,Camden,76.729177424,3.9453228356,5.0095340249,92.0,61.92120747,16.7,17.807885314,25.5,38.0,15.0,138.56489,67628,64.988940772,29.581142273,17.853822812,1.7417080315,7.9736200516,68.850963815,35521,12.713581548,21.120216271,,22.552098202,15.416295024,5.2,13.876930869,0.3559272586,8.1,17.6,
13043,Georgia,Candler,69.638475311,4.9617239457,5.9585464502,22.145222327,45.824223874,30.9,0.3869191543,34.1,39.7,2.0,90.90908999999999,44493,60.906653668,100.0,24.572727273,1.1727272727,12.863636364,60.236363636,7318,40.653605057,,,35.743631882,22.035329979,,17.202970297,3.022891802,9.1,23.9,
13045,Georgia,Carroll,73.40333102,3.9781925786,5.3547928597,92.386831276,55.141210189,17.2,19.469790676,26.4,38.9,62.0,188.61564,69924,68.236580147,54.382784436,19.713143701,1.1509567227,7.8656735585,68.666527546,76484,20.473738216,31.903804529,,22.787585093,14.845060931,17.192982456,14.065647589,2.0610314041,9.7,17.9,8.2297364495
13047,Georgia,Catoosa,76.229142745,3.7825954442,5.2919063705,88.0,59.724473258,14.0,9.6568852877,23.4,34.8,39.0,142.38805,66918,74.909796314,23.722595474,3.1921076337,1.5459274112,3.9069537675,89.065178857,47530,10.62945507,23.532526364,,21.210230817,15.091302379,,11.888667992,0.6988131024,9.4,17.5,
