FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
29001,Missouri,Adair,75.816991018,4.108838633,5.4649677011,85.975609756,67.266546691,24.0,11.53291578,27.4,32.0,44.0,290.08544,46433,61.856949458,33.451844829,3.7711106696,2.7776673952,3.0399364196,87.951519968,13868,13.530273988,,,8.5125448029,11.844318281,33.888888889,13.656387665,1.2919140396,7.5,20.6,
29003,Missouri,Andrew,78.637928645,3.7827452315,4.9437169481,92.128205128,64.931123045,10.2,4.6210286664,23.5,31.9,2.0,22.21852,72630,78.41223598,60.41356493,1.2664555907,0.694328723,2.9161806366,93.045603511,12659,18.682782597,,,14.94189264,13.565146617,,8.9705882353,0.011737778,7.9,18.3,
29005,Missouri,Atchison,74.49078735,4.1768439934,5.2715590186,,55.334538879,17.0,1.5394525964,28.0,33.4,2.0,57.892709999999994,57883,72.011909826,100.0,0.5982246237,0.3473562331,1.9297568506,95.600154381,3857,30.122131552,,,,,,8.6274509804,0.1793543244,7.4,22.4,
29007,Missouri,Audrain,74.903542596,4.7685709312,5.569232297,88.926940639,51.170411985,25.9,9.389153239,31.3,35.7,10.0,237.37415000000001,56305,72.022747547,54.526880859,5.5660145699,0.6302692969,3.5769828927,87.345502169,17336,15.131475711,,,24.838449111,11.874698185,28.260869565,9.6256684492,0.7201954816,7.9,24.2,12.123552124
29009,Missouri,Barry,75.528180891,4.5485792194,5.5475063213,92.670565302,44.671814672,23.6,8.4664092213,31.0,36.0,26.0,117.39106,49968,73.201639955,82.515781549,0.5926816698,2.714310256,10.092767566,83.914562217,24415,28.865351155,11.286787874,,34.106991226,16.303767295,25.454545455,14.852198991,1.6285749206,8.3,23.4,11.146095718
29011,Missouri,Barton,76.177380203,4.8061699107,5.6855057973,91.725806452,54.424103738,21.0,27.283198642,31.2,35.3,4.0,76.96254,49857,70.225597498,100.0,0.6071489653,0.7097656918,3.5231742774,91.499914486,7997,19.408054343,,,26.080186843,,40.0,11.904761905,0.2092811647,8.1,25.2,
29013,Missouri,Bates,75.145391748,4.5283850344,5.4260541626,92.782258065,42.679296346,20.5,8.6535333193,29.7,34.7,2.0,61.816159999999996,57291,73.115196492,100.0,1.477406194,0.3894418001,2.9980836991,92.489336713,11069,28.938230033,24.73257899,,25.067144136,,21.25,13.937547601,0.0,7.4,24.5,
29015,Missouri,Benton,74.331121145,4.5034871416,5.3257325084,93.674863388,53.50182704,25.1,5.1778123646,29.6,36.5,5.0,74.16929999999999,51473,82.64178738,100.0,0.741693038,0.5092958861,2.4723101266,93.532436709,15146,23.732006319,,,28.259473346,29.795540943,36.428571429,14.392059553,0.1755972969,7.4,23.2,
29017,Missouri,Bollinger,75.193493043,4.6271922346,5.7105142172,,39.370418284,23.4,11.604181361,29.9,36.0,2.0,57.04507,53932,80.506462675,100.0,0.6179882107,0.2757178171,1.8159345883,94.999049249,7616,17.962135818,,,26.46926873,,9.0909090909,13.333333333,0.1980786372,8.1,25.3,
29019,Missouri,Boone,78.691390352,3.8055524181,5.5048656608,90.569889503,79.090539992,12.7,9.9881036963,23.1,30.6,220.0,430.49710000000005,63981,57.565067525,22.754207287,9.8028664287,5.1499813522,3.8398422931,77.556076509,111010,8.4978771191,20.753913205,,8.7665054018,15.756360391,21.805555556,16.059510567,1.013022106,8.1,15.8,4.6989209885
