FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
40001,Oklahoma,Adair,70.874371,5.3908927254,6.5818068033,88.758064516,34.942332337,28.3,5.1649243995,37.6,38.4,5.0,250.3065,47799,68.560163551,100.0,0.7355946056,1.1289333878,8.1170821414,38.588067021,12785,23.078546183,22.025392131,,49.822064057,17.66554475,,16.513761468,0.6867233486,8.7,30.2,20.84095064
40003,Oklahoma,Alfalfa,78.208418909,3.793920064,4.9033819202,,48.498402556,17.9,14.835798691,27.7,32.7,2.0,17.73993,58045,79.661016949,100.0,5.6058186979,0.5321979776,7.3265921589,79.936136243,4251,32.109865139,,,19.911504425,,,8.9709762533,0.66359447,8.1,18.4,
40005,Oklahoma,Atoka,74.030529123,4.6186831046,5.735489912,85.805921053,41.655952687,23.7,14.985586767,32.8,36.6,2.0,1135.88557,46160,76.877062706,100.0,5.2657411303,0.8834665545,4.5575655588,67.402888795,10044,23.632888761,,,46.367287331,18.646280067,,12.980769231,1.0511405994,8.8,24.6,
40007,Oklahoma,Beaver,75.779078068,3.846088244,5.144071172,,55.798319328,16.4,11.877335973,28.6,32.6,,,64431,78.343949045,100.0,1.0765550239,0.4585326954,28.010366826,66.467304625,3387,51.43336672,,,12.309920348,,,8.7719298246,3.9572864322,6.3,16.8,
40009,Oklahoma,Beckham,72.610210403,4.2656507068,5.3269643408,87.309322034,44.04471836,24.1,7.8483468124,31.9,35.1,11.0,327.1389,53119,66.067640085,50.361445783,4.6162933345,1.2722068245,16.247898587,72.62937889,15297,25.135020172,18.356202102,,36.401576629,22.043628014,,11.585760518,0.2922015712,7.5,20.9,
40011,Oklahoma,Blaine,70.961660396,4.1842401854,5.7190822378,,40.468534681,22.2,23.508074577,30.5,34.1,5.0,392.43667,54616,70.300204022,100.0,3.3654417886,0.3686526341,14.591509097,68.771554287,6123,31.86791508,,,36.771728749,,,8.5025380711,3.0225782957,8.6,20.9,
40013,Oklahoma,Bryan,72.866596354,4.4839599066,5.5463803158,87.087794433,53.030177072,17.9,10.791823565,29.9,35.7,18.0,840.5628700000001,53782,63.636363636,58.052401936,1.9343323233,0.7098086422,7.3782740442,68.571250675,31086,27.433504234,15.96135963,,35.302792884,16.834379169,,13.94953218,0.6703089849,8.9,22.0,9.2476489028
40015,Oklahoma,Caddo,70.022780856,4.7747490322,5.5993853681,89.935064935,39.327313179,23.0,9.8548844401,33.7,34.2,6.0,53.43919,51071,72.370590175,81.425125255,3.9010611497,0.641270326,15.9668677,55.149248034,18308,31.364505337,32.21418856,,38.205169891,17.610098335,,10.176779742,3.0757066614,8.9,24.1,13.310580205
40017,Oklahoma,Canadian,77.592945475,3.3576239916,4.8862204476,92.639476334,69.131068169,10.0,7.5575000695,22.6,32.9,56.0,196.86785,81761,75.53285968,19.520740909,4.3541493003,3.3952314232,11.603970464,71.805922589,103902,12.284794962,11.657150259,,15.655634565,14.71359322,,8.9994532531,1.4414020911,9.9,15.3,8.9941262849
40019,Oklahoma,Carter,72.399745374,4.2552212454,5.6848003733,89.0,56.164383562,19.8,7.6377313188,30.3,35.3,28.0,474.12905,56052,67.387127762,55.413203341,6.1080189652,1.3481756339,9.02288188,67.65615337,32134,21.574207887,21.415495147,,35.906806761,21.151118521,,12.422192152,1.311489986,7.7,20.7,8.7704213242
40021,Oklahoma,Cherokee,74.005272824,4.6602994581,6.4203049478,85.238043478,58.135775862,22.6,14.039717208,30.3,36.1,35.0,461.55765,49403,66.748179848,61.818683886,1.3825938708,1.2599276477,8.2103205955,45.823111148,30155,20.587448127,16.517208867,,23.950233281,20.175734767,,13.302620213,0.961022707,8.9,23.2,6.0047765268
40023,Oklahoma,Choctaw,69.881655619,4.9532659642,6.4020544141,80.636363636,48.262792167,30.5,21.082639738,35.3,37.1,6.0,849.70052,41999,66.632213609,64.854970431,9.6044017273,0.668616799,5.8434322329,57.93285973,9663,34.938566354,27.507163324,,49.98466728,31.439663186,,11.851851852,0.3079927885,9.0,25.3,11.874105866
40025,Oklahoma,Cimarron,78.957868895,3.6344569549,4.8647713238,,45.278450363,25.3,15.069564913,28.1,33.7,,,50900,80.984042553,100.0,0.6660746004,0.4884547069,24.245115453,70.914742451,1561,,,,34.764826176,,,2.5263157895,2.2440392707,4.8,16.3,
40027,Oklahoma,Cleveland,77.871331942,3.5073578813,5.3104620293,85.959438378,69.893535558,13.0,5.5986863296,25.9,31.5,153.0,358.15972999999997,70923,63.876016438,15.714923797,5.5142579618,4.8416653593,10.257454429,69.021686522,188419,10.539055015,14.044345597,,13.129984158,12.307804197,,13.380216526,1.2851417079,10.0,16.4,4.605796514
40029,Oklahoma,Coal,70.427392225,4.9063174278,6.0751616181,,42.808219178,29.9,11.285920569,34.4,35.8,1.0,94.10879,44040,72.25156025,100.0,1.1104837192,0.3387916431,5.7029926595,63.259928477,3580,43.789603833,,,45.534150613,,,10.222222222,0.7328990228,8.7,25.2,
40031,Oklahoma,Comanche,73.905337277,4.1889464495,5.0652567584,74.759943182,59.323598523,18.8,11.204475869,31.0,38.7,86.0,361.65337,55600,54.77053276,27.790299278,15.455195618,2.7997659412,14.967573103,54.745379777,78204,13.018344137,23.357359354,,32.006245121,22.117357339,,14.315448659,1.0061176885,8.2,20.0,8.5985944605
40033,Oklahoma,Cotton,72.061944267,4.3523925542,5.6630202824,,47.829716194,28.0,6.9364326966,32.6,35.6,,36.51634,51036,77.002967359,100.0,2.3187876575,0.3651634106,9.9872192806,73.19700566,3845,,,,32.813781788,35.185250343,,11.51241535,0.0948946669,8.2,22.3,
