FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
53001,Washington,Adams,78.099754974,4.6330337117,5.298786643,,33.913764511,17.4,23.228694685,29.3,34.0,7.0,181.28906,62410,64.911167513,47.290544802,0.7394685368,1.4741663089,65.349935595,31.520442727,11258,25.291210221,,,32.174810736,,23.4375,18.724109362,14.373398804,9.4,16.5,
53003,Washington,Asotin,77.376435912,4.0909282523,5.9491630925,,59.798685292,20.4,4.6132834554,19.7,30.3,15.0,479.82939000000005,65625,72.2076008,7.2604891182,0.8796872223,1.1462591079,4.9848942598,88.519637462,16165,8.8970798513,22.124220121,,20.074696545,21.249468763,24.761904762,10.554658051,0.6814310051,8.1,16.4,24.435318275
53005,Washington,Benton,78.792131725,3.5173726011,5.3743610005,,66.605670804,13.1,5.2280779195,19.7,30.6,148.0,360.44758,85144,68.050166205,12.143682356,1.3877466622,3.4794704663,24.886390872,66.849161854,134954,9.1822527696,18.362189353,,17.163698777,10.774922641,22.56,11.946630174,4.110903099,10.4,13.2,6.5471482556
53007,Washington,Chelan,79.743911828,3.8499013544,5.1284081993,,61.140939597,12.3,4.5962806036,18.7,27.1,88.0,531.74186,81697,63.451042283,33.629258669,0.5142256587,1.3837799965,29.039361409,66.755498836,54434,7.5930003648,14.503881921,,17.933337456,11.856006227,18.192771084,14.173898247,7.1668052464,7.0,14.2,9.0112298001
53009,Washington,Clallam,77.893185003,3.8580745769,5.491314619,,64.048392922,15.8,12.600490179,18.3,31.4,75.0,444.7015,66693,72.943037975,36.090985678,0.9022556391,2.0589936379,7.5804896858,81.299402352,59865,12.924397892,32.105202327,,16.772750731,19.698407021,24.576271186,14.65582166,0.6635646369,5.1,14.6,5.8235699518
53011,Washington,Clark,78.837878631,3.6136556544,5.3465512992,,67.5397065,9.4,3.6129785405,16.9,32.2,388.0,444.29049999999995,91149,66.72773386,13.481127971,2.3354277167,5.6231000099,11.406616755,75.024913938,345411,8.137243037,19.712531156,,11.577976695,10.966119176,8.8602941176,15.228597042,2.8386944699,7.1,13.0,8.1316322881
53013,Washington,Columbia,76.077446267,3.815715837,5.4019645836,,72.961956522,17.6,14.227239916,18.7,28.4,3.0,322.90114,62935,75.055432373,100.0,0.8445106806,1.8380526577,8.2712369598,82.861400894,3021,,,,19.151846785,,63.333333333,6.6852367688,0.6036745407,6.6,14.4,
53015,Washington,Cowlitz,75.675089715,4.2716399835,5.5591933899,,55.803587873,16.5,8.8716293757,19.9,37.2,62.0,549.32295,71847,66.402576042,32.976609772,0.9619850656,1.7515809782,10.370145414,81.579370467,77072,10.026213271,23.389147436,,19.704215374,15.653867506,19.380530973,15.440916067,1.2855001729,6.7,17.2,15.410637098
53017,Washington,Douglas,81.12741834,4.0073098438,5.3970905155,,52.330449344,11.8,14.92858241,21.7,31.1,12.0,63.359880000000004,83870,69.923743053,25.380781592,0.5747646633,1.4323859522,34.327480087,60.852643012,28706,7.7337440063,9.1823851245,,18.444920004,7.8872768945,22.5,13.540654357,8.9630801166,7.6,14.8,
53019,Washington,Ferry,75.568215673,4.4748151621,6.2622687035,,51.736613603,27.1,24.535410594,22.8,36.2,8.0,308.80773,57064,76.165289256,100.0,0.8190118153,1.1412459721,5.8404940924,72.287862513,5559,33.899581905,,,31.78928247,26.383831988,16.666666667,18.11023622,0.4762592005,7.0,19.8,
53021,Washington,Franklin,79.420257514,4.3066996018,5.3558158113,,51.665111606,12.9,8.8785856448,24.4,31.4,20.0,143.90239,77820,69.925925926,11.445079536,1.846409534,2.6226717201,54.820730051,38.690488255,56267,8.0792190292,15.831225371,,24.690411379,8.1754664733,17.928571429,18.210159545,12.784748653,10.4,15.1,9.5856902614
53023,Washington,Garfield,77.252719471,3.7835677464,5.5800173116,,57.01754386,18.4,3.5352683481,19.4,29.2,2.0,42.319089999999996,64413,77.502477701,100.0,0.1692763436,3.8510368176,6.3901819721,86.584849767,1696,,,,,,0.0,5.5837563452,0.726942299,6.8,14.6,
53025,Washington,Grant,77.58874692,4.3447563595,5.274110242,,50.57858445,16.5,10.646023754,25.1,30.4,40.0,259.59669,63809,64.768609279,44.869505564,1.057140883,1.2742940056,43.575722281,51.442587676,60723,17.437538883,19.50189471,,28.289160451,13.472247171,28.712121212,15.010968348,10.204103848,9.6,15.9,6.7193038995
53027,Washington,Grays Harbor,75.493279367,4.4164082279,6.1133805387,,48.799821369,26.4,5.4219830078,23.3,36.7,28.0,442.63870000000003,62258,71.237560084,39.114971707,1.2967626366,1.6563254498,11.322983463,77.868065111,55194,13.534416087,35.98827309,,19.827522665,15.222326078,26.61971831,14.200781383,1.9936691287,6.0,18.2,14.485010389
53029,Washington,Island,80.83111772,3.3898837577,5.2605942123,,71.066109101,8.0,5.1405605067,17.5,30.8,39.0,311.68831,82717,73.826694462,47.780835166,2.8963924964,5.2606060606,8.7134199134,77.732756133,63659,9.6702774691,15.46868172,,7.944073721,12.200672914,8.8888888889,15.569709837,0.7068860451,7.3,13.0,10.576635793
53031,Washington,Jefferson,80.266804167,3.5969852289,5.3197446892,,68.027095682,15.5,6.6965462818,15.5,29.5,28.0,491.23225,69176,80.377072955,53.258331564,1.0152133139,2.1376045729,4.5401768436,87.540563875,27822,12.999004904,26.388973469,,6.1235356763,16.719405037,22.222222222,15.548172757,0.4076298348,5.8,12.9,
53033,Washington,King,81.615702347,2.9713159464,4.879095757,,82.574439568,9.1,2.4562498659,14.3,27.4,2683.0,593.92383,116044,56.201447172,3.2943483098,6.9227881378,21.682432728,10.487698679,54.976268193,1622636,5.4627820016,23.246888147,,6.5163233659,8.6776308354,,17.621603004,4.4902673051,8.3,9.0,5.0527818859
53035,Washington,Kitsap,79.53848705,3.2613605934,4.8672503422,,71.421311651,10.5,7.8418419668,15.7,29.6,185.0,456.65225,93794,69.838066226,17.571141936,2.922142232,5.7218382774,9.0602975442,74.587734493,194382,7.181863401,16.614258454,,12.41725258,11.293238155,6.4583333333,14.060136157,0.7908854387,4.9,13.0,9.6511139134
53037,Washington,Kittitas,80.285984845,3.7452906497,5.3615801555,,69.905467303,11.3,9.7179044522,20.6,28.9,23.0,214.65401000000003,71737,61.548051948,42.792701356,0.9980304941,2.0425324747,10.006860077,82.883002501,28306,8.9411793724,20.331188042,,5.8720353847,11.854009407,21.081081081,21.111691023,0.4256520001,7.0,15.0,8.3890126206
53039,Washington,Klickitat,79.921105219,3.7965654826,5.4159764219,,61.209020277,17.6,4.8610892056,19.8,31.3,13.0,189.07653000000002,70371,74.994801414,79.709698702,0.5285548537,1.0742984831,12.797043531,81.075157922,17119,14.888176846,24.912075029,,15.831819362,15.157188966,12.5,15.48004315,3.7525868016,7.0,15.5,
