FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
56001,Wyoming,Albany,79.359622151,3.378882677,4.9629910822,86.0,86.297060847,13.0,9.2184036406,18.5,29.9,30,623.17583,53537,50.552486188,12.96336265,1.2936814704,3.570771213,9.9708132839,82.222397518,21101,9.6804339813,10.395190492,,6.2450523353,17.674181659,7.7777777778,22.7145956,0.2757890632,3.7,14.9,
56003,Wyoming,Big Horn,75.055889475,3.5019329178,4.5851873622,83.666044776,60.061680802,16.8,5.6659291065,23.8,29.5,4,194.01097,59702,77.099953074,100.0,0.7507380852,0.5904681569,10.172922817,85.972163644,7954,28.981657026,,,12.052463665,23.816004355,9.2857142857,8.5034013605,1.4855072464,3.6,18.4,
56005,Wyoming,Campbell,76.702618119,3.4785646184,4.5013460606,84.0,59.73916379,9.8,8.2444665121,23.8,32.5,26,235.87913,89870,78.262607802,26.802194531,0.5270092227,0.7288877555,9.3097879213,86.429512516,30249,16.372417933,11.476279964,,24.842346646,16.393442623,11.186440678,12.767780634,0.7568286586,2.4,18.5,
56007,Wyoming,Carbon,76.813321188,3.7484729692,4.3970092734,82.420634921,56.581329196,14.2,18.976654138,27.6,34.3,8,275.06533,66225,72.789464683,47.031712183,0.9902351809,0.9420987485,18.725072205,76.481914455,10146,23.671776614,,,29.204785362,26.869441384,8.0,10.281124498,0.6361599075,3.6,19.3,
56009,Wyoming,Converse,78.018210386,3.5086981664,4.8748156103,89.692982456,62.636363636,16.6,2.8794243922,22.6,30.5,8,253.88074999999998,78015,80.516265912,52.745254891,0.5150152328,0.6165675323,8.6609603946,87.864500218,9500,15.436227798,,,20.238885202,26.182960711,6.6666666667,6.1355311355,0.8815727883,2.2,17.0,
56011,Wyoming,Crook,78.186672252,3.3611582284,4.7362119098,87.5,70.855263158,11.1,5.7133538402,20.8,30.7,3,80.55854,70196,78.366606171,100.0,0.8592910849,0.3088077336,3.5311493018,92.977980666,5065,,,,20.393811533,26.772328122,6.25,10.265486726,0.9917110716,3.7,16.5,
56013,Wyoming,Fremont,71.20927183,3.7837038699,5.0152111869,70.130208333,61.140293281,21.9,5.9302506509,23.2,32.8,32,266.01135,55125,70.691660395,53.583626446,0.5472233482,0.5649574382,8.2387515201,69.332691528,26286,30.956966217,35.61918008,,35.130434783,28.390655419,8.2608695652,13.043478261,0.1352484514,6.6,19.7,15.112107623
56015,Wyoming,Goshen,76.528119386,3.4586447092,4.6821495482,82.5,71.18705036,16.5,5.8550921478,23.0,32.3,10,620.9202399999999,58720,75.26139278,48.503760602,1.1383537653,0.9154593218,11.502945391,84.397388951,8911,25.943141282,,,15.181518152,,5.0,10.888252149,0.2958079784,3.9,17.6,
56017,Wyoming,Hot Springs,70.777689047,3.7866777829,4.9300532257,,70.194384449,17.1,2.3721368019,24.2,32.3,5,305.14385,64734,71.401425178,100.0,1.0244115083,0.6756756757,4.6643417611,89.62510898,3308,31.146826138,,,20.286396181,52.896059244,20.0,8.6956521739,0.068981375,3.0,18.8,
56019,Wyoming,Johnson,79.845820204,3.5324534677,4.7647851435,87.5,70.005136107,8.9,11.26850353,21.9,30.0,13,343.64261,70067,71.442961471,46.537232153,0.6987399771,0.8361970218,5.5097365407,89.690721649,6336,,,,11.52368758,30.522163787,10.0,9.2171717172,0.0,3.1,16.4,
