FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
26001,Michigan,Alcona,75.377034842,3.8153014614,5.4873532185,,56.976744186,25.4,6.1626304384,23.2,34.0,5.0,105.59662,53788,89.673013245,92.908429232,0.7007775751,0.4607852549,1.9871364116,94.470576942,8440,15.160076627,,79.242549669,18.282988871,21.211770604,20.0,10.361681329,0.0505407864,6.1,20.6,
26003,Michigan,Alger,79.514772579,3.839435016,5.3731632307,,50.966057441,15.4,4.8934575132,24.2,35.4,7.0,79.48223,59390,81.948686622,100.0,7.5621664585,0.4428295674,2.1573748155,82.320881117,6562,,,83.04825901,16.405135521,,15.0,12.326656394,0.0,4.9,20.8,
26005,Michigan,Allegan,77.639431904,3.5189002853,5.3590387128,82.970072993,59.716160957,12.6,4.7275383216,23.8,31.9,25.0,108.07689,75893,85.141525291,67.578131483,1.3257982015,0.9075158815,8.0339905948,87.443280257,82354,13.991884707,13.409394398,88.543510903,14.334125346,9.4637437218,28.275862069,9.6755833808,0.7943590786,7.0,17.6,7.2158261716
26007,Michigan,Alpena,77.216394271,3.9585781005,5.7345233843,81.0,63.675554846,21.8,6.1005290101,23.8,34.8,22.0,402.12154,54161,79.05038912,46.639222334,0.6759801712,0.547717267,1.5876867612,95.039345513,21535,8.0054036475,,82.265545162,18.206209276,10.536815634,55.238095238,9.0446358653,0.1232866778,6.1,20.9,10.415035239
26009,Michigan,Antrim,79.484356126,3.5086729035,5.2212378737,88.720930233,63.188405797,14.9,0.0613777402,21.0,32.2,16.0,53.61046,71945,87.0310027,100.0,0.4123881397,0.3670254443,2.4248422615,94.139964535,18006,17.121088901,17.00053835,86.09999069,15.106431678,8.5292938598,12.777777778,11.067388096,0.0439889148,6.0,17.3,8.7562189055
26011,Michigan,Arenac,75.175292741,4.0002759756,5.5856485969,87.936241611,58.193979933,19.0,0.0018110722,24.3,35.1,6.0,218.70237,53615,85.066876475,87.541661112,0.6362250646,0.4042680098,2.2930611704,93.578103254,11313,18.996960486,,83.005507474,20.928462709,,17.272727273,9.6431283219,0.4526147204,6.7,21.8,
26013,Michigan,Baraga,76.019859185,4.0770053547,5.5845808685,,48.472906404,18.7,4.5129067649,25.0,35.8,6.0,157.06174,52491,76.858994138,100.0,7.7685151625,0.3986951794,1.9693125529,72.043010753,6254,17.115374741,,80.160444307,19.828155981,,11.666666667,10.815047022,0.2151898734,4.9,22.5,
26015,Michigan,Barry,78.139567855,3.4535134344,5.1013517943,85.823444284,58.167546353,9.9,0.0066791715,21.3,34.0,19.0,127.45066999999999,71173,86.230750226,87.118530029,0.7175000787,0.5900494068,3.7275387859,92.733738238,44172,17.315531095,15.005117817,83.710779873,12.993039443,13.621062054,14.181818182,10.887428102,0.266662166,8.4,17.1,
26017,Michigan,Bay,75.251932958,3.9357882889,5.5386673235,77.885140905,64.606583135,17.8,5.2544389897,23.2,33.9,46.0,292.74176,56388,75.621680482,28.939107996,1.8420361599,0.6185506852,5.9433384231,89.074216357,75152,11.553284021,34.684179476,87.641947599,17.05619095,10.064645995,24.651162791,11.058823529,0.1427833642,6.8,18.9,3.6334913112
26019,Michigan,Benzie,77.595624844,3.388121551,5.2977603894,89.261744966,65.440980549,13.4,,21.3,33.2,11.0,169.42668,65846,88.066359961,85.5147468,0.6831721047,0.5192107996,2.5359348527,93.348636388,13789,15.298399304,18.573206293,90.352711557,16.149870801,15.700875885,41.538461538,11.74351585,0.017366136,6.0,16.9,
