FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
36001,New_York,Albany,78.746657529,3.2077178665,5.0320260794,87.197592295,77.821404674,15.2,5.542280913,21.3,34.0,302,431.90389,76997,56.521278608,9.5681090558,13.022028998,7.4430592981,6.9326274259,69.813274395,211845,5.4683832447,25.788192259,88.065821827,7.9180887372,6.7548609018,12.064777328,14.381049017,1.7504741145,7.5,15.3,4.9346308857
36003,New_York,Allegany,77.492546253,3.7729123582,4.9191674075,88.645833333,65.248848937,19.9,1.3248667223,24.3,35.6,16,256.99233000000004,55466,80.794623208,88.507404856,1.430590654,1.2271383904,1.9981153896,93.774360732,29967,9.8265913704,10.886605121,83.304585737,10.465687996,14.279038372,10.23255814,12.340543539,0.604074718,6.7,22.2,3.4652358596
36005,New_York,Bronx,77.260952133,3.9896613331,4.7192924991,73.31490994,54.013946837,35.3,0.0005496628,35.7,36.4,824,256.67671,45864,19.963760047,6.79046e-05,29.081572757,4.7935933725,56.583301086,8.6770786683,943981,4.0959351522,41.985751704,83.636252895,17.917487923,5.4004224362,,37.964460388,14.521307984,8.6,16.6,9.3971921947
36007,New_York,Broome,77.177941172,3.6736312705,5.2999098619,85.90625,67.431937294,27.0,3.6737523172,23.0,34.4,155,251.11989,60533,64.849580152,24.947277824,5.9654925755,4.9914517774,5.1101629996,81.004682498,131196,6.128414653,36.905611732,87.016068553,12.184351038,5.4029005264,9.8787878788,14.749151264,1.4680076131,7.2,19.5,4.2676939346
36009,New_York,Cattaraugus,75.513135815,3.8549245616,5.3096241542,85.524144869,53.934660785,20.0,2.4149545095,26.2,34.7,33,173.99495,52383,73.735352958,61.809143065,1.4233571868,0.8438100969,2.6059995552,89.585159408,53128,10.776803117,24.517744718,79.911720809,16.894925909,8.8867049666,8.7179487179,13.046875,0.6445229293,7.2,21.2,7.5138922445
36011,New_York,Cayuga,78.364159537,3.906533708,5.2047927309,82.770565553,58.510866074,17.9,0.9936326721,22.7,35.0,22,217.33912999999998,64129,70.019411194,58.775312139,3.5774287314,0.7466865783,3.3267553801,89.691725113,55374,9.8260601948,27.572926013,85.263668716,13.513513514,4.9578193945,11.285714286,12.439261419,0.459773289,7.0,21.5,6.4020857474
36013,New_York,Chautauqua,76.734704119,4.0248059422,5.2200497978,84.283464567,59.734016422,26.6,5.6477089501,25.2,35.8,80,189.64190000000002,55644,69.077801704,44.068872056,2.0939957311,0.6728716862,8.4648527696,86.251358836,89404,7.3577775053,36.603799422,84.055800019,20.885520023,7.8526589889,11.709401709,14.414918415,1.4194082351,5.9,22.0,8.303497659
36015,New_York,Chemung,75.48534075,3.7441542325,5.4393148125,81.306698002,60.109721742,21.1,6.1839963829,26.2,35.1,65,332.81753000000003,56664,68.434975129,25.906735751,5.56210547,1.5842605556,3.5381819075,85.580772726,58945,10.129539933,37.732365137,84.916185054,23.463373562,7.6384346938,5.0,13.705214098,0.6261045191,6.9,22.4,12.258209627
36017,New_York,Chenango,75.792186563,3.5074061492,5.0492650491,89.923007246,54.618397173,16.9,1.813318644,25.0,36.4,14,191.57088,60755,76.284823494,83.358746294,0.9040423608,0.5682551982,2.5399285376,94.2722459,33959,12.001344151,30.61064681,85.391732877,19.451907577,11.022880957,6.8181818182,13.246940245,0.3915864847,6.7,23.0,13.855421687
36019,New_York,Clinton,78.680470864,3.5918251671,5.0268596211,87.791116447,61.523326257,14.0,3.2263747494,24.5,33.1,64,344.11388,65272,69.039233102,63.731322721,3.2125760288,1.3955023936,2.9370309702,90.519726233,55243,6.2072365737,15.00881768,85.62678019,10.628272251,4.7318533424,5.9375,11.456187609,0.3606888501,6.6,19.7,3.9281942978
36021,New_York,Columbia,79.497000458,3.2285028265,5.2893328312,88.697318008,59.356315051,15.3,7.1296838443,20.0,33.7,25,225.17378,83533,74.577075099,82.767581614,4.353359658,2.2794765526,5.8512547727,85.228273994,47307,11.090372377,19.361298424,85.565217391,10.309278351,6.9699594747,5.4166666667,14.866732478,1.202699731,7.1,17.1,13.651050081
36023,New_York,Cortland,76.708659278,3.4662323434,5.4956106316,86.898148148,67.334987593,16.2,4.3112925152,24.0,36.3,17,407.57924,58274,65.966295776,46.877737187,2.0313922733,1.1728743008,3.2367861943,91.436500022,29274,8.4024030873,29.773508666,83.850059414,9.2626225935,,5.7142857143,12.87541713,0.3300922911,6.7,18.9,
36025,New_York,Delaware,77.512083737,3.7472689759,5.3389465101,85.387731481,58.158665765,19.2,3.6975849232,24.8,34.7,17,147.519,61424,77.156549521,90.547982306,1.8104604381,1.2807331247,4.7451944569,90.552078677,33158,11.162316021,22.649885618,84.009584665,9.5606183889,13.064298875,8.2857142857,13.259376651,0.7820500884,6.5,20.5,6.0351718625
36027,New_York,Dutchess,79.678796143,3.4056825343,4.7855708265,88.265439611,69.327309946,9.2,5.6572945202,23.0,34.3,211,336.08362,90740,68.81514758,31.739610897,10.727116907,3.7910232066,14.540657716,68.646759314,210886,8.3812306941,33.460581513,91.620748956,6.164195497,5.9705178542,3.0038022814,17.130659885,2.0212296226,7.8,16.0,6.5038222647
36029,New_York,Erie,77.544224445,3.4576519618,5.3074684534,88.700222357,73.660375213,16.6,5.7547893537,24.1,35.5,696,393.44973,69888,65.178195879,10.308560985,13.071812205,4.809052185,6.1320913553,73.451245486,671368,5.4667618563,28.313810321,87.66956834,13.114885797,8.355151361,6.9471153846,14.764195363,1.8072911059,7.1,17.6,5.2945055851
36031,New_York,Essex,78.54462347,3.5538206608,4.8820695956,,57.77803848,16.2,0.6577216642,22.1,33.6,19,205.90626,62376,77.00952381,86.501163693,1.7231102682,0.7748577621,3.001896505,92.798699539,28930,5.706025563,18.010878571,87.187301587,11.664202399,,6.5517241379,11.186650185,0.5271231348,6.2,18.3,
36033,New_York,Franklin,77.820311256,3.8853120548,5.1417949561,88.406862745,48.889841406,22.5,7.5808327781,28.8,34.8,25,355.81049,59192,70.897374954,70.200820103,2.7235675932,0.5585146529,2.777478274,84.894227244,33832,9.7164788624,16.27747672,82.850050177,19.9613651,4.4202980085,10.222222222,13.003177966,0.2844823754,6.9,22.9,7.0464135021
36035,New_York,Fulton,75.927397827,4.0329924574,5.2755449871,82.660162602,58.992407466,17.8,3.8052502964,26.0,34.0,17,256.31776,61512,69.063023119,50.705123397,1.9802920124,0.8809736278,4.3023410355,90.79344586,38665,12.279797864,21.969606619,84.024793015,23.061825319,7.4968419553,9.8,11.738451239,0.1795225883,6.6,23.2,
36037,New_York,Genesee,77.508555639,3.4941976976,4.9271532197,92.441679627,65.46484123,12.2,1.5456121666,23.0,33.5,18,189.4499,68973,73.390399738,62.120641228,2.5792995568,0.702181281,3.7246893195,90.084296515,41797,9.8762261952,23.819621559,87.545052425,11.623045405,3.8248364013,4.2592592593,12.430196484,0.4021447721,7.2,20.3,6.592956593
36039,New_York,Greene,78.120243297,3.495890446,5.0799702733,89.972035794,55.544798451,15.8,1.9654350661,25.0,35.6,14,93.63101,71433,75.903479864,73.209405187,4.8584091051,1.3503672416,6.7726430994,84.671563222,36429,13.214879955,32.898420876,80.103893202,10.61452514,8.4095448334,8.5714285714,15.950226244,0.995976949,6.8,18.0,14.942528736
36041,New_York,Hamilton,79.21221541,3.8961159547,5.2209585592,,55.097087379,15.0,12.199298114,25.2,36.7,2,58.61665,62149,84.927536232,100.0,1.1527940602,0.8206330598,2.1101992966,94.099257522,4107,,,85.623188406,,,0.0,8.1272084806,0.2025521572,5.7,21.0,
36043,New_York,Herkimer,78.053019624,3.7016325486,4.9929697213,87.63437058,63.238512035,15.9,4.1768017953,25.4,35.2,16,88.59617,62197,75.997405125,52.601473254,1.3958075624,0.6753368326,2.7565109826,93.378690114,43013,7.6391187698,17.014176651,85.602497567,15.852742299,7.8361205979,12.833333333,9.8625224148,0.4654487135,6.6,20.3,12.449799197
36045,New_York,Jefferson,77.334672718,3.4472675891,4.6498820541,87.245315162,67.610888902,17.2,5.8673923035,23.6,33.8,59,238.34632,58763,54.497928372,49.380145818,5.8446290628,1.8767629483,8.0386155337,80.687946364,74585,10.229765587,23.636842357,88.767652227,30.29867892,7.4977774445,5.2884615385,13.776280637,0.5934526986,6.7,19.9,8.8995046001
36047,New_York,Kings,80.262579657,3.3797825053,5.00989702,77.565954523,70.817662221,27.5,0.0016470701,27.5,36.6,1669,289.78783,73244,30.312428291,0.0,29.115164701,13.186137434,18.893957806,36.714808942,1860601,3.6189418707,18.527397486,86.288387175,11.973493063,4.0935929488,,32.335200012,11.295360614,7.6,13.9,8.4591985187
36049,New_York,Lewis,78.464655293,3.7172426094,4.8498891085,91.306089744,56.799462094,18.7,4.4883142688,27.2,34.2,18,209.74568,64452,80.772113943,100.0,0.6629461778,0.4681823289,1.6292745047,95.771377205,18480,8.0698960597,17.708965796,83.124062969,14.105147463,7.5726596695,4.4444444444,11.538461538,0.346903784,6.0,19.1,
36051,New_York,Livingston,79.409271528,3.19832758,4.5570692715,93.278301887,66.439290587,13.0,3.9097163188,21.1,32.6,28,154.43137000000002,75077,77.047069087,71.378206165,1.7995318291,1.3443656935,4.1322582743,90.906430847,41890,9.2573776784,18.727593772,87.03419052,5.5313264546,7.6453573567,6.9811320755,12.737293325,0.49873631,6.8,18.6,6.7969413764
36053,New_York,Madison,79.648958878,3.6756539504,5.4592616288,89.200418994,62.577508455,15.1,5.7844733523,21.1,33.0,50,229.51845999999998,69851,77.746054406,69.160197601,1.8361476668,0.956823703,2.5902797443,92.355843033,46161,10.525996174,19.131707457,86.672218257,8.1224908972,5.9856856603,10.158730159,12.018489985,0.3053576386,6.5,18.4,3.4847298356
36055,New_York,Monroe,78.578795605,3.5191732479,5.0752917632,86.973144876,74.736282878,19.0,6.8604010802,23.8,32.1,811,357.29720000000003,68169,63.652625927,8.1201617501,14.778700459,3.8917071679,9.902730591,68.911420346,525640,6.4685615469,30.967499765,88.361341734,12.148016757,7.8863803285,4.8132183908,15.484420563,2.2873445142,6.5,16.7,5.9640221402
36057,New_York,Montgomery,76.03633826,3.9605965517,5.0579645096,86.851950355,59.15703716,19.8,18.370290651,26.7,35.9,26,98.74453000000001,58176,68.722909398,45.427198579,2.5875098241,1.0841746771,15.843459686,78.725590956,34309,8.9704265293,16.897714753,79.78644677,23.230417949,8.1082615077,11.176470588,14.525993884,2.1443919209,6.8,20.4,13.316790736
36059,New_York,Nassau,81.501840181,2.7831967528,4.1500826644,92.914116103,78.065042945,6.6,0.484462392,22.1,34.3,1896,364.73984,135528,81.804028841,0.4290809257,11.832111271,12.924090463,17.89704031,55.806929985,969981,6.0733798317,18.393989996,92.891807085,5.6879932557,2.2996849871,3.7913299045,19.804873712,4.8466645686,8.5,11.1,4.5558022143
36061,New_York,New York,83.308167296,2.9123604205,4.8065315661,79.657110026,85.106473097,21.1,0.0,20.2,31.9,2158,1063.4772400000002,95514,24.323162926,0.0,12.903933099,13.325916056,26.199027359,45.457637885,1267630,2.5615718085,25.220178385,89.535478209,6.8891214439,2.1205772557,3.6184210526,24.336382328,8.0460545234,8.6,11.2,4.7923878442
36063,New_York,Niagara,76.151251597,3.6223996652,4.8177002267,84.506872852,67.818773526,21.3,5.2642550744,25.1,34.2,81,159.80653,63565,70.948099624,29.972351011,7.2704855842,1.3699734446,3.8638088012,83.780349014,152567,9.4205290271,33.368820809,86.724846673,16.22869401,7.4208608008,7.8421052632,11.775161075,0.7655416878,8.4,20.3,6.2831261444
36065,New_York,Oneida,76.556549016,3.7855297,5.1712067921,85.805958448,64.094950084,21.3,5.597000772,25.2,36.5,162,207.56315999999998,63894,67.952745739,34.357781368,6.2911302798,4.4754988071,6.86706344,80.084423586,159897,8.504615461,30.307843174,86.619900155,17.548057749,7.8451882845,11.409090909,13.063137579,2.6863128581,6.7,21.2,6.0209208467
36067,New_York,Onondaga,78.076661763,3.7818427083,5.5000411746,85.476888806,71.647408442,18.9,6.0788605686,24.2,35.2,437,313.50840999999997,70939,65.305392017,14.639382518,11.285234992,3.918855139,5.6991045363,75.346450286,324436,7.680864386,34.314971234,87.143709313,13.009457476,7.8442020787,9.5194508009,14.787830264,1.7113556722,6.4,19.4,4.5436515091
36069,New_York,Ontario,79.899735868,3.2294425623,5.0004162233,90.746650906,74.7173279,12.8,3.0467930002,20.2,30.9,93,268.83867,76601,72.5,44.855857298,2.4683471302,1.4630857001,5.4841314204,88.703452314,80008,7.6471625139,17.750980817,89.466864911,7.4801693313,5.9767558531,6.4077669903,10.511922993,0.7547592804,6.9,16.5,5.7037409831
36071,New_York,Orange,79.178662325,3.5191009024,4.5968954544,88.717034636,63.836782255,21.0,5.9708780531,26.0,35.8,270,269.98997,88532,68.016131419,27.582168398,11.392788607,3.284221106,23.662059265,59.488201487,256375,7.9013759894,30.475892122,87.335355927,11.646471262,5.9312715202,2.5219298246,20.930767461,5.3380763924,5.8,15.7,7.5925278652
36073,New_York,Orleans,77.236818515,4.2346951729,5.5315986517,88.600867679,46.688044894,17.5,3.8257903188,28.2,35.4,3,63.584109999999995,62900,76.217517437,66.549339415,4.5755124879,0.646014548,5.4300829137,86.848262882,29333,11.577160017,17.424349284,85.815690389,19.441069259,8.4110114983,7.4285714286,14.607754734,1.1730512424,7.1,22.1,10.873058382
36075,New_York,Oswego,76.83685956,3.9624553991,5.4926328223,85.915691672,58.638032305,23.5,2.4695904515,26.8,35.0,47,179.22511,59335,73.499565706,62.726228462,1.0871862504,0.7591704921,3.1229129152,93.050800172,80294,12.101175508,32.206853504,89.017647183,15.938114768,5.2789948794,6.7256637168,14.250456058,0.3633759957,6.9,20.7,8.3860359221
36077,New_York,Otsego,78.320597355,3.3026334035,4.8621782615,87.220113852,66.450567261,17.1,10.632755676,23.7,34.1,80,219.34165,68962,74.126877382,72.713758458,2.5364469952,1.6706247114,4.4610462432,89.684345933,39352,7.6758304889,21.552090836,84.855413584,5.6270489798,7.0907617504,5.7142857143,13.567522087,0.5895177466,6.5,18.3,4.214559387
36079,New_York,Putnam,82.024297071,2.8982616731,4.4379627269,92.40136876,72.046311727,5.8,6.6963945426,19.7,32.5,52,442.65388,112167,83.944073575,35.021706188,3.3770207558,2.5008924473,19.086133918,73.487684227,70716,5.6444434796,19.675156384,93.974729966,3.0831989375,3.0425778342,1.5789473684,16.697694401,1.9160857106,7.9,13.4,
36081,New_York,Queens,81.411680025,3.1100068136,4.162928201,82.370909274,67.918354899,16.1,0.0745546481,29.6,35.7,1374,197.67088,80180,45.191397781,0.0030763296,17.808026149,27.914745598,28.190861486,23.878581001,1709759,4.0259262205,16.180132149,89.163246044,9.8177705165,2.3758965297,0.7441607822,29.90770527,14.544175922,7.8,12.5,7.2300819813
36083,New_York,Rensselaer,78.269902638,3.4212581159,5.1267890442,90.689919893,71.500911005,14.8,4.0964465794,20.9,35.9,77,202.06064,80040,62.805653069,33.131632843,7.6914415119,3.0884625249,5.6864744484,81.075738335,113385,6.0901667094,23.26780616,89.61687447,12.404807235,5.6517184992,7.8417266187,12.107554809,0.8229027092,7.4,17.3,4.5547177502
36085,New_York,Richmond,79.182656732,3.0979095641,4.7154496173,83.370213206,70.149370393,14.5,0.1567635311,25.2,38.7,401,257.97493000000003,91582,68.624705882,0.0,9.2174624796,13.749228824,18.839906909,56.57652815,344639,4.0881195665,29.68932098,88.098235294,7.501139539,3.4991237611,1.1578947368,22.645967935,5.8977089273,7.6,16.0,6.1446815456
36087,New_York,Rockland,80.964857179,3.0801991209,4.1974495839,86.200960419,64.519078784,23.1,4.3583735359,26.1,31.3,288,329.18218,99839,68.274208171,0.38985721,10.830270602,6.3532750087,19.442691035,61.969724679,208539,4.6114605235,18.461706084,87.220581211,11.412753145,2.7342259467,3.0413625304,25.626451836,7.8534742177,8.6,14.9,5.9043424826
36089,New_York,St. Lawrence,77.628932122,3.7360529299,5.0592069047,86.622783688,56.845089211,21.9,7.2891816219,25.3,33.8,59,237.62449999999998,59451,71.308485712,66.935164278,1.8638671531,1.1602758672,2.3586087828,92.245644324,71483,8.6649310547,13.932923809,83.731491099,9.9948907907,6.6587008875,6.5346534653,15.384615385,0.8417182663,7.3,22.0,10.987891818
36091,New_York,Saratoga,80.727492125,3.1087839659,4.7593502338,91.764274981,77.735336121,7.5,3.5737477899,18.6,31.7,165,226.13349000000002,93341,72.055401437,28.48468636,1.99374364,3.049452045,3.7630288488,89.185375026,170815,6.5182816071,14.193141415,91.280269081,5.5063996133,3.6283467179,4.5497630332,10.172054223,0.6400951709,7.5,15.3,4.6727366432
36093,New_York,Schenectady,77.6690558,3.1544305963,5.0201547961,84.436443149,70.765524362,14.6,2.9814722894,23.5,33.2,126,269.21851999999996,74206,63.910949909,8.8484825479,12.138569457,5.5873773369,8.0359541017,70.091134528,109680,6.6126753966,24.960212994,87.285035332,15.804512173,4.8739131494,9.4666666667,14.335421016,0.9176022481,7.3,17.3,7.0079291045
36095,New_York,Schoharie,79.329644621,3.7692925657,4.8093920366,91.37195122,61.739824421,13.7,1.2665017756,24.2,33.9,9,162.99105,67975,77.424082065,83.038298445,1.4902039051,0.7683863886,4.0514918671,91.966869574,21509,15.656802881,22.827575711,83.790604901,10.578638797,7.766437341,,11.854460094,0.1636148437,6.4,18.9,3.8229376258
36097,New_York,Schuyler,77.548674394,3.4846318006,5.220750121,95.386904762,58.324795082,18.1,0.3555402908,25.8,35.3,11,220.96317,63233,76.873489122,100.0,0.9688385269,0.6402266289,2.0283286119,94.447592068,13283,8.7690627466,18.781458944,83.789954338,15.365318282,,,13.445945946,0.5471553804,6.7,20.1,
36099,New_York,Seneca,77.675764524,3.8160053946,5.3350738706,90.127388535,53.538647343,19.4,2.0608994644,26.1,36.8,9,212.88243000000003,65354,72.544413449,57.916839179,3.4152423819,0.8789003102,4.120795572,89.465360988,24400,7.9132705547,14.749987708,83.556012333,15.662458047,7.0384121342,4.0625,11.860718172,0.8796179945,6.9,21.3,14.066102998
36101,New_York,Steuben,77.076078956,3.3417529502,5.2279104137,90.79673093,63.616498225,17.5,4.4006015274,24.1,35.0,52,235.42371,60558,72.717987999,59.777312361,1.5507726865,1.6080087258,1.9395457834,93.066879772,66493,8.6614737647,18.375597207,84.818077365,17.097164501,10.735463446,9.2553191489,10.274314214,0.6471870517,6.1,19.9,9.8811465859
36103,New_York,Suffolk,79.631675243,2.8646415062,4.2872280704,90.388852932,70.036048431,7.1,4.0409064328,24.0,34.5,1088,313.41263000000004,119253,81.805453841,1.9641920939,7.8894632129,4.7915881387,21.430186861,64.357884317,1067104,9.0278680618,28.812534927,91.741500648,8.9896388026,3.6369668287,1.5883977901,19.839004166,3.7956900471,6.4,12.5,5.6892163101
36105,New_York,Sullivan,76.659055202,3.6718051938,5.1088140697,83.083090379,57.382532519,24.9,2.8456176088,27.2,35.8,26,222.1999,63733,69.10854658,75.055962556,8.9018052173,2.2169775792,18.324587612,68.150091642,55556,13.541445286,56.700138504,85.368790768,17.846519929,8.8999876971,5.8333333333,15.125173853,2.9662558093,6.9,18.3,24.597585513
36107,New_York,Tioga,78.990096396,3.3753057241,4.8172330312,90.68336163,63.704256908,14.9,1.0604493348,22.8,33.6,13,169.55539,76197,77.88991729,66.40800743,1.1052499372,0.8435903877,2.21887298,94.276982333,34747,12.66799828,15.268553027,87.938164632,17.992230628,5.803710229,5.2083333333,9.3000726568,0.3050042483,7.2,18.4,11.541737649
36109,New_York,Tompkins,80.931855207,3.0735360091,5.0869657952,84.700980392,83.24775353,12.3,5.4483115273,17.2,30.1,84,427.57474999999994,72025,54.271356784,44.106298468,4.019966214,10.203575212,5.5393836434,76.794525516,61156,7.7157091839,21.40077821,88.353806067,3.4550602236,3.4884058954,8.3823529412,21.51169913,0.8519938883,6.8,14.3,
36111,New_York,Ulster,79.168021737,3.5643193945,5.234190832,88.075426439,63.238890011,16.4,6.136865652,20.0,30.7,109,397.65466000000004,79340,69.155192694,56.123419723,6.0262506925,2.3151728564,11.55666716,77.485615871,134090,8.9198677311,36.043400713,90.421365806,8.1103419775,6.6945158526,5.472972973,18.568982736,1.1584760878,7.5,16.5,8.5800469221
36113,New_York,Warren,78.063195658,3.569236408,5.0516883781,88.873333333,68.017510115,14.3,5.3344630877,23.0,31.7,73,458.84846,69849,70.633268417,32.155407153,1.4481928078,1.0137349655,3.0793152335,92.766658028,49282,7.9757183685,19.656731396,87.24397287,12.295817627,6.2089626376,6.1818181818,12.140520062,0.4117712523,7.0,18.2,
36115,New_York,Washington,77.456614347,3.3703882733,4.9491418177,82.137957317,53.556259691,14.6,2.3648603179,23.5,33.6,22,175.86825000000002,67013,73.92613988,75.498352419,2.5180388225,0.5851317368,3.0144146217,92.337404053,45270,12.569452042,17.508727006,84.786465855,18.929566638,7.8538400369,,12.94949075,0.805735746,7.1,20.4,15.284677111
36117,New_York,Wayne,77.949409237,3.5204771976,4.8919245103,88.414396887,63.244097505,14.2,1.9423484489,25.3,35.8,21,124.00549000000001,70917,79.764805594,74.779531786,2.856515775,0.722085048,4.987654321,89.027160494,65234,13.108892251,18.876304686,86.881555249,14.579191518,7.0966969311,11.704545455,12.137875536,0.8505074116,7.0,19.7,9.1183119819
36119,New_York,Westchester,82.100403067,2.6317384423,4.2118878093,90.082933007,76.250538716,10.5,1.3585055708,20.6,33.3,1313,460.71038,108037,62.273345298,4.5330959912,13.712873336,6.8641101262,26.342981361,51.470022526,695064,4.0702799723,16.341413406,91.148909556,6.6716119115,3.0743633147,3.1910569106,22.057513049,5.396494073,9.1,10.9,4.6925292224
36121,New_York,Wyoming,78.602928442,3.4406619874,4.846110485,94.697885196,53.763855422,16.9,4.2644503221,24.5,34.9,14,252.10508000000002,65526,77.123576028,89.96817251,4.2404074018,0.5294206625,3.4437553572,90.538496445,29511,8.5046970733,18.361640863,83.122833086,10.275380189,6.4872525487,7.3529411765,8.5954531299,0.5337985626,6.9,20.2,
36123,New_York,Yates,77.919923564,3.4201619781,4.9913881259,80.528169014,41.140246325,21.7,0.1792236581,23.3,33.8,12,110.42492999999999,62637,77.257374465,68.555743925,0.9161179502,0.7770643327,2.2330375036,94.769130097,16746,6.8936595566,16.149436116,77.201080838,11.492467774,,,12.415730337,0.6241122541,6.5,19.0,10.53008596
