FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
51000,Virginia,,77.588232653,3.7981056147,5.3332618843,89.062694369,72.043415672,12.7,4.4378110149,20.2,36.9,6443.0,263.90313000000003,89864.0,67.177310252,24.365476117,19.104413668,7.4007497736,11.18461195,59.10507684,2336852.0,10.678097093,28.406661775,89.946666827,12.793938394,13.49324151,13.875968515,97.3026939491,6.7,12.3
51001,Virginia,Accomack,73.816273415,4.5687477989,6.0176465272,83.0,44.354722422,24.1,0.8994451457,29.7,38.1,12.0,135.38313000000002,56039.0,70.486645224,90.354053811,26.523060261,0.9536989681,11.197689461,59.345949036,6935.0,19.222787741,25.335697998,82.680743952,26.473099915,22.64340312,12.791519435,94.7503484983,6.4,21.7
51003,Virginia,Albemarle,81.45895265,3.5088100424,5.3299323236,,81.274192976,8.7,3.5266637922,17.3,33.5,158.0,232.54608,102750.0,65.950647967,40.374571823,9.2551609668,6.0211279781,7.4017082195,74.564300287,28159.0,8.8157241404,14.466183083,91.26575537,4.4316996872,9.8784235473,12.632067804,98.2614092126,6.9,11.4
51005,Virginia,Alleghany,73.136732359,4.6298551269,6.1966726093,82.5,48.173515982,19.4,7.8947574046,24.3,36.5,6.0,34.25831,58215.0,80.578512397,53.136701044,4.5700582391,0.4453579993,1.6855087359,90.866735183,3066.0,14.284489901,31.445128251,82.596948506,18.463810931,30.958918861,8.5870413739,99.8606660164,6.5,19.1
51007,Virginia,Amelia,73.565568745,4.6234464162,5.9493510244,92.5,43.523316062,14.1,6.1539265812,26.4,37.8,1.0,66.76558,71112.0,81.154210028,100.0,18.560830861,0.6676557864,4.206231454,74.310089021,3088.0,31.580781461,30.198555502,78.959318827,12.469831054,24.281053191,14.547206166,99.2371265099,6.7,19.6
51009,Virginia,Amherst,75.492672689,4.431371241,5.7871973419,90.0,61.219952758,16.2,3.8668218081,24.1,37.7,7.0,63.70238,61499.0,78.404975594,62.366243971,18.050070073,0.6083577526,3.0322334055,74.802522614,7197.0,16.740036285,31.736292566,81.357266572,16.449410304,20.278833967,9.6889952153,99.8118974841,7.0,17.2
51011,Virginia,Appomattox,77.184930516,4.5530611974,5.9380825313,87.5,58.401048493,15.8,2.0415933563,27.3,38.7,2.0,59.29791,64701.0,77.586469602,100.0,17.534392789,0.4269449715,2.6031783681,76.624762808,3815.0,21.418627066,20.348363992,80.054852964,24.335574768,17.306170886,8.8116410671,100.0,6.9,20.2
51013,Virginia,Arlington,83.939740145,3.0421452939,4.5278354804,89.0,91.736885023,8.0,0.0781377444,17.0,28.1,180.0,287.83492,138416.0,41.845243432,0.0,10.04560945,11.281933021,15.966723892,59.36488414,91975.0,2.7331332275,12.304054398,94.491168296,6.3231574613,3.1317528421,15.949968045,96.0466585706,6.7,9.6
51015,Virginia,Augusta,77.956656939,4.349474814,5.4173565725,92.0,53.832631971,10.3,7.5045913262,22.3,37.0,41.0,84.34827999999999,72831.0,78.945307401,84.264457264,4.7746239472,0.7412424757,4.1956880136,88.593811903,18773.0,19.312729339,14.644378497,86.150633077,11.3988179,16.963041447,9.1030789826,99.0072603349,6.8,16.8
51017,Virginia,Bath,74.405057177,5.2097948609,6.6221898402,,62.822252374,15.1,10.482476842,27.6,38.9,,24.68526,60234.0,75.407074677,100.0,3.381881017,0.5430757838,2.3697852382,91.779807455,737.0,,,79.505895564,28.764805415,,10.410958904,99.5434948009,,21.4
