FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
5001.0,Arkansas,Arkansas,,4.2,4.1,85.0,46.3,26.7,77.8,36.1,,67.899300115,0.0,37295.0,,36.2,25.0,0.4,1.5,,19236.0,31.6,,,60.8,,,28.7,1.5,0.0,24.2,
5003.0,Arkansas,Ashley,,5.6,4.5,75.0,41.6,28.6,57.1,35.6,,63.102857658,0.0,36079.0,,50.6,27.1,0.3,4.9,,22233.0,35.8,,,67.7,,,25.3,2.1,0.0,29.1,
5005.0,Arkansas,Baxter,,3.4,3.5,90.0,49.3,28.5,72.7,30.5,,90.592666762,4.8,34666.0,,67.4,0.6,0.3,1.5,,42115.0,32.6,,,54.0,,,26.2,0.6,0.0,24.2,
5007.0,Arkansas,Benton,,3.2,2.8,75.0,54.6,15.1,29.400000000000006,26.9,,55.126791621,2.3,51397.0,,41.1,2.2,2.4,15.0,,209791.0,18.0,,,57.1,,,26.3,6.9,0.0,18.7,
5009.0,Arkansas,Boone,,3.8,3.0,85.0,49.2,23.5,66.7,28.6,,81.382415973,0.0,35729.0,,61.9,0.8,0.4,1.6,,36881.0,26.8,,,59.5,,,25.1,0.8,0.0,19.7,
5011.0,Arkansas,Bradley,,3.2,5.0,75.0,26.6,33.3,50.0,33.9,,92.444743256,0.0,30621.0,,51.9,28.7,0.2,12.3,,11906.0,47.9,,,78.2,,,35.6,6.6,0.0,18.3,
5013.0,Arkansas,Calhoun,,2.9,2.5,90.0,34.9,23.6,50.0,33.2,,18.782870023,0.0,34908.0,,100.0,23.2,0.0,3.0,,5435.0,36.0,,,46.3,,,22.8,1.0,0.0,,
5015.0,Arkansas,Carroll,,4.5,4.2,80.0,43.0,26.1,20.0,30.2,,58.211453103,3.6,33594.0,,72.2,0.5,0.5,15.5,,27557.0,25.9,,,69.7,,,33.4,6.8,0.0,28.7,
5017.0,Arkansas,Chicot,,7.4,5.0,90.0,30.8,44.1,0.0,35.3,,83.02200083,0.0,24809.0,,37.8,54.9,0.5,4.7,,11993.0,38.6,,,70.0,,,41.6,2.6,4.0,33.6,
5019.0,Arkansas,Clark,,3.9,3.2,75.0,53.0,26.1,60.0,29.9,,71.180337479,4.2,34327.0,,55.1,22.5,0.8,4.4,,23888.0,24.4,,,33.8,,,34.7,2.2,0.0,16.2,
5021.0,Arkansas,Clay,,4.2,3.8,75.0,40.4,28.1,62.5,32.9,,38.037276531,0.0,31910.0,,61.3,0.7,0.4,1.4,,15845.0,41.2,,,66.4,,,27.8,0.2,3.0,26.4,
5023.0,Arkansas,Cleburne,,5.0,4.1,95.0,46.2,24.9,60.0,32.2,,63.156232731,0.0,36707.0,,76.4,1.1,0.1,1.8,,25397.0,39.7,,,53.1,,,25.6,0.6,0.0,20.4,
5025.0,Arkansas,Cleveland,,4.5,5.6,95.0,52.7,28.4,33.3,29.9,,11.631964639,0.0,39567.0,,100.0,14.4,0.3,2.4,,8665.0,28.0,,,59.0,,,24.9,0.1,0.0,19.6,
5027.0,Arkansas,Columbia,,3.3,3.8,85.0,55.7,29.2,60.0,30.3,,53.932957186,0.0,35162.0,,59.0,37.1,0.4,2.0,,24146.0,27.6,,,48.0,,,28.0,1.0,0.0,18.2,
5029.0,Arkansas,Conway,,3.6,4.2,70.0,46.3,24.8,75.0,29.0,,62.871789911,0.0,36026.0,,72.5,11.6,0.3,3.6,,20755.0,28.0,,,62.1,,,28.3,1.2,0.0,29.7,
5031.0,Arkansas,Craighead,,3.5,3.7,85.0,55.2,24.7,40.0,30.0,,117.74906604,19.3,39989.0,,35.1,12.0,0.7,3.8,,92640.0,22.6,,,52.1,,,28.6,1.9,0.0,20.7,
5033.0,Arkansas,Crawford,,3.6,3.4,85.0,44.9,22.9,55.6,31.6,,48.676502677,3.4,42112.0,,54.5,1.6,1.3,5.6,,59682.0,19.5,,,62.9,,,26.4,3.6,0.0,24.4,
5035.0,Arkansas,Crittenden,,3.9,4.8,70.0,50.5,29.9,33.3,32.9,,43.75868039,3.8,35112.0,,19.9,49.1,0.7,2.3,,52554.0,23.9,,,88.7,,,38.7,1.2,1.0,24.6,
5037.0,Arkansas,Cross,,3.7,4.4,95.0,41.5,27.4,50.0,35.1,,42.739608933,0.0,34489.0,,58.3,23.0,0.4,1.6,,18808.0,31.4,,,65.3,,,30.1,1.2,0.0,34.2,
5039.0,Arkansas,Dallas,,3.6,2.9,95.0,35.9,29.0,33.3,37.1,,37.005057358,0.0,31608.0,,54.6,41.8,0.4,3.0,,8144.0,39.9,,,55.2,,,31.6,1.2,0.0,17.6,
5041.0,Arkansas,Desha,,5.0,2.8,75.0,38.2,38.8,60.0,34.6,,37.09749221,0.0,27555.0,,35.7,48.3,0.4,4.4,,13538.0,31.9,,,82.5,,,32.2,2.4,0.0,25.8,
5043.0,Arkansas,Drew,,3.3,3.2,80.0,55.6,27.8,50.0,29.2,,37.529487454,5.4,34919.0,,53.5,28.0,0.5,2.9,,18670.0,39.1,,,49.0,,,27.9,1.6,0.0,25.6,
5045.0,Arkansas,Faulkner,,3.9,3.3,80.0,62.5,18.2,50.0,24.6,,62.448154051,3.7,43553.0,,49.0,10.7,0.9,3.2,,106823.0,23.0,,,32.4,,,29.7,1.9,0.0,18.2,
5047.0,Arkansas,Franklin,,3.1,4.6,90.0,40.5,24.7,60.0,33.6,,27.671702917,0.0,38192.0,,84.2,1.3,0.5,2.5,,18185.0,18.3,,,59.8,,,29.5,1.7,0.0,25.9,
5049.0,Arkansas,Fulton,,4.6,3.7,85.0,46.1,31.3,88.9,28.5,,68.085106383,0.0,30364.0,,90.9,0.8,0.2,1.1,,11688.0,38.0,,,52.3,,,22.5,0.3,0.0,28.9,
5051.0,Arkansas,Garland,,4.4,4.3,70.0,50.1,26.1,37.5,29.2,,75.742067554,9.2,38020.0,,36.1,8.2,0.6,4.2,,97465.0,27.4,,,66.1,,,31.2,2.3,0.0,26.5,
5053.0,Arkansas,Grant,,4.7,5.1,75.0,47.8,16.4,40.0,34.3,,22.54283138,0.0,45165.0,,77.1,4.3,0.1,2.1,,17690.0,21.8,,,45.4,,,16.9,0.8,0.0,37.9,
5055.0,Arkansas,Greene,,4.4,4.7,80.0,44.5,22.3,83.3,30.5,,59.087104239,2.5,37017.0,,48.4,1.0,0.2,1.9,,40684.0,29.4,,,75.3,,,28.0,0.6,1.0,27.6,
5057.0,Arkansas,Hempstead,,4.9,5.3,80.0,41.2,32.4,57.1,31.6,,47.890635204,0.0,34221.0,,55.3,29.0,0.3,15.2,,22900.0,34.0,,,83.0,,,28.8,7.7,0.0,25.1,
5059.0,Arkansas,Hot Spring,,3.8,3.6,75.0,49.3,23.0,50.0,34.0,,25.073653858,0.0,37619.0,,69.5,11.2,0.2,2.5,,31909.0,29.1,,,62.1,,,23.7,0.4,0.0,21.6,
5061.0,Arkansas,Howard,,4.6,3.2,85.0,36.3,32.5,20.0,32.2,,48.933939182,0.0,33219.0,,66.9,21.2,0.6,12.1,,14143.0,32.2,,,73.7,,,25.2,6.6,0.0,21.1,
