FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
4001.0,Arizona,Apache,,3.8,4.1,65.0,38.7,38.7,55.6,29.2,,31.64556962,8.6,31728.0,,76.1,1.7,0.5,6.3,,70207.0,74.0,,,57.1,,,20.6,13.5,0.0,15.9,
4003.0,Arizona,Cochise,,4.0,3.6,80.0,65.2,24.0,50.0,24.6,,45.162546233,11.7,44000.0,,33.6,5.1,2.0,32.1,,129006.0,25.6,,,55.0,,,30.1,10.0,0.0,21.7,
4005.0,Arizona,Coconino,,2.9,3.0,75.0,63.7,20.7,62.5,16.8,,90.324389142,69.3,47933.0,,35.9,1.5,1.3,12.9,,128558.0,33.7,,,49.6,,,36.4,8.7,0.0,15.2,
4007.0,Arizona,Gila,,4.9,4.9,70.0,41.3,27.3,28.599999999999994,26.2,,68.8692059,11.5,38405.0,,44.9,0.8,0.8,17.2,,52166.0,32.9,,,83.6,,,32.4,3.4,0.0,23.9,
4009.0,Arizona,Graham,,3.9,4.5,80.0,49.5,24.4,50.0,27.0,,49.718263175,5.5,40902.0,,55.6,2.6,0.6,28.2,,36452.0,29.2,,,57.9,,,26.8,6.3,0.0,19.1,
4011.0,Arizona,Greenlee,,4.2,2.9,55.0,60.1,13.2,50.0,27.7,,37.230081906,0.0,53654.0,,49.8,1.8,0.4,46.2,,8002.0,16.9,,,62.9,,,14.4,4.7,0.0,,
4012.0,Arizona,La Paz,,5.5,4.3,80.0,38.1,38.9,33.3,32.6,,44.988752812,0.0,32973.0,,56.3,1.1,0.5,24.4,,20086.0,59.5,,,90.7,,,23.5,10.1,0.0,16.4,
4013.0,Arizona,Maricopa,,3.2,3.1,80.0,58.8,18.9,19.700000000000003,19.0,,72.834978373,29.3,56511.0,,2.9,5.2,3.2,31.8,,3954598.0,16.2,,,63.7,,,38.4,13.1,2.0,18.0,
4015.0,Arizona,Mohave,,4.2,3.8,65.0,45.7,24.8,46.7,28.5,,43.967055383,5.6,38641.0,,24.7,1.5,1.2,14.1,,196281.0,29.9,,,71.3,,,34.9,3.7,0.0,29.3,
4017.0,Arizona,Navajo,,3.6,3.7,55.0,47.8,31.9,0.0,24.2,,55.185673087,9.8,39416.0,,58.7,1.4,0.4,10.0,,112757.0,56.5,,,63.0,,,26.3,8.9,0.0,18.1,
4019.0,Arizona,Pima,,3.7,3.3,75.0,61.5,21.5,18.900000000000006,20.2,,94.570185932,46.4,46653.0,,8.4,4.0,2.7,33.7,,1012018.0,16.0,,,52.7,,,36.5,9.8,0.0,17.3,
4021.0,Arizona,Pinal,,3.6,3.4,75.0,55.4,19.4,33.3,23.9,,20.361028384,5.5,50208.0,,35.3,4.6,1.7,29.9,,327301.0,26.7,,,74.1,,,35.3,7.7,0.0,19.4,
4023.0,Arizona,Santa Cruz,,2.5,2.5,75.0,39.7,29.6,42.9,17.5,,51.005030951,13.9,38490.0,,31.9,0.7,0.7,80.0,,42923.0,17.0,,,66.3,,,39.0,39.0,4.0,17.3,
4025.0,Arizona,Yavapai,,4.1,4.1,70.0,55.7,19.7,33.3,21.5,,61.415344531,30.7,42311.0,,37.3,1.0,0.9,13.2,,215503.0,24.0,,,53.2,,,36.8,4.6,0.0,20.6,
4027.0,Arizona,Yuma,,3.7,3.0,,46.4,30.9,14.299999999999997,24.0,,44.490659548,4.7,39063.0,,13.1,3.4,1.3,57.0,,194322.0,16.4,,,77.4,,,32.7,22.9,0.0,15.0,
