FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
21001.0,Kentucky,Adair,,5.7,5.1,85.0,44.3,33.0,60.0,38.4,,55.837846893,0.0,30169.0,,74.4,3.4,0.4,1.0,,17773.0,26.8,,,51.7,,,29.8,1.2,0.0,31.6,
21003.0,Kentucky,Allen,,5.2,5.3,82.0,39.4,27.5,66.7,33.1,,21.000682522,0.0,36097.0,,77.9,1.4,0.1,1.3,,19090.0,35.1,,,55.8,,,25.6,1.1,0.0,35.3,
21005.0,Kentucky,Anderson,,2.7,3.2,89.0,49.8,13.2,0.0,34.4,,32.606670393,4.7,49615.0,,48.2,2.4,0.5,1.3,,21347.0,17.8,,,48.9,,,21.7,0.8,0.0,26.0,
21007.0,Kentucky,Ballard,,5.6,5.1,89.0,53.1,22.2,33.3,33.7,,24.390243902,0.0,36776.0,,100.0,3.9,0.3,0.8,,8323.0,38.2,,,43.8,,,18.8,0.3,0.0,31.4,
21009.0,Kentucky,Barren,,4.2,3.4,78.0,46.2,25.5,71.4,33.3,,120.71754509,7.2,36155.0,,64.1,4.2,0.6,1.6,,41566.0,22.7,,,61.2,,,28.1,1.7,0.0,26.1,
21011.0,Kentucky,Bath,,5.0,4.7,86.0,40.3,38.4,40.0,35.7,,8.5411684318,8.5,30960.0,,100.0,1.9,0.0,1.2,,11750.0,26.1,,,80.8,,,30.4,1.2,0.0,34.9,
21013.0,Kentucky,Bell,,7.6,6.0,84.0,39.5,41.8,72.7,37.5,,79.130255281,0.0,24858.0,,63.5,2.6,0.5,1.0,,29055.0,36.0,,,68.6,,,28.0,0.5,0.0,28.8,
21015.0,Kentucky,Boone,,3.9,3.6,89.0,65.4,8.0,14.299999999999997,29.6,,77.586875749,16.4,66178.0,,24.3,2.9,2.4,3.3,,115231.0,10.7,,,33.6,,,27.5,2.4,0.0,19.4,
21017.0,Kentucky,Bourbon,,3.8,4.7,86.0,51.3,21.1,0.0,35.2,,70.950739915,5.1,41220.0,,44.8,6.5,0.3,5.2,,19828.0,27.8,,,47.6,,,33.8,1.8,2.0,,
21019.0,Kentucky,Boyd,,5.2,4.9,90.0,59.1,24.0,25.0,34.9,,119.40790151,26.8,38255.0,,25.7,3.2,0.4,1.6,,48560.0,19.8,,,57.5,,,25.3,0.8,1.0,26.7,
21021.0,Kentucky,Boyle,,3.8,4.5,87.0,48.4,20.5,75.0,31.6,,109.69046721,34.3,40127.0,,37.2,9.2,1.3,2.3,,28933.0,20.9,,,49.0,,,27.3,1.6,0.0,23.8,
21023.0,Kentucky,Bracken,,5.1,4.1,90.0,25.3,19.3,50.0,31.6,,23.156188491,0.0,39366.0,,100.0,1.1,0.1,0.7,,8569.0,33.5,,,51.1,,,22.2,0.4,0.0,38.1,
21025.0,Kentucky,Breathitt,,6.0,4.5,80.0,30.5,44.7,75.0,35.7,,63.889598773,12.8,24162.0,,79.8,0.5,0.4,0.9,,15813.0,52.6,,,52.9,,,25.5,0.7,0.0,32.2,
21027.0,Kentucky,Breckinridge,,4.6,4.8,86.0,31.3,27.0,66.7,31.9,,36.564981195,0.0,39128.0,,100.0,3.0,0.1,1.1,,19132.0,25.7,,,50.1,,,25.3,0.9,0.0,35.0,
21029.0,Kentucky,Bullitt,,5.2,5.0,84.0,50.7,13.3,50.0,30.9,,17.394562192,5.4,53284.0,,35.5,1.3,0.3,1.3,,75028.0,17.1,,,36.3,,,27.4,0.7,1.0,27.3,
21031.0,Kentucky,Butler,,5.4,3.6,87.0,41.5,26.6,80.0,33.6,,22.458451864,0.0,35917.0,,100.0,1.2,0.2,3.5,,13276.0,42.1,,,52.2,,,26.1,1.7,0.0,30.2,
21033.0,Kentucky,Caldwell,,3.9,4.9,90.0,42.9,23.4,50.0,34.3,,62.092517852,7.8,35697.0,,52.1,5.2,0.2,1.0,,12866.0,25.7,,,56.1,,,22.9,1.0,0.0,34.9,
21035.0,Kentucky,Calloway,,3.6,3.1,91.0,59.7,20.9,83.3,25.7,,69.053143299,22.1,36284.0,,52.6,4.2,2.1,1.9,,36240.0,23.2,,,25.5,,,30.0,1.5,0.0,30.0,
21037.0,Kentucky,Campbell,,4.0,4.0,83.0,60.7,15.6,12.5,29.6,,76.647638223,18.3,50566.0,,15.4,2.4,0.7,1.6,,87038.0,10.9,,,42.6,,,26.9,0.7,0.0,23.9,
21039.0,Kentucky,Carlisle,,6.9,4.7,96.0,49.5,23.4,66.7,32.2,,19.394879752,0.0,36545.0,,100.0,1.7,0.1,1.3,,5162.0,32.6,,,42.0,,,24.3,0.0,0.0,,
21041.0,Kentucky,Carroll,,4.4,4.4,90.0,30.6,21.9,75.0,32.6,,28.206092516,0.0,43720.0,,51.8,2.4,0.2,5.2,,10627.0,42.8,,,90.0,,,25.1,3.9,0.0,,
21043.0,Kentucky,Carter,,5.9,5.4,89.0,46.7,29.9,50.0,43.5,,29.585798817,0.0,33435.0,,81.9,0.5,0.2,0.9,,27454.0,42.0,,,59.0,,,24.5,0.1,1.0,34.7,
21045.0,Kentucky,Casey,,6.4,5.1,81.0,39.9,37.2,66.7,34.8,,18.292682927,0.0,26892.0,,100.0,0.7,0.1,3.7,,16214.0,39.5,,,56.9,,,25.5,2.6,0.0,25.0,
21047.0,Kentucky,Christian,,4.6,4.1,81.0,52.0,29.0,50.0,32.3,,46.429915924,26.4,37775.0,,27.6,22.7,0.9,5.5,,79820.0,19.5,,,80.0,,,30.8,2.5,1.0,32.1,
21049.0,Kentucky,Clark,,7.0,5.8,84.0,51.4,21.4,0.0,33.1,,61.509212402,8.4,44907.0,,32.8,5.0,0.5,1.9,,35691.0,20.4,,,55.7,,,28.1,1.2,0.0,40.5,
21051.0,Kentucky,Clay,,8.7,6.3,70.0,27.2,48.8,75.0,35.6,,46.208779668,0.0,22365.0,,80.2,5.2,0.1,1.5,,23930.0,40.4,,,66.4,,,31.6,0.4,0.0,36.1,
21053.0,Kentucky,Clinton,,5.5,4.5,89.0,31.2,38.3,50.0,40.3,,52.592826338,0.0,25029.0,,100.0,0.4,0.1,3.0,,9568.0,52.5,,,71.1,,,26.8,2.1,0.0,23.0,
21055.0,Kentucky,Crittenden,,5.3,5.1,77.0,35.9,29.7,0.0,36.5,,32.559149121,0.0,34009.0,,69.6,0.9,0.1,0.6,,9244.0,31.3,,,48.0,,,23.6,4.5,0.0,36.7,
21057.0,Kentucky,Cumberland,,5.9,4.9,82.0,24.2,36.1,50.0,34.3,,44.365572316,0.0,28825.0,,100.0,3.6,0.0,0.8,,6817.0,52.9,,,71.8,,,24.4,0.5,0.0,,
21059.0,Kentucky,Daviess,,4.2,3.5,91.0,56.9,17.9,33.3,29.7,,64.467718583,15.9,43075.0,,26.1,5.0,0.7,1.9,,94418.0,13.5,,,53.9,,,26.3,1.0,2.0,27.4,
21061.0,Kentucky,Edmonson,,6.2,4.0,83.0,40.4,29.0,83.3,31.7,,25.006251563,0.0,33785.0,,100.0,1.7,0.2,1.0,,12085.0,25.4,,,49.4,,,27.2,0.4,0.0,,
21063.0,Kentucky,Elliott,,5.5,5.6,78.0,28.7,40.6,50.0,37.5,,0.0,0.0,26464.0,,100.0,4.0,0.0,0.9,,7280.0,49.9,,,61.1,,,27.8,2.2,0.0,39.7,
21065.0,Kentucky,Estill,,2.9,4.3,92.0,25.7,36.3,50.0,38.6,,33.559299282,6.7,28912.0,,72.9,0.4,0.1,0.8,,14948.0,29.4,,,75.9,,,32.7,0.8,0.0,,
21067.0,Kentucky,Fayette,,3.5,3.4,83.0,71.7,19.2,21.400000000000006,25.1,,172.11880646,80.4,50267.0,,4.3,13.8,3.1,6.6,,282114.0,11.4,,,39.9,,,32.9,5.1,2.0,18.6,
21069.0,Kentucky,Fleming,,5.1,4.6,92.0,44.3,27.7,50.0,34.9,,67.925553593,6.8,33584.0,,79.5,1.6,0.2,1.0,,14735.0,32.8,,,45.7,,,30.9,0.9,0.0,31.5,
21071.0,Kentucky,Floyd,,7.7,6.0,86.0,35.8,38.7,63.6,39.7,,78.618225134,2.4,27462.0,,87.2,1.7,0.3,0.8,,42094.0,33.3,,,68.8,,,26.8,0.4,0.0,31.1,
21073.0,Kentucky,Franklin,,3.8,3.8,87.0,55.8,18.1,0.0,32.1,,48.962604811,12.2,48291.0,,26.7,10.3,1.0,2.3,,48844.0,11.8,,,50.7,,,26.2,1.3,1.0,25.6,
21075.0,Kentucky,Fulton,,7.2,9.3,88.0,40.2,44.7,0.0,35.6,,114.97556769,0.0,27815.0,,64.4,25.9,0.4,1.0,,6855.0,35.4,,,66.2,,,25.9,0.3,0.0,15.0,
21077.0,Kentucky,Gallatin,,7.9,5.0,71.0,33.7,24.2,33.3,36.3,,12.344155043,0.0,42554.0,,100.0,1.9,0.4,2.8,,8071.0,35.8,,,88.9,,,36.8,1.9,0.0,,
21079.0,Kentucky,Garrard,,5.8,4.2,85.0,39.7,22.9,50.0,33.1,,41.128084606,0.0,40083.0,,73.9,2.9,0.0,2.7,,17021.0,13.3,,,44.8,,,30.7,0.6,0.0,,
21081.0,Kentucky,Grant,,6.9,6.6,81.0,44.7,21.3,80.0,33.4,,39.142007202,3.9,45697.0,,78.1,0.8,0.6,1.6,,25549.0,23.7,,,70.0,,,30.5,0.8,0.0,29.9,
21083.0,Kentucky,Graves,,4.4,4.1,90.0,49.5,28.7,90.0,33.9,,45.245255902,0.0,36771.0,,70.1,4.6,0.4,5.8,,37487.0,29.6,,,56.9,,,27.7,3.3,0.0,30.3,
21085.0,Kentucky,Grayson,,5.6,4.3,82.0,37.1,27.5,50.0,36.2,,58.902065499,3.9,33791.0,,77.5,0.7,0.2,0.9,,25497.0,33.4,,,61.8,,,29.8,0.2,0.0,35.2,
21087.0,Kentucky,Green,,5.7,5.2,97.0,38.3,29.8,50.0,36.2,,34.683083326,8.7,33509.0,,100.0,2.6,0.2,1.5,,11613.0,39.6,,,50.0,,,24.0,1.0,0.0,28.5,
21089.0,Kentucky,Greenup,,5.6,4.7,90.0,58.5,22.0,42.9,33.1,,55.598210267,2.6,39479.0,,39.2,0.8,0.4,0.8,,37388.0,15.8,,,44.9,,,22.5,0.4,2.0,25.5,
