FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
22001.0,Louisiana,Acadia,,4.0,3.2,65.0,35.5,26.5,37.5,28.5,,43.379604912,8.3,37862.0,,49.1,18.8,0.2,1.3,,60070.0,32.7,,,67.2,,,25.1,3.2,5.0,22.9,
22003.0,Louisiana,Allen,,5.1,3.3,75.0,35.7,24.4,40.0,34.2,,42.743345638,3.9,40131.0,,67.8,24.2,0.7,5.1,,25635.0,23.2,,,75.5,,,23.8,2.6,4.0,23.3,
22005.0,Louisiana,Ascension,,3.5,3.2,75.0,55.0,13.5,14.299999999999997,28.0,,49.775036355,9.8,61345.0,,25.1,21.4,0.9,4.4,,101789.0,26.4,,,46.9,,,22.7,2.2,21.0,19.8,
22007.0,Louisiana,Assumption,,4.4,3.6,55.0,31.3,26.5,20.0,34.5,,30.40041692,0.0,41319.0,,45.4,31.1,0.2,2.3,,22881.0,31.0,,,51.1,,,20.3,4.2,16.0,23.5,
22009.0,Louisiana,Avoyelles,,4.7,3.2,60.0,36.8,30.1,27.299999999999997,35.0,,49.392007903,0.0,32744.0,,62.6,30.9,0.2,1.3,,42360.0,33.3,,,82.1,,,28.9,2.3,3.0,29.9,
22011.0,Louisiana,Beauregard,,4.4,3.4,75.0,43.5,20.8,71.4,31.7,,56.98168039,2.8,43398.0,,70.4,13.7,0.8,2.8,,34978.0,35.9,,,61.7,,,16.5,0.6,2.0,25.1,
22013.0,Louisiana,Bienville,,3.2,2.3,70.0,36.2,29.9,71.4,33.3,,13.576810807,0.0,31440.0,,80.4,41.8,0.2,1.6,,14728.0,39.7,,,66.9,,,23.5,0.0,0.0,26.0,
22015.0,Louisiana,Bossier,,3.2,2.9,70.0,57.7,19.8,37.5,26.7,,54.4010445,9.1,49331.0,,27.9,20.8,1.6,5.2,,110250.0,18.5,,,55.0,,,24.9,2.5,1.0,27.0,
22017.0,Louisiana,Caddo,,3.5,2.6,60.0,53.4,29.6,39.1,30.0,,178.92911715,38.0,36527.0,,15.9,46.8,0.9,2.4,,252895.0,19.5,,,65.8,,,33.1,1.1,5.0,21.6,
22019.0,Louisiana,Calcasieu,,3.7,3.1,70.0,51.0,20.6,21.400000000000006,30.9,,81.776706551,10.8,44826.0,,22.4,24.5,0.8,2.3,,185618.0,23.4,,,61.2,,,25.4,1.7,5.0,24.0,
22021.0,Louisiana,Caldwell,,4.4,1.4,65.0,29.2,28.9,66.7,27.9,,38.372985418,0.0,34298.0,,100.0,18.0,0.2,1.7,,10353.0,37.0,,,58.9,,,24.0,0.6,1.0,20.1,
22023.0,Louisiana,Cameron,,2.1,3.4,80.0,51.3,17.7,50.0,29.3,,0.0,0.0,49984.0,,100.0,3.9,0.7,4.3,,7238.0,23.6,,,27.3,,,14.4,3.4,1.0,21.5,
22025.0,Louisiana,Catahoula,,5.2,4.5,60.0,30.1,34.0,80.0,34.1,,28.427935184,0.0,31236.0,,100.0,27.9,0.1,1.1,,10522.0,46.3,,,77.2,,,21.1,0.4,2.0,27.3,
22027.0,Louisiana,Claiborne,,3.9,1.9,60.0,35.9,40.8,80.0,33.3,,36.852773171,6.1,31386.0,,78.1,48.1,0.1,1.1,,16142.0,23.5,,,58.6,,,24.4,0.5,0.0,24.6,
22029.0,Louisiana,Concordia,,4.2,3.2,65.0,34.4,35.2,60.0,34.7,,47.558655675,0.0,29807.0,,38.4,39.3,0.3,2.1,,19064.0,31.0,,,76.9,,,29.9,1.1,0.0,23.0,
22031.0,Louisiana,De Soto,,3.9,3.0,60.0,42.4,27.0,87.5,32.5,,22.6560435,3.8,37490.0,,73.5,38.6,0.1,2.3,,26388.0,31.5,,,66.5,,,24.4,1.4,1.0,23.7,
22033.0,Louisiana,East Baton Rouge,,3.1,2.7,60.0,64.9,24.6,25.0,26.1,,116.69883812,37.6,46563.0,,7.1,44.4,2.4,3.1,,428360.0,18.7,,,41.2,,,35.4,2.7,5.0,19.7,
22035.0,Louisiana,East Carroll,,2.9,2.9,70.0,27.3,57.3,66.7,35.7,,36.855036855,0.0,25100.0,,36.5,67.6,0.4,1.7,,8166.0,36.3,,,83.9,,,36.5,0.1,0.0,,
22037.0,Louisiana,East Feliciana,,2.5,2.7,65.0,40.3,25.4,50.0,29.2,,42.943028915,9.5,39244.0,,83.4,43.7,0.3,1.0,,20874.0,42.4,,,59.7,,,26.9,0.8,1.0,25.8,
22039.0,Louisiana,Evangeline,,4.8,2.5,55.0,38.6,30.8,25.0,32.6,,62.050486532,0.0,29733.0,,59.4,29.4,0.3,1.4,,35624.0,30.0,,,70.5,,,27.6,4.9,5.0,26.0,
22041.0,Louisiana,Franklin,,4.2,2.2,65.0,29.4,39.2,40.0,36.4,,25.063912978,10.0,29904.0,,69.8,30.5,0.2,1.1,,20006.0,37.7,,,84.3,,,27.5,0.0,1.0,30.8,
22043.0,Louisiana,Grant,,4.7,3.5,65.0,43.7,24.2,66.7,31.4,,15.019525383,0.0,38896.0,,100.0,11.3,0.2,1.5,,19974.0,20.2,,,61.3,,,20.9,1.1,1.0,30.9,
22045.0,Louisiana,Iberia,,3.8,3.0,60.0,35.9,27.3,0.0,33.5,,69.314849374,2.7,40610.0,,32.5,31.9,2.3,2.4,,75097.0,28.8,,,73.1,,,27.3,2.9,9.0,22.6,
22047.0,Louisiana,Iberville,,3.9,4.0,45.0,33.9,27.3,12.5,32.6,,57.752515274,3.0,38672.0,,49.0,49.3,0.3,1.3,,32545.0,25.8,,,70.3,,,26.9,1.6,3.0,21.1,
22049.0,Louisiana,Jackson,,5.0,3.0,75.0,46.0,25.8,66.7,32.5,,26.392187912,0.0,36073.0,,68.3,26.9,0.2,1.2,,15191.0,32.0,,,64.2,,,21.1,0.9,0.0,27.2,
22051.0,Louisiana,Jefferson,,3.6,3.2,55.0,56.4,20.8,5.900000000000006,29.4,,127.06480305,30.4,47065.0,,1.0,26.9,3.7,9.9,,436181.0,13.5,,,48.0,,,33.8,6.3,3.0,21.3,
22053.0,Louisiana,Jefferson Davis,,4.6,4.5,70.0,37.8,22.9,20.0,32.9,,64.308681672,3.2,38577.0,,48.6,17.2,0.3,1.5,,31263.0,26.3,,,63.8,,,21.9,2.2,4.0,29.2,
22055.0,Louisiana,Lafayette,,3.4,2.8,70.0,61.2,19.0,0.0,26.1,,140.13358439,30.8,48119.0,,11.9,25.4,1.3,2.9,,206976.0,18.4,,,44.0,,,28.0,3.1,3.0,22.6,
22057.0,Louisiana,Lafourche,,3.6,3.0,65.0,43.3,21.9,25.0,29.3,,64.132711959,15.0,49182.0,,27.6,13.8,0.8,2.4,,92572.0,25.6,,,47.0,,,20.1,3.2,5.0,24.0,
22059.0,Louisiana,La Salle,,3.2,3.3,65.0,33.6,22.7,50.0,32.6,,71.367399372,0.0,38926.0,,73.0,13.1,0.2,0.9,,14062.0,32.5,,,67.8,,,19.2,0.4,2.0,,
22061.0,Louisiana,Lincoln,,3.5,2.4,70.0,61.5,28.4,80.0,28.9,,74.743652629,21.0,36720.0,,36.6,40.6,1.1,2.1,,42561.0,23.9,,,29.5,,,37.0,0.8,0.0,18.8,
