FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
42001.0,Pennsylvania,Adams,,3.9,3.3,81.0,46.4,10.8,46.2,25.7,,49.04701647,15.7,55124.0,,60.4,2.1,0.7,6.2,,101119.0,21.9,,,28.8,,,31.8,3.1,5.0,20.5,
42003.0,Pennsylvania,Allegheny,,3.4,3.4,83.0,72.4,16.7,34.3,24.8,,156.62105667,79.7,48778.0,,2.7,12.9,2.5,1.5,,1215103.0,8.1,,,24.6,,,32.1,2.0,49.0,21.2,
42005.0,Pennsylvania,Armstrong,,4.1,4.5,87.0,47.2,16.4,60.0,28.4,,43.828251691,8.8,41055.0,,63.1,0.9,0.2,0.7,,68790.0,18.2,,,29.7,,,25.3,0.5,0.0,23.4,
42007.0,Pennsylvania,Beaver,,3.8,3.5,100.0,59.3,17.0,38.9,26.8,,46.984848836,15.1,45393.0,,26.6,6.2,0.4,1.1,,172476.0,12.0,,,27.3,,,29.3,1.3,8.0,21.4,
42009.0,Pennsylvania,Bedford,,3.6,3.4,89.0,40.7,18.7,61.9,24.4,,32.12915922,0.0,39754.0,,84.3,0.5,0.3,0.8,,49727.0,27.9,,,33.8,,,26.2,0.7,0.0,28.2,
42011.0,Pennsylvania,Berks,,3.2,3.2,81.0,52.0,16.4,27.0,22.7,,69.421969459,32.6,54492.0,,27.1,5.3,1.4,14.9,,403595.0,14.5,,,37.5,,,32.5,5.8,7.0,18.5,
42013.0,Pennsylvania,Blair,,5.1,3.9,83.0,51.9,21.3,33.3,28.2,,84.178426499,31.0,40135.0,,26.0,1.6,0.5,0.8,,125174.0,17.3,,,35.8,,,27.6,0.7,0.0,22.9,
42015.0,Pennsylvania,Bradford,,2.7,2.7,81.0,44.0,23.3,71.4,24.9,,140.50221373,14.7,40033.0,,72.1,0.6,0.6,0.9,,61233.0,19.2,,,38.7,,,29.5,0.9,0.0,22.7,
42017.0,Pennsylvania,Bucks,,2.8,3.2,93.0,67.8,6.5,32.5,21.8,,79.382643586,75.2,75701.0,,10.0,3.8,3.6,3.8,,621643.0,11.5,,,13.7,,,35.8,3.8,5.0,18.3,
42019.0,Pennsylvania,Butler,,3.3,3.7,88.0,66.5,9.9,36.0,24.3,,44.102513843,27.8,57398.0,,46.7,1.1,0.9,1.0,,182902.0,15.9,,,16.6,,,27.4,0.8,1.0,18.0,
42021.0,Pennsylvania,Cambria,,4.5,5.1,91.0,51.2,21.7,57.1,29.0,,103.12275068,19.4,37927.0,,32.4,3.5,0.6,1.3,,144319.0,14.6,,,28.5,,,24.8,0.9,3.0,22.6,
42023.0,Pennsylvania,Cameron,,,,76.0,47.6,18.6,66.7,26.2,,18.986140118,0.0,37538.0,,43.1,0.6,0.2,0.8,,5266.0,22.9,,,50.9,,,23.0,0.3,0.0,,
42025.0,Pennsylvania,Carbon,,3.8,4.3,88.0,49.1,16.9,11.099999999999994,27.1,,37.722207378,15.7,47425.0,,50.3,1.8,0.4,3.1,,63558.0,23.7,,,31.9,,,30.9,0.9,0.0,30.1,
42027.0,Pennsylvania,Centre,,3.2,3.0,93.0,67.8,12.5,63.6,24.0,,72.140158021,101.0,47843.0,,35.7,3.1,4.5,2.4,,144779.0,12.0,,,8.5,,,36.4,3.0,6.0,13.8,
42029.0,Pennsylvania,Chester,,2.4,3.0,98.0,74.0,6.4,14.299999999999997,18.5,,81.495131578,80.7,85547.0,,19.0,6.4,3.7,5.5,,491489.0,10.2,,,16.1,,,32.8,3.9,3.0,16.6,
42031.0,Pennsylvania,Clarion,,3.7,3.9,85.0,45.0,19.2,50.0,29.0,,25.155334189,20.1,42092.0,,78.4,1.2,0.4,0.6,,39989.0,21.1,,,20.4,,,27.2,0.7,0.0,17.3,
42033.0,Pennsylvania,Clearfield,,3.4,3.3,81.0,42.9,22.7,72.7,26.8,,43.597258217,20.6,37324.0,,54.1,3.1,0.4,1.0,,82896.0,21.8,,,33.4,,,28.9,0.7,0.0,19.4,
42035.0,Pennsylvania,Clinton,,3.6,3.3,87.0,48.0,21.2,42.9,28.5,,45.955882353,8.1,37494.0,,50.5,1.0,0.6,1.1,,37038.0,26.8,,,28.2,,,29.2,1.5,1.0,25.5,
42037.0,Pennsylvania,Columbia,,4.0,3.1,89.0,47.9,17.0,25.0,27.7,,66.092837381,33.8,43399.0,,44.3,1.3,0.7,1.9,,65004.0,18.8,,,17.1,,,29.2,0.8,0.0,25.1,
42039.0,Pennsylvania,Crawford,,4.5,4.6,84.0,44.0,26.2,44.4,26.6,,56.481858027,24.9,40336.0,,65.6,2.0,0.4,1.0,,88411.0,22.1,,,31.6,,,30.4,1.9,0.0,21.5,
42041.0,Pennsylvania,Cumberland,,3.0,3.1,84.0,62.5,9.1,14.299999999999997,21.8,,89.003121622,50.8,60534.0,,24.8,3.3,2.6,2.3,,229361.0,12.3,,,16.6,,,24.9,2.5,4.0,19.4,
42043.0,Pennsylvania,Dauphin,,2.9,3.6,85.0,58.9,17.4,13.599999999999994,26.5,,141.35124041,64.7,52149.0,,14.7,17.5,2.7,6.3,,256562.0,13.2,,,45.6,,,30.9,3.5,9.0,22.6,
42045.0,Pennsylvania,Delaware,,3.4,3.6,86.0,66.9,12.6,19.400000000000006,23.8,,130.69639425,98.5,64688.0,,1.1,18.6,4.6,2.5,,553619.0,7.6,,,22.8,,,36.1,3.5,7.0,23.2,
42047.0,Pennsylvania,Elk,,4.6,5.5,90.0,49.8,12.9,54.5,26.4,,58.870917767,21.7,43858.0,,47.6,0.3,0.5,0.6,,32268.0,24.6,,,17.8,,,25.7,0.6,0.0,28.8,
42049.0,Pennsylvania,Erie,,3.7,3.7,82.0,53.4,21.4,41.2,27.1,,52.923864729,45.8,44006.0,,19.5,6.7,0.8,3.1,,279175.0,12.8,,,38.2,,,31.2,2.2,2.0,28.0,
42051.0,Pennsylvania,Fayette,,4.8,4.3,76.0,44.3,33.9,48.6,33.1,,43.967087495,9.8,34050.0,,46.6,4.0,0.3,0.6,,143925.0,20.0,,,47.3,,,28.3,0.5,0.0,26.7,
42053.0,Pennsylvania,Forest,,,,87.0,32.9,31.2,50.0,27.2,,0.0,29.4,35029.0,,100.0,18.0,0.3,4.7,,6825.0,26.7,,,,,,24.8,2.0,0.0,,
