FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
56001.0,Wyoming,Albany,,2.9,3.0,80.0,81.2,13.4,85.7,18.3,,120.84957249,99.7,43210.0,,12.1,1.5,2.3,8.0,,32758.0,23.4,,,15.2,,,37.9,2.4,0.0,14.3,
56003.0,Wyoming,Big Horn,,3.9,3.1,85.0,62.0,14.9,55.6,25.8,,52.442968272,17.5,44304.0,,100.0,0.2,1.7,8.5,,11322.0,24.3,,,44.2,,,18.1,2.5,9.0,21.5,
56005.0,Wyoming,Campbell,,3.0,2.8,80.0,57.0,6.6,60.0,24.8,,74.745623764,12.1,75244.0,,39.0,0.7,0.7,6.2,,41473.0,34.8,,,52.7,,,15.3,1.4,0.0,24.7,
56007.0,Wyoming,Carbon,,3.8,3.6,75.0,50.9,12.4,60.0,29.0,,44.975584683,45.0,54257.0,,43.1,1.0,0.9,15.2,,15624.0,27.3,,,52.6,,,16.9,3.0,0.0,25.6,
56009.0,Wyoming,Converse,,3.2,3.1,70.0,56.4,11.1,50.0,22.4,,52.778406092,0.0,57609.0,,55.8,0.3,0.3,6.5,,13267.0,22.0,,,41.3,,,19.6,1.3,0.0,24.3,
56011.0,Wyoming,Crook,,2.4,3.2,100.0,56.0,9.2,57.1,19.8,,45.77357339,0.0,54434.0,,100.0,0.2,0.1,1.3,,6457.0,45.4,,,44.4,,,16.4,0.2,3.0,19.9,
56013.0,Wyoming,Fremont,,3.5,3.4,70.0,57.8,19.1,54.5,24.9,,89.339674698,31.5,45708.0,,52.6,1.0,0.5,5.9,,38113.0,46.9,,,67.0,,,20.7,1.2,0.0,22.4,
56015.0,Wyoming,Goshen,,3.2,3.5,85.0,58.7,19.4,75.0,26.3,,57.570523892,24.7,40744.0,,45.4,0.3,0.2,9.3,,12072.0,24.7,,,35.4,,,29.3,1.3,0.0,19.5,
56017.0,Wyoming,Hot Springs,,4.1,2.9,80.0,63.3,16.3,0.0,22.5,,88.515158221,22.1,40310.0,,29.5,0.5,0.3,3.3,,4622.0,40.4,,,45.5,,,17.2,0.4,2.0,21.7,
56019.0,Wyoming,Johnson,,2.7,3.0,90.0,67.7,10.6,0.0,21.0,,83.303582054,11.9,51162.0,,47.7,0.1,0.1,3.5,,8464.0,37.7,,,25.1,,,34.2,1.0,1.0,16.8,
56021.0,Wyoming,Laramie,,3.2,3.0,65.0,63.1,13.3,55.6,23.6,,91.158741554,46.7,56193.0,,16.4,4.3,1.4,11.4,,87542.0,20.4,,,55.2,,,27.9,1.6,0.0,23.0,
56023.0,Wyoming,Lincoln,,3.3,2.9,75.0,54.6,10.4,66.7,21.0,,47.95875547,12.0,60245.0,,79.9,0.3,0.2,4.2,,16631.0,33.8,,,32.3,,,20.5,1.9,2.0,16.0,
56025.0,Wyoming,Natrona,,3.2,3.4,70.0,63.6,12.0,55.6,23.1,,82.12765375,27.4,51486.0,,13.2,1.6,0.7,6.4,,73129.0,22.8,,,51.4,,,23.8,1.2,0.0,26.7,
56027.0,Wyoming,Niobrara,,2.3,3.0,75.0,51.1,14.8,75.0,27.7,,0.0,42.3,41021.0,,100.0,0.3,0.1,2.2,,2428.0,31.5,,,,,,17.6,0.0,0.0,21.9,
56029.0,Wyoming,Park,,2.8,2.7,90.0,70.6,14.5,50.0,23.3,,112.21313256,32.6,47803.0,,44.1,0.3,0.7,4.6,,27574.0,29.4,,,24.0,,,27.6,1.2,11.0,16.4,
