FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
29001.0,Missouri,Adair,,4.1,3.6,90.1,61.175774314,23.6,1.94,31.4,,20.001600128,0.0,32015.0,,33.3,1.6,1.9,2.2,,5069.0,16.188994953,,,16.5,,,32.73163606,0.8043569334,0.0,21.5,
29003.0,Missouri,Andrew,,3.6,2.8,88.1,55.715681485,13.6,19.88,25.1,,,5.9,53150.0,,60.0,1.3,0.4,1.6,,4094.0,27.058793685,,,31.5,,,20.367857681,0.9548773638,0.0,22.2,
29005.0,Missouri,Atchison,,3.4,3.9,92.5,56.620633631,14.5,4.58,28.9,,16.625103907,0.0,43587.0,,100.0,2.2,0.4,1.6,,1231.0,34.539928157,,,28.1,,,16.774454325,0.6215722121,0.0,24.8,
29007.0,Missouri,Audrain,,3.7,4.6,85.4,42.125575182,28.1,1.72,32.0,,65.950265741,3.9,40899.0,,42.3,8.4,0.4,1.5,,6737.0,17.179083634,,,55.4,,,20.184641209,1.8760706974,0.0,29.8,
29009.0,Missouri,Barry,,5.2,5.2,88.8,39.156626506,28.6,0.41,32.9,,55.234886354,0.0,34838.0,,74.3,0.4,0.9,9.1,,8134.0,38.558707641,,,71.8,,,24.957912458,4.0505265685,0.0,26.6,
29011.0,Missouri,Barton,,3.5,4.0,88.0,45.597807468,26.7,6.97,29.1,,7.9865825413,0.0,36851.0,,65.0,0.6,0.3,1.5,,2919.0,42.103863583,,,50.7,,,24.699036918,0.9248260648,0.0,,
29013.0,Missouri,Bates,,3.4,2.8,88.8,38.518518519,22.7,19.4,28.8,,23.643456673,0.0,39265.0,,77.2,1.0,0.2,1.8,,3915.0,30.219088391,,,54.5,,,30.825132475,0.2434456929,0.0,23.3,
29015.0,Missouri,Benton,,3.8,2.8,81.2,41.830065359,35.1,13.2,32.8,,16.186468113,0.0,30920.0,,100.0,0.5,0.1,1.2,,3366.0,30.331547142,,,49.3,,,23.062975946,0.5112137203,0.0,19.2,
29017.0,Missouri,Bollinger,,5.5,4.8,91.2,35.857538036,29.7,10.32,32.8,,8.3626024419,0.0,36972.0,,100.0,0.5,0.3,0.9,,2892.0,33.853589064,,,53.3,,,25.04680674,0.335599346,1.0,,
29019.0,Missouri,Boone,,2.9,3.4,86.3,74.895179439,16.6,15.63,21.1,,178.83639709,42.1,42202.0,,24.3,8.8,3.2,2.7,,42215.0,15.911133374,,,22.9,,,32.117628508,3.2048298425,0.0,18.6,
29021.0,Missouri,Buchanan,,4.1,4.0,89.2,48.870216379,22.5,8.1,30.7,,59.426367367,9.0,41210.0,,13.7,4.6,0.6,4.0,,22969.0,14.980051565,,,61.7,,,27.033880813,1.6090612999,0.0,27.7,
29023.0,Missouri,Butler,,6.5,5.1,82.0,49.498746867,30.6,4.13,33.1,,133.34303101,12.1,32919.0,,52.8,5.4,0.8,1.7,,10374.0,34.693792587,,,80.0,,,28.686075801,0.7924010769,3.0,34.3,
29025.0,Missouri,Caldwell,,2.6,3.5,96.1,48.284080076,19.9,26.03,31.9,,,0.0,39216.0,,100.0,0.8,0.1,1.3,,2098.0,38.693101794,,,41.8,,,24.394785847,0.3883051622,0.0,27.2,
29027.0,Missouri,Callaway,,3.7,4.8,85.2,50.940742043,18.9,23.45,29.0,,43.589978893,11.5,47098.0,,61.7,5.2,0.9,1.5,,11374.0,26.084688288,,,38.6,,,21.853031304,0.8217046725,0.0,28.9,
29029.0,Missouri,Camden,,3.3,3.6,86.7,55.532574974,26.8,2.75,33.1,,58.952125961,4.9,42955.0,,91.4,0.7,0.4,1.7,,8703.0,31.190271537,,,50.2,,,26.677203117,1.0026901443,0.0,23.6,
29031.0,Missouri,Cape Girardeau,,2.9,4.3,82.7,59.893077601,20.4,0.94,27.8,,86.045590505,8.2,44569.0,,32.1,6.1,0.9,1.5,,18144.0,13.022059369,,,37.4,,,27.41020794,1.4531839504,1.0,17.7,
29033.0,Missouri,Carroll,,3.9,2.5,97.1,47.439963752,22.7,15.89,27.2,,20.607934055,0.0,39071.0,,65.0,1.9,0.1,1.1,,2207.0,28.406266422,,,43.1,,,19.36401241,1.1847546664,0.0,22.0,
29035.0,Missouri,Carter,,,,80.0,39.170836312,38.1,49.47,31.2,,,0.0,28524.0,,100.0,0.2,0.1,1.4,,1399.0,67.499156261,,,65.6,,,23.244353183,0.1757778168,0.0,,
29037.0,Missouri,Cass,,3.4,3.4,88.6,63.602054315,12.0,12.2,27.5,,18.130357269,0.0,57368.0,,37.4,3.9,0.7,3.8,,25702.0,17.449549373,,,33.5,,,26.45677079,1.1234596401,0.0,23.8,
29039.0,Missouri,Cedar,,2.6,2.1,82.6,41.813776393,32.9,2.64,30.0,,,0.0,31542.0,,73.4,0.5,0.6,1.7,,2889.0,26.777622147,,,58.3,,,24.873675632,0.9942004971,0.0,,
29041.0,Missouri,Chariton,,4.0,4.6,92.3,57.605985037,18.9,13.72,31.0,,,0.0,39800.0,,100.0,3.5,0.1,0.8,,1604.0,30.172337291,,,27.0,,,16.089030207,0.1620745543,0.0,17.3,
