FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
33001.0,New_Hampshire,Belknap,,3.1,3.6,89.9,60.676268003,13.0,0.0,22.1,,57.118610875,34.3,53851.0,,59.9,0.5,0.8,1.1,,14373.0,13.387698349,,,25.2,,,39.307192687,0.7646410387,0.0,20.4,
33003.0,New_Hampshire,Carroll,,3.3,3.4,87.5,56.107249255,16.6,0.16,21.3,,68.628470417,27.0,48236.0,,100.0,0.4,0.7,0.8,,10070.0,21.040305908,,,19.0,,,35.294412428,0.2929409964,0.0,19.6,
33005.0,New_Hampshire,Cheshire,,3.4,3.3,85.6,58.243235673,13.4,0.25,21.8,,71.260138374,67.4,49126.0,,65.9,0.8,0.9,1.4,,17851.0,10.78832926,,,17.6,,,37.045900223,1.0786388798,0.0,18.4,
33007.0,New_Hampshire,Coos,,4.4,4.5,83.8,50.515862781,21.4,1.31,29.3,,106.5263026,31.3,37708.0,,65.6,0.4,0.6,1.0,,7754.0,17.745307232,,,32.6,,,33.275226282,2.7014336693,0.0,23.7,
33009.0,New_Hampshire,Grafton,,3.1,3.1,88.0,64.906709012,13.4,0.75,19.5,,315.25997357,119.4,50834.0,,64.9,0.9,2.1,1.7,,20152.0,12.476879836,,,15.9,,,33.991023549,1.3124762448,0.0,18.7,
33011.0,New_Hampshire,Hillsborough,,3.2,3.1,84.1,67.066598055,10.5,5.74,21.9,,89.340071373,34.9,67650.0,,21.9,2.5,3.2,5.3,,110769.0,9.2696284382,,,21.5,,,38.65007837,4.6575327852,1.0,18.0,
33013.0,New_Hampshire,Merrimack,,2.8,2.8,84.6,65.405710598,10.8,0.01,20.6,,128.87722431,66.5,60932.0,,53.5,1.0,1.3,1.5,,37194.0,10.275882992,,,18.7,,,39.237550046,1.5202751317,0.0,16.0,
33015.0,New_Hampshire,Rockingham,,3.1,3.2,90.3,71.468027461,6.7,9.39,20.4,,78.101431301,42.2,73402.0,,29.5,0.9,1.7,2.2,,76034.0,9.1451475993,,,12.4,,,38.8173149,1.794694945,1.0,17.7,
33017.0,New_Hampshire,Strafford,,3.7,3.7,79.1,66.261601761,12.2,11.79,23.0,,78.901560136,48.8,52527.0,,34.9,1.1,2.1,1.6,,31353.0,11.383202946,,,18.3,,,39.172535211,2.1142584479,0.0,21.2,
33019.0,New_Hampshire,Sullivan,,3.5,3.4,82.9,54.906762102,15.4,0.4,26.0,,91.093826641,42.0,50549.0,,63.0,0.4,0.6,1.0,,10618.0,17.504291918,,,37.7,,,35.573599605,0.5854461003,0.0,21.1,
