FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
2013,Alaska,Aleutians East,,3.8,3.6,61.1111,42.8132206,17.5,22.27694878,28.8,,,,51289.0,,100.0,7.1248423707,37.767969735,12.799495586,14.060529634,1301,,,,,,,,22.038385175,,,
2016,Alaska,Aleutians West,,1.7,1.6,84.78256044,53.482190324,9.2,7.5336383074,22.6,,108.20559,,59362.0,,100.0,6.25,29.96002907,13.971656977,30.541424419,1881,,,,,,,,9.7413630357,,28.8,
2020,Alaska,Anchorage,,3.4,2.9,72.171456133,70.288808664,12.2,4.5718349232,22.0,,92.03834,44.99652,71237.0,,4.1171794151,5.3239503333,8.4365801671,7.8746151504,62.11016003,83100,8.5747105908,,,38.698705895,,,,2.5118016718,,16.9,
2050,Alaska,Bethel,,3.5,2.8,41.73602523,41.490340386,30.3,38.569783629,28.2,,93.53989999999999,5.84624,43314.0,,73.937577147,0.5627009646,0.9761139182,1.360817639,11.506660542,4348,,,,78.119772499,,,,4.9828857293,,30.9,
2060,Alaska,Bristol Bay,,1.4,1.6,72.7272,68.918918919,11.2,7.2435251997,24.2,,0.0,,61905.0,,100.0,0.1941747573,0.8737864078,2.8155339806,47.669902913,222,,,,,,,,0.0,,24.1,
2068,Alaska,Denali,,2.6,2.0,50.0,75.53816047,7.9,18.527518684,21.2,,0.0,,68899.0,,100.0,0.9164420485,1.0781671159,2.641509434,87.654986523,511,,,,,,,,3.5628019324,,21.1,
2070,Alaska,Dillingham,,2.5,2.2,44.318181818,49.397590361,27.4,16.513495359,27.9,,246.20434999999998,,46427.0,,100.0,0.3618090452,0.743718593,2.3316582915,18.452261307,1079,,,,56.994818653,,,,4.2918454936,,39.0,
2090,Alaska,Fairbanks North Star,,3.5,3.0,66.962356362,67.414495836,11.0,9.978115552,23.1,,71.2258,23.40276,64396.0,,30.870763776,4.5769820147,2.8026453746,6.2626018227,73.422251794,28215,11.675512916,,,39.38194026,,,,0.7870721144,,20.5,
2100,Alaska,Haines,,3.6,2.1,81.4814,64.601769912,17.2,4.890014561,20.5,,199.36203999999998,,51350.0,,100.0,0.5873140172,0.7830853563,2.3101018011,81.636648395,678,,,,,,,,0.0,,15.3,
2110,Alaska,Juneau,,3.4,3.0,71.7348,74.24277726,10.4,6.1346152697,17.7,,120.98442999999999,41.389410000000005,74219.0,,21.544364508,1.0570824524,6.0533515732,5.3693570451,67.230443975,8584,6.9176066926,,,27.137214932,,,,0.7750349961,,18.9,
2122,Alaska,Kenai Peninsula,,3.6,3.2,72.6552,59.959929105,13.9,5.9072874205,23.6,,80.97166,21.59244,60360.0,,79.337545126,0.5826656956,1.202636207,3.1566979909,82.562663209,12977,18.529956763,,,30.96830474,,,,0.2838975635,,21.6,
2130,Alaska,Ketchikan Gateway,,3.4,3.1,65.1162,63.649103139,15.1,0.8885921939,28.0,,103.46610999999999,36.95218,59092.0,,23.187653039,0.7136025896,7.1065989848,4.2521886265,65.901566983,3568,,,,32.611832612,,,,1.0091378625,,24.0,
2150,Alaska,Kodiak Island,,2.8,2.1,78.2805,67.95148248,10.8,3.6978910694,20.8,,131.96481,14.662759999999999,66935.0,,31.319894055,1.0164359862,19.946655133,7.9224336794,51.823817762,3710,,,,35.403203147,,,,3.9188640974,,18.5,
2164,Alaska,Lake and Peninsula,,1.6,1.8,50.0,59.226190476,22.0,45.914093452,30.5,,0.0,,47612.0,,100.0,1.0191846523,0.2997601918,3.2973621103,23.201438849,336,,,,51.509769094,,,,0.6423982869,,,
2170,Alaska,Matanuska-Susitna,,3.8,3.4,69.7841,61.601448026,14.7,5.7727986697,24.1,,52.354850000000006,15.595060000000002,68999.0,,50.293836732,1.124573119,1.3736323494,3.8544362996,82.132991103,23204,14.686002647,,,33.164848807,,,,0.7072735664,,27.6,
2180,Alaska,Nome,,3.6,2.5,56.284633846,40.94292804,32.2,35.969235135,23.7,,104.48229,10.44823,44766.0,,66.05562579,0.4565746753,1.1465097403,1.5523538961,16.710633117,2418,15.336012023,,,95.994914177,,,,1.5115448703,,44.0,
2185,Alaska,North Slope,,3.6,1.3,58.8235,44.622222222,14.1,3.819365775,32.6,,21.11486,,73744.0,,59.331919406,1.1049142376,4.7774387036,2.9885299379,32.663369462,2250,18.198061079,,,100.96575944,,,,1.9739203254,,44.8,
2188,Alaska,Northwest Arctic,,4.3,2.3,48.7179,36.456102784,27.8,32.332262235,31.5,,52.95909,,54680.0,,57.463777748,0.5819216346,0.6465795939,1.0603905341,11.780680202,1868,,,,94.004441155,,,,2.069992554,,47.6,
2201,Alaska,Prince of Wales-Outer Ketchikan,,4.7,2.9,59.363137804,47.882986913,23.1,7.8381168512,24.8,,89.33357,,42649.0,,100.0,0.4706292487,0.4706292487,2.8063447795,48.962872581,1299,,,,53.268765133,,,,0.0582637405,,32.9,
2220,Alaska,Sitka,,3.5,2.7,82.864291508,74.530362604,10.7,5.8946342216,19.5,,213.19568999999998,56.10413,61956.0,,20.876027474,0.7596067918,5.9986595174,5.0379803396,63.952189455,2289,,,,26.290630975,,,,0.4939163956,,21.1,
2232,Alaska,Skagway-Hoonah-Angoon,,3.0,2.2,79.162826374,63.970588235,20.853306613,22.192341982,24.8,,,,45857.657315,,100.0,0.3938299967,0.6235641615,3.4788316377,59.862159501,816,,,,,,,,,,24.9,
2240,Alaska,Southeast Fairbanks,,3.8,2.3,63.63630394,64.380403458,19.6,9.1664660189,25.3,,56.617129999999996,,55617.0,,100.0,1.3039820527,1.0095344924,3.6595625351,78.295008413,1735,25.422651583,,,34.28863869,,,,1.1721159778,,22.8,
2261,Alaska,Valdez-Cordova,,4.1,3.5,85.767618457,71.541155867,11.3,10.863896187,25.1,,72.24688,10.320979999999999,63887.0,,100.0,0.7676560901,4.1044012282,3.8587512794,71.361310133,2284,17.67565179,,,24.816924329,,,,1.0246129859,,24.8,
2270,Alaska,Wade Hampton,,6.3,3.8,47.359888606,30.024360536,41.5,44.096673372,27.6,,,,33206.0,,100.0,0.1696684939,0.2610284521,0.2349256069,3.8371182459,1642,,,,100.50409578,,,,2.0656136087,,38.2,
2280,Alaska,Wrangell-Petersburg,,3.9,3.1,79.999974371,64.778156997,16.029664559,1.7869201627,24.9,,112.84862,,50243.539814,,100.0,0.578778135,2.2668810289,3.0707395498,69.437299035,1465,,,,32.960199005,,,,,,20.4,
2282,Alaska,Yakutat,,4.1,3.1,100.0,69.406392694,17.1,0.089078193,23.5,,0.0,0.0,47575.0,,100.0,0.3095975232,4.9535603715,2.786377709,39.318885449,219,,,,,,,,0.1422475107,,13.2,
2290,Alaska,Yukon-Koyukuk,,4.2,2.5,45.621525178,45.251396648,28.7,50.088821353,26.5,,17.8031,,33578.0,,100.0,0.3536067893,0.3005657709,1.3967468175,22.02970297,1253,,,,61.659192825,,,,0.5383580081,,42.0,
