FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
27001,Minnesota,Aitkin,,3.0,3.4,85.057471264,63.320186447,22.9,12.000320909,23.1,,73.96906,12.32818,39958,,100.0,0.3699136868,0.1849568434,1.1282367448,94.734895191,2789,18.450184502,,,31.27171647,,,,0.4643064423,9.65,13.2,
27003,Minnesota,Anoka,,3.1,3.2,76.020627417,70.040967783,11.1,6.5816083476,20.6,,53.70116,27.453960000000002,63799,,13.50062265,4.3807408297,4.0211322567,3.7521762622,85.12367173,93244,8.4442521031,,,20.042477358,,,,1.6516521405,10.89,17.4,
27005,Minnesota,Becker,,2.8,2.1,80.965147453,64.478873239,20.4,14.050730204,22.5,,79.90657,46.09994,47819,,75.470711297,0.4698273232,0.4423698822,1.4338885838,87.458051132,7100,20.468825089,,,33.659648652,,,,0.3144862288,9.74,17.1,
27007,Minnesota,Beltrami,,2.8,3.3,56.327160494,67.009280511,29.6,7.5647164312,21.6,,74.02755,33.64889,40657,,67.089689933,0.6804524567,0.7666136444,1.8292682927,74.376988335,10021,19.431544972,,,56.02576586,,,,0.484987327,9.34,32.9,
27009,Minnesota,Benton,,3.4,2.8,83.885209713,67.030509081,14.1,6.8549291802,21.1,,46.76661,12.99072,49482,,40.011963278,2.02994492,1.1300457707,1.7816968788,93.10853094,11177,10.18199371,,,31.65951525,,,,0.5042679663,10.65,13.6,
27011,Minnesota,Big Stone,,2.6,3.0,92.222222222,71.518987342,21.0,16.103753244,22.8,,94.9307,,43190,,100.0,0.2481863307,0.1145475372,0.9163802978,97.499045437,948,26.658136063,,,16.556291391,,,,0.0998402556,10.3,2.9,
27013,Minnesota,Blue Earth,,2.3,2.7,82.299741602,73.137845268,17.3,16.363143765,24.7,,87.40849,59.31291,46280,,26.892974864,2.761555666,2.2583250497,2.5751739563,90.789637177,15278,11.79065348,,,13.979923913,,,,0.7839064672,11.35,18.4,
27015,Minnesota,Brown,,2.7,2.0,79.256965944,63.699889665,11.5,7.9031918144,23.7,,100.44815,30.907120000000003,50339,,34.939945159,0.2836714075,0.6528328282,3.337996425,95.076552421,5438,13.65500893,,,21.16325943,,,,0.7329156942,11.32,,
27017,Minnesota,Carlton,,3.6,4.0,80.819366853,68.421644729,13.4,5.4401766274,19.8,,62.150400000000005,45.20029,49357,,55.165884813,1.4638273868,0.5415315188,1.4638273868,88.890142434,8889,11.518272917,,,31.699178645,,,,0.2943675649,9.46,14.8,
27019,Minnesota,Carver,,2.6,3.0,78.677042802,80.774523295,6.2,2.6570479427,16.5,,88.66219,32.83785,85314,,18.827574087,1.3115568125,2.8454845744,4.0005181459,90.332261059,25435,8.0757605224,,,11.260512187,,,,1.2429134755,11.14,15.4,
