FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
39001,Ohio,Adams,,5.6,4.6,86.0,38.720914031,33.7,1.8589416501,34.7,,31.49827,6.99962,34778,,89.026269702,0.4568456565,0.1511104864,0.9136913129,96.840736576,7177,25.032667631,,,55.63583815,,,,0.3640594505,13.1,23.6,
39003,Ohio,Allen,,3.6,3.7,82.9,53.527168732,29.2,5.9675955948,27.0,,54.59389,24.47312,41453,,25.890850269,11.930929176,0.7474503742,2.4525420853,82.44292797,25176,10.579289768,,,51.984518479,,,,0.4739193735,13.22,22.0,
39005,Ohio,Ashland,,3.5,3.2,91.7,52.862719584,20.2,1.2237114072,29.6,,50.797709999999995,11.28838,44950,,61.937559984,0.9030534495,0.5851033808,1.017816492,96.352040336,12296,12.613453993,,,24.366673569,,,,1.0894941634,13.86,17.5,
39007,Ohio,Ashtabula,,3.9,4.2,84.3,45.485286422,29.1,7.7513398396,31.9,,39.42168,15.76867,38683,,46.368858193,3.5186738369,0.4085055997,3.4949923529,90.54319404,24841,16.090915069,,,44.453642384,,,,0.6540263497,14.05,28.4,
39009,Ohio,Athens,,3.4,5.1,91.1,64.484041792,31.3,14.221312769,28.0,,77.19147,97.26125,33943,,43.170622481,2.9288702929,2.8068983619,1.7353981071,90.330250583,13974,11.34429949,,,14.627358338,,,,0.4169562196,13.08,,
39011,Ohio,Auglaize,,3.0,3.4,94.8,59.11703001,13.9,1.1477413283,26.4,,60.933150000000005,4.35237,51130,,39.136869138,0.4428639993,0.4145032506,1.2740520965,96.814869759,10963,16.758684257,,,32.987171655,,,,0.2912463012,13.36,15.3,
39013,Ohio,Belmont,,5.0,5.2,88.2,50.352420341,24.0,4.9423438544,30.0,,42.6415,11.37107,40300,,54.664772727,4.0712178016,0.382033043,0.7284286753,93.418482987,17167,12.587861241,,,38.905099347,,,,0.1584620214,13.73,21.7,
39015,Ohio,Brown,,3.4,3.2,85.1,39.437121482,24.5,4.2736470517,33.2,,37.89905,,43181,,76.559782366,1.0159554233,0.2506321749,0.7004274174,96.835768792,11228,17.67159115,,,40.676712582,,,,0.0095879575,13.24,,
39017,Ohio,Butler,,4.1,3.5,87.4,60.335166219,18.2,5.8970070683,26.2,,49.34495999999999,30.095000000000002,53275,,9.3428951729,7.4002902711,2.5059527188,4.1313625172,83.991578356,95296,10.221890596,,,36.882121443,,,,1.3466325391,13.35,22.5,
39019,Ohio,Carroll,,5.4,4.3,87.7,42.949294929,26.9,1.8280121083,24.7,,38.185159999999996,10.41414,40896,,70.952975447,0.5663261761,0.2084636231,0.8859703982,97.08498367,6666,17.699811202,,,32.214964371,,,,0.4759812537,14.35,,
39021,Ohio,Champaign,,3.8,3.7,83.7,48.0831643,23.1,0.360209607,26.7,,22.49438,12.496879999999999,48063,,70.82325361,2.3143611006,0.4171378314,1.2061816811,93.946475688,9860,22.505867601,,,40.940413458,,,,0.3594823454,13.43,20.8,
39023,Ohio,Clark,,3.6,3.7,82.5,53.501262549,30.3,7.0402395143,30.3,,48.47836,17.36538,41704,,23.605358085,8.7696363597,0.6572688121,2.8440493569,85.206731014,32474,14.391294186,,,53.438891638,,,,0.8736176692,13.41,26.5,
39025,Ohio,Clermont,,4.3,4.0,87.8,60.756929843,15.8,9.2788811392,24.7,,52.58687,20.73136,55963,,22.71651728,1.3342439201,1.020392791,1.5933594123,94.6685481,51841,10.790133384,,,38.280935557,,,,0.6643303201,13.34,25.0,
39027,Ohio,Clinton,,4.1,4.5,85.4,51.587908934,23.0,3.2761377871,32.6,,81.13978,14.31878,44905,,54.638439581,2.3159300689,0.5032556586,1.4906861927,93.727192501,10454,16.919271388,,,48.354476926,,,,0.3280012111,13.36,,
39029,Ohio,Columbiana,,4.8,3.5,86.5,45.24508869,27.2,6.4025882573,29.4,,57.486720000000005,11.12646,42091,,43.864578407,2.2506274984,0.326299154,1.3033373617,94.750395092,26215,13.752545858,,,40.087552187,,,,0.4340175953,14.45,19.6,
39031,Ohio,Coshocton,,4.9,4.8,90.8,44.021614164,29.0,5.798985441,30.8,,46.06921,2.70995,40282,,61.469878865,1.1229874171,0.2949533216,0.8145041266,96.511974022,8698,18.074211945,,,42.513250883,,,,0.179004504,13.87,26.5,
39033,Ohio,Crawford,,3.4,3.4,87.8,43.777313319,28.7,2.2161052493,28.6,,27.425440000000002,4.57091,39679,,35.264023388,0.9933393256,0.3687570582,1.2699071193,96.291686833,10526,18.219652292,,,46.526929223,,,,0.1493939905,13.58,,
39035,Ohio,Cuyahoga,,3.3,4.0,74.9,66.147166802,29.0,3.7459961249,25.8,,109.46791999999999,71.90923000000001,41609,,0.5817414278,29.312505609,2.6828434992,4.9367311819,61.295888983,322233,6.0010723228,,,41.24213235,,,,1.728175064,13.71,19.1,
39037,Ohio,Darke,,3.0,3.0,89.8,48.712324316,19.1,1.7352686048,32.1,,43.40196,5.66113,42065,,66.302233804,0.535893503,0.3238084417,1.2914465337,96.767596432,12309,20.476785791,,,39.168855983,,,,0.1781917586,13.28,19.1,
39039,Ohio,Defiance,,3.9,3.7,92.6,54.448246364,19.1,5.8078507997,28.7,,71.77279,10.253260000000001,49360,,43.850705741,1.8285155848,0.3831910297,8.7722456537,87.768748071,9352,17.531812936,,,41.210833776,,,,0.5282750315,12.6,18.0,
39041,Ohio,Delaware,,2.3,2.7,95.1,83.278370122,5.8,2.1338157838,21.4,,116.98375999999999,50.217420000000004,86980,,19.31015877,3.4938684879,4.5199925984,2.2468192956,87.989301395,49427,7.4999799108,,,15.115783492,,,,0.6774285624,13.61,11.1,
39043,Ohio,Erie,,5.1,5.0,86.7,57.811070448,21.4,7.9733698164,29.3,,76.58757,20.76951,46613,,26.478029035,8.4832770909,0.6162786153,3.4944170109,84.917460359,17488,10.478962105,,,39.582975311,,,,0.3561302341,13.3,23.5,
