FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
55001,Wisconsin,Adams,,3.1,3.7,93.706293706,45.856832972,28.6,5.9858394106,26.6,,14.38228,,40339,,100.0,3.0675734337,0.4292673516,3.7862345054,90.884097815,4610,19.696805042,,,50.0,,,,0.6719426609,10.23,24.5,
55003,Wisconsin,Ashland,,4.0,3.7,90.338164251,66.712366328,26.0,12.83647296,21.2,,160.64257,12.357119999999998,36683,,54.861669864,0.3902862099,0.3902862099,2.0071862223,83.539833973,3647,12.28167136,,,29.793368573,,,,0.2837909187,9.25,17.1,
55005,Wisconsin,Barron,,3.4,3.3,89.482470785,55.549285177,20.1,2.9337822559,24.9,,113.45042,13.090430000000001,44666,,65.927621539,0.9328073578,0.5666586753,1.9942026459,94.712638668,10632,15.254865212,,,29.027858952,,,,0.6312808968,10.39,22.5,
55007,Wisconsin,Bayfield,,3.1,3.4,88.961038961,62.537968275,20.8,7.8927697916,22.4,,26.61698,33.271229999999996,42558,,100.0,0.5033445924,0.3377707133,1.2318696602,85.787138221,2963,18.884136381,,,22.758152174,,,,0.2975984497,9.16,16.2,
55009,Wisconsin,Brown,,3.7,2.9,86.821705426,65.238208529,15.2,6.4310628538,20.1,,70.32829000000001,24.514429999999997,52744,,14.49434895,2.2230442461,2.904793725,7.5091881056,83.357596296,67252,10.019910151,,,31.804182201,,,,2.331757351,9.15,18.8,
55011,Wisconsin,Buffalo,,3.5,2.7,90.659340659,56.477864583,17.6,7.1059557951,24.8,,29.457250000000002,,44425,,100.0,0.3323731442,0.2585124455,2.0016249354,96.462072531,3072,16.582716664,,,18.530150754,,,,1.2092085885,11.16,15.9,
55013,Wisconsin,Burnett,,3.1,2.3,56.164383562,54.67768595,26.6,3.8293288895,24.7,,25.895,6.47375,40295,,100.0,0.5546955624,0.3482972136,1.4254385965,90.744324045,3025,17.100786636,,,34.815681685,,,,0.2825048766,10.09,13.1,
55015,Wisconsin,Calumet,,2.7,2.7,92.702702703,66.407185629,8.4,1.7366756853,18.7,,16.3202,8.1601,66543,,27.534663372,0.5778945241,2.1337643968,3.6108304708,92.323701758,13360,12.081672103,,,14.679556033,,,,1.5879704584,9.29,12.4,
55017,Wisconsin,Chippewa,,2.4,2.9,86.834733894,60.60511735,16.0,5.4056504247,17.8,,75.17354,14.39493,50120,,46.142754146,1.5849501418,1.309375896,1.2918538341,94.40568352,16063,12.915891713,,,27.362461896,,,,0.6213109661,10.5,24.3,
55019,Wisconsin,Clark,,2.8,2.3,91.421568627,44.943240454,27.2,2.9895611182,25.3,,43.21148,2.88077,40056,,91.729605074,0.3108629325,0.4202406309,3.7879223994,94.450520983,7752,22.790842225,,,24.853458382,,,,0.9837306092,10.39,20.7,
