FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
12001.0,Florida,Alachua,,3.5,3.3,64.526785714,74.677246477,26.9,7.1834209083,21.4,,135.9453,370.52844999999996,41297.0,,21.193437268,20.02429666,5.5296952493,8.5892300846,63.593099107,62509.0,13.711680749,8.488183321,,20.370738605,,,24.031166701,1.370382361,11.62,14.4,
12003.0,Florida,Baker,,7.5,4.7,65.0,33.838523009,26.1,12.816508001,32.1,,25.778889999999997,81.53559,45721.0,,59.491056611,13.312876631,0.5397611742,2.1442567193,82.298791083,7258.0,27.514706611,24.212941817,,67.532467532,,,12.394705174,0.2307172123,12.01,20.2,
12005.0,Florida,Bay,,5.6,5.6,68.0,59.827649432,26.0,9.6356751259,24.6,,57.107200000000006,169.67585,45259.0,,11.999857864,10.735630966,2.122748444,4.9750628581,78.893815471,43632.0,20.600834593,15.840137524,,54.571796523,,,16.532228762,0.8720581456,12.44,24.5,
12007.0,Florida,Bradford,,3.7,5.0,61.0,38.012906368,34.5,2.2922946466,31.1,,24.774379999999997,13.18957,38680.0,,75.529453015,20.692561635,0.5303083515,3.8807333006,73.252792021,8213.0,32.065413443,21.543949657,,72.696050372,,,15.173572228,0.5649294773,11.78,13.2,
12009.0,Florida,Brevard,,4.3,4.3,81.0,64.310212439,23.2,10.759017134,25.1,,71.93239,122.33519,46332.0,,5.0743867966,9.8300270796,2.220560624,8.3819871326,77.285871231,117210.0,14.554764166,22.631858566,,30.700421208,,,17.270340019,1.3375889761,10.68,21.8,
12011.0,Florida,Broward,,3.4,3.4,72.0,65.924550612,21.4,2.7571973602,23.6,,74.15014000000001,124.67684,49564.0,,0.0169329991,26.212971076,3.4800297598,25.83268159,42.877527513,482045.0,13.445888825,16.140009931,,28.678197902,,,26.743907909,7.1685301106,10.71,14.3,
12013.0,Florida,Calhoun,,7.2,5.5,72.5,33.946572581,30.7,13.213051141,32.0,,40.67797,17.983459999999997,33418.0,,67.514529915,13.523203897,0.6629684752,5.2834528481,77.628196455,3968.0,20.164949285,12.098969571,,59.148521287,,,18.363064008,2.3207056102,12.29,30.2,
12015.0,Florida,Charlotte,,3.9,5.0,73.0,55.877705799,24.4,11.980294655,22.8,,69.77714999999999,88.11955,44454.0,,8.8843465977,5.3957443606,1.3012749359,5.948237478,85.92867132,25316.0,16.487496531,6.6670751001,,33.938909962,,,19.065147937,1.1235302094,10.54,22.1,
12017.0,Florida,Citrus,,4.4,4.6,75.0,44.995820685,34.2,10.809498115,26.3,,57.130210000000005,41.66343,38937.0,,34.518819564,2.6914743759,1.5130605153,4.8087580176,89.492953114,22731.0,24.607876588,18.197421343,,43.041786924,,,15.147978324,0.6942495458,11.31,23.8,
12019.0,Florida,Clay,,3.3,3.5,74.0,63.715143889,15.3,5.501943364,24.8,,66.53844,62.88472,56359.0,,14.968695151,9.6548388607,3.0423273544,8.0255035442,76.639606422,49274.0,17.584074848,14.098942896,,33.061065733,,,14.075116675,1.4542472722,11.76,20.9,
