FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
33001.0,New_Hampshire,Belknap,,3.1,3.6,86.600121359,59.099832764,19.5,4.0985038621,21.0,,66.41981,384.08107,55033.0,,66.279456797,0.4951070794,1.2194919337,1.3191779229,95.582249248,13753.0,10.2096783,16.857840914,,24.143302181,,,16.539695269,0.3828805203,10.4,18.1,
33003.0,New_Hampshire,Carroll,,3.2,3.4,92.707129094,59.236002093,19.5,0.1769097264,20.5,,71.36710000000001,197.90017,50495.0,,90.20243423,0.3232509813,0.6360068009,1.049516173,96.752796961,9555.0,20.482421263,13.85575556,,20.500420521,,,17.288900025,0.1223482117,10.39,17.8,
33005.0,New_Hampshire,Cheshire,,3.6,3.5,85.968337731,59.548793284,15.3,3.1006418327,20.1,,71.50471999999999,208.64528,54819.0,,65.015495935,0.5282675168,1.2126732158,1.4846138833,95.274217683,17154.0,12.937471353,8.8714089276,,15.71660222,,,16.48662124,0.2998827731,10.54,17.2,
33007.0,New_Hampshire,Coos,,4.3,4.8,88.152777778,51.103843009,22.6,3.7048095678,28.3,,125.42829,107.26097,40162.0,,66.241113296,0.4848112918,0.5615219392,1.2826020252,96.093893832,7338.0,16.186330218,12.352725693,,28.252680382,,,15.253100905,0.8068102408,10.58,21.5,
33009.0,New_Hampshire,Grafton,,3.2,3.4,90.110599078,66.638022545,15.6,3.5935434763,19.2,,192.3012,271.36055000000005,52532.0,,68.71563545,0.9162038807,3.0768711919,1.891989118,92.264541224,19783.0,11.248997372,7.6623605287,,14.02955665,,,15.636840571,0.5511393747,10.5,16.8,
33011.0,New_Hampshire,Hillsborough,,3.1,3.1,83.923261161,68.119672467,14.4,3.4391603713,22.6,,85.63690000000001,187.73695,68150.0,,21.191302677,1.9450430766,3.4637992047,5.470309226,87.484882118,107226.0,8.2847783158,12.050586641,,20.135495102,,,15.487852665,1.9398852813,10.46,16.0,
33013.0,New_Hampshire,Merrimack,,2.9,3.2,84.322590012,67.917359956,12.8,5.1692654164,21.0,,121.43621999999999,233.84019999999998,59186.0,,54.61299464,1.0906189041,1.6485465235,1.6765111108,94.132211112,36060.0,10.166108345,11.241369805,,16.45318613,,,16.330114135,0.5898539375,10.44,15.3,
33015.0,New_Hampshire,Rockingham,,3.0,3.1,89.890875,72.629236328,8.0,5.3167314144,20.5,,76.29799,167.82211,76285.0,,24.898127856,0.6504888799,1.8177212625,2.1875474948,94.016920817,72793.0,8.7661839584,11.298637102,,11.323290914,,,15.101987448,0.4536342369,10.37,15.8,
33017.0,New_Hampshire,Strafford,,3.8,3.7,81.01423221,67.590353572,16.5,5.4098763589,22.6,,74.27920999999999,138.82601,53575.0,,32.401354523,0.9403983149,2.7411438413,1.9099061219,92.5795053,30602.0,10.267400884,11.565578007,,15.675566343,,,17.176596887,0.72568816,10.35,18.5,
33019.0,New_Hampshire,Sullivan,,3.5,3.8,82.069716776,58.237885463,17.2,4.5845942009,26.6,,69.02582,143.91776000000002,57444.0,,64.162589731,0.426601485,0.604159941,1.206013928,96.176728313,10215.0,16.4635612,10.865950392,,31.800973499,,,14.897119342,0.3339787028,10.52,19.7,
