FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
17001.0,Illinois,Adams,,4.3,3.3,86.766752577,65.065529966,19.9,3.5149754893,24.8,,57.0,126,43604.0,,32.599138638,,0.7135408908,1.4062267243,92.554744526,15718.0,9.1588745234,9.7978657692,,35.485893417,,,10.778443114,0.3731165553,10.76,29.5,
17003.0,Illinois,Alexander,,,,,40.878754171,53.2,20.927477828,29.1,,2.0,4,30141.0,,61.859674678,,0.4980993577,2.3069864989,58.972342378,1798.0,22.390630382,,,87.699944843,,,12.933753943,0.1728493551,12.99,,
17005.0,Illinois,Bond,,5.9,2.6,86.994219653,58.772619984,20.5,3.8313110811,27.0,,11.0,16,48464.0,,60.738406123,,0.5838580424,3.2799084144,88.105323412,3813.0,24.022485046,,,28.650414677,,,9.0132090132,0.1823929961,12.64,39.3,
17007.0,Illinois,Boone,,2.9,3.1,79.570454545,51.681259657,14.6,2.4502545248,24.7,,29.0,8,59537.0,,19.363057325,,1.3584891673,20.343977612,74.809570584,13591.0,12.229293944,7.7097722693,,29.832680669,,,16.341870824,3.6922650512,12.45,15.5,
17009.0,Illinois,Brown,,,,87.5,46.843853821,14.8,11.964424108,27.2,,,22,46522.0,,41.06962664,,0.3206997085,6.1224489796,74.198250729,2408.0,,,,24.186046512,,,7.2769953052,1.1773584906,11.16,,
17011.0,Illinois,Bureau,,,2.8,86.592592593,55.882729484,17.7,12.225088018,31.3,,17.0,16,49062.0,,57.390359655,,0.8632840028,8.4830866808,88.974042753,7811.0,15.140417139,10.639212044,,28.18319074,,,11.350225616,1.0401052342,12.1,16.4,
17013.0,Illinois,Calhoun,,,,,61.365762395,16.9,4.6632111681,32.3,,2.0,,48504.0,,100.0,,0.2965012848,1.0278711208,97.805890492,1069.0,,,,21.150592217,,,12.230215827,0.2506265664,11.5,,
17015.0,Illinois,Carroll,,1.8,,84.3375,53.838862559,21.4,3.6984429518,25.6,,4.0,14,43643.0,,81.874309482,,0.5700871898,3.2796780684,93.816230718,3165.0,27.707226968,,,31.516936672,,,11.74764322,1.1075730306,11.95,,
17017.0,Illinois,Cass,,,,80.243243243,43.339201878,19.9,3.1070171621,26.3,,1.0,32,45257.0,,52.133118311,,0.465325728,18.365355749,76.756229361,3408.0,19.968051118,,,47.355473555,,,13.582677165,4.561928774,11.57,,
17019.0,Illinois,Champaign,,2.6,3.0,85.689393939,78.161097161,20.8,3.8546362745,20.6,,179.0,398,46917.0,,12.710300824,,9.5975050879,5.6115999746,69.879988482,51770.0,8.321108716,8.5363098035,,19.357677079,,,20.171102662,1.9038490748,13.32,16.1,
17021.0,Illinois,Christian,,3.7,,80.275551102,53.501265518,20.7,2.5651920453,30.8,,17.0,12,49391.0,,43.451149425,,0.6326899528,1.5219546329,95.203801971,8297.0,19.656422122,9.8282110608,,43.38504225,,,12.904372556,0.1654006371,12.6,22.1,
17023.0,Illinois,Clark,,,,91.35106383,63.063304721,22.1,2.7568718808,27.3,,6.0,3,46287.0,,59.540863177,,0.321344704,1.3842541095,96.885428254,3728.0,25.190886111,13.029768678,,39.60933261,,,7.7153558052,0.0326455994,13.93,,
