FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
45001.0,South_Carolina,Abbeville,,3.8,4.4,77.0,50.09314456,28.4,14.516552031,30.2,,11.0,12,36187.0,,78.577330133,,0.3718958692,1.2156596153,68.924701084,5368.0,16.801263455,6.1604632668,,40.674902079,,,14.525993884,0.5347368421,12.95,21.3,
45003.0,South_Carolina,Aiken,,3.5,3.6,76.0,57.449362724,28.6,6.0280012765,25.7,,57.0,176,43876.0,,36.99898188,,0.9300994055,5.1706705,67.222980216,39151.0,19.613532072,16.088519395,,44.091476533,,,14.846645116,1.5007279651,12.69,18.9,
45005.0,South_Carolina,Allendale,,3.7,2.9,72.5,36.481149013,56.1,1.0228825263,34.4,,6.0,8,25753.0,,68.25990978,,0.5386726293,2.7543449538,23.508486635,2785.0,20.3585825,,,82.524271845,,,17.313432836,0.7800312012,12.66,22.1,
45007.0,South_Carolina,Anderson,,4.0,4.1,78.791479821,57.212845858,24.3,11.031433758,29.9,,129.0,269,41591.0,,37.925782628,,0.8885811552,3.2967724676,77.947555877,46334.0,21.52520339,17.667640058,,51.544210972,,,14.368450083,0.8562923053,13.03,20.6,
45009.0,South_Carolina,Bamberg,,4.7,3.4,75.860215054,57.633942397,43.0,6.6446561238,32.8,,5.0,5,30762.0,,54.506786764,,0.4666234608,1.8405703176,35.618924174,3229.0,32.008820208,13.33700842,,31.244290152,,,15.243902439,0.6094294133,12.59,17.4,
45011.0,South_Carolina,Barnwell,,4.2,4.2,70.734104046,48.08040201,38.6,0.8342794053,29.9,,6.0,14,31899.0,,82.542769992,,0.6374610064,2.3057100231,51.462543515,4975.0,40.429564119,11.370814908,,57.524487979,,,16.656751933,0.7700770077,12.66,20.8,
45013.0,South_Carolina,Beaufort,,2.7,2.9,75.0,62.578166402,23.9,8.7907418407,16.5,,108.0,176,56354.0,,19.646434449,,1.3175199898,11.535865175,66.913604674,37740.0,14.598198114,8.7408964015,,45.050596783,,,18.811264976,3.4930378316,12.72,16.8,
45015.0,South_Carolina,Berkeley,,4.0,3.9,74.0,61.588639381,24.4,7.3489002769,25.7,,59.0,135,50794.0,,28.953627638,,2.5110813318,6.0663849088,64.153695495,51969.0,20.134986257,10.394891279,,46.702617128,,,15.029225719,1.7449099486,12.42,22.7,
45017.0,South_Carolina,Calhoun,,3.9,3.9,87.5,50.866873065,30.6,0.2243433461,30.0,,2.0,3,40593.0,,100.0,,0.3719694454,3.1617402856,53.317834606,3230.0,32.026525499,,,40.736270368,,,13.89114541,0.6321556508,12.48,15.9,
45019.0,South_Carolina,Charleston,,2.9,3.2,75.0,72.770090111,25.8,5.6381489368,21.3,,461.0,1019,51206.0,,10.880931101,,1.5831417666,5.1710957262,63.134416837,102762.0,16.681979025,13.230535089,,39.016816298,,,20.763320408,1.4889231741,12.52,17.8,
45021.0,South_Carolina,Cherokee,,4.2,4.4,80.0,48.057585184,36.5,5.2771061408,33.0,,25.0,23,37726.0,,61.049474179,,0.6280755122,3.9778115773,73.431153261,13823.0,17.907798197,15.571998432,,68.638880793,,,14.088529272,0.6318141542,12.8,28.2,
45023.0,South_Carolina,Chester,,4.0,5.8,71.0,45.858296431,32.9,9.2308675628,28.1,,8.0,8,36523.0,,71.783343392,,0.4604334213,1.7128123273,58.999938609,7678.0,30.206917384,8.1990204328,,70.541480378,,,15.985719952,0.1234367387,12.58,23.1,
45025.0,South_Carolina,Chesterfield,,3.9,3.6,78.0,43.661848445,37.0,6.78462539,31.2,,15.0,32,33591.0,,73.766422733,,0.4870446133,3.7859601273,61.644695543,11415.0,30.325347658,11.758808276,,59.186824498,,,13.942170054,0.8504882857,12.28,23.6,
45027.0,South_Carolina,Clarendon,,3.7,3.8,80.722222222,42.993717564,40.6,2.24029898,29.1,,14.0,25,30096.0,,85.708158188,,0.6141755203,2.9631785766,47.189637607,7322.0,29.312800611,6.1928451995,,50.495404083,,,15.454171804,0.8398485219,12.36,21.9,
45029.0,South_Carolina,Colleton,,4.4,4.1,76.0,50.945136007,39.3,11.97603028,31.8,,21.0,32,33817.0,,75.568240255,,0.4260611834,2.8712818884,56.353868953,8676.0,32.852602554,16.61086646,,66.062748564,,,18.913612565,0.6550460753,12.6,24.1,
45031.0,South_Carolina,Darlington,,5.1,3.9,93.0,49.572966951,39.2,5.5971042678,32.8,,34.0,70,34209.0,,57.764156026,,0.5078383749,1.8812099801,55.377934791,16158.0,28.779378949,10.844403662,,58.366894298,,,15.601217656,0.5298673773,12.19,23.6,
45033.0,South_Carolina,Dillon,,5.1,4.1,63.851495726,36.721009729,42.9,6.4643639701,36.7,,18.0,21,33696.0,,69.505957208,,0.2657786032,2.4656569215,47.135675174,7606.0,26.188175587,6.7728040312,,76.65762879,,,20.025456088,1.219346049,12.1,21.1,
45035.0,South_Carolina,Dorchester,,3.9,3.8,76.587420043,65.259640103,18.6,5.0018113493,23.0,,55.0,164,55193.0,,19.482992201,,1.8109039389,4.746315261,65.003404472,38900.0,15.58208211,8.7044734546,,38.760628158,,,14.570284423,1.1119393236,12.52,19.2,
45037.0,South_Carolina,Edgefield,,3.5,3.4,73.0,41.914191419,27.1,2.6305137914,26.7,,7.0,8,44862.0,,73.311098759,,0.4425783023,5.6022091088,56.354970495,7272.0,17.70044412,7.5092793237,,35.044247788,,,14.371584699,1.9090730171,12.77,20.4,
45039.0,South_Carolina,Fairfield,,3.2,3.8,77.0,42.628741402,34.8,7.3335701553,30.6,,10.0,17,35531.0,,78.314409751,,0.3158942403,1.9170020338,37.946254706,5379.0,28.11021597,6.5789867164,,49.828767123,,,17.012227539,0.4179023996,12.51,15.6,
45041.0,South_Carolina,Florence,,3.9,3.5,80.510835913,56.311628576,28.7,9.4454463034,28.0,,130.0,201,41028.0,,38.518464404,,1.4089903561,2.4398883796,53.177999798,34785.0,21.471582256,8.6307340439,,51.19076113,,,14.550572704,0.6801235454,12.21,21.1,
45043.0,South_Carolina,Georgetown,,3.6,3.7,86.0,56.781119397,37.9,8.3789546733,27.9,,34.0,36,41213.0,,41.517337677,,0.612177366,3.0476505625,62.87723362,12203.0,28.000170849,11.864479173,,52.594724967,,,19.502910882,1.2433454749,12.29,18.1,
45045.0,South_Carolina,Greenville,,3.4,3.4,72.0,64.194630872,24.5,10.471682854,23.7,,438.0,684,49476.0,,12.605684525,,2.1837955915,8.6651794563,69.467134477,125160.0,16.015678642,17.044798555,,43.553608836,,,14.276635082,2.6661069521,12.98,19.5,
45047.0,South_Carolina,Greenwood,,3.6,3.6,77.56663113,55.900694199,34.7,5.2706314996,26.3,,72.0,146,37217.0,,39.752515755,,1.0111440988,5.7355535476,60.548169184,16998.0,16.528891469,11.157001742,,51.885809544,,,15.692191626,2.0600027651,12.84,22.6,
45049.0,South_Carolina,Hampton,,4.0,3.1,71.65448505,41.593744182,36.9,6.5355620461,32.6,,9.0,13,32941.0,,78.473210052,,0.5782046256,3.8122304978,41.405331243,5371.0,27.805470218,10.850915207,,57.314103765,,,16.620689655,1.3634274626,12.66,18.9,
45051.0,South_Carolina,Horry,,3.8,3.9,77.0,58.866183256,31.3,6.0369174508,23.0,,174.0,350,41808.0,,30.375690238,,1.2007595374,6.0887277749,77.226307613,68265.0,20.174997823,13.900735765,,43.876726418,,,19.958170167,2.1739879151,12.13,24.6,
45053.0,South_Carolina,Jasper,,3.7,3.5,65.0,36.439479638,40.3,4.7296442019,25.5,,7.0,9,34852.0,,66.670702668,,0.7773480041,14.06737016,39.569642119,7072.0,39.63652713,9.4654393147,,67.784387957,,,20.358514725,4.2067766422,12.71,26.2,
45055.0,South_Carolina,Kershaw,,3.4,2.8,79.0,58.674821611,25.8,7.1921458263,28.5,,32.0,58,44787.0,,57.680276188,,0.6398362019,4.1621344936,68.967944206,14715.0,27.040308871,12.932321634,,51.515825365,,,12.859524802,0.8648873052,12.36,22.2,
