FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
26001.0,Michigan,Alcona,,3.5,3.7,82.5,55.790866976,30.9,4.764905691,26.1,30.5,5.0,4,36377.0,,98.921586547,0.3061029271,0.2678400612,1.4635546202,96.345896308,1511.0,14.3305671,,,28.311965812,,,14.451476793,0.1257131805,11.41,15.9,
26003.0,Michigan,Alger,,3.5,3.7,,43.522833178,23.3,12.591806779,23.7,32.5,4.0,6,45308.0,,69.044891157,6.8400465165,0.4651654509,1.3320647003,84.554392642,2146.0,19.421246844,,,22.537025113,,,13.904494382,0.1630080417,10.23,17.1,
26005.0,Michigan,Allegan,,3.4,3.6,83.916666667,55.393542067,15.2,1.4591699695,22.5,29.5,27.0,77,54232.0,,64.467542726,1.2499231425,0.8168858204,7.1200822156,88.807785888,26541.0,13.94789374,12.410724048,,30.145606205,,,13.965681602,1.0418349984,12.48,17.2,
26007.0,Michigan,Alpena,,3.6,3.8,73.0,66.079148653,26.0,2.7476691471,22.3,32.8,28.0,68,38121.0,,51.827826204,0.4036152891,0.5967986753,1.303987857,95.974196219,6014.0,9.1626760801,,,30.128902003,,,12.290076336,0.493125045,11.25,18.9,
26009.0,Michigan,Antrim,,3.4,3.7,86.805555556,55.540198111,22.7,0.1368090951,25.1,31.6,9.0,9,45743.0,,100.0,0.253578029,0.2492800963,2.0329221644,95.048781536,4341.0,15.68504431,,,32.237403928,,,16.666666667,0.6053811659,11.13,16.1,
26011.0,Michigan,Arenac,,3.7,3.9,85.944767442,46.241088788,31.5,0.0814410261,23.9,33.5,6.0,23,36460.0,,100.0,0.3647495603,0.3191558653,1.8758548818,94.97818016,3086.0,16.947187213,,,25.931445604,,,13.209013209,0.6446847089,11.58,17.9,
26013.0,Michigan,Baraga,,3.6,3.8,86.448598131,28.76376989,21.6,3.8287317823,21.8,33.8,10.0,8,41624.0,,100.0,7.6611971343,0.4044372544,1.3866420153,72.960480703,2451.0,,,,31.703385277,,,11.392405063,0.323392023,10.16,18.6,
26015.0,Michigan,Barry,,3.2,3.5,85.819920844,59.345095694,15.0,0.9066043752,21.8,31.3,20.0,50,57235.0,,77.128082064,0.4757004774,0.4588316661,2.6298476746,94.816214301,13376.0,16.614255513,10.148392044,,26.117278679,,,12.291249165,0.4440545041,12.44,17.0,
26017.0,Michigan,Bay,,3.4,3.7,77.977964744,63.606544262,24.7,6.4892572329,23.6,29.9,56.0,213,46061.0,,30.311493816,1.58788461,0.6818674126,5.0311266823,90.435020108,24999.0,10.623986571,19.690822826,,32.334318278,,,12.340619308,0.2638053176,11.72,17.7,
26019.0,Michigan,Benzie,,3.3,3.6,85.56122449,58.663646659,18.6,0.0,20.8,30.3,6.0,17,48846.0,,100.0,0.6107654546,0.34819339,2.3289000514,93.955134425,3532.0,17.070256298,,,25.354663447,,,16.888297872,0.4677661169,11.23,15.6,
26021.0,Michigan,Berrien,,3.6,3.8,73.192999054,61.300387219,26.2,8.3951002975,28.4,33.3,131.0,234,44145.0,,32.856969767,15.03546282,1.9061668589,5.1161801936,75.317103966,35897.0,14.860195644,15.861040141,,43.548431217,,,14.889450926,0.9954800563,12.93,17.0,
26023.0,Michigan,Branch,,3.6,3.8,77.935599284,48.092105263,23.3,6.1688360625,26.2,34.9,22.0,51,46371.0,,62.703323904,2.1334251923,0.6384200253,4.3403375818,91.22287289,10640.0,12.324883941,12.970960309,,41.964468042,,,16.370439663,1.552364988,12.84,18.5,
26025.0,Michigan,Calhoun,,3.7,3.8,72.948224852,58.27219369,23.5,8.9029048784,26.8,36.5,76.0,314,45916.0,,30.977039355,10.748231735,2.0210857219,4.7635641098,79.036610863,32712.0,11.228373575,23.951267812,,45.741089301,,,15.049727904,1.0761250039,12.66,18.7,
26027.0,Michigan,Cass,,3.3,3.7,73.127192982,55.830484074,22.1,1.6301275571,23.7,32.2,10.0,46,48030.0,,71.181611306,5.2239962796,0.7963881569,3.487831344,86.655169741,11114.0,16.388875231,11.55624037,,38.888438791,,,12.601010101,0.5243551848,12.92,16.5,
26029.0,Michigan,Charlevoix,,3.4,3.6,76.947674419,61.249761859,19.0,1.3342640892,20.5,30.4,22.0,24,47991.0,,70.403483757,0.455572145,0.5168255427,1.799318556,94.123502163,5249.0,8.1991407301,,,24.00436443,,,14.719626168,0.2180408625,11.05,16.5,
26031.0,Michigan,Cheboygan,,3.7,3.9,84.494584838,52.708292299,28.3,6.451660384,26.9,31.2,14.0,12,41930.0,,82.72789844,0.5842259007,0.3739045764,1.394352483,92.186952288,5077.0,9.2495864891,15.536796313,,32.557259133,,,15.226876091,0.0767614738,10.98,18.0,
26033.0,Michigan,Chippewa,,4.0,4.0,75.71278826,53.455614106,24.7,10.084925468,27.5,34.6,23.0,62,38989.0,,48.938213915,6.821325122,0.8950705879,1.7849221054,70.36872733,9868.0,12.83626428,12.938395984,,28.793042661,,,14.733969986,0.3252076957,10.44,20.7,
