FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
28001.0,Mississippi,Adams,,4.6,4.3,64.0,49.512743628,47.1,15.738394603,29.4,40.0,26.0,10,32327.0,,37.226367774,52.626272174,0.5451050824,8.0032769323,37.646910546,8004.0,21.643205138,,,65.305551671,,,16.169865251,3.3227534219,10.68,21.8,
28003.0,Mississippi,Alcorn,,4.0,4.0,82.079283887,53.802401517,29.1,4.5799689522,38.3,33.2,14.0,94,35180.0,,66.35183636,12.388978063,0.3852327448,3.10058855,82.929373997,9494.0,20.088233703,13.409619167,,67.36453202,,,13.413342746,1.2625826862,12.92,19.9,
28005.0,Mississippi,Amite,,4.4,4.2,62.5,49.247153874,32.2,10.876473716,35.2,34.7,2.0,1,30668.0,,100.0,40.557447145,0.1187742497,1.0293768311,57.272943226,2723.0,26.102277424,,,58.174904943,,,17.244701349,0.0080978217,10.85,20.8,
28007.0,Mississippi,Attala,,4.2,4.1,82.5,51.0,33.3,4.560541264,36.7,35.8,11.0,4,32521.0,,64.306890207,42.107185722,0.3496321035,1.9725512707,54.772217294,4300.0,33.028007751,,,64.794338788,,,17.931034483,0.3186493739,12.44,19.8,
28009.0,Mississippi,Benton,,4.3,4.1,77.5,40.550458716,37.8,22.303502566,34.5,35.1,,3,30665.0,,100.0,35.920925747,0.1084860174,2.4831243973,60.221793635,2180.0,37.814642487,,,58.337635519,,,23.483670295,0.1224589762,12.69,21.0,
28011.0,Mississippi,Bolivar,,5.0,4.4,75.601952278,56.624775583,43.0,24.161461783,35.2,40.4,18.0,14,29297.0,,53.955191097,64.149490642,0.6811182184,2.1825396825,32.264273869,8355.0,27.803252566,,,73.275862069,,,19.661563255,0.4512950898,12.22,22.6,
28013.0,Mississippi,Calhoun,,4.2,4.1,77.5,43.473193473,37.6,4.1945317385,33.2,33.4,3.0,1,33141.0,,100.0,27.555103425,0.1424211597,5.6086809088,65.473041709,3432.0,32.606089667,,,57.891705069,,,11.90674438,1.8194945848,12.28,19.9,
28015.0,Mississippi,Carroll,,3.9,3.8,77.5,57.552809884,25.7,24.276167913,36.3,32.0,2.0,,38219.0,,100.0,33.645406671,0.2145504193,1.2775502243,63.867758923,2509.0,35.275282881,,,45.333333333,,,14.023591088,0.3236900668,12.33,18.7,
28017.0,Mississippi,Chickasaw,,4.5,4.2,71.550218341,43.530273438,35.0,2.5054561984,35.2,37.1,6.0,5,31616.0,,85.297838086,43.38358459,0.4274244787,3.9219083925,51.198521342,4096.0,27.003805082,,,82.570905764,,,14.68164794,0.8401803917,12.29,21.7,
28019.0,Mississippi,Choctaw,,4.2,4.1,77.5,57.433920705,34.8,2.103154589,35.1,34.3,4.0,5,34548.0,,100.0,29.394743188,0.337593441,1.3262599469,67.67542802,1816.0,26.829881781,,,51.884483603,,,13.777777778,0.0126630366,12.44,19.5,
