FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
36001.0,New_York,Albany,,3.3,3.4,80.762789281,74.437267048,18.5,4.9551152446,22.0,34.1,300.0,888,60371.0,,9.6961249688,12.415509571,5.8444824464,5.7205252928,73.765539262,75391.0,6.1430274997,10.971451414,,16.354672848,,,15.854901162,1.4774090845,11.1,13.6,
36003.0,New_York,Allegany,,3.6,3.7,81.620294599,54.748318728,26.5,2.86158357,22.4,33.1,21.0,81,42655.0,,78.739835737,1.1689291101,1.2757667169,1.5501927267,94.635076253,9814.0,9.958554838,7.6281882359,,19.743336624,,,13.92942425,0.6257358392,12.68,16.4,
36005.0,New_York,Bronx,,5.0,4.3,55.777551148,49.13808123,43.0,0.0611227784,29.2,40.8,737.0,2145,33687.0,,0.0028156649,29.749075033,4.3538301398,54.832254292,10.24949258,396035.0,4.1451328561,10.80798478,,39.943646216,,,38.208882691,15.724693134,10.79,18.9,
36007.0,New_York,Broome,,3.6,3.7,81.400087451,63.681512336,23.6,4.7636008983,24.3,34.1,165.0,346,46283.0,,26.056829511,5.0007854106,4.1647031401,3.8849956169,84.528424264,43694.0,7.3673202839,15.515825299,,21.622433275,,,15.263321907,1.1082124374,11.75,16.3,
36009.0,New_York,Cattaraugus,,3.7,3.8,80.051537071,54.816840426,23.4,1.9679054571,27.9,34.6,38.0,73,43892.0,,61.752804512,1.393129771,0.8078880407,1.951653944,91.013994911,17553.0,14.086842711,8.4405992825,,34.733838434,,,14.55891425,0.9782768926,12.97,17.2,
36011.0,New_York,Cayuga,,3.3,3.5,78.267114914,58.352209872,19.8,1.7769179674,22.5,33.8,22.0,112,52792.0,,55.781870892,3.8021897162,0.6647805843,2.7999441787,90.701952476,18983.0,13.391039787,12.612885324,,26.718973652,,,12.45823389,0.4579666282,12.09,14.8,
36013.0,New_York,Chautauqua,,3.6,3.8,81.091884058,59.29969104,28.8,4.146412811,26.1,34.7,72.0,159,41757.0,,43.862718209,2.1673116097,0.6603409237,7.0168795862,88.035864388,29130.0,10.936516178,11.03664165,,32.07150368,,,15.031847134,1.245210728,13.31,16.0,
36015.0,New_York,Chemung,,3.4,3.6,73.598175966,58.983623481,26.6,6.0267842321,24.6,35.2,60.0,189,48880.0,,24.178768434,6.3290418138,1.432152216,2.9349436026,86.461205423,21311.0,8.5336184313,16.21497283,,38.38530336,,,13.624823695,0.451551084,12.13,15.6,
36017.0,New_York,Chenango,,3.5,3.7,82.688811189,55.596745027,24.6,0.5051242082,27.2,34.2,22.0,83,46387.0,,83.412247162,0.8679642294,0.5179460203,2.1486666936,94.810423664,11060.0,16.126339972,12.76349908,,31.752716247,,,14.256825076,0.4822335025,11.7,15.2,
36019.0,New_York,Clinton,,3.4,3.6,81.558505408,54.518012668,19.3,7.8440133246,26.8,34.6,56.0,146,51576.0,,64.155951685,4.0523324187,1.3940611525,2.7844472756,90.109270874,20208.0,14.097867045,8.9841022227,,20.479302832,,,13.874921433,0.7038273825,11.08,16.3,
