FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
54001.0,West_Virginia,Barbour,,5.0,4.8,92.5,36.737436173,28.4,0.5117028334,36.0,37.5,6.0,8,35615.0,,83.72415456,0.9244900394,0.2206847191,0.7813431946,96.06942622,3721.0,26.057952887,,,40.401567091,,,11.442385173,0.1199873698,13.31,25.1,
54003.0,West_Virginia,Berkeley,,4.8,4.6,84.0,53.757147207,19.4,7.1719752378,27.7,38.4,48.0,154,56737.0,,31.625531588,7.1513253753,1.1267274225,3.9159434193,85.124483018,29557.0,14.808436421,37.695256833,,43.210702341,,,13.828457114,0.8626621855,12.96,25.5,
54005.0,West_Virginia,Boone,,5.3,4.8,80.0,40.046488461,28.4,1.2178784525,35.4,36.8,8.0,3,37625.0,,81.408096147,0.6494054145,0.1054229569,0.5144640297,97.980096146,6023.0,30.15366773,81.473707468,,65.813162633,,,10.199897488,0.1096876097,13.07,24.6,
54007.0,West_Virginia,Braxton,,5.0,4.9,87.5,38.146222086,30.6,9.3652943697,33.9,36.6,6.0,5,33817.0,,100.0,0.5946207564,0.262739404,0.6637627048,97.17209431,3269.0,24.591292715,,,54.482758621,,,11.647254576,0.0729660708,13.23,24.9,
54009.0,West_Virginia,Brooke,,4.5,4.4,89.0,62.342342342,22.5,6.348675193,32.7,34.3,6.0,3,43572.0,,42.128879472,1.4917127072,0.429239269,0.8202294943,95.992350191,4995.0,11.305553407,35.151856018,,24.261603376,,,8.7790110999,0.0307192698,14.0,22.0,
54011.0,West_Virginia,Cabell,,4.7,4.5,74.0,65.311986864,27.0,3.3283673203,32.4,36.4,152.0,189,34887.0,,21.558570998,4.937750363,1.2027721426,1.3788629272,90.218208405,24360.0,12.77125932,42.923465744,,46.385673728,,,15.215511918,0.4278849319,13.12,24.5,
54013.0,West_Virginia,Calhoun,,5.2,4.9,97.5,28.625235405,29.8,12.879407918,34.9,37.6,4.0,1,32162.0,,100.0,0.3061360309,0.1730334088,1.064820977,97.151603887,1593.0,,,,51.724137931,,,9.9056603774,0.556637907,13.24,26.4,
54015.0,West_Virginia,Clay,,5.2,5.0,82.5,37.68321513,35.9,6.7614729905,39.8,37.8,,3,32961.0,,100.0,0.2125041942,0.0782910189,0.5480371323,97.774298177,2115.0,22.697010047,,,62.441314554,,,8.5755813953,0.0,13.18,26.3,
54017.0,West_Virginia,Doddridge,,4.7,4.5,87.5,35.095137421,24.9,1.0015852774,34.9,36.2,2.0,1,41838.0,,100.0,1.8472172566,0.2860207365,0.6912167799,95.769276606,1892.0,24.551496764,,,37.834691502,,,10.09009009,0.201511335,13.4,23.5,
54019.0,West_Virginia,Fayette,,5.5,5.1,79.0,47.497993043,31.4,7.2430541347,36.2,38.8,25.0,15,36739.0,,57.872673168,4.6131348046,0.2437295046,1.0724098201,92.535229992,11211.0,26.115018001,45.387994143,,70.321671754,,,10.262193403,0.266963809,13.11,24.7,
54021.0,West_Virginia,Gilmer,,5.4,4.8,92.5,53.147380324,28.2,3.5729318129,30.0,39.9,4.0,1,32705.0,,60.715518233,12.044557902,0.8238570434,6.2427477373,79.032258065,2653.0,21.671362128,,,21.93877551,,,9.4488188976,1.9311502939,13.26,27.6,
54023.0,West_Virginia,Grant,,4.7,4.6,87.5,33.744855967,25.5,6.480885626,38.4,33.8,6.0,7,41039.0,,78.679735277,0.7358603577,0.1967998631,1.3348164627,96.697184906,2673.0,23.993185935,,,50.324675325,,,8.8770053476,0.5173490322,13.14,22.1,
54025.0,West_Virginia,Greenbrier,,5.0,4.6,83.0,49.596423693,28.5,4.2084399662,33.5,36.3,46.0,31,36996.0,,69.735062007,2.8688293371,0.4456981664,1.3624823695,93.472496474,8053.0,27.721308446,26.189273622,,48.26658697,,,13.316011692,0.3019359422,13.13,24.1,
54027.0,West_Virginia,Hampshire,,4.9,4.7,81.0,28.172588832,29.5,10.239444603,31.4,36.3,5.0,11,35980.0,,100.0,1.1795767151,0.3151215773,1.2860367074,95.928969893,5516.0,22.904536304,21.235329926,,43.846153846,,,10.695693327,0.2726473175,13.07,25.3,
54029.0,West_Virginia,Hancock,,4.7,4.5,88.0,56.518624642,21.0,8.8590273138,33.9,34.3,20.0,32,48178.0,,30.310340331,2.5139479277,0.3320935175,1.1756110521,94.454038257,6980.0,12.133656898,48.507298143,,34.790059983,,,11.16243264,0.4644553048,14.13,22.5,
54031.0,West_Virginia,Hardy,,4.9,4.7,82.5,36.684860672,24.5,15.503775733,37.1,36.6,3.0,7,41010.0,,80.520499109,2.614379085,1.1419952596,3.6270918624,91.654097536,3481.0,29.832935561,,,45.084745763,,,7.240293809,1.0598031794,13.04,23.9,
54033.0,West_Virginia,Harrison,,4.6,4.6,77.0,57.104882982,18.5,5.3574380992,32.3,35.2,78.0,112,42121.0,,37.049740228,1.6986373089,0.6384433036,1.5706577857,94.332543157,17305.0,21.173906274,25.619459188,,48.311509304,,,13.328530259,0.2259279182,13.43,23.1,
54035.0,West_Virginia,Jackson,,4.6,4.6,82.0,55.725865881,24.7,4.1550428375,30.7,36.3,11.0,10,41121.0,,71.438841532,0.463503399,0.3502025682,0.8102726087,97.222412964,6785.0,25.953802232,15.993054445,,39.599079855,,,9.6929824561,0.0437429373,13.21,22.9,
54037.0,West_Virginia,Jefferson,,4.2,4.3,89.0,60.925993438,13.1,1.2036345745,28.2,34.6,27.0,29,66950.0,,48.373770982,6.4724570567,1.7643996913,5.5211530522,83.673469388,13715.0,18.191448949,22.989896545,,30.009977742,,,15.78814628,0.80015537,12.89,22.1,
54039.0,West_Virginia,Kanawha,,5.0,4.7,71.0,59.182160857,25.8,7.7220039871,30.1,36.8,257.0,276,43936.0,,25.188151018,7.4880534951,1.1581144236,1.0729512204,87.968857604,47222.0,14.776313347,36.257336445,,50.305569641,,,10.191658631,0.182902233,13.14,23.4,
