FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
13001,Georgia,Appling,,4.3169287052,4.0718723202,87.0,33.758241758,34.2,5.8405469106,26.4,36.5,10.0,6.0,39588,,71.441105506,19.26953506,0.9049528557,9.2717026119,69.426682562,4550,21.772600737,,,81.292602878,14.1,,10.814708003,1.6480316795,9.2,18.638610508,32.01
13003,Georgia,Atkinson,,4.8977524563,4.3584556544,82.5,35.998233216,40.5,10.924855376,28.7,39.5,,,32398,,100.0,16.944510598,0.8335317933,24.243867588,56.549178376,2264,32.551525639,,,89.681774349,,,16.847826087,7.8120876221,9.3,20.922521496,
13005,Georgia,Bacon,,4.0953803681,3.9586237253,92.5,41.972717733,36.8,2.7299776476,28.1,36.7,6.0,,35431,,69.286229272,16.231524914,0.5575714665,8.1246127976,73.723338349,2859,31.87677713,,,73.571722154,,,12.639405204,3.3070417181,9.1,17.843950469,
13007,Georgia,Baker,,4.3176517585,4.0773800865,,46.887966805,41.9,43.5125328,25.5,40.3,,1.0,34455,,100.0,45.377358491,1.2264150943,4.8742138365,46.918238994,723,,,,35.57312253,,,19.272727273,0.5354330709,9.8,18.769441543,
13009,Georgia,Baldwin,,4.7514000819,4.3055298932,80.0,48.684079849,35.5,8.5783056939,23.5,40.3,26.0,57.0,38015,,35.139982502,41.518731164,1.8302206384,2.1579885171,53.122593986,10069,10.591966305,8.0054145713,,25.133282559,14.5,,18.268053856,0.8179535034,10.6,21.249248948,18.04
13011,Georgia,Banks,,3.9670788836,3.8606223192,93.0,40.696895242,24.4,3.6406402761,24.7,35.6,3.0,,44146,,93.829845067,2.8926736956,1.3138686131,6.7045147337,87.515544742,4477,26.484907498,,,44.45495389,13.1,,17.799113737,1.7172823143,10.1,17.249787616,19.07
13013,Georgia,Barrow,,3.9320219411,3.7784669165,74.0,53.59988684,21.3,5.7270922907,30.5,38.3,16.0,14.0,53789,,30.06184497,11.332094998,3.7919596656,9.9787713945,72.941488656,21209,16.46391291,14.086875122,,38.872384805,12.8,,14.947683109,2.7047601988,10.5,17.203782789,17.73
13015,Georgia,Bartow,,3.8183201783,3.7213624788,80.390374332,50.716911765,21.5,11.585265549,25.5,35.4,46.0,100.0,50900,,35.227692523,10.566731875,0.9849435993,8.309731671,78.206662968,27200,14.997127909,16.679967033,,45.124525116,13.4,,16.67872125,1.8164920581,10.7,17.17003538,18.2
13017,Georgia,Ben Hill,,4.9866197686,4.5098355009,81.0,48.136645963,46.9,12.208713527,26.1,41.0,9.0,4.0,30776,,34.00249518,35.396196058,0.7872205942,6.3092570247,56.047807849,4186,13.028467201,,,81.537263049,13.7,,22.749590835,0.8629252545,9.7,21.347466543,
13019,Georgia,Berrien,,4.3600776131,4.1346305248,85.0,48.3843717,36.9,6.2022278655,33.8,37.3,3.0,4.0,35518,,76.143316395,10.910720877,0.9703106049,5.0255761219,81.875230712,4735,14.234662152,,,67.68558952,15.8,,12.713068182,1.2393449978,9.7,19.644870437,23.81
